Level,Code.,Municipality,Horse,Pork - total,Sheep_Goat,beef_cattle,milk_cattle,excl_cattle,Layers,Broilers,标记
MU,1100015,Alta Floresta D'Oeste (RO),43.0,17385.0,858.0,11359.0,9532.0,48051.0,39837,417570.0,
MU,1100023,Ariquemes (RO),123.0,37710.0,4093.0,75743.0,63562.0,320421.0,249120,2611265.0,
MU,1100031,Cabixi (RO),57.0,5647.0,2519.0,9101.0,7637.0,38500.0,21000,220121.0,
MU,1100049,Cacoal (RO),152.0,51212.0,5175.0,51368.0,43107.0,217306.0,133221,1396417.0,
MU,1100056,Cerejeiras (RO),50.0,9448.0,4615.0,33283.0,27931.0,140800.0,47500,497893.0,
MU,1100064,Colorado do Oeste (RO),51.0,24827.0,1627.0,61997.0,52027.0,262270.0,72875,763873.0,
MU,1100072,Corumbiara (RO),,,,,,,...,,
MU,1100080,Costa Marques (RO),6.0,18235.0,6987.0,10726.0,9001.0,45374.0,11134,116706.0,
MU,1100098,Espigão D'Oeste (RO),50.0,35012.0,978.0,27406.0,22998.0,115937.0,36421,381763.0,
MU,1100106,Guajará-Mirim (RO),37.0,2583.0,4810.0,6011.0,5044.0,25427.0,9235,96801.0,
MU,1100114,Jaru (RO),76.0,29565.0,5694.0,,,,86400,905641.0,
MU,1100122,Ji-Paraná (RO),124.0,25347.0,3527.0,34393.0,28862.0,145494.0,106721,1118645.0,
MU,1100130,Machadinho D'Oeste (RO),5.0,9046.0,276.0,,,,25943,271933.0,
MU,1100148,Nova Brasilândia D'Oeste (RO),17.0,4862.0,691.0,,,,28314,296786.0,
MU,1100155,Ouro Preto do Oeste (RO),182.0,47028.0,3068.0,56331.0,47272.0,238303.0,192082,2013395.0,
MU,1100189,Pimenta Bueno (RO),247.0,55123.0,11979.0,48383.0,40602.0,204680.0,67731,709953.0,
MU,1100205,Porto Velho (RO),88.0,15714.0,4563.0,25482.0,21384.0,107800.0,165585,1735655.0,
MU,1100254,Presidente Médici (RO),67.0,17027.0,2367.0,15245.0,12794.0,64493.0,66956,701830.0,
MU,1100262,Rio Crespo (RO),,,,,,,...,,
MU,1100288,Rolim de Moura (RO),107.0,36061.0,1193.0,24397.0,20474.0,103209.0,96393,1010387.0,
MU,1100296,Santa Luzia D'Oeste (RO),14.0,12125.0,650.0,9157.0,7684.0,38737.0,27988,293369.0,
MU,1100304,Vilhena (RO),79.0,11945.0,2419.0,82789.0,69475.0,350230.0,22500,235844.0,
