OBJECTID,State,County,year,cattle_cow_beef,cattle_cow_milk,cattle_excl_cows,hogs,sheep_goats,broilers,layers,horses,donkeys,mules,rabbits,cattle_beef_slaughtered,hogs_slaughtered,broilers_slaughtered,标记
26,ALABAMA,COLBERT,1997,9594.0,8.215668399390974,,1709.7521449128562,124.15399228665271,1282775.0,82592.1300052549,,,,,639.983710908492,1299.2025663357454,,"种类：sheep_goats,FAO总量：9674000.0,国家总量：12233340.0; 种类：layers,FAO总量：303604000.0,国家总量：192178324.0; 种类：cattle_beef_slaughtered,FAO总量：38110900.0,国家总量：1514600.0; 种类：broilers_slaughtered,FAO总量：7903539000.0,国家总量：0.0; "
39,ALABAMA,FRANKLIN,1997,16639.0,890.3730627839967,,0.0,0.0,5580263.0,384974.4299986714,,,,,1109.9321415266206,0.0,,"种类：sheep_goats,FAO总量：9674000.0,国家总量：12233340.0; 种类：layers,FAO总量：303604000.0,国家总量：192178324.0; 种类：cattle_beef_slaughtered,FAO总量：38110900.0,国家总量：1514600.0; 种类：broilers_slaughtered,FAO总量：7903539000.0,国家总量：0.0; "
48,ALABAMA,LAUDERDALE,1997,22302.0,614.1212128544752,,3719.9093395861023,669.7989265400946,513342.0,62195.28626964194,,,,,1487.6919658829672,2826.6762377846867,,"种类：sheep_goats,FAO总量：9674000.0,国家总量：12233340.0; 种类：layers,FAO总量：303604000.0,国家总量：192178324.0; 种类：cattle_beef_slaughtered,FAO总量：38110900.0,国家总量：1514600.0; 种类：broilers_slaughtered,FAO总量：7903539000.0,国家总量：0.0; "
49,ALABAMA,LAWRENCE,1997,21102.0,562.7732853582817,,2034.6583157529942,308.40800631716274,3571632.0,439660.90995777445,,,,,1407.6439720232434,1546.0915275397344,,"种类：sheep_goats,FAO总量：9674000.0,国家总量：12233340.0; 种类：layers,FAO总量：303604000.0,国家总量：192178324.0; 种类：cattle_beef_slaughtered,FAO总量：38110900.0,国家总量：1514600.0; 种类：broilers_slaughtered,FAO总量：7903539000.0,国家总量：0.0; "
51,ALABAMA,LIMESTONE,1997,16250.0,487.805311213839,,0.0,359.80934070335655,869619.0,220221.45635945915,,,,,1083.9832501837602,0.0,,"种类：sheep_goats,FAO总量：9674000.0,国家总量：12233340.0; 种类：layers,FAO总量：303604000.0,国家总量：192178324.0; 种类：cattle_beef_slaughtered,FAO总量：38110900.0,国家总量：1514600.0; 种类：broilers_slaughtered,FAO总量：7903539000.0,国家总量：0.0; "
54,ALABAMA,MADISON,1997,13495.0,160.20553378812397,,4186.495906235218,559.0883601698309,174230.0,,,,,,900.2063976141442,3181.224975513694,,"种类：sheep_goats,FAO总量：9674000.0,国家总量：12233340.0; 种类：layers,FAO总量：303604000.0,国家总量：192178324.0; 种类：cattle_beef_slaughtered,FAO总量：38110900.0,国家总量：1514600.0; 种类：broilers_slaughtered,FAO总量：7903539000.0,国家总量：0.0; "
56,ALABAMA,MARION,1997,0.0,,,287.62185615356464,80.66055549833487,1708800.0,,,,,,0.0,218.55744106582634,,"种类：sheep_goats,FAO总量：9674000.0,国家总量：12233340.0; 种类：layers,FAO总量：303604000.0,国家总量：192178324.0; 种类：cattle_beef_slaughtered,FAO总量：38110900.0,国家总量：1514600.0; 种类：broilers_slaughtered,FAO总量：7903539000.0,国家总量：0.0; "
61,ALABAMA,MORGAN,1997,21365.0,2831.3247221401143,,395.21373567767586,887.2661104816837,4575853.0,190399.50459761528,,,,,1425.1878240108329,300.3141134645244,,"种类：sheep_goats,FAO总量：9674000.0,国家总量：12233340.0; 种类：layers,FAO总量：303604000.0,国家总量：192178324.0; 种类：cattle_beef_slaughtered,FAO总量：38110900.0,国家总量：1514600.0; 种类：broilers_slaughtered,FAO总量：7903539000.0,国家总量：0.0; "
76,ALABAMA,WINSTON,1997,11050.0,885.2382700343774,,43.67591148998574,10.280266877238759,3206679.0,660198.3270288068,,,,,737.108610124957,33.1883521618477,,"种类：sheep_goats,FAO总量：9674000.0,国家总量：12233340.0; 种类：layers,FAO总量：303604000.0,国家总量：192178324.0; 种类：cattle_beef_slaughtered,FAO总量：38110900.0,国家总量：1514600.0; 种类：broilers_slaughtered,FAO总量：7903539000.0,国家总量：0.0; "
14,ALABAMA,BLOUNT,1997,23775.0,792.8120005412288,,103.33081498850284,282.3119442441721,10432628.0,642463.4522881988,,,,,1585.9508783457782,78.51878438290798,,"种类：sheep_goats,FAO总量：9674000.0,国家总量：12233340.0; 种类：layers,FAO总量：303604000.0,国家总量：192178324.0; 种类：cattle_beef_slaughtered,FAO总量：38110900.0,国家总量：1514600.0; 种类：broilers_slaughtered,FAO总量：7903539000.0,国家总量：0.0; "
17,ALABAMA,CALHOUN,1997,9548.0,292.6831867283034,,0.0,269.65930808757054,2049721.0,112042.82793100017,,,,,636.9152044772026,0.0,,"种类：sheep_goats,FAO总量：9674000.0,国家总量：12233340.0; 种类：layers,FAO总量：303604000.0,国家总量：192178324.0; 种类：cattle_beef_slaughtered,FAO总量：38110900.0,国家总量：1514600.0; 种类：broilers_slaughtered,FAO总量：7903539000.0,国家总量：0.0; "
