OBJECTID,State,County,year,cattle_cow_beef,cattle_cow_milk,cattle_excl_cows,hogs,sheep_goats,broilers,layers,horses,donkeys,mules,rabbits,cattle_beef_slaughtered,hogs_slaughtered,broilers_slaughtered,标记
26,ALABAMA,COLBERT,2017,9020.0,50.879503016096,6789.0,150.79955390190887,1195.0688849203423,1094358.0,,,,,,2352.014248225786,185.11745930789945,5768382.416075604,"种类：layers,FAO总量：381175000.0,国家总量：170230374.0; 种类：cattle_beef_slaughtered,FAO总量：32817400.0,国家总量：609900.0; "
39,ALABAMA,FRANKLIN,2017,15552.0,28.03564451907331,10585.0,29.92968245381397,2239.235003863455,6550273.0,269665.6615757656,,,,,4055.2689122402917,36.74086978630066,34526617.061048396,"种类：layers,FAO总量：381175000.0,国家总量：170230374.0; 种类：cattle_beef_slaughtered,FAO总量：32817400.0,国家总量：609900.0; "
48,ALABAMA,LAUDERDALE,2017,16372.0,33.22743054112392,13920.0,626.2210482644153,3303.656527635726,915548.0,458853.2606701551,,,,,4269.088389351727,768.7320447595214,4825871.409788376,"种类：layers,FAO总量：381175000.0,国家总量：170230374.0; 种类：cattle_beef_slaughtered,FAO总量：32817400.0,国家总量：609900.0; "
49,ALABAMA,LAWRENCE,2017,16607.0,85.14529076163004,14498.0,762.0557609394173,1748.041436756365,7882206.0,480461.2655377236,,,,,4330.365922426346,935.4790691742705,41547261.94744829,"种类：layers,FAO总量：381175000.0,国家总量：170230374.0; 种类：cattle_beef_slaughtered,FAO总量：32817400.0,国家总量：609900.0; "
51,ALABAMA,LIMESTONE,2017,0.0,,9233.0,2542.8718669413483,3415.061254196097,2038192.0,152850.32417305268,,,,,0.0,3121.560821459159,10743349.884942561,"种类：layers,FAO总量：381175000.0,国家总量：170230374.0; 种类：cattle_beef_slaughtered,FAO总量：32817400.0,国家总量：609900.0; "
54,ALABAMA,MADISON,2017,9177.0,32.1890733367138,6705.0,367.21418087564064,1865.5227847654835,1572.0,10998.810353315677,,,,,2392.9528554288295,450.7822100703811,8286.042737450496,"种类：layers,FAO总量：381175000.0,国家总量：170230374.0; 种类：cattle_beef_slaughtered,FAO总量：32817400.0,国家总量：609900.0; "
56,ALABAMA,MARION,2017,8754.0,28.03564451907331,6103.0,235.98403473199474,420.2996502050356,6071859.0,72654.39729927397,,,,,2282.653295894516,289.68762716121677,32004887.512578517,"种类：layers,FAO总量：381175000.0,国家总量：170230374.0; 种类：cattle_beef_slaughtered,FAO总量：32817400.0,国家总量：609900.0; "
61,ALABAMA,MORGAN,2017,15756.0,895.0639102015257,13070.0,811.5548511514942,2225.056220483044,4010832.0,5553.145292390652,,,,,4108.463026058259,996.2428153593063,21141173.89614125,"种类：layers,FAO总量：381175000.0,国家总量：170230374.0; 种类：cattle_beef_slaughtered,FAO总量：32817400.0,国家总量：609900.0; "
76,ALABAMA,WINSTON,2017,0.0,,4523.0,23.022832656779975,903.3910553804621,501030.0,137876.98442699775,,,,,0.0,28.262207527923582,2640938.926682457,"种类：layers,FAO总量：381175000.0,国家总量：170230374.0; 种类：cattle_beef_slaughtered,FAO总量：32817400.0,国家总量：609900.0; "
14,ALABAMA,BLOUNT,2017,21858.0,133.9480793689058,24369.0,296.9945412724617,1634.6111697130784,12653248.0,578286.1895433537,,,,,5699.592842319205,364.58247711021426,66695517.618040726,"种类：layers,FAO总量：381175000.0,国家总量：170230374.0; 种类：cattle_beef_slaughtered,FAO总量：32817400.0,国家总量：609900.0; "
17,ALABAMA,CALHOUN,2017,11417.0,102.79736323660214,8991.0,0.0,1182.9156420228471,1964032.0,3423.693206477946,,,,,2977.045085586896,0.0,10352451.074885735,"种类：layers,FAO总量：381175000.0,国家总量：170230374.0; 种类：cattle_beef_slaughtered,FAO总量：32817400.0,国家总量：609900.0; "
19,ALABAMA,CHEROKEE,2017,0.0,,5409.0,0.0,743.3733572301112,6341184.0,,,,,,0.0,0.0,33424504.85371329,"种类：layers,FAO总量：381175000.0,国家总量：170230374.0; 种类：cattle_beef_slaughtered,FAO总量：32817400.0,国家总量：609900.0; "
24,ALABAMA,CLEBURNE,2017,0.0,,5942.0,151.95069553474784,383.83992151255063,5850399.0,,,,,,0.0,186.53056968429564,30837567.522352196,"种类：layers,FAO总量：381175000.0,国家总量：170230374.0; 种类：cattle_beef_slaughtered,FAO总量：32817400.0,国家总量：609900.0; "
31,ALABAMA,CULLMAN,2017,32917.0,725.8116858826758,24829.0,702.1963960317893,3237.8264619409615,21492949.0,2293887.883369157,,,,,8583.287473264769,861.9973296016693,113289754.4324707,"种类：layers,FAO总量：381175000.0,国家总量：170230374.0; 种类：cattle_beef_slaughtered,FAO总量：32817400.0,国家总量：609900.0; "
34,ALABAMA,DE KALB,2017,37068.0,228.43858497022697,25551.0,20433.91512452507,3430.2528078179657,22554237.0,2756055.1178428354,,,,,9665.683387276436,25084.122291408574,118883824.23192577,"种类：layers,FAO总量：381175000.0,国家总量：170230374.0; 种类：cattle_beef_slaughtered,FAO总量：32817400.0,国家总量：609900.0; "
