year,OBJECTID,State,County,AREA HARVESTED_BARLEY,AREA HARVESTED_BEANS,AREA HARVESTED_CORN,AREA HARVESTED_COTTON,AREA HARVESTED_FLAXSEED,AREA HARVESTED_HAY,AREA HARVESTED_OATS,AREA HARVESTED_PEANUTS,AREA HARVESTED_RICE,AREA HARVESTED_RYE,AREA HARVESTED_SORGHUM,AREA HARVESTED_SOYBEANS,AREA HARVESTED_SUGARBEETS,AREA HARVESTED_TOBACCO,AREA HARVESTED_WHEAT,"AREA PLANTED, NET_WHEAT",AREA PLANTED_BARLEY,AREA PLANTED_BEANS,AREA PLANTED_CORN,AREA PLANTED_COTTON,AREA PLANTED_FLAXSEED,AREA PLANTED_OATS,AREA PLANTED_RICE,AREA PLANTED_RYE,AREA PLANTED_SORGHUM,AREA PLANTED_SOYBEANS,AREA PLANTED_SUGARBEETS,AREA PLANTED_WHEAT,PRODUCTION_BARLEY,PRODUCTION_BEANS,PRODUCTION_CORN,PRODUCTION_COTTON,PRODUCTION_FLAXSEED,PRODUCTION_HAY,PRODUCTION_OATS,PRODUCTION_PEANUTS,PRODUCTION_RICE,PRODUCTION_RYE,PRODUCTION_SORGHUM,PRODUCTION_SOYBEANS,PRODUCTION_SUGARBEETS,PRODUCTION_TOBACCO,PRODUCTION_WHEAT,SUCROSE_SUGARBEETS,YIELD_BARLEY,YIELD_BEANS,YIELD_CORN,YIELD_COTTON,YIELD_FLAXSEED,YIELD_HAY,YIELD_OATS,YIELD_PEANUTS,YIELD_RICE,YIELD_RYE,YIELD_SORGHUM,YIELD_SOYBEANS,YIELD_SUGARBEETS,YIELD_TOBACCO,YIELD_WHEAT,标记
1963,-23,WISCONSIN,OTHER (COMBINED) COUNTIES,,,,,,,,,,,,,,0.013608,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.67070876255456,,,,,,,,,,,,,,,,1.1036088,,"种类：PRODUCTION_BEANS,FAO总量：910557.0,国家总量：537231.9959999999; 种类：PRODUCTION_CORN,FAO总量：2128688.0,国家总量：101650342.8; 种类：PRODUCTION_OATS,FAO总量：14015000.0,国家总量：10702169.280000001; 种类：PRODUCTION_RICE,FAO总量：3187000.0,国家总量：2315495.3038; 种类：PRODUCTION_RYE,FAO总量：741000.0,国家总量：302031.4; 种类：PRODUCTION_COTTON,FAO总量：8946873.0,国家总量：2016069.8466999999; 种类：PRODUCTION_SORGHUM,FAO总量：14870000.0,国家总量：8090052.399999999; 种类：PRODUCTION_SOYBEANS,FAO总量：19028000.0,国家总量：815512.448706612; 种类：PRODUCTION_SUGARBEETS,FAO总量：21233008.0,国家总量：7697750.0; 种类：PRODUCTION_TOBACCO,FAO总量：1063100.0,国家总量：658411.3771200001; 种类：PRODUCTION_WHEAT,FAO总量：31211888.0,国家总量：56008078.871999994; "
1963,-22,OKLAHOMA,OTHER (COMBINED) COUNTIES,,,,,,,,,,,,5.55602391,,,,,,,,,,,,,,7.901900672,,,,,,,,,,,,,,2033.8496318144753,,,,,,,,,,,,,,,,0.11778770689200001,,,,"种类：PRODUCTION_BEANS,FAO总量：910557.0,国家总量：537231.9959999999; 种类：PRODUCTION_CORN,FAO总量：2128688.0,国家总量：101650342.8; 种类：PRODUCTION_OATS,FAO总量：14015000.0,国家总量：10702169.280000001; 种类：PRODUCTION_RICE,FAO总量：3187000.0,国家总量：2315495.3038; 种类：PRODUCTION_RYE,FAO总量：741000.0,国家总量：302031.4; 种类：PRODUCTION_COTTON,FAO总量：8946873.0,国家总量：2016069.8466999999; 种类：PRODUCTION_SORGHUM,FAO总量：14870000.0,国家总量：8090052.399999999; 种类：PRODUCTION_SOYBEANS,FAO总量：19028000.0,国家总量：815512.448706612; 种类：PRODUCTION_SUGARBEETS,FAO总量：21233008.0,国家总量：7697750.0; 种类：PRODUCTION_TOBACCO,FAO总量：1063100.0,国家总量：658411.3771200001; 种类：PRODUCTION_WHEAT,FAO总量：31211888.0,国家总量：56008078.871999994; "
1963,-20,ALASKA,OTHER (COMBINED) COUNTIES,,,,,,14560.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,18460.0,,,,,,,,,,,,,,,,7.16,,,,,,,,,,"种类：PRODUCTION_BEANS,FAO总量：910557.0,国家总量：537231.9959999999; 种类：PRODUCTION_CORN,FAO总量：2128688.0,国家总量：101650342.8; 种类：PRODUCTION_OATS,FAO总量：14015000.0,国家总量：10702169.280000001; 种类：PRODUCTION_RICE,FAO总量：3187000.0,国家总量：2315495.3038; 种类：PRODUCTION_RYE,FAO总量：741000.0,国家总量：302031.4; 种类：PRODUCTION_COTTON,FAO总量：8946873.0,国家总量：2016069.8466999999; 种类：PRODUCTION_SORGHUM,FAO总量：14870000.0,国家总量：8090052.399999999; 种类：PRODUCTION_SOYBEANS,FAO总量：19028000.0,国家总量：815512.448706612; 种类：PRODUCTION_SUGARBEETS,FAO总量：21233008.0,国家总量：7697750.0; 种类：PRODUCTION_TOBACCO,FAO总量：1063100.0,国家总量：658411.3771200001; 种类：PRODUCTION_WHEAT,FAO总量：31211888.0,国家总量：56008078.871999994; "
1963,-19,KENTUCKY,OTHER (COMBINED) COUNTIES,,,,,,,,,,,2.032,,,,,,,,,,,,,,10.16,,,,,,,,,,,,,,141.92762459733882,,,,,,,,,,,,,,,,2.8447999999999998,,,,,"种类：PRODUCTION_BEANS,FAO总量：910557.0,国家总量：537231.9959999999; 种类：PRODUCTION_CORN,FAO总量：2128688.0,国家总量：101650342.8; 种类：PRODUCTION_OATS,FAO总量：14015000.0,国家总量：10702169.280000001; 种类：PRODUCTION_RICE,FAO总量：3187000.0,国家总量：2315495.3038; 种类：PRODUCTION_RYE,FAO总量：741000.0,国家总量：302031.4; 种类：PRODUCTION_COTTON,FAO总量：8946873.0,国家总量：2016069.8466999999; 种类：PRODUCTION_SORGHUM,FAO总量：14870000.0,国家总量：8090052.399999999; 种类：PRODUCTION_SOYBEANS,FAO总量：19028000.0,国家总量：815512.448706612; 种类：PRODUCTION_SUGARBEETS,FAO总量：21233008.0,国家总量：7697750.0; 种类：PRODUCTION_TOBACCO,FAO总量：1063100.0,国家总量：658411.3771200001; 种类：PRODUCTION_WHEAT,FAO总量：31211888.0,国家总量：56008078.871999994; "
1963,-18,IOWA,OTHER (COMBINED) COUNTIES,,,,,,,,,,,18.541999999999998,,,,,,,,,,,,,,44.449999999999996,,,,,,,,,,,,,,2132.649306449486,,,,,,,,,,,,,,,,12.7762,,,,,"种类：PRODUCTION_BEANS,FAO总量：910557.0,国家总量：537231.9959999999; 种类：PRODUCTION_CORN,FAO总量：2128688.0,国家总量：101650342.8; 种类：PRODUCTION_OATS,FAO总量：14015000.0,国家总量：10702169.280000001; 种类：PRODUCTION_RICE,FAO总量：3187000.0,国家总量：2315495.3038; 种类：PRODUCTION_RYE,FAO总量：741000.0,国家总量：302031.4; 种类：PRODUCTION_COTTON,FAO总量：8946873.0,国家总量：2016069.8466999999; 种类：PRODUCTION_SORGHUM,FAO总量：14870000.0,国家总量：8090052.399999999; 种类：PRODUCTION_SOYBEANS,FAO总量：19028000.0,国家总量：815512.448706612; 种类：PRODUCTION_SUGARBEETS,FAO总量：21233008.0,国家总量：7697750.0; 种类：PRODUCTION_TOBACCO,FAO总量：1063100.0,国家总量：658411.3771200001; 种类：PRODUCTION_WHEAT,FAO总量：31211888.0,国家总量：56008078.871999994; "
1963,-17,LOUISIANA,OTHER (COMBINED) COUNTIES,,,22.86,18.5045,,,,,45.358999999999995,,,2.5310775590000003,,,131.2004,,,,35.559999999999995,20.6815,,,46.71977,,,,,1186.7920000000001,,,15.691298961364643,72.45784125317428,,,,,2278.7385255503623,,,1181.1308060112392,,,1932.5329723704367,,,,1.6814799999999996,193.9707,,,,,495.77387,,,0.147913703204,,,9.380012,"种类：PRODUCTION_BEANS,FAO总量：910557.0,国家总量：537231.9959999999; 种类：PRODUCTION_CORN,FAO总量：2128688.0,国家总量：101650342.8; 种类：PRODUCTION_OATS,FAO总量：14015000.0,国家总量：10702169.280000001; 种类：PRODUCTION_RICE,FAO总量：3187000.0,国家总量：2315495.3038; 种类：PRODUCTION_RYE,FAO总量：741000.0,国家总量：302031.4; 种类：PRODUCTION_COTTON,FAO总量：8946873.0,国家总量：2016069.8466999999; 种类：PRODUCTION_SORGHUM,FAO总量：14870000.0,国家总量：8090052.399999999; 种类：PRODUCTION_SOYBEANS,FAO总量：19028000.0,国家总量：815512.448706612; 种类：PRODUCTION_SUGARBEETS,FAO总量：21233008.0,国家总量：7697750.0; 种类：PRODUCTION_TOBACCO,FAO总量：1063100.0,国家总量：658411.3771200001; 种类：PRODUCTION_WHEAT,FAO总量：31211888.0,国家总量：56008078.871999994; "
1963,-15,MINNESOTA,OTHER (COMBINED) COUNTIES,,,,,,,,,,353.06,,,400.0,,,,,,,,,,,,,,,,,,,,,,,,,16887.646118913464,,,11860.85991361112,,,,,,,,,,,,,4.18592,,,21.5,,,"种类：PRODUCTION_BEANS,FAO总量：910557.0,国家总量：537231.9959999999; 种类：PRODUCTION_CORN,FAO总量：2128688.0,国家总量：101650342.8; 种类：PRODUCTION_OATS,FAO总量：14015000.0,国家总量：10702169.280000001; 种类：PRODUCTION_RICE,FAO总量：3187000.0,国家总量：2315495.3038; 种类：PRODUCTION_RYE,FAO总量：741000.0,国家总量：302031.4; 种类：PRODUCTION_COTTON,FAO总量：8946873.0,国家总量：2016069.8466999999; 种类：PRODUCTION_SORGHUM,FAO总量：14870000.0,国家总量：8090052.399999999; 种类：PRODUCTION_SOYBEANS,FAO总量：19028000.0,国家总量：815512.448706612; 种类：PRODUCTION_SUGARBEETS,FAO总量：21233008.0,国家总量：7697750.0; 种类：PRODUCTION_TOBACCO,FAO总量：1063100.0,国家总量：658411.3771200001; 种类：PRODUCTION_WHEAT,FAO总量：31211888.0,国家总量：56008078.871999994; "
1963,-13,WEST VIRGINIA,OTHER (COMBINED) COUNTIES,37.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,1486.5544758111614,,,,,,,,,,,,,,,,1.5239,,,,,,,,,,,,,,,"种类：PRODUCTION_BEANS,FAO总量：910557.0,国家总量：537231.9959999999; 种类：PRODUCTION_CORN,FAO总量：2128688.0,国家总量：101650342.8; 种类：PRODUCTION_OATS,FAO总量：14015000.0,国家总量：10702169.280000001; 种类：PRODUCTION_RICE,FAO总量：3187000.0,国家总量：2315495.3038; 种类：PRODUCTION_RYE,FAO总量：741000.0,国家总量：302031.4; 种类：PRODUCTION_COTTON,FAO总量：8946873.0,国家总量：2016069.8466999999; 种类：PRODUCTION_SORGHUM,FAO总量：14870000.0,国家总量：8090052.399999999; 种类：PRODUCTION_SOYBEANS,FAO总量：19028000.0,国家总量：815512.448706612; 种类：PRODUCTION_SUGARBEETS,FAO总量：21233008.0,国家总量：7697750.0; 种类：PRODUCTION_TOBACCO,FAO总量：1063100.0,国家总量：658411.3771200001; 种类：PRODUCTION_WHEAT,FAO总量：31211888.0,国家总量：56008078.871999994; "
1963,-12,SOUTH DAKOTA,OTHER (COMBINED) COUNTIES,,,,,,,,,,,,3.4076946648,,,,,,,,,,,,,,3.950950336,,,,,,,,,,,,,,1276.1974318609243,,,,,,,,,,,,,,,,0.11544183012999999,,,,"种类：PRODUCTION_BEANS,FAO总量：910557.0,国家总量：537231.9959999999; 种类：PRODUCTION_CORN,FAO总量：2128688.0,国家总量：101650342.8; 种类：PRODUCTION_OATS,FAO总量：14015000.0,国家总量：10702169.280000001; 种类：PRODUCTION_RICE,FAO总量：3187000.0,国家总量：2315495.3038; 种类：PRODUCTION_RYE,FAO总量：741000.0,国家总量：302031.4; 种类：PRODUCTION_COTTON,FAO总量：8946873.0,国家总量：2016069.8466999999; 种类：PRODUCTION_SORGHUM,FAO总量：14870000.0,国家总量：8090052.399999999; 种类：PRODUCTION_SOYBEANS,FAO总量：19028000.0,国家总量：815512.448706612; 种类：PRODUCTION_SUGARBEETS,FAO总量：21233008.0,国家总量：7697750.0; 种类：PRODUCTION_TOBACCO,FAO总量：1063100.0,国家总量：658411.3771200001; 种类：PRODUCTION_WHEAT,FAO总量：31211888.0,国家总量：56008078.871999994; "
1963,-11,TENNESSEE,OTHER (COMBINED) COUNTIES,,,,28.301000000000002,,,,,,,,18.026210908,,,,,,,,33.0904,,,,,,,,,,,,130.4241142557137,,,,,,,,7806.986547049899,,,,,,,,434.9646,,,,,,,,0.089390251352,,,,"种类：PRODUCTION_BEANS,FAO总量：910557.0,国家总量：537231.9959999999; 种类：PRODUCTION_CORN,FAO总量：2128688.0,国家总量：101650342.8; 种类：PRODUCTION_OATS,FAO总量：14015000.0,国家总量：10702169.280000001; 种类：PRODUCTION_RICE,FAO总量：3187000.0,国家总量：2315495.3038; 种类：PRODUCTION_RYE,FAO总量：741000.0,国家总量：302031.4; 种类：PRODUCTION_COTTON,FAO总量：8946873.0,国家总量：2016069.8466999999; 种类：PRODUCTION_SORGHUM,FAO总量：14870000.0,国家总量：8090052.399999999; 种类：PRODUCTION_SOYBEANS,FAO总量：19028000.0,国家总量：815512.448706612; 种类：PRODUCTION_SUGARBEETS,FAO总量：21233008.0,国家总量：7697750.0; 种类：PRODUCTION_TOBACCO,FAO总量：1063100.0,国家总量：658411.3771200001; 种类：PRODUCTION_WHEAT,FAO总量：31211888.0,国家总量：56008078.871999994; "
1963,-10,MICHIGAN,OTHER (COMBINED) COUNTIES,,90.71799999999999,330.2,,,,,,,,,0.493868792,,,,,,,955.04,,,,,,,,,,,1683.6540273556234,317.0174298635026,,,,,,,,,201.6564790750896,,,,,,149.6847,3.6118799999999998,,,,,,,,,0.061733599,,,,"种类：PRODUCTION_BEANS,FAO总量：910557.0,国家总量：537231.9959999999; 种类：PRODUCTION_CORN,FAO总量：2128688.0,国家总量：101650342.8; 种类：PRODUCTION_OATS,FAO总量：14015000.0,国家总量：10702169.280000001; 种类：PRODUCTION_RICE,FAO总量：3187000.0,国家总量：2315495.3038; 种类：PRODUCTION_RYE,FAO总量：741000.0,国家总量：302031.4; 种类：PRODUCTION_COTTON,FAO总量：8946873.0,国家总量：2016069.8466999999; 种类：PRODUCTION_SORGHUM,FAO总量：14870000.0,国家总量：8090052.399999999; 种类：PRODUCTION_SOYBEANS,FAO总量：19028000.0,国家总量：815512.448706612; 种类：PRODUCTION_SUGARBEETS,FAO总量：21233008.0,国家总量：7697750.0; 种类：PRODUCTION_TOBACCO,FAO总量：1063100.0,国家总量：658411.3771200001; 种类：PRODUCTION_WHEAT,FAO总量：31211888.0,国家总量：56008078.871999994; "
