year,OBJECTID,State,County,AREA HARVESTED_BARLEY,AREA HARVESTED_BEANS,AREA HARVESTED_CORN,AREA HARVESTED_COTTON,AREA HARVESTED_FLAXSEED,AREA HARVESTED_HAY,AREA HARVESTED_OATS,AREA HARVESTED_PEANUTS,AREA HARVESTED_RICE,AREA HARVESTED_RYE,AREA HARVESTED_SORGHUM,AREA HARVESTED_SOYBEANS,AREA HARVESTED_SUGARBEETS,AREA HARVESTED_TOBACCO,AREA HARVESTED_WHEAT,"AREA PLANTED, NET_WHEAT",AREA PLANTED_BARLEY,AREA PLANTED_BEANS,AREA PLANTED_CORN,AREA PLANTED_COTTON,AREA PLANTED_FLAXSEED,AREA PLANTED_OATS,AREA PLANTED_PEANUTS,AREA PLANTED_RICE,AREA PLANTED_RYE,AREA PLANTED_SORGHUM,AREA PLANTED_SOYBEANS,AREA PLANTED_SUGARBEETS,AREA PLANTED_WHEAT,PRODUCTION_BARLEY,PRODUCTION_BEANS,PRODUCTION_CORN,PRODUCTION_COTTON,PRODUCTION_FLAXSEED,PRODUCTION_HAY,PRODUCTION_OATS,PRODUCTION_PEANUTS,PRODUCTION_RICE,PRODUCTION_RYE,PRODUCTION_SORGHUM,PRODUCTION_SOYBEANS,PRODUCTION_SUGARBEETS,PRODUCTION_TOBACCO,PRODUCTION_WHEAT,SUCROSE_SUGARBEETS,YIELD_BARLEY,YIELD_BEANS,YIELD_CORN,YIELD_COTTON,YIELD_FLAXSEED,YIELD_HAY,YIELD_OATS,YIELD_PEANUTS,YIELD_RICE,YIELD_RYE,YIELD_SORGHUM,YIELD_SOYBEANS,YIELD_SUGARBEETS,YIELD_TOBACCO,YIELD_WHEAT,标记
1966,-26,ARIZONA,OTHER (COMBINED) COUNTIES,4.354,,,,,124200.0,,,,,,,,,,,61.826800000000006,,,,,,,,,,,,,268.6482465802446,,,,,688200.0,,,,,,,,,,,1.251775,,,,,14.2,,,,,,,,,,"种类：PRODUCTION_BEANS,FAO总量：905366.0,国家总量：527162.298; 种类：PRODUCTION_CORN,FAO总量：2331725.0,国家总量：105174364.19999999; 种类：PRODUCTION_PEANUTS,FAO总量：1095756.0,国家总量：808748.8416; 种类：PRODUCTION_OATS,FAO总量：11660712.0,国家总量：8613351.120000001; 种类：PRODUCTION_RICE,FAO总量：3856422.0,国家总量：2910850.3224; 种类：PRODUCTION_RYE,FAO总量：705919.0,国家总量：277545.8; 种类：PRODUCTION_COTTON,FAO总量：5672745.0,国家总量：1290135.917; 种类：PRODUCTION_SORGHUM,FAO总量：18161520.0,国家总量：9561652.2; 种类：PRODUCTION_SOYBEANS,FAO总量：25270000.0,国家总量：1078913.417969476; 种类：PRODUCTION_SUGARBEETS,FAO总量：18577008.0,国家总量：7672700.0; 种类：PRODUCTION_TOBACCO,FAO总量：855017.0,国家总量：534995.70768; 种类：PRODUCTION_WHEAT,FAO总量：35513856.0,国家总量：62806203.1; "
1966,-25,ALABAMA,OTHER (COMBINED) COUNTIES,,,,,,,,1.446984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300.7430211401738,,,,,,,,,,,,,,,,2.2085784,,,,,,,,"种类：PRODUCTION_BEANS,FAO总量：905366.0,国家总量：527162.298; 种类：PRODUCTION_CORN,FAO总量：2331725.0,国家总量：105174364.19999999; 种类：PRODUCTION_PEANUTS,FAO总量：1095756.0,国家总量：808748.8416; 种类：PRODUCTION_OATS,FAO总量：11660712.0,国家总量：8613351.120000001; 种类：PRODUCTION_RICE,FAO总量：3856422.0,国家总量：2910850.3224; 种类：PRODUCTION_RYE,FAO总量：705919.0,国家总量：277545.8; 种类：PRODUCTION_COTTON,FAO总量：5672745.0,国家总量：1290135.917; 种类：PRODUCTION_SORGHUM,FAO总量：18161520.0,国家总量：9561652.2; 种类：PRODUCTION_SOYBEANS,FAO总量：25270000.0,国家总量：1078913.417969476; 种类：PRODUCTION_SUGARBEETS,FAO总量：18577008.0,国家总量：7672700.0; 种类：PRODUCTION_TOBACCO,FAO总量：855017.0,国家总量：534995.70768; 种类：PRODUCTION_WHEAT,FAO总量：35513856.0,国家总量：62806203.1; "
1966,-24,NORTH DAKOTA,OTHER (COMBINED) COUNTIES,,,,,,,,,,,,,,,125.212,,,,,,,,,,,,,,130.656,,,,,,,,,,,,,,,1609.9600354518484,,,,,,,,,,,,,,,,4.322536,"种类：PRODUCTION_BEANS,FAO总量：905366.0,国家总量：527162.298; 种类：PRODUCTION_CORN,FAO总量：2331725.0,国家总量：105174364.19999999; 种类：PRODUCTION_PEANUTS,FAO总量：1095756.0,国家总量：808748.8416; 种类：PRODUCTION_OATS,FAO总量：11660712.0,国家总量：8613351.120000001; 种类：PRODUCTION_RICE,FAO总量：3856422.0,国家总量：2910850.3224; 种类：PRODUCTION_RYE,FAO总量：705919.0,国家总量：277545.8; 种类：PRODUCTION_COTTON,FAO总量：5672745.0,国家总量：1290135.917; 种类：PRODUCTION_SORGHUM,FAO总量：18161520.0,国家总量：9561652.2; 种类：PRODUCTION_SOYBEANS,FAO总量：25270000.0,国家总量：1078913.417969476; 种类：PRODUCTION_SUGARBEETS,FAO总量：18577008.0,国家总量：7672700.0; 种类：PRODUCTION_TOBACCO,FAO总量：855017.0,国家总量：534995.70768; 种类：PRODUCTION_WHEAT,FAO总量：35513856.0,国家总量：62806203.1; "
1966,-22,OKLAHOMA,OTHER (COMBINED) COUNTIES,,,12.7,,,,,,,,,5.185622316,,,,,,,55.879999999999995,,,,,,,,5.679491108,,,,,4.842834210354086,,,,,,,,,2327.9096481737865,,,,,,,0.8509,,,,,,,,,0.159643087014,,,,"种类：PRODUCTION_BEANS,FAO总量：905366.0,国家总量：527162.298; 种类：PRODUCTION_CORN,FAO总量：2331725.0,国家总量：105174364.19999999; 种类：PRODUCTION_PEANUTS,FAO总量：1095756.0,国家总量：808748.8416; 种类：PRODUCTION_OATS,FAO总量：11660712.0,国家总量：8613351.120000001; 种类：PRODUCTION_RICE,FAO总量：3856422.0,国家总量：2910850.3224; 种类：PRODUCTION_RYE,FAO总量：705919.0,国家总量：277545.8; 种类：PRODUCTION_COTTON,FAO总量：5672745.0,国家总量：1290135.917; 种类：PRODUCTION_SORGHUM,FAO总量：18161520.0,国家总量：9561652.2; 种类：PRODUCTION_SOYBEANS,FAO总量：25270000.0,国家总量：1078913.417969476; 种类：PRODUCTION_SUGARBEETS,FAO总量：18577008.0,国家总量：7672700.0; 种类：PRODUCTION_TOBACCO,FAO总量：855017.0,国家总量：534995.70768; 种类：PRODUCTION_WHEAT,FAO总量：35513856.0,国家总量：62806203.1; "
1966,-21,FLORIDA,OTHER (COMBINED) COUNTIES,,,113.03,,,,,,,,,,,,,,,,171.45,,,,,,,,,,,,,118.48050207656973,,,,,,,,,,,,,,,,3.2918399999999997,,,,,,,,,,,,,"种类：PRODUCTION_BEANS,FAO总量：905366.0,国家总量：527162.298; 种类：PRODUCTION_CORN,FAO总量：2331725.0,国家总量：105174364.19999999; 种类：PRODUCTION_PEANUTS,FAO总量：1095756.0,国家总量：808748.8416; 种类：PRODUCTION_OATS,FAO总量：11660712.0,国家总量：8613351.120000001; 种类：PRODUCTION_RICE,FAO总量：3856422.0,国家总量：2910850.3224; 种类：PRODUCTION_RYE,FAO总量：705919.0,国家总量：277545.8; 种类：PRODUCTION_COTTON,FAO总量：5672745.0,国家总量：1290135.917; 种类：PRODUCTION_SORGHUM,FAO总量：18161520.0,国家总量：9561652.2; 种类：PRODUCTION_SOYBEANS,FAO总量：25270000.0,国家总量：1078913.417969476; 种类：PRODUCTION_SUGARBEETS,FAO总量：18577008.0,国家总量：7672700.0; 种类：PRODUCTION_TOBACCO,FAO总量：855017.0,国家总量：534995.70768; 种类：PRODUCTION_WHEAT,FAO总量：35513856.0,国家总量：62806203.1; "
1966,-20,ALASKA,OTHER (COMBINED) COUNTIES,,,,,,16140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22340.0,,,,,,,,,,,,,,,,7.56,,,,,,,,,,"种类：PRODUCTION_BEANS,FAO总量：905366.0,国家总量：527162.298; 种类：PRODUCTION_CORN,FAO总量：2331725.0,国家总量：105174364.19999999; 种类：PRODUCTION_PEANUTS,FAO总量：1095756.0,国家总量：808748.8416; 种类：PRODUCTION_OATS,FAO总量：11660712.0,国家总量：8613351.120000001; 种类：PRODUCTION_RICE,FAO总量：3856422.0,国家总量：2910850.3224; 种类：PRODUCTION_RYE,FAO总量：705919.0,国家总量：277545.8; 种类：PRODUCTION_COTTON,FAO总量：5672745.0,国家总量：1290135.917; 种类：PRODUCTION_SORGHUM,FAO总量：18161520.0,国家总量：9561652.2; 种类：PRODUCTION_SOYBEANS,FAO总量：25270000.0,国家总量：1078913.417969476; 种类：PRODUCTION_SUGARBEETS,FAO总量：18577008.0,国家总量：7672700.0; 种类：PRODUCTION_TOBACCO,FAO总量：855017.0,国家总量：534995.70768; 种类：PRODUCTION_WHEAT,FAO总量：35513856.0,国家总量：62806203.1; "
1966,-19,KENTUCKY,OTHER (COMBINED) COUNTIES,,,,,,,,,,,25.4,,,,,,,,,,,,,,,44.449999999999996,,,,,,,,,,,,,,1934.6274256660372,,,,,,,,,,,,,,,,5.7404,,,,,"种类：PRODUCTION_BEANS,FAO总量：905366.0,国家总量：527162.298; 种类：PRODUCTION_CORN,FAO总量：2331725.0,国家总量：105174364.19999999; 种类：PRODUCTION_PEANUTS,FAO总量：1095756.0,国家总量：808748.8416; 种类：PRODUCTION_OATS,FAO总量：11660712.0,国家总量：8613351.120000001; 种类：PRODUCTION_RICE,FAO总量：3856422.0,国家总量：2910850.3224; 种类：PRODUCTION_RYE,FAO总量：705919.0,国家总量：277545.8; 种类：PRODUCTION_COTTON,FAO总量：5672745.0,国家总量：1290135.917; 种类：PRODUCTION_SORGHUM,FAO总量：18161520.0,国家总量：9561652.2; 种类：PRODUCTION_SOYBEANS,FAO总量：25270000.0,国家总量：1078913.417969476; 种类：PRODUCTION_SUGARBEETS,FAO总量：18577008.0,国家总量：7672700.0; 种类：PRODUCTION_TOBACCO,FAO总量：855017.0,国家总量：534995.70768; 种类：PRODUCTION_WHEAT,FAO总量：35513856.0,国家总量：62806203.1; "
1966,-18,IOWA,OTHER (COMBINED) COUNTIES,,,,,,,,,,,12.953999999999999,,,,,,,,,,,,,,,40.385999999999996,,,,,,,,,,,,,,1620.0695499717092,,,,,,,,,,,,,,,,11.904979999999998,,,,,"种类：PRODUCTION_BEANS,FAO总量：905366.0,国家总量：527162.298; 种类：PRODUCTION_CORN,FAO总量：2331725.0,国家总量：105174364.19999999; 种类：PRODUCTION_PEANUTS,FAO总量：1095756.0,国家总量：808748.8416; 种类：PRODUCTION_OATS,FAO总量：11660712.0,国家总量：8613351.120000001; 种类：PRODUCTION_RICE,FAO总量：3856422.0,国家总量：2910850.3224; 种类：PRODUCTION_RYE,FAO总量：705919.0,国家总量：277545.8; 种类：PRODUCTION_COTTON,FAO总量：5672745.0,国家总量：1290135.917; 种类：PRODUCTION_SORGHUM,FAO总量：18161520.0,国家总量：9561652.2; 种类：PRODUCTION_SOYBEANS,FAO总量：25270000.0,国家总量：1078913.417969476; 种类：PRODUCTION_SUGARBEETS,FAO总量：18577008.0,国家总量：7672700.0; 种类：PRODUCTION_TOBACCO,FAO总量：855017.0,国家总量：534995.70768; 种类：PRODUCTION_WHEAT,FAO总量：35513856.0,国家总量：62806203.1; "
1966,-17,LOUISIANA,OTHER (COMBINED) COUNTIES,,,99.06,6.531000000000001,,,,,195.49729,,80.00999999999999,3.4570815440000002,,,117.046,,,,114.3,9.7965,,,,196.40446999999998,,381.0,,,729.496,,,77.03485116005103,14.358447473174257,,,,,9164.272457833129,,5080.2061826093195,1665.684419065964,,,1859.3037503115038,,,,4.24942,52.248000000000005,,,,,621.4182999999999,,5.643879999999999,0.126430410752,,,6.794112,"种类：PRODUCTION_BEANS,FAO总量：905366.0,国家总量：527162.298; 种类：PRODUCTION_CORN,FAO总量：2331725.0,国家总量：105174364.19999999; 种类：PRODUCTION_PEANUTS,FAO总量：1095756.0,国家总量：808748.8416; 种类：PRODUCTION_OATS,FAO总量：11660712.0,国家总量：8613351.120000001; 种类：PRODUCTION_RICE,FAO总量：3856422.0,国家总量：2910850.3224; 种类：PRODUCTION_RYE,FAO总量：705919.0,国家总量：277545.8; 种类：PRODUCTION_COTTON,FAO总量：5672745.0,国家总量：1290135.917; 种类：PRODUCTION_SORGHUM,FAO总量：18161520.0,国家总量：9561652.2; 种类：PRODUCTION_SOYBEANS,FAO总量：25270000.0,国家总量：1078913.417969476; 种类：PRODUCTION_SUGARBEETS,FAO总量：18577008.0,国家总量：7672700.0; 种类：PRODUCTION_TOBACCO,FAO总量：855017.0,国家总量：534995.70768; 种类：PRODUCTION_WHEAT,FAO总量：35513856.0,国家总量：62806203.1; "
1966,-15,MINNESOTA,OTHER (COMBINED) COUNTIES,,,,,,,,,,375.91999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20201.41587810012,,,,,,,,,,,,,,,,5.26542,,,,,,"种类：PRODUCTION_BEANS,FAO总量：905366.0,国家总量：527162.298; 种类：PRODUCTION_CORN,FAO总量：2331725.0,国家总量：105174364.19999999; 种类：PRODUCTION_PEANUTS,FAO总量：1095756.0,国家总量：808748.8416; 种类：PRODUCTION_OATS,FAO总量：11660712.0,国家总量：8613351.120000001; 种类：PRODUCTION_RICE,FAO总量：3856422.0,国家总量：2910850.3224; 种类：PRODUCTION_RYE,FAO总量：705919.0,国家总量：277545.8; 种类：PRODUCTION_COTTON,FAO总量：5672745.0,国家总量：1290135.917; 种类：PRODUCTION_SORGHUM,FAO总量：18161520.0,国家总量：9561652.2; 种类：PRODUCTION_SOYBEANS,FAO总量：25270000.0,国家总量：1078913.417969476; 种类：PRODUCTION_SUGARBEETS,FAO总量：18577008.0,国家总量：7672700.0; 种类：PRODUCTION_TOBACCO,FAO总量：855017.0,国家总量：534995.70768; 种类：PRODUCTION_WHEAT,FAO总量：35513856.0,国家总量：62806203.1; "
1966,-13,WEST VIRGINIA,OTHER (COMBINED) COUNTIES,37.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1523.118754524517,,,,,,,,,,,,,,,,1.65452,,,,,,,,,,,,,,,"种类：PRODUCTION_BEANS,FAO总量：905366.0,国家总量：527162.298; 种类：PRODUCTION_CORN,FAO总量：2331725.0,国家总量：105174364.19999999; 种类：PRODUCTION_PEANUTS,FAO总量：1095756.0,国家总量：808748.8416; 种类：PRODUCTION_OATS,FAO总量：11660712.0,国家总量：8613351.120000001; 种类：PRODUCTION_RICE,FAO总量：3856422.0,国家总量：2910850.3224; 种类：PRODUCTION_RYE,FAO总量：705919.0,国家总量：277545.8; 种类：PRODUCTION_COTTON,FAO总量：5672745.0,国家总量：1290135.917; 种类：PRODUCTION_SORGHUM,FAO总量：18161520.0,国家总量：9561652.2; 种类：PRODUCTION_SOYBEANS,FAO总量：25270000.0,国家总量：1078913.417969476; 种类：PRODUCTION_SUGARBEETS,FAO总量：18577008.0,国家总量：7672700.0; 种类：PRODUCTION_TOBACCO,FAO总量：855017.0,国家总量：534995.70768; 种类：PRODUCTION_WHEAT,FAO总量：35513856.0,国家总量：62806203.1; "
