year,OBJECTID,State,County,AREA HARVESTED_BARLEY,AREA HARVESTED_BEANS,AREA HARVESTED_CORN,AREA HARVESTED_COTTON,AREA HARVESTED_FLAXSEED,AREA HARVESTED_HAY,AREA HARVESTED_OATS,AREA HARVESTED_PEANUTS,AREA HARVESTED_RICE,AREA HARVESTED_RYE,AREA HARVESTED_SORGHUM,AREA HARVESTED_SOYBEANS,AREA HARVESTED_SUGARBEETS,AREA HARVESTED_TOBACCO,AREA HARVESTED_WHEAT,"AREA PLANTED, NET_WHEAT",AREA PLANTED_BARLEY,AREA PLANTED_BEANS,AREA PLANTED_CORN,AREA PLANTED_COTTON,AREA PLANTED_FLAXSEED,AREA PLANTED_OATS,AREA PLANTED_PEANUTS,AREA PLANTED_RICE,AREA PLANTED_RYE,AREA PLANTED_SORGHUM,AREA PLANTED_SOYBEANS,AREA PLANTED_SUGARBEETS,AREA PLANTED_WHEAT,PRODUCTION_BARLEY,PRODUCTION_BEANS,PRODUCTION_CORN,PRODUCTION_COTTON,PRODUCTION_FLAXSEED,PRODUCTION_HAY,PRODUCTION_OATS,PRODUCTION_PEANUTS,PRODUCTION_RICE,PRODUCTION_RYE,PRODUCTION_SORGHUM,PRODUCTION_SOYBEANS,PRODUCTION_SUGARBEETS,PRODUCTION_TOBACCO,PRODUCTION_WHEAT,SUCROSE_SUGARBEETS,YIELD_BARLEY,YIELD_BEANS,YIELD_CORN,YIELD_COTTON,YIELD_FLAXSEED,YIELD_HAY,YIELD_OATS,YIELD_PEANUTS,YIELD_RICE,YIELD_RYE,YIELD_SORGHUM,YIELD_SOYBEANS,YIELD_SUGARBEETS,YIELD_TOBACCO,YIELD_WHEAT,标记
1967,-26,ARIZONA,OTHER (COMBINED) COUNTIES,9.7965,,,35.920500000000004,,111800.0,,,,,,,,,,,50.071000000000005,,,35.920500000000004,,,,,,,,,,731.597459570258,,,179.73599613339513,,572600.0,,,,,,,,,,,1.5239,,,110.80930000000001,,13.51,,,,,,,,,,"种类：PRODUCTION_BEANS,FAO总量：690364.0,国家总量：389543.092; 种类：PRODUCTION_CORN,FAO总量：2503137.0,国家总量：123114549.29999998; 种类：PRODUCTION_PEANUTS,FAO总量：1123658.0,国家总量：865759.1039999999; 种类：PRODUCTION_OATS,FAO总量：11522678.0,国家总量：8859653.88; 种类：PRODUCTION_RICE,FAO总量：4054142.0,国家总量：2886034.4135; 种类：PRODUCTION_RYE,FAO总量：608329.0,国家总量：186461.4; 种类：PRODUCTION_COTTON,FAO总量：4532607.0,国家总量：960747.9798000001; 种类：PRODUCTION_SORGHUM,FAO总量：19186496.0,国家总量：9709073.8; 种类：PRODUCTION_SOYBEANS,FAO总量：26574768.0,国家总量：1118893.948689846; 种类：PRODUCTION_SUGARBEETS,FAO总量：17779008.0,国家总量：7668300.0; 种类：PRODUCTION_TOBACCO,FAO总量：892625.0,国家总量：573806.0411999999; 种类：PRODUCTION_WHEAT,FAO总量：41030784.0,国家总量：73492263.364; "
1967,-25,ALABAMA,OTHER (COMBINED) COUNTIES,,,,,,,,1.319976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1208.3515199304218,,,,,,,,,,,,,,,,2.3070096,,,,,,,,"种类：PRODUCTION_BEANS,FAO总量：690364.0,国家总量：389543.092; 种类：PRODUCTION_CORN,FAO总量：2503137.0,国家总量：123114549.29999998; 种类：PRODUCTION_PEANUTS,FAO总量：1123658.0,国家总量：865759.1039999999; 种类：PRODUCTION_OATS,FAO总量：11522678.0,国家总量：8859653.88; 种类：PRODUCTION_RICE,FAO总量：4054142.0,国家总量：2886034.4135; 种类：PRODUCTION_RYE,FAO总量：608329.0,国家总量：186461.4; 种类：PRODUCTION_COTTON,FAO总量：4532607.0,国家总量：960747.9798000001; 种类：PRODUCTION_SORGHUM,FAO总量：19186496.0,国家总量：9709073.8; 种类：PRODUCTION_SOYBEANS,FAO总量：26574768.0,国家总量：1118893.948689846; 种类：PRODUCTION_SUGARBEETS,FAO总量：17779008.0,国家总量：7668300.0; 种类：PRODUCTION_TOBACCO,FAO总量：892625.0,国家总量：573806.0411999999; 种类：PRODUCTION_WHEAT,FAO总量：41030784.0,国家总量：73492263.364; "
1967,-24,NORTH DAKOTA,OTHER (COMBINED) COUNTIES,,,,,,,,,,,,,,,375.636,,,,,,,,,,,,,,397.41200000000003,,,,,,,,,,,,,,,5981.517853051491,,,,,,,,,,,,,,,,4.627400000000001,"种类：PRODUCTION_BEANS,FAO总量：690364.0,国家总量：389543.092; 种类：PRODUCTION_CORN,FAO总量：2503137.0,国家总量：123114549.29999998; 种类：PRODUCTION_PEANUTS,FAO总量：1123658.0,国家总量：865759.1039999999; 种类：PRODUCTION_OATS,FAO总量：11522678.0,国家总量：8859653.88; 种类：PRODUCTION_RICE,FAO总量：4054142.0,国家总量：2886034.4135; 种类：PRODUCTION_RYE,FAO总量：608329.0,国家总量：186461.4; 种类：PRODUCTION_COTTON,FAO总量：4532607.0,国家总量：960747.9798000001; 种类：PRODUCTION_SORGHUM,FAO总量：19186496.0,国家总量：9709073.8; 种类：PRODUCTION_SOYBEANS,FAO总量：26574768.0,国家总量：1118893.948689846; 种类：PRODUCTION_SUGARBEETS,FAO总量：17779008.0,国家总量：7668300.0; 种类：PRODUCTION_TOBACCO,FAO总量：892625.0,国家总量：573806.0411999999; 种类：PRODUCTION_WHEAT,FAO总量：41030784.0,国家总量：73492263.364; "
1967,-22,OKLAHOMA,OTHER (COMBINED) COUNTIES,,,12.7,,,,,,,,,5.062155118000001,,,,,,,68.58,,,,,,,,5.679491108,,,,,5.783982622758951,,,,,,,,,2542.4431250556563,,,,,,,1.1379199999999998,,,,,,,,,0.123220263604,,,,"种类：PRODUCTION_BEANS,FAO总量：690364.0,国家总量：389543.092; 种类：PRODUCTION_CORN,FAO总量：2503137.0,国家总量：123114549.29999998; 种类：PRODUCTION_PEANUTS,FAO总量：1123658.0,国家总量：865759.1039999999; 种类：PRODUCTION_OATS,FAO总量：11522678.0,国家总量：8859653.88; 种类：PRODUCTION_RICE,FAO总量：4054142.0,国家总量：2886034.4135; 种类：PRODUCTION_RYE,FAO总量：608329.0,国家总量：186461.4; 种类：PRODUCTION_COTTON,FAO总量：4532607.0,国家总量：960747.9798000001; 种类：PRODUCTION_SORGHUM,FAO总量：19186496.0,国家总量：9709073.8; 种类：PRODUCTION_SOYBEANS,FAO总量：26574768.0,国家总量：1118893.948689846; 种类：PRODUCTION_SUGARBEETS,FAO总量：17779008.0,国家总量：7668300.0; 种类：PRODUCTION_TOBACCO,FAO总量：892625.0,国家总量：573806.0411999999; 种类：PRODUCTION_WHEAT,FAO总量：41030784.0,国家总量：73492263.364; "
1967,-21,FLORIDA,OTHER (COMBINED) COUNTIES,,,113.03,,,,,,,,,,,,413.744,,,,184.15,,,,,,,,,,,,,116.50593568700171,,,,,,,,,,,,4957.243708499484,,,,3.52044,,,,,,,,,,,,3.32084,"种类：PRODUCTION_BEANS,FAO总量：690364.0,国家总量：389543.092; 种类：PRODUCTION_CORN,FAO总量：2503137.0,国家总量：123114549.29999998; 种类：PRODUCTION_PEANUTS,FAO总量：1123658.0,国家总量：865759.1039999999; 种类：PRODUCTION_OATS,FAO总量：11522678.0,国家总量：8859653.88; 种类：PRODUCTION_RICE,FAO总量：4054142.0,国家总量：2886034.4135; 种类：PRODUCTION_RYE,FAO总量：608329.0,国家总量：186461.4; 种类：PRODUCTION_COTTON,FAO总量：4532607.0,国家总量：960747.9798000001; 种类：PRODUCTION_SORGHUM,FAO总量：19186496.0,国家总量：9709073.8; 种类：PRODUCTION_SOYBEANS,FAO总量：26574768.0,国家总量：1118893.948689846; 种类：PRODUCTION_SUGARBEETS,FAO总量：17779008.0,国家总量：7668300.0; 种类：PRODUCTION_TOBACCO,FAO总量：892625.0,国家总量：573806.0411999999; 种类：PRODUCTION_WHEAT,FAO总量：41030784.0,国家总量：73492263.364; "
1967,-20,ALASKA,OTHER (COMBINED) COUNTIES,,,,,,17100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26000.0,,,,,,,,,,,,,,,,7.96,,,,,,,,,,"种类：PRODUCTION_BEANS,FAO总量：690364.0,国家总量：389543.092; 种类：PRODUCTION_CORN,FAO总量：2503137.0,国家总量：123114549.29999998; 种类：PRODUCTION_PEANUTS,FAO总量：1123658.0,国家总量：865759.1039999999; 种类：PRODUCTION_OATS,FAO总量：11522678.0,国家总量：8859653.88; 种类：PRODUCTION_RICE,FAO总量：4054142.0,国家总量：2886034.4135; 种类：PRODUCTION_RYE,FAO总量：608329.0,国家总量：186461.4; 种类：PRODUCTION_COTTON,FAO总量：4532607.0,国家总量：960747.9798000001; 种类：PRODUCTION_SORGHUM,FAO总量：19186496.0,国家总量：9709073.8; 种类：PRODUCTION_SOYBEANS,FAO总量：26574768.0,国家总量：1118893.948689846; 种类：PRODUCTION_SUGARBEETS,FAO总量：17779008.0,国家总量：7668300.0; 种类：PRODUCTION_TOBACCO,FAO总量：892625.0,国家总量：573806.0411999999; 种类：PRODUCTION_WHEAT,FAO总量：41030784.0,国家总量：73492263.364; "
1967,-19,KENTUCKY,OTHER (COMBINED) COUNTIES,,,,,,,,,,,30.48,,,,,,,,,,,,,,,57.15,,,,,,,,,,,,,,2650.241830020902,,,,,,,,,,,,,,,,6.2484,,,,,"种类：PRODUCTION_BEANS,FAO总量：690364.0,国家总量：389543.092; 种类：PRODUCTION_CORN,FAO总量：2503137.0,国家总量：123114549.29999998; 种类：PRODUCTION_PEANUTS,FAO总量：1123658.0,国家总量：865759.1039999999; 种类：PRODUCTION_OATS,FAO总量：11522678.0,国家总量：8859653.88; 种类：PRODUCTION_RICE,FAO总量：4054142.0,国家总量：2886034.4135; 种类：PRODUCTION_RYE,FAO总量：608329.0,国家总量：186461.4; 种类：PRODUCTION_COTTON,FAO总量：4532607.0,国家总量：960747.9798000001; 种类：PRODUCTION_SORGHUM,FAO总量：19186496.0,国家总量：9709073.8; 种类：PRODUCTION_SOYBEANS,FAO总量：26574768.0,国家总量：1118893.948689846; 种类：PRODUCTION_SUGARBEETS,FAO总量：17779008.0,国家总量：7668300.0; 种类：PRODUCTION_TOBACCO,FAO总量：892625.0,国家总量：573806.0411999999; 种类：PRODUCTION_WHEAT,FAO总量：41030784.0,国家总量：73492263.364; "
1967,-18,IOWA,OTHER (COMBINED) COUNTIES,,,,,,,,,,,16.256,,,,,,,,,,,,,,,35.814,,,,,,,,,,,,,,1872.2352321927967,,,,,,,,,,,,,,,,10.36066,,,,,"种类：PRODUCTION_BEANS,FAO总量：690364.0,国家总量：389543.092; 种类：PRODUCTION_CORN,FAO总量：2503137.0,国家总量：123114549.29999998; 种类：PRODUCTION_PEANUTS,FAO总量：1123658.0,国家总量：865759.1039999999; 种类：PRODUCTION_OATS,FAO总量：11522678.0,国家总量：8859653.88; 种类：PRODUCTION_RICE,FAO总量：4054142.0,国家总量：2886034.4135; 种类：PRODUCTION_RYE,FAO总量：608329.0,国家总量：186461.4; 种类：PRODUCTION_COTTON,FAO总量：4532607.0,国家总量：960747.9798000001; 种类：PRODUCTION_SORGHUM,FAO总量：19186496.0,国家总量：9709073.8; 种类：PRODUCTION_SOYBEANS,FAO总量：26574768.0,国家总量：1118893.948689846; 种类：PRODUCTION_SUGARBEETS,FAO总量：17779008.0,国家总量：7668300.0; 种类：PRODUCTION_TOBACCO,FAO总量：892625.0,国家总量：573806.0411999999; 种类：PRODUCTION_WHEAT,FAO总量：41030784.0,国家总量：73492263.364; "
1967,-17,LOUISIANA,OTHER (COMBINED) COUNTIES,,,96.52,13.062000000000001,,,,,146.05597999999998,,95.25,2.716278356,,,178.0188,,,,114.3,40.2745,,,,155.12778,,228.6,,,664.168,,,84.69403126182748,41.08251340191889,,,,,8041.189133458542,,7248.009853314742,1167.1192200370833,,,2622.992839015974,,,,5.4102,306.52160000000003,,,,,706.2396299999999,,7.104379999999999,0.09321773449000001,,,8.0299,"种类：PRODUCTION_BEANS,FAO总量：690364.0,国家总量：389543.092; 种类：PRODUCTION_CORN,FAO总量：2503137.0,国家总量：123114549.29999998; 种类：PRODUCTION_PEANUTS,FAO总量：1123658.0,国家总量：865759.1039999999; 种类：PRODUCTION_OATS,FAO总量：11522678.0,国家总量：8859653.88; 种类：PRODUCTION_RICE,FAO总量：4054142.0,国家总量：2886034.4135; 种类：PRODUCTION_RYE,FAO总量：608329.0,国家总量：186461.4; 种类：PRODUCTION_COTTON,FAO总量：4532607.0,国家总量：960747.9798000001; 种类：PRODUCTION_SORGHUM,FAO总量：19186496.0,国家总量：9709073.8; 种类：PRODUCTION_SOYBEANS,FAO总量：26574768.0,国家总量：1118893.948689846; 种类：PRODUCTION_SUGARBEETS,FAO总量：17779008.0,国家总量：7668300.0; 种类：PRODUCTION_TOBACCO,FAO总量：892625.0,国家总量：573806.0411999999; 种类：PRODUCTION_WHEAT,FAO总量：41030784.0,国家总量：73492263.364; "
1967,-15,MINNESOTA,OTHER (COMBINED) COUNTIES,,,,,,,,,,449.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34456.23187576624,,,,,,,,,,,,,,,,4.8133,,,,,,"种类：PRODUCTION_BEANS,FAO总量：690364.0,国家总量：389543.092; 种类：PRODUCTION_CORN,FAO总量：2503137.0,国家总量：123114549.29999998; 种类：PRODUCTION_PEANUTS,FAO总量：1123658.0,国家总量：865759.1039999999; 种类：PRODUCTION_OATS,FAO总量：11522678.0,国家总量：8859653.88; 种类：PRODUCTION_RICE,FAO总量：4054142.0,国家总量：2886034.4135; 种类：PRODUCTION_RYE,FAO总量：608329.0,国家总量：186461.4; 种类：PRODUCTION_COTTON,FAO总量：4532607.0,国家总量：960747.9798000001; 种类：PRODUCTION_SORGHUM,FAO总量：19186496.0,国家总量：9709073.8; 种类：PRODUCTION_SOYBEANS,FAO总量：26574768.0,国家总量：1118893.948689846; 种类：PRODUCTION_SUGARBEETS,FAO总量：17779008.0,国家总量：7668300.0; 种类：PRODUCTION_TOBACCO,FAO总量：892625.0,国家总量：573806.0411999999; 种类：PRODUCTION_WHEAT,FAO总量：41030784.0,国家总量：73492263.364; "
1967,-13,WEST VIRGINIA,OTHER (COMBINED) COUNTIES,38.097500000000004,,1.524,,,,5.3724,,,,,,,,27.220000000000002,,43.104600000000005,,,,,,,,,,,,52.2624,1680.3516253939101,,1.0328540397783839,,,,257.5832726998585,,,,,,,,504.8425383088682,,2.7103650000000004,,0.8509,,,,1.06722,,,,,,,,3.6474800000000003,"种类：PRODUCTION_BEANS,FAO总量：690364.0,国家总量：389543.092; 种类：PRODUCTION_CORN,FAO总量：2503137.0,国家总量：123114549.29999998; 种类：PRODUCTION_PEANUTS,FAO总量：1123658.0,国家总量：865759.1039999999; 种类：PRODUCTION_OATS,FAO总量：11522678.0,国家总量：8859653.88; 种类：PRODUCTION_RICE,FAO总量：4054142.0,国家总量：2886034.4135; 种类：PRODUCTION_RYE,FAO总量：608329.0,国家总量：186461.4; 种类：PRODUCTION_COTTON,FAO总量：4532607.0,国家总量：960747.9798000001; 种类：PRODUCTION_SORGHUM,FAO总量：19186496.0,国家总量：9709073.8; 种类：PRODUCTION_SOYBEANS,FAO总量：26574768.0,国家总量：1118893.948689846; 种类：PRODUCTION_SUGARBEETS,FAO总量：17779008.0,国家总量：7668300.0; 种类：PRODUCTION_TOBACCO,FAO总量：892625.0,国家总量：573806.0411999999; 种类：PRODUCTION_WHEAT,FAO总量：41030784.0,国家总量：73492263.364; "
