year,OBJECTID,State,County,AREA HARVESTED_BARLEY,AREA HARVESTED_BEANS,AREA HARVESTED_CORN,AREA HARVESTED_COTTON,AREA HARVESTED_FLAXSEED,AREA HARVESTED_HAY,AREA HARVESTED_OATS,AREA HARVESTED_PEANUTS,AREA HARVESTED_RICE,AREA HARVESTED_RYE,AREA HARVESTED_SORGHUM,AREA HARVESTED_SOYBEANS,AREA HARVESTED_SUGARBEETS,AREA HARVESTED_SUNFLOWER,AREA HARVESTED_TOBACCO,AREA HARVESTED_WHEAT,"AREA PLANTED, NET_WHEAT",AREA PLANTED_BARLEY,AREA PLANTED_BEANS,AREA PLANTED_CORN,AREA PLANTED_COTTON,AREA PLANTED_FLAXSEED,AREA PLANTED_OATS,AREA PLANTED_PEANUTS,AREA PLANTED_RICE,AREA PLANTED_RYE,AREA PLANTED_SORGHUM,AREA PLANTED_SOYBEANS,AREA PLANTED_SUGARBEETS,AREA PLANTED_WHEAT,PRODUCTION_BARLEY,PRODUCTION_BEANS,PRODUCTION_CORN,PRODUCTION_COTTON,PRODUCTION_FLAXSEED,PRODUCTION_HAY,PRODUCTION_OATS,PRODUCTION_PEANUTS,PRODUCTION_RICE,PRODUCTION_RYE,PRODUCTION_SORGHUM,PRODUCTION_SOYBEANS,PRODUCTION_SUGARBEETS,PRODUCTION_SUNFLOWER,PRODUCTION_TOBACCO,PRODUCTION_WHEAT,YIELD_BARLEY,YIELD_BEANS,YIELD_CORN,YIELD_COTTON,YIELD_FLAXSEED,YIELD_HAY,YIELD_OATS,YIELD_PEANUTS,YIELD_RICE,YIELD_RYE,YIELD_SORGHUM,YIELD_SOYBEANS,YIELD_SUGARBEETS,YIELD_SUNFLOWER,YIELD_TOBACCO,YIELD_WHEAT,标记
1970,-27,OREGON,OTHER (COMBINED) COUNTIES,4.354,,,,,,,,,,,,,,,,,11.973500000000001,,,,,,,,,,,,,104.0385466729876,,,,,,,,,,,,,,,,0.9252250000000001,,,,,,,,,,,,,,,,"种类：PRODUCTION_BEANS,FAO总量：789201.0,国家总量：488593.08670999995; 种类：PRODUCTION_CORN,FAO总量：2307231.0,国家总量：105786332.49599999; 种类：PRODUCTION_OATS,FAO总量：13284977.0,国家总量：10475308.8; 种类：PRODUCTION_RYE,FAO总量：935773.0,国家总量：322554.6; 种类：PRODUCTION_COTTON,FAO总量：5909491.0,国家总量：2140695.0418000002; 种类：PRODUCTION_SOYBEANS,FAO总量：30675152.0,国家总量：1322061.939277202; 种类：PRODUCTION_SUGARBEETS,FAO总量：22969008.0,国家总量：7210290.0; 种类：PRODUCTION_SUNFLOWER,FAO总量：85785.0,国家总量：49950.432; 种类：PRODUCTION_TOBACCO,FAO总量：864752.0,国家总量：562007.99592; 种类：PRODUCTION_WHEAT,FAO总量：36784000.0,国家总量：68181614.144; "
1970,-26,ARIZONA,OTHER (COMBINED) COUNTIES,,,,,,131800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,784800.0,,,,,,,,,,,,,,,,15.32,,,,,,,,,,,"种类：PRODUCTION_BEANS,FAO总量：789201.0,国家总量：488593.08670999995; 种类：PRODUCTION_CORN,FAO总量：2307231.0,国家总量：105786332.49599999; 种类：PRODUCTION_OATS,FAO总量：13284977.0,国家总量：10475308.8; 种类：PRODUCTION_RYE,FAO总量：935773.0,国家总量：322554.6; 种类：PRODUCTION_COTTON,FAO总量：5909491.0,国家总量：2140695.0418000002; 种类：PRODUCTION_SOYBEANS,FAO总量：30675152.0,国家总量：1322061.939277202; 种类：PRODUCTION_SUGARBEETS,FAO总量：22969008.0,国家总量：7210290.0; 种类：PRODUCTION_SUNFLOWER,FAO总量：85785.0,国家总量：49950.432; 种类：PRODUCTION_TOBACCO,FAO总量：864752.0,国家总量：562007.99592; 种类：PRODUCTION_WHEAT,FAO总量：36784000.0,国家总量：68181614.144; "
1970,-25,ALABAMA,OTHER (COMBINED) COUNTIES,,,,,,,,1.256472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1142.7067403404706,,,,,,,,,,,,,,,,2.6807760000000003,,,,,,,,,"种类：PRODUCTION_BEANS,FAO总量：789201.0,国家总量：488593.08670999995; 种类：PRODUCTION_CORN,FAO总量：2307231.0,国家总量：105786332.49599999; 种类：PRODUCTION_OATS,FAO总量：13284977.0,国家总量：10475308.8; 种类：PRODUCTION_RYE,FAO总量：935773.0,国家总量：322554.6; 种类：PRODUCTION_COTTON,FAO总量：5909491.0,国家总量：2140695.0418000002; 种类：PRODUCTION_SOYBEANS,FAO总量：30675152.0,国家总量：1322061.939277202; 种类：PRODUCTION_SUGARBEETS,FAO总量：22969008.0,国家总量：7210290.0; 种类：PRODUCTION_SUNFLOWER,FAO总量：85785.0,国家总量：49950.432; 种类：PRODUCTION_TOBACCO,FAO总量：864752.0,国家总量：562007.99592; 种类：PRODUCTION_WHEAT,FAO总量：36784000.0,国家总量：68181614.144; "
1970,-24,NORTH DAKOTA,OTHER (COMBINED) COUNTIES,,,,,,,,,,,,,,,,299.42,,,,,,,,,,,,,,391.968,,,,,,,,,,,,,,,,3950.318168636404,,,,,,,,,,,,,,,,5.245294,"种类：PRODUCTION_BEANS,FAO总量：789201.0,国家总量：488593.08670999995; 种类：PRODUCTION_CORN,FAO总量：2307231.0,国家总量：105786332.49599999; 种类：PRODUCTION_OATS,FAO总量：13284977.0,国家总量：10475308.8; 种类：PRODUCTION_RYE,FAO总量：935773.0,国家总量：322554.6; 种类：PRODUCTION_COTTON,FAO总量：5909491.0,国家总量：2140695.0418000002; 种类：PRODUCTION_SOYBEANS,FAO总量：30675152.0,国家总量：1322061.939277202; 种类：PRODUCTION_SUGARBEETS,FAO总量：22969008.0,国家总量：7210290.0; 种类：PRODUCTION_SUNFLOWER,FAO总量：85785.0,国家总量：49950.432; 种类：PRODUCTION_TOBACCO,FAO总量：864752.0,国家总量：562007.99592; 种类：PRODUCTION_WHEAT,FAO总量：36784000.0,国家总量：68181614.144; "
1970,-22,OKLAHOMA,OTHER (COMBINED) COUNTIES,,,66.03999999999999,,,,,,,,,2.098942366,,,,,,,,147.32,,,,,,,,3.827483138,,,,,60.9379610947733,,,,,,,,,865.1540717191275,,,,,,,3.4620200000000003,,,,,,,,,0.0926003985,,,,,"种类：PRODUCTION_BEANS,FAO总量：789201.0,国家总量：488593.08670999995; 种类：PRODUCTION_CORN,FAO总量：2307231.0,国家总量：105786332.49599999; 种类：PRODUCTION_OATS,FAO总量：13284977.0,国家总量：10475308.8; 种类：PRODUCTION_RYE,FAO总量：935773.0,国家总量：322554.6; 种类：PRODUCTION_COTTON,FAO总量：5909491.0,国家总量：2140695.0418000002; 种类：PRODUCTION_SOYBEANS,FAO总量：30675152.0,国家总量：1322061.939277202; 种类：PRODUCTION_SUGARBEETS,FAO总量：22969008.0,国家总量：7210290.0; 种类：PRODUCTION_SUNFLOWER,FAO总量：85785.0,国家总量：49950.432; 种类：PRODUCTION_TOBACCO,FAO总量：864752.0,国家总量：562007.99592; 种类：PRODUCTION_WHEAT,FAO总量：36784000.0,国家总量：68181614.144; "
1970,-21,FLORIDA,OTHER (COMBINED) COUNTIES,,,134.62,,,,,,,,,76.796597156,,,,778.4920000000001,,,,198.12,,,,,,,,,,,,,72.57157184923003,,,,,,,,,37121.41212363064,,,,12200.46221004879,,,1.91516,,,,,,,,,0.083463825848,,,,4.79072,"种类：PRODUCTION_BEANS,FAO总量：789201.0,国家总量：488593.08670999995; 种类：PRODUCTION_CORN,FAO总量：2307231.0,国家总量：105786332.49599999; 种类：PRODUCTION_OATS,FAO总量：13284977.0,国家总量：10475308.8; 种类：PRODUCTION_RYE,FAO总量：935773.0,国家总量：322554.6; 种类：PRODUCTION_COTTON,FAO总量：5909491.0,国家总量：2140695.0418000002; 种类：PRODUCTION_SOYBEANS,FAO总量：30675152.0,国家总量：1322061.939277202; 种类：PRODUCTION_SUGARBEETS,FAO总量：22969008.0,国家总量：7210290.0; 种类：PRODUCTION_SUNFLOWER,FAO总量：85785.0,国家总量：49950.432; 种类：PRODUCTION_TOBACCO,FAO总量：864752.0,国家总量：562007.99592; 种类：PRODUCTION_WHEAT,FAO总量：36784000.0,国家总量：68181614.144; "
1970,-20,ALASKA,OTHER (COMBINED) COUNTIES,,,,,,15600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18400.0,,,,,,,,,,,,,,,,6.68,,,,,,,,,,,"种类：PRODUCTION_BEANS,FAO总量：789201.0,国家总量：488593.08670999995; 种类：PRODUCTION_CORN,FAO总量：2307231.0,国家总量：105786332.49599999; 种类：PRODUCTION_OATS,FAO总量：13284977.0,国家总量：10475308.8; 种类：PRODUCTION_RYE,FAO总量：935773.0,国家总量：322554.6; 种类：PRODUCTION_COTTON,FAO总量：5909491.0,国家总量：2140695.0418000002; 种类：PRODUCTION_SOYBEANS,FAO总量：30675152.0,国家总量：1322061.939277202; 种类：PRODUCTION_SUGARBEETS,FAO总量：22969008.0,国家总量：7210290.0; 种类：PRODUCTION_SUNFLOWER,FAO总量：85785.0,国家总量：49950.432; 种类：PRODUCTION_TOBACCO,FAO总量：864752.0,国家总量：562007.99592; 种类：PRODUCTION_WHEAT,FAO总量：36784000.0,国家总量：68181614.144; "
1970,-18,IOWA,OTHER (COMBINED) COUNTIES,,,,,,,,,,,18.796,,,,,,,,,,,,,,,,37.592,,,,,,,,,,,,,,1536.1205703682133,,,,,,,,,,,,,,,,14.04366,,,,,,"种类：PRODUCTION_BEANS,FAO总量：789201.0,国家总量：488593.08670999995; 种类：PRODUCTION_CORN,FAO总量：2307231.0,国家总量：105786332.49599999; 种类：PRODUCTION_OATS,FAO总量：13284977.0,国家总量：10475308.8; 种类：PRODUCTION_RYE,FAO总量：935773.0,国家总量：322554.6; 种类：PRODUCTION_COTTON,FAO总量：5909491.0,国家总量：2140695.0418000002; 种类：PRODUCTION_SOYBEANS,FAO总量：30675152.0,国家总量：1322061.939277202; 种类：PRODUCTION_SUGARBEETS,FAO总量：22969008.0,国家总量：7210290.0; 种类：PRODUCTION_SUNFLOWER,FAO总量：85785.0,国家总量：49950.432; 种类：PRODUCTION_TOBACCO,FAO总量：864752.0,国家总量：562007.99592; 种类：PRODUCTION_WHEAT,FAO总量：36784000.0,国家总量：68181614.144; "
1970,-17,LOUISIANA,OTHER (COMBINED) COUNTIES,,,106.67999999999999,178.514,,,,,143.56123499999998,,58.419999999999995,3.333614346,,,,201.428,,,,142.23999999999998,252.532,,,,144.69521,,115.57,,,941.812,,,92.51490457115582,459.74301181076333,,,,,5810.715400608815,,2190.5944753490367,1710.254903365295,,,,2810.746830769546,,,5.62356,450.42130000000003,,,,,554.28698,,6.286499999999999,0.080130211502,,,,11.808036000000001,"种类：PRODUCTION_BEANS,FAO总量：789201.0,国家总量：488593.08670999995; 种类：PRODUCTION_CORN,FAO总量：2307231.0,国家总量：105786332.49599999; 种类：PRODUCTION_OATS,FAO总量：13284977.0,国家总量：10475308.8; 种类：PRODUCTION_RYE,FAO总量：935773.0,国家总量：322554.6; 种类：PRODUCTION_COTTON,FAO总量：5909491.0,国家总量：2140695.0418000002; 种类：PRODUCTION_SOYBEANS,FAO总量：30675152.0,国家总量：1322061.939277202; 种类：PRODUCTION_SUGARBEETS,FAO总量：22969008.0,国家总量：7210290.0; 种类：PRODUCTION_SUNFLOWER,FAO总量：85785.0,国家总量：49950.432; 种类：PRODUCTION_TOBACCO,FAO总量：864752.0,国家总量：562007.99592; 种类：PRODUCTION_WHEAT,FAO总量：36784000.0,国家总量：68181614.144; "
1970,-16,PENNSYLVANIA,OTHER (COMBINED) COUNTIES,4.354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.26416789229168,,,,,,,,,,,,,,,,2.04638,,,,,,,,,,,,,,,,"种类：PRODUCTION_BEANS,FAO总量：789201.0,国家总量：488593.08670999995; 种类：PRODUCTION_CORN,FAO总量：2307231.0,国家总量：105786332.49599999; 种类：PRODUCTION_OATS,FAO总量：13284977.0,国家总量：10475308.8; 种类：PRODUCTION_RYE,FAO总量：935773.0,国家总量：322554.6; 种类：PRODUCTION_COTTON,FAO总量：5909491.0,国家总量：2140695.0418000002; 种类：PRODUCTION_SOYBEANS,FAO总量：30675152.0,国家总量：1322061.939277202; 种类：PRODUCTION_SUGARBEETS,FAO总量：22969008.0,国家总量：7210290.0; 种类：PRODUCTION_SUNFLOWER,FAO总量：85785.0,国家总量：49950.432; 种类：PRODUCTION_TOBACCO,FAO总量：864752.0,国家总量：562007.99592; 种类：PRODUCTION_WHEAT,FAO总量：36784000.0,国家总量：68181614.144; "
1970,-15,MINNESOTA,OTHER (COMBINED) COUNTIES,,,,,,,,,,668.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54058.04179856682,,,,,,,,,,,,,,,,5.577839999999999,,,,,,,"种类：PRODUCTION_BEANS,FAO总量：789201.0,国家总量：488593.08670999995; 种类：PRODUCTION_CORN,FAO总量：2307231.0,国家总量：105786332.49599999; 种类：PRODUCTION_OATS,FAO总量：13284977.0,国家总量：10475308.8; 种类：PRODUCTION_RYE,FAO总量：935773.0,国家总量：322554.6; 种类：PRODUCTION_COTTON,FAO总量：5909491.0,国家总量：2140695.0418000002; 种类：PRODUCTION_SOYBEANS,FAO总量：30675152.0,国家总量：1322061.939277202; 种类：PRODUCTION_SUGARBEETS,FAO总量：22969008.0,国家总量：7210290.0; 种类：PRODUCTION_SUNFLOWER,FAO总量：85785.0,国家总量：49950.432; 种类：PRODUCTION_TOBACCO,FAO总量：864752.0,国家总量：562007.99592; 种类：PRODUCTION_WHEAT,FAO总量：36784000.0,国家总量：68181614.144; "
