year,OBJECTID,State,County,AREA HARVESTED_BARLEY,AREA HARVESTED_BEANS,AREA HARVESTED_CORN,AREA HARVESTED_COTTON,AREA HARVESTED_FLAXSEED,AREA HARVESTED_HAY,AREA HARVESTED_OATS,AREA HARVESTED_PEANUTS,AREA HARVESTED_RICE,AREA HARVESTED_RYE,AREA HARVESTED_SORGHUM,AREA HARVESTED_SOYBEANS,AREA HARVESTED_SUGARBEETS,AREA HARVESTED_SUNFLOWER,AREA HARVESTED_TOBACCO,AREA HARVESTED_WHEAT,"AREA PLANTED, NET_WHEAT",AREA PLANTED_BARLEY,AREA PLANTED_BEANS,AREA PLANTED_CORN,AREA PLANTED_COTTON,AREA PLANTED_FLAXSEED,AREA PLANTED_OATS,AREA PLANTED_PEANUTS,AREA PLANTED_RICE,AREA PLANTED_RYE,AREA PLANTED_SORGHUM,AREA PLANTED_SOYBEANS,AREA PLANTED_SUGARBEETS,AREA PLANTED_SUNFLOWER,AREA PLANTED_WHEAT,PRODUCTION_BARLEY,PRODUCTION_BEANS,PRODUCTION_CORN,PRODUCTION_COTTON,PRODUCTION_FLAXSEED,PRODUCTION_HAY,PRODUCTION_OATS,PRODUCTION_PEANUTS,PRODUCTION_RICE,PRODUCTION_RYE,PRODUCTION_SORGHUM,PRODUCTION_SOYBEANS,PRODUCTION_SUGARBEETS,PRODUCTION_SUNFLOWER,PRODUCTION_TOBACCO,PRODUCTION_WHEAT,SUCROSE_SUGARBEETS,YIELD_BARLEY,YIELD_BEANS,YIELD_CORN,YIELD_COTTON,YIELD_FLAXSEED,YIELD_HAY,YIELD_OATS,YIELD_PEANUTS,YIELD_RICE,YIELD_RYE,YIELD_SORGHUM,YIELD_SOYBEANS,YIELD_SUGARBEETS,YIELD_SUNFLOWER,YIELD_TOBACCO,YIELD_WHEAT,标记
1971,-27,OREGON,OTHER (COMBINED) COUNTIES,4.354,,,,,,,,,,,,,,,,,16.3275,,,,,,,,,,,,,,92.76938722156513,,,,,,,,,,,,,,,,,0.4354,,,,,,,,,,,,,,,,"种类：PRODUCTION_BEANS,FAO总量：722977.0,国家总量：478219.937; 种类：PRODUCTION_CORN,FAO总量：2437502.0,国家总量：143708866.76; 种类：PRODUCTION_OATS,FAO总量：12745488.0,国家总量：10140375.96; 种类：PRODUCTION_RYE,FAO总量：1250313.0,国家总量：534263.6; 种类：PRODUCTION_COTTON,FAO总量：6127556.0,国家总量：2218125.4893; 种类：PRODUCTION_SOYBEANS,FAO总量：32008768.0,国家总量：1364390.32223474; 种类：PRODUCTION_SUGARBEETS,FAO总量：24373008.0,国家总量：9265600.0; 种类：PRODUCTION_TOBACCO,FAO总量：773322.0,国家总量：508385.71728; 种类：PRODUCTION_WHEAT,FAO总量：44052800.0,国家总量：83124517.66; "
1971,-26,ARIZONA,OTHER (COMBINED) COUNTIES,,,,2.177,,128200.0,,,,,,,,,,,,,,,2.177,,,,,,,,,,,,,,6.0139471262330435,,788000.0,,,,,,,,,,,,,,,104.49600000000001,,15.6,,,,,,,,,,,"种类：PRODUCTION_BEANS,FAO总量：722977.0,国家总量：478219.937; 种类：PRODUCTION_CORN,FAO总量：2437502.0,国家总量：143708866.76; 种类：PRODUCTION_OATS,FAO总量：12745488.0,国家总量：10140375.96; 种类：PRODUCTION_RYE,FAO总量：1250313.0,国家总量：534263.6; 种类：PRODUCTION_COTTON,FAO总量：6127556.0,国家总量：2218125.4893; 种类：PRODUCTION_SOYBEANS,FAO总量：32008768.0,国家总量：1364390.32223474; 种类：PRODUCTION_SUGARBEETS,FAO总量：24373008.0,国家总量：9265600.0; 种类：PRODUCTION_TOBACCO,FAO总量：773322.0,国家总量：508385.71728; 种类：PRODUCTION_WHEAT,FAO总量：44052800.0,国家总量：83124517.66; "
1971,-25,ALABAMA,OTHER (COMBINED) COUNTIES,,,,,,,,1.17936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1293.0895261797136,,,,,,,,,,,,,,,,,3.1157784,,,,,,,,,"种类：PRODUCTION_BEANS,FAO总量：722977.0,国家总量：478219.937; 种类：PRODUCTION_CORN,FAO总量：2437502.0,国家总量：143708866.76; 种类：PRODUCTION_OATS,FAO总量：12745488.0,国家总量：10140375.96; 种类：PRODUCTION_RYE,FAO总量：1250313.0,国家总量：534263.6; 种类：PRODUCTION_COTTON,FAO总量：6127556.0,国家总量：2218125.4893; 种类：PRODUCTION_SOYBEANS,FAO总量：32008768.0,国家总量：1364390.32223474; 种类：PRODUCTION_SUGARBEETS,FAO总量：24373008.0,国家总量：9265600.0; 种类：PRODUCTION_TOBACCO,FAO总量：773322.0,国家总量：508385.71728; 种类：PRODUCTION_WHEAT,FAO总量：44052800.0,国家总量：83124517.66; "
1971,-22,OKLAHOMA,OTHER (COMBINED) COUNTIES,0.8708,,58.419999999999995,,,,,,,,,4.444819128,,,,,,1.3062,,152.4,,,,,,,,5.185622316,,,,25.51158148593041,,47.00238367031711,,,,,,,,,2427.313880204115,,,,,,0.5986750000000001,,3.6321999999999997,,,,,,,,,0.136184319394,,,,,"种类：PRODUCTION_BEANS,FAO总量：722977.0,国家总量：478219.937; 种类：PRODUCTION_CORN,FAO总量：2437502.0,国家总量：143708866.76; 种类：PRODUCTION_OATS,FAO总量：12745488.0,国家总量：10140375.96; 种类：PRODUCTION_RYE,FAO总量：1250313.0,国家总量：534263.6; 种类：PRODUCTION_COTTON,FAO总量：6127556.0,国家总量：2218125.4893; 种类：PRODUCTION_SOYBEANS,FAO总量：32008768.0,国家总量：1364390.32223474; 种类：PRODUCTION_SUGARBEETS,FAO总量：24373008.0,国家总量：9265600.0; 种类：PRODUCTION_TOBACCO,FAO总量：773322.0,国家总量：508385.71728; 种类：PRODUCTION_WHEAT,FAO总量：44052800.0,国家总量：83124517.66; "
1971,-21,FLORIDA,OTHER (COMBINED) COUNTIES,,,152.4,,,,,,,,,77.413933146,,,,1181.348,,,,210.82,,,,,,,,,,,,,,138.50839917513244,,,,,,,,,44960.341346692454,,,,17065.43035028782,,,,4.20878,,,,,,,,,0.085933169808,,,,4.273540000000001,"种类：PRODUCTION_BEANS,FAO总量：722977.0,国家总量：478219.937; 种类：PRODUCTION_CORN,FAO总量：2437502.0,国家总量：143708866.76; 种类：PRODUCTION_OATS,FAO总量：12745488.0,国家总量：10140375.96; 种类：PRODUCTION_RYE,FAO总量：1250313.0,国家总量：534263.6; 种类：PRODUCTION_COTTON,FAO总量：6127556.0,国家总量：2218125.4893; 种类：PRODUCTION_SOYBEANS,FAO总量：32008768.0,国家总量：1364390.32223474; 种类：PRODUCTION_SUGARBEETS,FAO总量：24373008.0,国家总量：9265600.0; 种类：PRODUCTION_TOBACCO,FAO总量：773322.0,国家总量：508385.71728; 种类：PRODUCTION_WHEAT,FAO总量：44052800.0,国家总量：83124517.66; "
1971,-20,ALASKA,OTHER (COMBINED) COUNTIES,,,,,,13700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14200.0,,,,,,,,,,,,,,,,,5.94,,,,,,,,,,,"种类：PRODUCTION_BEANS,FAO总量：722977.0,国家总量：478219.937; 种类：PRODUCTION_CORN,FAO总量：2437502.0,国家总量：143708866.76; 种类：PRODUCTION_OATS,FAO总量：12745488.0,国家总量：10140375.96; 种类：PRODUCTION_RYE,FAO总量：1250313.0,国家总量：534263.6; 种类：PRODUCTION_COTTON,FAO总量：6127556.0,国家总量：2218125.4893; 种类：PRODUCTION_SOYBEANS,FAO总量：32008768.0,国家总量：1364390.32223474; 种类：PRODUCTION_SUGARBEETS,FAO总量：24373008.0,国家总量：9265600.0; 种类：PRODUCTION_TOBACCO,FAO总量：773322.0,国家总量：508385.71728; 种类：PRODUCTION_WHEAT,FAO总量：44052800.0,国家总量：83124517.66; "
1971,-18,IOWA,OTHER (COMBINED) COUNTIES,,,,,,,,,,,6.35,,,,,,,,,,,,,,,,15.494,,,,,,,,,,,,,,,498.92280144282097,,,,,,,,,,,,,,,,,5.6895999999999995,,,,,,"种类：PRODUCTION_BEANS,FAO总量：722977.0,国家总量：478219.937; 种类：PRODUCTION_CORN,FAO总量：2437502.0,国家总量：143708866.76; 种类：PRODUCTION_OATS,FAO总量：12745488.0,国家总量：10140375.96; 种类：PRODUCTION_RYE,FAO总量：1250313.0,国家总量：534263.6; 种类：PRODUCTION_COTTON,FAO总量：6127556.0,国家总量：2218125.4893; 种类：PRODUCTION_SOYBEANS,FAO总量：32008768.0,国家总量：1364390.32223474; 种类：PRODUCTION_SUGARBEETS,FAO总量：24373008.0,国家总量：9265600.0; 种类：PRODUCTION_TOBACCO,FAO总量：773322.0,国家总量：508385.71728; 种类：PRODUCTION_WHEAT,FAO总量：44052800.0,国家总量：83124517.66; "
1971,-17,LOUISIANA,OTHER (COMBINED) COUNTIES,,,119.38,146.9475,,,,,140.15930999999998,,29.209999999999997,1.2346719800000001,,,,182.374,,,,142.23999999999998,195.93,,,,140.386105,,83.82,,,,1072.468,,,74.74714543354736,452.8502186053482,,,,,6245.726605852037,,1078.752003119613,622.7595277373326,,,,1947.4497863811125,,,,5.6769,416.4601,,,,,816.462,,5.6642,0.053090895140000004,,,,8.547080000000001,"种类：PRODUCTION_BEANS,FAO总量：722977.0,国家总量：478219.937; 种类：PRODUCTION_CORN,FAO总量：2437502.0,国家总量：143708866.76; 种类：PRODUCTION_OATS,FAO总量：12745488.0,国家总量：10140375.96; 种类：PRODUCTION_RYE,FAO总量：1250313.0,国家总量：534263.6; 种类：PRODUCTION_COTTON,FAO总量：6127556.0,国家总量：2218125.4893; 种类：PRODUCTION_SOYBEANS,FAO总量：32008768.0,国家总量：1364390.32223474; 种类：PRODUCTION_SUGARBEETS,FAO总量：24373008.0,国家总量：9265600.0; 种类：PRODUCTION_TOBACCO,FAO总量：773322.0,国家总量：508385.71728; 种类：PRODUCTION_WHEAT,FAO总量：44052800.0,国家总量：83124517.66; "
1971,-16,PENNSYLVANIA,OTHER (COMBINED) COUNTIES,2.177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.96173402695639,,,,,,,,,,,,,,,,,1.0885,,,,,,,,,,,,,,,,"种类：PRODUCTION_BEANS,FAO总量：722977.0,国家总量：478219.937; 种类：PRODUCTION_CORN,FAO总量：2437502.0,国家总量：143708866.76; 种类：PRODUCTION_OATS,FAO总量：12745488.0,国家总量：10140375.96; 种类：PRODUCTION_RYE,FAO总量：1250313.0,国家总量：534263.6; 种类：PRODUCTION_COTTON,FAO总量：6127556.0,国家总量：2218125.4893; 种类：PRODUCTION_SOYBEANS,FAO总量：32008768.0,国家总量：1364390.32223474; 种类：PRODUCTION_SUGARBEETS,FAO总量：24373008.0,国家总量：9265600.0; 种类：PRODUCTION_TOBACCO,FAO总量：773322.0,国家总量：508385.71728; 种类：PRODUCTION_WHEAT,FAO总量：44052800.0,国家总量：83124517.66; "
1971,-15,MINNESOTA,OTHER (COMBINED) COUNTIES,,,,,,,,,,1488.4399999999998,,,,0.63504,,,,,,,,,,,,,,,,,,,,,,,,,,,98282.18665969383,,,,723.334834941907,,,,,,,,,,,,,5.78612,,,,2.0076336,,,"种类：PRODUCTION_BEANS,FAO总量：722977.0,国家总量：478219.937; 种类：PRODUCTION_CORN,FAO总量：2437502.0,国家总量：143708866.76; 种类：PRODUCTION_OATS,FAO总量：12745488.0,国家总量：10140375.96; 种类：PRODUCTION_RYE,FAO总量：1250313.0,国家总量：534263.6; 种类：PRODUCTION_COTTON,FAO总量：6127556.0,国家总量：2218125.4893; 种类：PRODUCTION_SOYBEANS,FAO总量：32008768.0,国家总量：1364390.32223474; 种类：PRODUCTION_SUGARBEETS,FAO总量：24373008.0,国家总量：9265600.0; 种类：PRODUCTION_TOBACCO,FAO总量：773322.0,国家总量：508385.71728; 种类：PRODUCTION_WHEAT,FAO总量：44052800.0,国家总量：83124517.66; "
1971,-13,WEST VIRGINIA,OTHER (COMBINED) COUNTIES,35.0497,,2.794,,,,6.534,,,,,,,,,13.0656,,,,,,,,,,,,,,,28.3088,1799.7261120983635,,2.886489189652838,,,,361.35512455378426,,,,,,,,,256.19783856391524,,3.1348800000000003,,1.5493999999999999,,,,1.27776,,,,,,,,,3.97412,"种类：PRODUCTION_BEANS,FAO总量：722977.0,国家总量：478219.937; 种类：PRODUCTION_CORN,FAO总量：2437502.0,国家总量：143708866.76; 种类：PRODUCTION_OATS,FAO总量：12745488.0,国家总量：10140375.96; 种类：PRODUCTION_RYE,FAO总量：1250313.0,国家总量：534263.6; 种类：PRODUCTION_COTTON,FAO总量：6127556.0,国家总量：2218125.4893; 种类：PRODUCTION_SOYBEANS,FAO总量：32008768.0,国家总量：1364390.32223474; 种类：PRODUCTION_SUGARBEETS,FAO总量：24373008.0,国家总量：9265600.0; 种类：PRODUCTION_TOBACCO,FAO总量：773322.0,国家总量：508385.71728; 种类：PRODUCTION_WHEAT,FAO总量：44052800.0,国家总量：83124517.66; "
