year,OBJECTID,State,County,AREA HARVESTED_BARLEY,AREA HARVESTED_BEANS,AREA HARVESTED_CORN,AREA HARVESTED_COTTON,AREA HARVESTED_FLAXSEED,AREA HARVESTED_HAY,AREA HARVESTED_OATS,AREA HARVESTED_PEANUTS,AREA HARVESTED_RICE,AREA HARVESTED_RYE,AREA HARVESTED_SORGHUM,AREA HARVESTED_SOYBEANS,AREA HARVESTED_SUGARBEETS,AREA HARVESTED_SUGARCANE,AREA HARVESTED_SUNFLOWER,AREA HARVESTED_TOBACCO,AREA HARVESTED_WHEAT,"AREA PLANTED, NET_BARLEY","AREA PLANTED, NET_CORN","AREA PLANTED, NET_OATS","AREA PLANTED, NET_SORGHUM","AREA PLANTED, NET_SOYBEANS","AREA PLANTED, NET_WHEAT",AREA PLANTED_BARLEY,AREA PLANTED_BEANS,AREA PLANTED_CORN,AREA PLANTED_COTTON,AREA PLANTED_FLAXSEED,AREA PLANTED_OATS,AREA PLANTED_RICE,AREA PLANTED_RYE,AREA PLANTED_SORGHUM,AREA PLANTED_SOYBEANS,AREA PLANTED_SUGARBEETS,AREA PLANTED_SUNFLOWER,AREA PLANTED_WHEAT,PRODUCTION_BARLEY,PRODUCTION_BEANS,PRODUCTION_CORN,PRODUCTION_COTTON,PRODUCTION_FLAXSEED,PRODUCTION_HAY,PRODUCTION_OATS,PRODUCTION_PEANUTS,PRODUCTION_RICE,PRODUCTION_RYE,PRODUCTION_SORGHUM,PRODUCTION_SOYBEANS,PRODUCTION_SUGARBEETS,PRODUCTION_SUGARCANE,PRODUCTION_SUNFLOWER,PRODUCTION_TOBACCO,PRODUCTION_WHEAT,YIELD_BARLEY,YIELD_BEANS,YIELD_CORN,YIELD_COTTON,YIELD_FLAXSEED,YIELD_HAY,YIELD_OATS,YIELD_PEANUTS,YIELD_RICE,YIELD_RYE,YIELD_SORGHUM,YIELD_SOYBEANS,YIELD_SUGARBEETS,YIELD_SUGARCANE,YIELD_SUNFLOWER,YIELD_TOBACCO,YIELD_WHEAT,标记
1973,-30,MISSOURI,OTHER (COMBINED) COUNTIES,34.28775,,,97.965,,,,,,,,,,,,,,,,,,,,47.894000000000005,,,119.735,,,,,,,,,,1114.8511169362364,,,113.69428307905665,,,,,,,,,,,,,,4.911312000000001,,,48.87365,,,,,,,,,,,,,,"种类：PRODUCTION_BEANS,FAO总量：738172.0,国家总量：497821.82884999993; 种类：PRODUCTION_CORN,FAO总量：2626200.0,国家总量：145701722.82; 种类：PRODUCTION_RYE,FAO总量：626820.0,国家总量：398881.6; 种类：PRODUCTION_COTTON,FAO总量：7375156.0,国家总量：2824366.2173999995; 种类：PRODUCTION_SOYBEANS,FAO总量：42117936.0,国家总量：1908385.685417958; 种类：PRODUCTION_SUGARBEETS,FAO总量：22288000.0,国家总量：11782200.0; 种类：PRODUCTION_SUGARCANE,FAO总量：23429744.0,国家总量：620000.0; 种类：PRODUCTION_WHEAT,FAO总量：46560784.0,国家总量：92293804.3968; "
1973,-28,ILLINOIS,OTHER (COMBINED) COUNTIES,,,6527.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1706.3032553646233,,,,,,,,,,,,,,,,,3.2512,,,,,,,,,,,,,,,"种类：PRODUCTION_BEANS,FAO总量：738172.0,国家总量：497821.82884999993; 种类：PRODUCTION_CORN,FAO总量：2626200.0,国家总量：145701722.82; 种类：PRODUCTION_RYE,FAO总量：626820.0,国家总量：398881.6; 种类：PRODUCTION_COTTON,FAO总量：7375156.0,国家总量：2824366.2173999995; 种类：PRODUCTION_SOYBEANS,FAO总量：42117936.0,国家总量：1908385.685417958; 种类：PRODUCTION_SUGARBEETS,FAO总量：22288000.0,国家总量：11782200.0; 种类：PRODUCTION_SUGARCANE,FAO总量：23429744.0,国家总量：620000.0; 种类：PRODUCTION_WHEAT,FAO总量：46560784.0,国家总量：92293804.3968; "
1973,-26,ARIZONA,OTHER (COMBINED) COUNTIES,,,,,,142000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,956940.0,,,,,,,,,,,,,,,,,16.91,,,,,,,,,,,,"种类：PRODUCTION_BEANS,FAO总量：738172.0,国家总量：497821.82884999993; 种类：PRODUCTION_CORN,FAO总量：2626200.0,国家总量：145701722.82; 种类：PRODUCTION_RYE,FAO总量：626820.0,国家总量：398881.6; 种类：PRODUCTION_COTTON,FAO总量：7375156.0,国家总量：2824366.2173999995; 种类：PRODUCTION_SOYBEANS,FAO总量：42117936.0,国家总量：1908385.685417958; 种类：PRODUCTION_SUGARBEETS,FAO总量：22288000.0,国家总量：11782200.0; 种类：PRODUCTION_SUGARCANE,FAO总量：23429744.0,国家总量：620000.0; 种类：PRODUCTION_WHEAT,FAO总量：46560784.0,国家总量：92293804.3968; "
1973,-25,ALABAMA,OTHER (COMBINED) COUNTIES,,,,,,,,,,,22.86,,,,,,,,,,,,,,,,,,,,,45.72,,,,,,,,,,,,,,,808.8109383992911,,,,,,,,,,,,,,,,,2.7178,,,,,,,"种类：PRODUCTION_BEANS,FAO总量：738172.0,国家总量：497821.82884999993; 种类：PRODUCTION_CORN,FAO总量：2626200.0,国家总量：145701722.82; 种类：PRODUCTION_RYE,FAO总量：626820.0,国家总量：398881.6; 种类：PRODUCTION_COTTON,FAO总量：7375156.0,国家总量：2824366.2173999995; 种类：PRODUCTION_SOYBEANS,FAO总量：42117936.0,国家总量：1908385.685417958; 种类：PRODUCTION_SUGARBEETS,FAO总量：22288000.0,国家总量：11782200.0; 种类：PRODUCTION_SUGARCANE,FAO总量：23429744.0,国家总量：620000.0; 种类：PRODUCTION_WHEAT,FAO总量：46560784.0,国家总量：92293804.3968; "
1973,-24,NORTH DAKOTA,OTHER (COMBINED) COUNTIES,,,,,,,,,,,,1.85200797,,,,,,,,,,1.85200797,,,,,,,,,,,1.85200797,,,,,,,,,,,,,,,681.2280640121795,,,,,,,,,,,,,,,,,0.12099785404,,,,,,"种类：PRODUCTION_BEANS,FAO总量：738172.0,国家总量：497821.82884999993; 种类：PRODUCTION_CORN,FAO总量：2626200.0,国家总量：145701722.82; 种类：PRODUCTION_RYE,FAO总量：626820.0,国家总量：398881.6; 种类：PRODUCTION_COTTON,FAO总量：7375156.0,国家总量：2824366.2173999995; 种类：PRODUCTION_SOYBEANS,FAO总量：42117936.0,国家总量：1908385.685417958; 种类：PRODUCTION_SUGARBEETS,FAO总量：22288000.0,国家总量：11782200.0; 种类：PRODUCTION_SUGARCANE,FAO总量：23429744.0,国家总量：620000.0; 种类：PRODUCTION_WHEAT,FAO总量：46560784.0,国家总量：92293804.3968; "
1973,-22,OKLAHOMA,OTHER (COMBINED) COUNTIES,28.301000000000002,,104.14,,,,,,,,,,,,,,,,,,,,,44.6285,,170.18,,,,,,,,,,,1012.5112683112303,,79.56949444120514,,,,,,,,,,,,,,,2.3272130000000004,,7.0992999999999995,,,,,,,,,,,,,,,"种类：PRODUCTION_BEANS,FAO总量：738172.0,国家总量：497821.82884999993; 种类：PRODUCTION_CORN,FAO总量：2626200.0,国家总量：145701722.82; 种类：PRODUCTION_RYE,FAO总量：626820.0,国家总量：398881.6; 种类：PRODUCTION_COTTON,FAO总量：7375156.0,国家总量：2824366.2173999995; 种类：PRODUCTION_SOYBEANS,FAO总量：42117936.0,国家总量：1908385.685417958; 种类：PRODUCTION_SUGARBEETS,FAO总量：22288000.0,国家总量：11782200.0; 种类：PRODUCTION_SUGARCANE,FAO总量：23429744.0,国家总量：620000.0; 种类：PRODUCTION_WHEAT,FAO总量：46560784.0,国家总量：92293804.3968; "
1973,-21,FLORIDA,OTHER (COMBINED) COUNTIES,,,91.44,,,,,,,,,83.95769464,,,,,419.18800000000005,,,,,,,,,160.01999999999998,,,,,,,88.402513768,,,756.716,,,77.05147246521763,,,,,,,,,38966.245261496675,,,,,4405.246519451969,,,3.61442,,,,,,,,,0.08272302266,,,,,6.004732,"种类：PRODUCTION_BEANS,FAO总量：738172.0,国家总量：497821.82884999993; 种类：PRODUCTION_CORN,FAO总量：2626200.0,国家总量：145701722.82; 种类：PRODUCTION_RYE,FAO总量：626820.0,国家总量：398881.6; 种类：PRODUCTION_COTTON,FAO总量：7375156.0,国家总量：2824366.2173999995; 种类：PRODUCTION_SOYBEANS,FAO总量：42117936.0,国家总量：1908385.685417958; 种类：PRODUCTION_SUGARBEETS,FAO总量：22288000.0,国家总量：11782200.0; 种类：PRODUCTION_SUGARCANE,FAO总量：23429744.0,国家总量：620000.0; 种类：PRODUCTION_WHEAT,FAO总量：46560784.0,国家总量：92293804.3968; "
1973,-20,ALASKA,OTHER (COMBINED) COUNTIES,,,,,,22900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29400.0,,,,,,,,,,,,,,,,,7.06,,,,,,,,,,,,"种类：PRODUCTION_BEANS,FAO总量：738172.0,国家总量：497821.82884999993; 种类：PRODUCTION_CORN,FAO总量：2626200.0,国家总量：145701722.82; 种类：PRODUCTION_RYE,FAO总量：626820.0,国家总量：398881.6; 种类：PRODUCTION_COTTON,FAO总量：7375156.0,国家总量：2824366.2173999995; 种类：PRODUCTION_SOYBEANS,FAO总量：42117936.0,国家总量：1908385.685417958; 种类：PRODUCTION_SUGARBEETS,FAO总量：22288000.0,国家总量：11782200.0; 种类：PRODUCTION_SUGARCANE,FAO总量：23429744.0,国家总量：620000.0; 种类：PRODUCTION_WHEAT,FAO总量：46560784.0,国家总量：92293804.3968; "
1973,-19,KENTUCKY,OTHER (COMBINED) COUNTIES,74.018,,736.6,4.354,,1500.0,,,,,7.62,0.987737584,,,,,65.328,,,,,,,106.673,,,21.77,,,,,20.32,,,,206.872,2665.1909514256904,,205.7910687647969,11.369428307905665,,3680.0,,,,,389.24026410465893,493.2091183448181,,,,,988.7086951388458,4.528160000000001,,0.3937,106.58592,,8.2,,,,,3.9116,0.08395769464,,,,,9.156808,"种类：PRODUCTION_BEANS,FAO总量：738172.0,国家总量：497821.82884999993; 种类：PRODUCTION_CORN,FAO总量：2626200.0,国家总量：145701722.82; 种类：PRODUCTION_RYE,FAO总量：626820.0,国家总量：398881.6; 种类：PRODUCTION_COTTON,FAO总量：7375156.0,国家总量：2824366.2173999995; 种类：PRODUCTION_SOYBEANS,FAO总量：42117936.0,国家总量：1908385.685417958; 种类：PRODUCTION_SUGARBEETS,FAO总量：22288000.0,国家总量：11782200.0; 种类：PRODUCTION_SUGARCANE,FAO总量：23429744.0,国家总量：620000.0; 种类：PRODUCTION_WHEAT,FAO总量：46560784.0,国家总量：92293804.3968; "
1973,-18,IOWA,OTHER (COMBINED) COUNTIES,,,,,,,,,,,25.145999999999997,,,,,,104.5248,,,,,,,,,,,,,,,45.974,,,,126.30080000000001,,,,,,,,,,,1662.8647386652929,,,,,,1730.2402164929804,,,,,,,,,,,9.83996,,,,,,15.738604000000002,"种类：PRODUCTION_BEANS,FAO总量：738172.0,国家总量：497821.82884999993; 种类：PRODUCTION_CORN,FAO总量：2626200.0,国家总量：145701722.82; 种类：PRODUCTION_RYE,FAO总量：626820.0,国家总量：398881.6; 种类：PRODUCTION_COTTON,FAO总量：7375156.0,国家总量：2824366.2173999995; 种类：PRODUCTION_SOYBEANS,FAO总量：42117936.0,国家总量：1908385.685417958; 种类：PRODUCTION_SUGARBEETS,FAO总量：22288000.0,国家总量：11782200.0; 种类：PRODUCTION_SUGARCANE,FAO总量：23429744.0,国家总量：620000.0; 种类：PRODUCTION_WHEAT,FAO总量：46560784.0,国家总量：92293804.3968; "
1973,-17,LOUISIANA,OTHER (COMBINED) COUNTIES,,,,165.452,,,,,109.31518999999999,,13.969999999999999,,,,,,,,,,,,,,,,170.8945,,,112.49032,,67.31,,,,,,,,320.0494068675445,,,,,4997.20732919516,,452.42861866710354,,,,,,,,,,238.66451,,,,,440.31342069999994,,2.7685999999999997,,,,,,,"种类：PRODUCTION_BEANS,FAO总量：738172.0,国家总量：497821.82884999993; 种类：PRODUCTION_CORN,FAO总量：2626200.0,国家总量：145701722.82; 种类：PRODUCTION_RYE,FAO总量：626820.0,国家总量：398881.6; 种类：PRODUCTION_COTTON,FAO总量：7375156.0,国家总量：2824366.2173999995; 种类：PRODUCTION_SOYBEANS,FAO总量：42117936.0,国家总量：1908385.685417958; 种类：PRODUCTION_SUGARBEETS,FAO总量：22288000.0,国家总量：11782200.0; 种类：PRODUCTION_SUGARCANE,FAO总量：23429744.0,国家总量：620000.0; 种类：PRODUCTION_WHEAT,FAO总量：46560784.0,国家总量：92293804.3968; "
