year,OBJECTID,State,County,AREA HARVESTED_BARLEY,AREA HARVESTED_BEANS,AREA HARVESTED_CORN,AREA HARVESTED_COTTON,AREA HARVESTED_FLAXSEED,AREA HARVESTED_HAY,AREA HARVESTED_OATS,AREA HARVESTED_PEANUTS,AREA HARVESTED_RICE,AREA HARVESTED_RYE,AREA HARVESTED_SORGHUM,AREA HARVESTED_SOYBEANS,AREA HARVESTED_SUGARBEETS,AREA HARVESTED_SUGARCANE,AREA HARVESTED_SUNFLOWER,AREA HARVESTED_TOBACCO,AREA HARVESTED_WHEAT,"AREA PLANTED, NET_BARLEY","AREA PLANTED, NET_CORN","AREA PLANTED, NET_FLAXSEED","AREA PLANTED, NET_SORGHUM","AREA PLANTED, NET_WHEAT",AREA PLANTED_BARLEY,AREA PLANTED_BEANS,AREA PLANTED_CORN,AREA PLANTED_COTTON,AREA PLANTED_FLAXSEED,AREA PLANTED_OATS,AREA PLANTED_RICE,AREA PLANTED_RYE,AREA PLANTED_SORGHUM,AREA PLANTED_SOYBEANS,AREA PLANTED_SUGARBEETS,AREA PLANTED_SUNFLOWER,AREA PLANTED_WHEAT,PRODUCTION_BARLEY,PRODUCTION_BEANS,PRODUCTION_CORN,PRODUCTION_COTTON,PRODUCTION_FLAXSEED,PRODUCTION_HAY,PRODUCTION_OATS,PRODUCTION_PEANUTS,PRODUCTION_RICE,PRODUCTION_RYE,PRODUCTION_SORGHUM,PRODUCTION_SOYBEANS,PRODUCTION_SUGARBEETS,PRODUCTION_SUGARCANE,PRODUCTION_SUNFLOWER,PRODUCTION_TOBACCO,PRODUCTION_WHEAT,YIELD_BARLEY,YIELD_BEANS,YIELD_CORN,YIELD_COTTON,YIELD_FLAXSEED,YIELD_HAY,YIELD_OATS,YIELD_PEANUTS,YIELD_RICE,YIELD_RYE,YIELD_SORGHUM,YIELD_SOYBEANS,YIELD_SUGARBEETS,YIELD_SUGARCANE,YIELD_SUNFLOWER,YIELD_TOBACCO,YIELD_WHEAT,标记
1974,-32,IDAHO,OTHER (COMBINED) COUNTIES,,,88.89999999999999,,,,18.876,,,,,,,,,,,,,,,,,,33.019999999999996,,,26.136,,,,,,,,,,31.852290682934445,,,,981.1504126819165,,,,,,,,,,,,,1.8160999999999998,,,,2.567136,,,,,,,,,,,"种类：PRODUCTION_CORN,FAO总量：2508265.0,国家总量：121610211.44; 种类：PRODUCTION_RYE,FAO总量：444670.0,国家总量：313029.6; 种类：PRODUCTION_COTTON,FAO总量：6603817.0,国家总量：2512157.858; 种类：PRODUCTION_SOYBEANS,FAO总量：33102464.0,国家总量：1499446.0279718218; 种类：PRODUCTION_SUGARBEETS,FAO总量：20069536.0,国家总量：11970300.0; 种类：PRODUCTION_SUGARCANE,FAO总量：22806512.0,国家总量：898000.0; 种类：PRODUCTION_SUNFLOWER,FAO总量：290000.0,国家总量：230729.9904; 种类：PRODUCTION_WHEAT,FAO总量：48496688.0,国家总量：97002519.7916; "
1974,-31,CALIFORNIA,OTHER (COMBINED) COUNTIES,,,55.879999999999995,,,,,,,,,,,,,,,,,,,,,22.679499999999997,,,,,,,,,,,,,395.598681930696,22.317558932450776,,,,,,,,,,,,,,,,8.16462,3.5941,,,,,,,,,,,,,,,"种类：PRODUCTION_CORN,FAO总量：2508265.0,国家总量：121610211.44; 种类：PRODUCTION_RYE,FAO总量：444670.0,国家总量：313029.6; 种类：PRODUCTION_COTTON,FAO总量：6603817.0,国家总量：2512157.858; 种类：PRODUCTION_SOYBEANS,FAO总量：33102464.0,国家总量：1499446.0279718218; 种类：PRODUCTION_SUGARBEETS,FAO总量：20069536.0,国家总量：11970300.0; 种类：PRODUCTION_SUGARCANE,FAO总量：22806512.0,国家总量：898000.0; 种类：PRODUCTION_SUNFLOWER,FAO总量：290000.0,国家总量：230729.9904; 种类：PRODUCTION_WHEAT,FAO总量：48496688.0,国家总量：97002519.7916; "
1974,-30,MISSOURI,OTHER (COMBINED) COUNTIES,26.124000000000002,,,,,,13.794,,,,,,,,,,,,,,,,39.186,,,,,45.012,,,,,,,,629.3532009561911,,,,,,372.36431324675135,,,,,,,,,,,4.795931,,,,,,2.3624039999999997,,,,,,,,,,,"种类：PRODUCTION_CORN,FAO总量：2508265.0,国家总量：121610211.44; 种类：PRODUCTION_RYE,FAO总量：444670.0,国家总量：313029.6; 种类：PRODUCTION_COTTON,FAO总量：6603817.0,国家总量：2512157.858; 种类：PRODUCTION_SOYBEANS,FAO总量：33102464.0,国家总量：1499446.0279718218; 种类：PRODUCTION_SUGARBEETS,FAO总量：20069536.0,国家总量：11970300.0; 种类：PRODUCTION_SUGARCANE,FAO总量：22806512.0,国家总量：898000.0; 种类：PRODUCTION_SUNFLOWER,FAO总量：290000.0,国家总量：230729.9904; 种类：PRODUCTION_WHEAT,FAO总量：48496688.0,国家总量：97002519.7916; "
1974,-28,ILLINOIS,OTHER (COMBINED) COUNTIES,,,9398.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2229.1364614454947,,,,,,,,,,,,,,,,,2.6543,,,,,,,,,,,,,,,"种类：PRODUCTION_CORN,FAO总量：2508265.0,国家总量：121610211.44; 种类：PRODUCTION_RYE,FAO总量：444670.0,国家总量：313029.6; 种类：PRODUCTION_COTTON,FAO总量：6603817.0,国家总量：2512157.858; 种类：PRODUCTION_SOYBEANS,FAO总量：33102464.0,国家总量：1499446.0279718218; 种类：PRODUCTION_SUGARBEETS,FAO总量：20069536.0,国家总量：11970300.0; 种类：PRODUCTION_SUGARCANE,FAO总量：22806512.0,国家总量：898000.0; 种类：PRODUCTION_SUNFLOWER,FAO总量：290000.0,国家总量：230729.9904; 种类：PRODUCTION_WHEAT,FAO总量：48496688.0,国家总量：97002519.7916; "
1974,-26,ARIZONA,OTHER (COMBINED) COUNTIES,,,,,,144600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,965200.0,,,,,,,,,,,,,,,,,16.669999999999998,,,,,,,,,,,,"种类：PRODUCTION_CORN,FAO总量：2508265.0,国家总量：121610211.44; 种类：PRODUCTION_RYE,FAO总量：444670.0,国家总量：313029.6; 种类：PRODUCTION_COTTON,FAO总量：6603817.0,国家总量：2512157.858; 种类：PRODUCTION_SOYBEANS,FAO总量：33102464.0,国家总量：1499446.0279718218; 种类：PRODUCTION_SUGARBEETS,FAO总量：20069536.0,国家总量：11970300.0; 种类：PRODUCTION_SUGARCANE,FAO总量：22806512.0,国家总量：898000.0; 种类：PRODUCTION_SUNFLOWER,FAO总量：290000.0,国家总量：230729.9904; 种类：PRODUCTION_WHEAT,FAO总量：48496688.0,国家总量：97002519.7916; "
1974,-25,ALABAMA,OTHER (COMBINED) COUNTIES,,,,97.965,,,2.178,0.7257600000000001,,,20.32,,,,,,,,,,,,,,,108.85000000000001,,8.712,,,63.5,,,,,,,,120.17823674080594,,,70.92653585652408,964.5779863561133,,,740.3650329564297,,,,,,,,,,136.88976,,,1.200804,4.03704,,,4.5847,,,,,,,"种类：PRODUCTION_CORN,FAO总量：2508265.0,国家总量：121610211.44; 种类：PRODUCTION_RYE,FAO总量：444670.0,国家总量：313029.6; 种类：PRODUCTION_COTTON,FAO总量：6603817.0,国家总量：2512157.858; 种类：PRODUCTION_SOYBEANS,FAO总量：33102464.0,国家总量：1499446.0279718218; 种类：PRODUCTION_SUGARBEETS,FAO总量：20069536.0,国家总量：11970300.0; 种类：PRODUCTION_SUGARCANE,FAO总量：22806512.0,国家总量：898000.0; 种类：PRODUCTION_SUNFLOWER,FAO总量：290000.0,国家总量：230729.9904; 种类：PRODUCTION_WHEAT,FAO总量：48496688.0,国家总量：97002519.7916; "
1974,-22,OKLAHOMA,OTHER (COMBINED) COUNTIES,59.8675,,134.62,,,,,,,,,,,,,,,,,,,,81.6375,,353.06,,,,,,,,,,,1790.0634297093045,,108.39208786676213,,,,,,,,,,,,,,,3.152296,,7.846059999999999,,,,,,,,,,,,,,,"种类：PRODUCTION_CORN,FAO总量：2508265.0,国家总量：121610211.44; 种类：PRODUCTION_RYE,FAO总量：444670.0,国家总量：313029.6; 种类：PRODUCTION_COTTON,FAO总量：6603817.0,国家总量：2512157.858; 种类：PRODUCTION_SOYBEANS,FAO总量：33102464.0,国家总量：1499446.0279718218; 种类：PRODUCTION_SUGARBEETS,FAO总量：20069536.0,国家总量：11970300.0; 种类：PRODUCTION_SUGARCANE,FAO总量：22806512.0,国家总量：898000.0; 种类：PRODUCTION_SUNFLOWER,FAO总量：290000.0,国家总量：230729.9904; 种类：PRODUCTION_WHEAT,FAO总量：48496688.0,国家总量：97002519.7916; "
1974,-21,FLORIDA,OTHER (COMBINED) COUNTIES,,,576.5799999999999,,,,,,,,,79.265941116,,,,,326.64,,,,,,,,670.56,,,,,,,80.99448188800001,,,653.28,,,894.2740163777813,,,,,,,,,42439.44430103235,,,,,2738.0738753946457,,,4.45008,,,,,,,,,0.13544351620599998,,,,,4.534852,"种类：PRODUCTION_CORN,FAO总量：2508265.0,国家总量：121610211.44; 种类：PRODUCTION_RYE,FAO总量：444670.0,国家总量：313029.6; 种类：PRODUCTION_COTTON,FAO总量：6603817.0,国家总量：2512157.858; 种类：PRODUCTION_SOYBEANS,FAO总量：33102464.0,国家总量：1499446.0279718218; 种类：PRODUCTION_SUGARBEETS,FAO总量：20069536.0,国家总量：11970300.0; 种类：PRODUCTION_SUGARCANE,FAO总量：22806512.0,国家总量：898000.0; 种类：PRODUCTION_SUNFLOWER,FAO总量：290000.0,国家总量：230729.9904; 种类：PRODUCTION_WHEAT,FAO总量：48496688.0,国家总量：97002519.7916; "
1974,-20,ALASKA,OTHER (COMBINED) COUNTIES,,,,,,24900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31400.0,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,"种类：PRODUCTION_CORN,FAO总量：2508265.0,国家总量：121610211.44; 种类：PRODUCTION_RYE,FAO总量：444670.0,国家总量：313029.6; 种类：PRODUCTION_COTTON,FAO总量：6603817.0,国家总量：2512157.858; 种类：PRODUCTION_SOYBEANS,FAO总量：33102464.0,国家总量：1499446.0279718218; 种类：PRODUCTION_SUGARBEETS,FAO总量：20069536.0,国家总量：11970300.0; 种类：PRODUCTION_SUGARCANE,FAO总量：22806512.0,国家总量：898000.0; 种类：PRODUCTION_SUNFLOWER,FAO总量：290000.0,国家总量：230729.9904; 种类：PRODUCTION_WHEAT,FAO总量：48496688.0,国家总量：97002519.7916; "
1974,-19,KENTUCKY,OTHER (COMBINED) COUNTIES,97.965,,254.0,,,1600.0,,,,,27.939999999999998,0.740803188,,,,,59.884,,,,,,158.92100000000002,,,65.31,,,,,198.12,,,,206.872,3623.680714156062,,83.8218175866696,,,4800.0,,,,,1334.1731651911089,329.8119948892045,,,,,909.0623005783415,4.54993,,0.4064,,,6.0,,,,,6.9596,0.07901900671999999,,,,,4.523964,"种类：PRODUCTION_CORN,FAO总量：2508265.0,国家总量：121610211.44; 种类：PRODUCTION_RYE,FAO总量：444670.0,国家总量：313029.6; 种类：PRODUCTION_COTTON,FAO总量：6603817.0,国家总量：2512157.858; 种类：PRODUCTION_SOYBEANS,FAO总量：33102464.0,国家总量：1499446.0279718218; 种类：PRODUCTION_SUGARBEETS,FAO总量：20069536.0,国家总量：11970300.0; 种类：PRODUCTION_SUGARCANE,FAO总量：22806512.0,国家总量：898000.0; 种类：PRODUCTION_SUNFLOWER,FAO总量：290000.0,国家总量：230729.9904; 种类：PRODUCTION_WHEAT,FAO总量：48496688.0,国家总量：97002519.7916; "
1974,-18,IOWA,OTHER (COMBINED) COUNTIES,,,,,,,,,,,37.338,,,,,,67.5056,,,,,,,,,,,,,,68.072,,,,69.6832,,,,,,,,,,,1539.8581948247381,,,,,,1086.247796888671,,,,,,,,,,,9.98474,,,,,,12.82062,"种类：PRODUCTION_CORN,FAO总量：2508265.0,国家总量：121610211.44; 种类：PRODUCTION_RYE,FAO总量：444670.0,国家总量：313029.6; 种类：PRODUCTION_COTTON,FAO总量：6603817.0,国家总量：2512157.858; 种类：PRODUCTION_SOYBEANS,FAO总量：33102464.0,国家总量：1499446.0279718218; 种类：PRODUCTION_SUGARBEETS,FAO总量：20069536.0,国家总量：11970300.0; 种类：PRODUCTION_SUGARCANE,FAO总量：22806512.0,国家总量：898000.0; 种类：PRODUCTION_SUNFLOWER,FAO总量：290000.0,国家总量：230729.9904; 种类：PRODUCTION_WHEAT,FAO总量：48496688.0,国家总量：97002519.7916; "
