year,OBJECTID,State,County,AREA HARVESTED_BARLEY,AREA HARVESTED_BEANS,AREA HARVESTED_CORN,AREA HARVESTED_COTTON,AREA HARVESTED_FLAXSEED,AREA HARVESTED_HAY,AREA HARVESTED_OATS,AREA HARVESTED_PEANUTS,AREA HARVESTED_RICE,AREA HARVESTED_RYE,AREA HARVESTED_SORGHUM,AREA HARVESTED_SOYBEANS,AREA HARVESTED_SUGARBEETS,AREA HARVESTED_SUGARCANE,AREA HARVESTED_SUNFLOWER,AREA HARVESTED_TOBACCO,AREA HARVESTED_WHEAT,"AREA PLANTED, NET_BARLEY","AREA PLANTED, NET_CORN","AREA PLANTED, NET_OATS","AREA PLANTED, NET_SORGHUM","AREA PLANTED, NET_WHEAT",AREA PLANTED_BARLEY,AREA PLANTED_BEANS,AREA PLANTED_CORN,AREA PLANTED_COTTON,AREA PLANTED_FLAXSEED,AREA PLANTED_OATS,AREA PLANTED_RICE,AREA PLANTED_RYE,AREA PLANTED_SORGHUM,AREA PLANTED_SOYBEANS,AREA PLANTED_SUGARBEETS,AREA PLANTED_SUNFLOWER,AREA PLANTED_WHEAT,PRODUCTION_BARLEY,PRODUCTION_BEANS,PRODUCTION_CORN,PRODUCTION_COTTON,PRODUCTION_FLAXSEED,PRODUCTION_HAY,PRODUCTION_OATS,PRODUCTION_PEANUTS,PRODUCTION_RICE,PRODUCTION_RYE,PRODUCTION_SORGHUM,PRODUCTION_SOYBEANS,PRODUCTION_SUGARBEETS,PRODUCTION_SUGARCANE,PRODUCTION_SUNFLOWER,PRODUCTION_TOBACCO,PRODUCTION_WHEAT,SUCROSE_SUGARBEETS,SUCROSE_SUGARCANE,YIELD_BARLEY,YIELD_BEANS,YIELD_CORN,YIELD_COTTON,YIELD_FLAXSEED,YIELD_HAY,YIELD_OATS,YIELD_PEANUTS,YIELD_RICE,YIELD_RYE,YIELD_SORGHUM,YIELD_SOYBEANS,YIELD_SUGARBEETS,YIELD_SUGARCANE,YIELD_SUNFLOWER,YIELD_TOBACCO,YIELD_WHEAT,标记
1978,-35,OHIO,OTHER (COMBINED) COUNTIES,,,5892.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1345.278980826283,,,,,,,,,,,,,,,,,,,3.4798,,,,,,,,,,,,,,,"种类：PRODUCTION_CORN,FAO总量：2846504.0,国家总量：187030485.98400003; 种类：PRODUCTION_RYE,FAO总量：611280.0,国家总量：459562.2; 种类：PRODUCTION_COTTON,FAO总量：6236493.0,国家总量：2362971.3135; 种类：PRODUCTION_SOYBEANS,FAO总量：50860000.0,国家总量：2303455.655176764; 种类：PRODUCTION_SUNFLOWER,FAO总量：1823000.0,国家总量：3463617.0239999997; 种类：PRODUCTION_WHEAT,FAO总量：48322656.0,国家总量：96575606.2112; "
1978,-34,NEW YORK,OTHER (COMBINED) COUNTIES,54.425000000000004,,30.48,,,,10.164,,,,,,,,,,76.21600000000001,,12.7,,,,56.602000000000004,,30.48,,,21.78,,,,,,,76.21600000000001,2200.3894382772564,,21.880112159415987,,,,481.6441467138914,,,,,,,,,,1329.2947587622175,,,5.3554200000000005,,5.1562,,,,1.000428,,,,,,,,,,11.432400000000001,"种类：PRODUCTION_CORN,FAO总量：2846504.0,国家总量：187030485.98400003; 种类：PRODUCTION_RYE,FAO总量：611280.0,国家总量：459562.2; 种类：PRODUCTION_COTTON,FAO总量：6236493.0,国家总量：2362971.3135; 种类：PRODUCTION_SOYBEANS,FAO总量：50860000.0,国家总量：2303455.655176764; 种类：PRODUCTION_SUNFLOWER,FAO总量：1823000.0,国家总量：3463617.0239999997; 种类：PRODUCTION_WHEAT,FAO总量：48322656.0,国家总量：96575606.2112; "
1978,-33,INDIANA,OTHER (COMBINED) COUNTIES,,,4470.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1020.5564682130423,,,,,,,,,,,,,,,,,,,3.52044,,,,,,,,,,,,,,,"种类：PRODUCTION_CORN,FAO总量：2846504.0,国家总量：187030485.98400003; 种类：PRODUCTION_RYE,FAO总量：611280.0,国家总量：459562.2; 种类：PRODUCTION_COTTON,FAO总量：6236493.0,国家总量：2362971.3135; 种类：PRODUCTION_SOYBEANS,FAO总量：50860000.0,国家总量：2303455.655176764; 种类：PRODUCTION_SUNFLOWER,FAO总量：1823000.0,国家总量：3463617.0239999997; 种类：PRODUCTION_WHEAT,FAO总量：48322656.0,国家总量：96575606.2112; "
1978,-32,IDAHO,OTHER (COMBINED) COUNTIES,,,63.5,,,,11.616,,,,,,1260.0,,,,,,,,,,,,66.03999999999999,,,14.52,,,,,1290.0,,,,,16.468070282528636,,,,666.1036071575093,,,,,,20429.766138829564,,,,,33.4,,,,1.29032,,,,1.4868480000000002,,,,,,35.6,,,,,"种类：PRODUCTION_CORN,FAO总量：2846504.0,国家总量：187030485.98400003; 种类：PRODUCTION_RYE,FAO总量：611280.0,国家总量：459562.2; 种类：PRODUCTION_COTTON,FAO总量：6236493.0,国家总量：2362971.3135; 种类：PRODUCTION_SOYBEANS,FAO总量：50860000.0,国家总量：2303455.655176764; 种类：PRODUCTION_SUNFLOWER,FAO总量：1823000.0,国家总量：3463617.0239999997; 种类：PRODUCTION_WHEAT,FAO总量：48322656.0,国家总量：96575606.2112; "
1978,-31,CALIFORNIA,OTHER (COMBINED) COUNTIES,67.48700000000001,,,,,,,,,,,,,,,,,,,,,,91.43400000000001,72.5744,,,,,,,,,,,,2440.0358127430954,878.4625090600218,,,,,,,,,,,,,,,,,,2.753905,29.1023344,,,,,,,,,,,,,,,,"种类：PRODUCTION_CORN,FAO总量：2846504.0,国家总量：187030485.98400003; 种类：PRODUCTION_RYE,FAO总量：611280.0,国家总量：459562.2; 种类：PRODUCTION_COTTON,FAO总量：6236493.0,国家总量：2362971.3135; 种类：PRODUCTION_SOYBEANS,FAO总量：50860000.0,国家总量：2303455.655176764; 种类：PRODUCTION_SUNFLOWER,FAO总量：1823000.0,国家总量：3463617.0239999997; 种类：PRODUCTION_WHEAT,FAO总量：48322656.0,国家总量：96575606.2112; "
1978,-30,MISSOURI,OTHER (COMBINED) COUNTIES,,,3505.2,,,,79.86,,4.5359,,,,,,,,,,,,,,,,,,,197.472,4.5359,,,,,,,,,693.5145090811357,,,,3198.761278327819,,195.76534634511057,,,,,,,,,,,,,2.921,,,,6.394608,,214.54807,,,,,,,,,"种类：PRODUCTION_CORN,FAO总量：2846504.0,国家总量：187030485.98400003; 种类：PRODUCTION_RYE,FAO总量：611280.0,国家总量：459562.2; 种类：PRODUCTION_COTTON,FAO总量：6236493.0,国家总量：2362971.3135; 种类：PRODUCTION_SOYBEANS,FAO总量：50860000.0,国家总量：2303455.655176764; 种类：PRODUCTION_SUNFLOWER,FAO总量：1823000.0,国家总量：3463617.0239999997; 种类：PRODUCTION_WHEAT,FAO总量：48322656.0,国家总量：96575606.2112; "
1978,-28,ILLINOIS,OTHER (COMBINED) COUNTIES,,,6350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1497.975876638462,,,,,,,,,,,,,,,,,,,3.4162999999999997,,,,,,,,,,,,,,,"种类：PRODUCTION_CORN,FAO总量：2846504.0,国家总量：187030485.98400003; 种类：PRODUCTION_RYE,FAO总量：611280.0,国家总量：459562.2; 种类：PRODUCTION_COTTON,FAO总量：6236493.0,国家总量：2362971.3135; 种类：PRODUCTION_SOYBEANS,FAO总量：50860000.0,国家总量：2303455.655176764; 种类：PRODUCTION_SUNFLOWER,FAO总量：1823000.0,国家总量：3463617.0239999997; 种类：PRODUCTION_WHEAT,FAO总量：48322656.0,国家总量：96575606.2112; "
1978,-26,ARIZONA,OTHER (COMBINED) COUNTIES,,,,,,137000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,906000.0,,,,,,,,,,,,,,,,,,,16.53,,,,,,,,,,,,"种类：PRODUCTION_CORN,FAO总量：2846504.0,国家总量：187030485.98400003; 种类：PRODUCTION_RYE,FAO总量：611280.0,国家总量：459562.2; 种类：PRODUCTION_COTTON,FAO总量：6236493.0,国家总量：2362971.3135; 种类：PRODUCTION_SOYBEANS,FAO总量：50860000.0,国家总量：2303455.655176764; 种类：PRODUCTION_SUNFLOWER,FAO总量：1823000.0,国家总量：3463617.0239999997; 种类：PRODUCTION_WHEAT,FAO总量：48322656.0,国家总量：96575606.2112; "
1978,-25,ALABAMA,OTHER (COMBINED) COUNTIES,,,,449.5505,,,65.34,0.081648,,,152.4,0.6173359900000001,,,,,261.312,,,,,,,,,464.78950000000003,,322.344,,,408.94,0.740803188,,,560.732,,,,853.2314843349451,,,2614.639653589696,166.70188590558593,,,5534.74693968765,316.2321941971926,,,,,3018.1528539109363,,,,,,541.07158,,,7.214988,1.8325440000000002,,,9.18464,0.028644389936,,,,,13.049268,"种类：PRODUCTION_CORN,FAO总量：2846504.0,国家总量：187030485.98400003; 种类：PRODUCTION_RYE,FAO总量：611280.0,国家总量：459562.2; 种类：PRODUCTION_COTTON,FAO总量：6236493.0,国家总量：2362971.3135; 种类：PRODUCTION_SOYBEANS,FAO总量：50860000.0,国家总量：2303455.655176764; 种类：PRODUCTION_SUNFLOWER,FAO总量：1823000.0,国家总量：3463617.0239999997; 种类：PRODUCTION_WHEAT,FAO总量：48322656.0,国家总量：96575606.2112; "
1978,-22,OKLAHOMA,OTHER (COMBINED) COUNTIES,28.301000000000002,,76.2,,,,1.452,1.63296,,12.7,20.32,5.309089514,,,,,,,86.36,,22.86,,67.48700000000001,,106.67999999999999,,,7.26,,139.7,43.18,6.543761494000001,,,,884.5129821193724,,46.582217583208944,,,,58.55855887098983,2761.5724505788,,331.09733045929363,531.2142858018311,2003.7126097839362,,,,,,,,2.7190730000000003,,15.948659999999999,,,,0.5808,4.5917928,,2.8321,2.5526999999999997,0.146679031224,,,,,,"种类：PRODUCTION_CORN,FAO总量：2846504.0,国家总量：187030485.98400003; 种类：PRODUCTION_RYE,FAO总量：611280.0,国家总量：459562.2; 种类：PRODUCTION_COTTON,FAO总量：6236493.0,国家总量：2362971.3135; 种类：PRODUCTION_SOYBEANS,FAO总量：50860000.0,国家总量：2303455.655176764; 种类：PRODUCTION_SUNFLOWER,FAO总量：1823000.0,国家总量：3463617.0239999997; 种类：PRODUCTION_WHEAT,FAO总量：48322656.0,国家总量：96575606.2112; "
1978,-21,FLORIDA,OTHER (COMBINED) COUNTIES,,,632.4599999999999,152.39000000000001,,,,,,,,92.106529708,,,,,65.328,,660.4,,,,,,777.24,165.452,,,,,,95.06974246,,,103.436,,,566.331524974283,346.4636936390383,,,,,,,,49997.40035841822,,,,,849.8769769135488,,,,,8.56234,97.24659,,,,,,,,0.114577559744,,,,,7.082644,"种类：PRODUCTION_CORN,FAO总量：2846504.0,国家总量：187030485.98400003; 种类：PRODUCTION_RYE,FAO总量：611280.0,国家总量：459562.2; 种类：PRODUCTION_COTTON,FAO总量：6236493.0,国家总量：2362971.3135; 种类：PRODUCTION_SOYBEANS,FAO总量：50860000.0,国家总量：2303455.655176764; 种类：PRODUCTION_SUNFLOWER,FAO总量：1823000.0,国家总量：3463617.0239999997; 种类：PRODUCTION_WHEAT,FAO总量：48322656.0,国家总量：96575606.2112; "
