year,OBJECTID,State,County,AREA HARVESTED_BARLEY,AREA HARVESTED_BEANS,AREA HARVESTED_CORN,AREA HARVESTED_COTTON,AREA HARVESTED_FLAXSEED,AREA HARVESTED_HAY,AREA HARVESTED_OATS,AREA HARVESTED_PEANUTS,AREA HARVESTED_RICE,AREA HARVESTED_RYE,AREA HARVESTED_SORGHUM,AREA HARVESTED_SOYBEANS,AREA HARVESTED_SUGARBEETS,AREA HARVESTED_SUGARCANE,AREA HARVESTED_SUNFLOWER,AREA HARVESTED_TOBACCO,AREA HARVESTED_WHEAT,"AREA PLANTED, NET_BARLEY","AREA PLANTED, NET_CORN","AREA PLANTED, NET_OATS","AREA PLANTED, NET_SORGHUM","AREA PLANTED, NET_WHEAT",AREA PLANTED_BARLEY,AREA PLANTED_BEANS,AREA PLANTED_CHICKPEAS,AREA PLANTED_CORN,AREA PLANTED_COTTON,AREA PLANTED_FLAXSEED,AREA PLANTED_OATS,AREA PLANTED_RICE,AREA PLANTED_RYE,AREA PLANTED_SORGHUM,AREA PLANTED_SOYBEANS,AREA PLANTED_SUGARBEETS,AREA PLANTED_SUNFLOWER,AREA PLANTED_WHEAT,PRODUCTION_BARLEY,PRODUCTION_BEANS,PRODUCTION_CHICKPEAS,PRODUCTION_CORN,PRODUCTION_COTTON,PRODUCTION_FLAXSEED,PRODUCTION_HAY,PRODUCTION_OATS,PRODUCTION_PEANUTS,PRODUCTION_RICE,PRODUCTION_RYE,PRODUCTION_SORGHUM,PRODUCTION_SOYBEANS,PRODUCTION_SUGARBEETS,PRODUCTION_SUGARCANE,PRODUCTION_SUNFLOWER,PRODUCTION_TOBACCO,PRODUCTION_WHEAT,SUCROSE_SUGARBEETS,SUCROSE_SUGARCANE,YIELD_BARLEY,YIELD_BEANS,YIELD_CHICKPEAS,YIELD_CORN,YIELD_COTTON,YIELD_FLAXSEED,YIELD_HAY,YIELD_OATS,YIELD_PEANUTS,YIELD_RICE,YIELD_RYE,YIELD_SORGHUM,YIELD_SOYBEANS,YIELD_SUGARBEETS,YIELD_SUGARCANE,YIELD_SUNFLOWER,YIELD_TOBACCO,YIELD_WHEAT,标记
1981,-39,WASHINGTON,OTHER (COMBINED) COUNTIES,14.150500000000001,,12.7,,,,28.314,,,,,,,,,,,,,,,,15.239,,,12.7,,,47.19,,,,,,,,849.1595940450503,,,3.585667541296212,,,,1568.7467429061428,,,,,,,,,,,,,2.5187890000000004,,,1.143,,,,4.0104239999999995,,,,,,,,,,,"种类：PRODUCTION_BEANS,FAO总量：1485560.0,国家总量：1888597.26094; 种类：PRODUCTION_CORN,FAO总量：2805520.0,国家总量：208673050.522; 种类：PRODUCTION_RYE,FAO总量：461970.0,国家总量：321589.4; 种类：PRODUCTION_COTTON,FAO总量：9209692.0,国家总量：3404368.653; 种类：PRODUCTION_SOYBEANS,FAO总量：54436000.0,国家总量：2450874.007982388; 种类：PRODUCTION_SUNFLOWER,FAO总量：2035400.0,国家总量：4070978.3520000004; 种类：PRODUCTION_WHEAT,FAO总量：75806304.0,国家总量：151632907.90399998; "
1981,-38,MASSACHUSETTS,OTHER (COMBINED) COUNTIES,,,,,,,,,,,,,,,,0.108864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.8847523460254,,,,,,,,,,,,,,,,,,,,1.04328,,"种类：PRODUCTION_BEANS,FAO总量：1485560.0,国家总量：1888597.26094; 种类：PRODUCTION_CORN,FAO总量：2805520.0,国家总量：208673050.522; 种类：PRODUCTION_RYE,FAO总量：461970.0,国家总量：321589.4; 种类：PRODUCTION_COTTON,FAO总量：9209692.0,国家总量：3404368.653; 种类：PRODUCTION_SOYBEANS,FAO总量：54436000.0,国家总量：2450874.007982388; 种类：PRODUCTION_SUNFLOWER,FAO总量：2035400.0,国家总量：4070978.3520000004; 种类：PRODUCTION_WHEAT,FAO总量：75806304.0,国家总量：151632907.90399998; "
1981,-35,OHIO,OTHER (COMBINED) COUNTIES,,,7294.88,,,,209.088,,,,,10.741646226,,,,,495.404,,58.419999999999995,,,,,,,71.11999999999999,,,,,,,11.358982216,,,506.29200000000003,,,,1427.0956814358926,,,,10653.976944339194,,,,,6773.5098214112095,,,,,9525.724569830643,,,,,,7.5057,,,,5.324484,,,,,0.143098482482,,,,,17.306476,"种类：PRODUCTION_BEANS,FAO总量：1485560.0,国家总量：1888597.26094; 种类：PRODUCTION_CORN,FAO总量：2805520.0,国家总量：208673050.522; 种类：PRODUCTION_RYE,FAO总量：461970.0,国家总量：321589.4; 种类：PRODUCTION_COTTON,FAO总量：9209692.0,国家总量：3404368.653; 种类：PRODUCTION_SOYBEANS,FAO总量：54436000.0,国家总量：2450874.007982388; 种类：PRODUCTION_SUNFLOWER,FAO总量：2035400.0,国家总量：4070978.3520000004; 种类：PRODUCTION_WHEAT,FAO总量：75806304.0,国家总量：151632907.90399998; "
1981,-34,NEW YORK,OTHER (COMBINED) COUNTIES,,,25.4,,,,11.616,,,,,,,,,,97.992,,15.24,,,,,2267.95,,25.4,,,23.232,,,,,,,103.436,,20265.748501440798,,19.05526179088844,,,,657.4354918820878,,,,,,,,,,1752.7333208488387,,,,26.1766789,,4.6228,,,,1.21968,,,,,,,,,,19.7345,"种类：PRODUCTION_BEANS,FAO总量：1485560.0,国家总量：1888597.26094; 种类：PRODUCTION_CORN,FAO总量：2805520.0,国家总量：208673050.522; 种类：PRODUCTION_RYE,FAO总量：461970.0,国家总量：321589.4; 种类：PRODUCTION_COTTON,FAO总量：9209692.0,国家总量：3404368.653; 种类：PRODUCTION_SOYBEANS,FAO总量：54436000.0,国家总量：2450874.007982388; 种类：PRODUCTION_SUNFLOWER,FAO总量：2035400.0,国家总量：4070978.3520000004; 种类：PRODUCTION_WHEAT,FAO总量：75806304.0,国家总量：151632907.90399998; "
1981,-33,INDIANA,OTHER (COMBINED) COUNTIES,,,4140.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,834.9482989018321,,,,,,,,,,,,,,,,,,,,3.4696399999999996,,,,,,,,,,,,,,,"种类：PRODUCTION_BEANS,FAO总量：1485560.0,国家总量：1888597.26094; 种类：PRODUCTION_CORN,FAO总量：2805520.0,国家总量：208673050.522; 种类：PRODUCTION_RYE,FAO总量：461970.0,国家总量：321589.4; 种类：PRODUCTION_COTTON,FAO总量：9209692.0,国家总量：3404368.653; 种类：PRODUCTION_SOYBEANS,FAO总量：54436000.0,国家总量：2450874.007982388; 种类：PRODUCTION_SUNFLOWER,FAO总量：2035400.0,国家总量：4070978.3520000004; 种类：PRODUCTION_WHEAT,FAO总量：75806304.0,国家总量：151632907.90399998; "
1981,-32,IDAHO,OTHER (COMBINED) COUNTIES,,,40.64,,,,13.068,,,,,,300.0,,,,,,,,,,,,,40.64,,,18.876,,,,,400.0,,,,,,8.571452884431897,,,,707.3301497481392,,,,,,6569.123373421813,,,,,15.25,,,,,1.1887199999999998,,,,1.316964,,,,,,24.0,,,,,"种类：PRODUCTION_BEANS,FAO总量：1485560.0,国家总量：1888597.26094; 种类：PRODUCTION_CORN,FAO总量：2805520.0,国家总量：208673050.522; 种类：PRODUCTION_RYE,FAO总量：461970.0,国家总量：321589.4; 种类：PRODUCTION_COTTON,FAO总量：9209692.0,国家总量：3404368.653; 种类：PRODUCTION_SOYBEANS,FAO总量：54436000.0,国家总量：2450874.007982388; 种类：PRODUCTION_SUNFLOWER,FAO总量：2035400.0,国家总量：4070978.3520000004; 种类：PRODUCTION_WHEAT,FAO总量：75806304.0,国家总量：151632907.90399998; "
1981,-31,CALIFORNIA,OTHER (COMBINED) COUNTIES,,,71.11999999999999,,,,,,,,,,,,,,,,,,,,,81.6462,0.8229755523999999,,,,,,,,,,,,,1188.1151850316523,9.0527310764,17.757591633086,,,,,,,,,,,,,,,,,,50.80208,0.45263655381999995,2.86258,,,,,,,,,,,,,,,"种类：PRODUCTION_BEANS,FAO总量：1485560.0,国家总量：1888597.26094; 种类：PRODUCTION_CORN,FAO总量：2805520.0,国家总量：208673050.522; 种类：PRODUCTION_RYE,FAO总量：461970.0,国家总量：321589.4; 种类：PRODUCTION_COTTON,FAO总量：9209692.0,国家总量：3404368.653; 种类：PRODUCTION_SOYBEANS,FAO总量：54436000.0,国家总量：2450874.007982388; 种类：PRODUCTION_SUNFLOWER,FAO总量：2035400.0,国家总量：4070978.3520000004; 种类：PRODUCTION_WHEAT,FAO总量：75806304.0,国家总量：151632907.90399998; "
1981,-30,MISSOURI,OTHER (COMBINED) COUNTIES,,,2819.4,,,,57.354,,31.751299999999997,,,,,,,0.0199584,,,,,,,,,,,,,134.31,31.751299999999997,,,,,,,,,,530.6787961118393,,,,2816.113189557426,,1255.0174309878255,,,,,,,34.32269138725403,,,,,,,3.14452,,,,6.1288920000000005,,196.585906,,,,,,,2.2203720000000002,,"种类：PRODUCTION_BEANS,FAO总量：1485560.0,国家总量：1888597.26094; 种类：PRODUCTION_CORN,FAO总量：2805520.0,国家总量：208673050.522; 种类：PRODUCTION_RYE,FAO总量：461970.0,国家总量：321589.4; 种类：PRODUCTION_COTTON,FAO总量：9209692.0,国家总量：3404368.653; 种类：PRODUCTION_SOYBEANS,FAO总量：54436000.0,国家总量：2450874.007982388; 种类：PRODUCTION_SUNFLOWER,FAO总量：2035400.0,国家总量：4070978.3520000004; 种类：PRODUCTION_WHEAT,FAO总量：75806304.0,国家总量：151632907.90399998; "
1981,-28,ILLINOIS,OTHER (COMBINED) COUNTIES,,,5588.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1202.0523567012062,,,,,,,,,,,,,,,,,,,,3.5433,,,,,,,,,,,,,,,"种类：PRODUCTION_BEANS,FAO总量：1485560.0,国家总量：1888597.26094; 种类：PRODUCTION_CORN,FAO总量：2805520.0,国家总量：208673050.522; 种类：PRODUCTION_RYE,FAO总量：461970.0,国家总量：321589.4; 种类：PRODUCTION_COTTON,FAO总量：9209692.0,国家总量：3404368.653; 种类：PRODUCTION_SOYBEANS,FAO总量：54436000.0,国家总量：2450874.007982388; 种类：PRODUCTION_SUNFLOWER,FAO总量：2035400.0,国家总量：4070978.3520000004; 种类：PRODUCTION_WHEAT,FAO总量：75806304.0,国家总量：151632907.90399998; "
1981,-26,ARIZONA,OTHER (COMBINED) COUNTIES,15.239,,,,,136400.0,,,,,,,,,,,,,,,,,23.947000000000003,,,,,,,,,,,,,,1099.5528076737187,,,,,,975000.0,,,,,,,,,,,,,,5.076764,,,,,,18.45,,,,,,,,,,,,"种类：PRODUCTION_BEANS,FAO总量：1485560.0,国家总量：1888597.26094; 种类：PRODUCTION_CORN,FAO总量：2805520.0,国家总量：208673050.522; 种类：PRODUCTION_RYE,FAO总量：461970.0,国家总量：321589.4; 种类：PRODUCTION_COTTON,FAO总量：9209692.0,国家总量：3404368.653; 种类：PRODUCTION_SOYBEANS,FAO总量：54436000.0,国家总量：2450874.007982388; 种类：PRODUCTION_SUNFLOWER,FAO总量：2035400.0,国家总量：4070978.3520000004; 种类：PRODUCTION_WHEAT,FAO总量：75806304.0,国家总量：151632907.90399998; "
1981,-25,ALABAMA,OTHER (COMBINED) COUNTIES,,,48.26,118.6465,,,146.652,0.06804,,,193.04,0.987737584,,,,,70.772,,,,,,,,,88.89999999999999,118.6465,,381.876,,,375.91999999999996,0.987737584,,,163.32,,,,14.035327233073744,353.3606643863079,,,7980.210278693737,139.24292060825636,,,6999.321708019331,521.0392170316314,,,,,1001.5618976279078,,,,,,1.1049,369.26274,,,10.762224,1.750896,,,9.31164,0.029385193124,,,,,7.245964,"种类：PRODUCTION_BEANS,FAO总量：1485560.0,国家总量：1888597.26094; 种类：PRODUCTION_CORN,FAO总量：2805520.0,国家总量：208673050.522; 种类：PRODUCTION_RYE,FAO总量：461970.0,国家总量：321589.4; 种类：PRODUCTION_COTTON,FAO总量：9209692.0,国家总量：3404368.653; 种类：PRODUCTION_SOYBEANS,FAO总量：54436000.0,国家总量：2450874.007982388; 种类：PRODUCTION_SUNFLOWER,FAO总量：2035400.0,国家总量：4070978.3520000004; 种类：PRODUCTION_WHEAT,FAO总量：75806304.0,国家总量：151632907.90399998; "
