year,OBJECTID,State,County,AREA HARVESTED_BARLEY,AREA HARVESTED_BEANS,AREA HARVESTED_CORN,AREA HARVESTED_COTTON,AREA HARVESTED_FLAXSEED,AREA HARVESTED_HAY,AREA HARVESTED_OATS,AREA HARVESTED_PEANUTS,AREA HARVESTED_RICE,AREA HARVESTED_RYE,AREA HARVESTED_SORGHUM,AREA HARVESTED_SOYBEANS,AREA HARVESTED_SUGARBEETS,AREA HARVESTED_SUGARCANE,AREA HARVESTED_SUNFLOWER,AREA HARVESTED_TOBACCO,AREA HARVESTED_WHEAT,"AREA PLANTED, NET_BARLEY","AREA PLANTED, NET_CORN","AREA PLANTED, NET_OATS","AREA PLANTED, NET_SORGHUM","AREA PLANTED, NET_WHEAT",AREA PLANTED_BARLEY,AREA PLANTED_BEANS,AREA PLANTED_CHICKPEAS,AREA PLANTED_CORN,AREA PLANTED_COTTON,AREA PLANTED_FLAXSEED,AREA PLANTED_OATS,AREA PLANTED_RICE,AREA PLANTED_RYE,AREA PLANTED_SORGHUM,AREA PLANTED_SOYBEANS,AREA PLANTED_SUGARBEETS,AREA PLANTED_SUNFLOWER,AREA PLANTED_WHEAT,PRODUCTION_BARLEY,PRODUCTION_BEANS,PRODUCTION_CHICKPEAS,PRODUCTION_CORN,PRODUCTION_COTTON,PRODUCTION_FLAXSEED,PRODUCTION_HAY,PRODUCTION_OATS,PRODUCTION_PEANUTS,PRODUCTION_RICE,PRODUCTION_RYE,PRODUCTION_SORGHUM,PRODUCTION_SOYBEANS,PRODUCTION_SUGARBEETS,PRODUCTION_SUGARCANE,PRODUCTION_SUNFLOWER,PRODUCTION_TOBACCO,PRODUCTION_WHEAT,SUCROSE_SUGARBEETS,SUCROSE_SUGARCANE,YIELD_BARLEY,YIELD_BEANS,YIELD_CHICKPEAS,YIELD_CORN,YIELD_COTTON,YIELD_FLAXSEED,YIELD_HAY,YIELD_OATS,YIELD_PEANUTS,YIELD_RICE,YIELD_RYE,YIELD_SORGHUM,YIELD_SOYBEANS,YIELD_SUGARBEETS,YIELD_SUGARCANE,YIELD_SUNFLOWER,YIELD_TOBACCO,YIELD_WHEAT,标记
1984,-40,COLORADO,OTHER (COMBINED) COUNTIES,,,3987.7999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1344.9438023037908,,,,,,,,,,,,,,,,,,,,2.0446999999999997,,,,,,,,,,,,,,,"种类：PRODUCTION_BEANS,FAO总量：955720.0,国家总量：1206989.3823; 种类：PRODUCTION_CORN,FAO总量：3022400.0,国家总量：197153209.96; 种类：PRODUCTION_COTTON,FAO总量：7497500.0,国家总量：2826007.24; 种类：PRODUCTION_SOYBEANS,FAO总量：50648000.0,国家总量：2422688.1752197603; 种类：PRODUCTION_SUNFLOWER,FAO总量：1698500.0,国家总量：3395794.752; 种类：PRODUCTION_WHEAT,FAO总量：70618000.0,国家总量：141259006.6; "
1984,-39,WASHINGTON,OTHER (COMBINED) COUNTIES,8.708,,33.019999999999996,,,,10.89,,,,,,,,,,70.772,8.708,17.779999999999998,,,81.66,8.708,,,33.019999999999996,,,33.396,,,,,,,87.104,727.1186559704864,,,38.93873197173685,,,,745.0843394999555,,,,,,,,,,2830.4189396727647,,,3.63559,,,12.7,,,,2.996928,,,,,,,,,,9.461672000000002,"种类：PRODUCTION_BEANS,FAO总量：955720.0,国家总量：1206989.3823; 种类：PRODUCTION_CORN,FAO总量：3022400.0,国家总量：197153209.96; 种类：PRODUCTION_COTTON,FAO总量：7497500.0,国家总量：2826007.24; 种类：PRODUCTION_SOYBEANS,FAO总量：50648000.0,国家总量：2422688.1752197603; 种类：PRODUCTION_SUNFLOWER,FAO总量：1698500.0,国家总量：3395794.752; 种类：PRODUCTION_WHEAT,FAO总量：70618000.0,国家总量：141259006.6; "
1984,-38,MASSACHUSETTS,OTHER (COMBINED) COUNTIES,,,,,,,,,,,,,,,,0.06804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.89339877874997,,,,,,,,,,,,,,,,,,,,0.891324,,"种类：PRODUCTION_BEANS,FAO总量：955720.0,国家总量：1206989.3823; 种类：PRODUCTION_CORN,FAO总量：3022400.0,国家总量：197153209.96; 种类：PRODUCTION_COTTON,FAO总量：7497500.0,国家总量：2826007.24; 种类：PRODUCTION_SOYBEANS,FAO总量：50648000.0,国家总量：2422688.1752197603; 种类：PRODUCTION_SUNFLOWER,FAO总量：1698500.0,国家总量：3395794.752; 种类：PRODUCTION_WHEAT,FAO总量：70618000.0,国家总量：141259006.6; "
1984,-36,UTAH,OTHER (COMBINED) COUNTIES,13.062000000000001,,55.879999999999995,,,,,,,,,,,,,,65.328,,15.24,,,,17.416,,,63.5,,,,,,,,,,76.21600000000001,870.800785593397,,,30.450088401898213,,,,,,,,,,,,,,2133.7004314456226,,,5.152959,,,10.2362,,,,,,,,,,,,,,19.840658,"种类：PRODUCTION_BEANS,FAO总量：955720.0,国家总量：1206989.3823; 种类：PRODUCTION_CORN,FAO总量：3022400.0,国家总量：197153209.96; 种类：PRODUCTION_COTTON,FAO总量：7497500.0,国家总量：2826007.24; 种类：PRODUCTION_SOYBEANS,FAO总量：50648000.0,国家总量：2422688.1752197603; 种类：PRODUCTION_SUNFLOWER,FAO总量：1698500.0,国家总量：3395794.752; 种类：PRODUCTION_WHEAT,FAO总量：70618000.0,国家总量：141259006.6; "
1984,-35,OHIO,OTHER (COMBINED) COUNTIES,,,5669.28,,,,232.32,,,,,11.729383810000002,2770.0,,,,386.524,,81.28,,,,,,,88.89999999999999,,,,,,,12.3467198,3300.0,,479.072,,,,1482.7869134837392,,,,14054.335972528572,,,,,7813.197350744974,45283.91610930113,,,,7125.035369291632,31.8,,,,,8.2423,,,,6.09114,,,,,0.306075183842,36.1,,,,14.796792000000002,"种类：PRODUCTION_BEANS,FAO总量：955720.0,国家总量：1206989.3823; 种类：PRODUCTION_CORN,FAO总量：3022400.0,国家总量：197153209.96; 种类：PRODUCTION_COTTON,FAO总量：7497500.0,国家总量：2826007.24; 种类：PRODUCTION_SOYBEANS,FAO总量：50648000.0,国家总量：2422688.1752197603; 种类：PRODUCTION_SUNFLOWER,FAO总量：1698500.0,国家总量：3395794.752; 种类：PRODUCTION_WHEAT,FAO总量：70618000.0,国家总量：141259006.6; "
1984,-34,NEW YORK,OTHER (COMBINED) COUNTIES,,,22.86,,,1200.0,5.808,,,,,,,,,,157.876,,12.7,,,,,1406.129,,22.86,,,17.424,,,,,,,185.096,,12929.841373634425,,19.39148852192495,,,2800.0,309.72133328233446,,,,,,,,,,3461.8200877536115,,,,26.417081599999996,,4.876799999999999,,,7.0,1.026564,,,,,,,,,,22.75592,"种类：PRODUCTION_BEANS,FAO总量：955720.0,国家总量：1206989.3823; 种类：PRODUCTION_CORN,FAO总量：3022400.0,国家总量：197153209.96; 种类：PRODUCTION_COTTON,FAO总量：7497500.0,国家总量：2826007.24; 种类：PRODUCTION_SOYBEANS,FAO总量：50648000.0,国家总量：2422688.1752197603; 种类：PRODUCTION_SUNFLOWER,FAO总量：1698500.0,国家总量：3395794.752; 种类：PRODUCTION_WHEAT,FAO总量：70618000.0,国家总量：141259006.6; "
1984,-33,INDIANA,OTHER (COMBINED) COUNTIES,,,3454.3999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,847.3068077049938,,,,,,,,,,,,,,,,,,,,3.61696,,,,,,,,,,,,,,,"种类：PRODUCTION_BEANS,FAO总量：955720.0,国家总量：1206989.3823; 种类：PRODUCTION_CORN,FAO总量：3022400.0,国家总量：197153209.96; 种类：PRODUCTION_COTTON,FAO总量：7497500.0,国家总量：2826007.24; 种类：PRODUCTION_SOYBEANS,FAO总量：50648000.0,国家总量：2422688.1752197603; 种类：PRODUCTION_SUNFLOWER,FAO总量：1698500.0,国家总量：3395794.752; 种类：PRODUCTION_WHEAT,FAO总量：70618000.0,国家总量：141259006.6; "
1984,-32,IDAHO,OTHER (COMBINED) COUNTIES,,,33.019999999999996,,,,21.78,,,,,,,,,,,,,,,,,,,33.019999999999996,,,42.108,,,,,,,,,,,8.761214693640792,,,,1212.5882387940453,,,,,,,,,,,,,,,,1.36652,,,,2.346432,,,,,,,,,,,"种类：PRODUCTION_BEANS,FAO总量：955720.0,国家总量：1206989.3823; 种类：PRODUCTION_CORN,FAO总量：3022400.0,国家总量：197153209.96; 种类：PRODUCTION_COTTON,FAO总量：7497500.0,国家总量：2826007.24; 种类：PRODUCTION_SOYBEANS,FAO总量：50648000.0,国家总量：2422688.1752197603; 种类：PRODUCTION_SUNFLOWER,FAO总量：1698500.0,国家总量：3395794.752; 种类：PRODUCTION_WHEAT,FAO总量：70618000.0,国家总量：141259006.6; "
1984,-31,CALIFORNIA,OTHER (COMBINED) COUNTIES,,,,,,,,,,,,,,,,,,,,,,,,86.18209999999999,0.6172316643,,,,,,,,,,,,,897.9056509468352,4.114877762,,,,,,,,,,,,,,,,,,,35.516096999999995,0.137848405027,,,,,,,,,,,,,,,,"种类：PRODUCTION_BEANS,FAO总量：955720.0,国家总量：1206989.3823; 种类：PRODUCTION_CORN,FAO总量：3022400.0,国家总量：197153209.96; 种类：PRODUCTION_COTTON,FAO总量：7497500.0,国家总量：2826007.24; 种类：PRODUCTION_SOYBEANS,FAO总量：50648000.0,国家总量：2422688.1752197603; 种类：PRODUCTION_SUNFLOWER,FAO总量：1698500.0,国家总量：3395794.752; 种类：PRODUCTION_WHEAT,FAO总量：70618000.0,国家总量：141259006.6; "
1984,-30,MISSOURI,OTHER (COMBINED) COUNTIES,,,3302.0,,,,81.6024,,104.3257,,,4.691753524,,,,0.020412,,,,,,,,,,,,,161.172,108.8616,,,5.185622316,,,,,,,556.8238671958369,,,,3817.4615276733016,,4658.8815791608795,,,1393.8310437404316,,,,41.702637181769475,,,,,,,2.58318,,,,9.40896,,221.714792,,,0.070623237256,,,,2.8213920000000003,,"种类：PRODUCTION_BEANS,FAO总量：955720.0,国家总量：1206989.3823; 种类：PRODUCTION_CORN,FAO总量：3022400.0,国家总量：197153209.96; 种类：PRODUCTION_COTTON,FAO总量：7497500.0,国家总量：2826007.24; 种类：PRODUCTION_SOYBEANS,FAO总量：50648000.0,国家总量：2422688.1752197603; 种类：PRODUCTION_SUNFLOWER,FAO总量：1698500.0,国家总量：3395794.752; 种类：PRODUCTION_WHEAT,FAO总量：70618000.0,国家总量：141259006.6; "
1984,-28,ILLINOIS,OTHER (COMBINED) COUNTIES,,,5588.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1199.312944729495,,,,,,,,,,,,,,,,,,,,3.09626,,,,,,,,,,,,,,,"种类：PRODUCTION_BEANS,FAO总量：955720.0,国家总量：1206989.3823; 种类：PRODUCTION_CORN,FAO总量：3022400.0,国家总量：197153209.96; 种类：PRODUCTION_COTTON,FAO总量：7497500.0,国家总量：2826007.24; 种类：PRODUCTION_SOYBEANS,FAO总量：50648000.0,国家总量：2422688.1752197603; 种类：PRODUCTION_SUNFLOWER,FAO总量：1698500.0,国家总量：3395794.752; 种类：PRODUCTION_WHEAT,FAO总量：70618000.0,国家总量：141259006.6; "
