year,OBJECTID,State,County,AREA HARVESTED_BARLEY,AREA HARVESTED_BEANS,AREA HARVESTED_CORN,AREA HARVESTED_COTTON,AREA HARVESTED_FLAXSEED,AREA HARVESTED_HAY,AREA HARVESTED_OATS,AREA HARVESTED_PEANUTS,AREA HARVESTED_RICE,AREA HARVESTED_RYE,AREA HARVESTED_SORGHUM,AREA HARVESTED_SOYBEANS,AREA HARVESTED_SUGARBEETS,AREA HARVESTED_SUGARCANE,AREA HARVESTED_SUNFLOWER,AREA HARVESTED_TOBACCO,AREA HARVESTED_WHEAT,"AREA PLANTED, NET_BARLEY","AREA PLANTED, NET_CORN","AREA PLANTED, NET_OATS","AREA PLANTED, NET_SORGHUM","AREA PLANTED, NET_WHEAT",AREA PLANTED_BARLEY,AREA PLANTED_BEANS,AREA PLANTED_CHICKPEAS,AREA PLANTED_CORN,AREA PLANTED_COTTON,AREA PLANTED_FLAXSEED,AREA PLANTED_OATS,AREA PLANTED_RICE,AREA PLANTED_RYE,AREA PLANTED_SORGHUM,AREA PLANTED_SOYBEANS,AREA PLANTED_SUGARBEETS,AREA PLANTED_SUNFLOWER,AREA PLANTED_WHEAT,PRODUCTION_BARLEY,PRODUCTION_BEANS,PRODUCTION_CHICKPEAS,PRODUCTION_CORN,PRODUCTION_COTTON,PRODUCTION_FLAXSEED,PRODUCTION_HAY,PRODUCTION_OATS,PRODUCTION_PEANUTS,PRODUCTION_RICE,PRODUCTION_RYE,PRODUCTION_SORGHUM,PRODUCTION_SOYBEANS,PRODUCTION_SUGARBEETS,PRODUCTION_SUGARCANE,PRODUCTION_SUNFLOWER,PRODUCTION_TOBACCO,PRODUCTION_WHEAT,SUCROSE_SUGARBEETS,SUCROSE_SUGARCANE,YIELD_BARLEY,YIELD_BEANS,YIELD_CHICKPEAS,YIELD_CORN,YIELD_COTTON,YIELD_FLAXSEED,YIELD_HAY,YIELD_OATS,YIELD_PEANUTS,YIELD_RICE,YIELD_RYE,YIELD_SORGHUM,YIELD_SOYBEANS,YIELD_SUGARBEETS,YIELD_SUGARCANE,YIELD_SUNFLOWER,YIELD_TOBACCO,YIELD_WHEAT,标记
1985,-40,COLORADO,OTHER (COMBINED) COUNTIES,,,3251.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1021.2716131577209,,,,,,,,,,,,,,,,,,,,2.1209,,,,,,,,,,,,,,,"种类：PRODUCTION_BEANS,FAO总量：1011400.0,国家总量：1300669.325; 种类：PRODUCTION_CORN,FAO总量：3109600.0,国家总量：227685193.6; 种类：PRODUCTION_RYE,FAO总量：518200.0,国家总量：355244.4; 种类：PRODUCTION_COTTON,FAO总量：7713000.0,国家总量：2923694.6725000003; 种类：PRODUCTION_SOYBEANS,FAO总量：57128000.0,国家总量：2935436.33646594; 种类：PRODUCTION_SUNFLOWER,FAO总量：1430000.0,国家总量：2859285.7439999995; 种类：PRODUCTION_WHEAT,FAO总量：65975008.0,国家总量：131968036.664; "
1985,-39,WASHINGTON,OTHER (COMBINED) COUNTIES,13.062000000000001,,7.62,,,,17.424,,,,,,,,,,48.996,13.062000000000001,7.62,,,46.274,13.062000000000001,,,7.62,,,34.848,,,,,,,48.996,783.7472572657996,,,8.325583802916205,,,,1214.3145960825177,,,,,,,,,,1769.058396338832,,,2.6124,,,4.064,,,,2.6862,,,,,,,,,,9.782868,"种类：PRODUCTION_BEANS,FAO总量：1011400.0,国家总量：1300669.325; 种类：PRODUCTION_CORN,FAO总量：3109600.0,国家总量：227685193.6; 种类：PRODUCTION_RYE,FAO总量：518200.0,国家总量：355244.4; 种类：PRODUCTION_COTTON,FAO总量：7713000.0,国家总量：2923694.6725000003; 种类：PRODUCTION_SOYBEANS,FAO总量：57128000.0,国家总量：2935436.33646594; 种类：PRODUCTION_SUNFLOWER,FAO总量：1430000.0,国家总量：2859285.7439999995; 种类：PRODUCTION_WHEAT,FAO总量：65975008.0,国家总量：131968036.664; "
1985,-38,MASSACHUSETTS,OTHER (COMBINED) COUNTIES,,,,,,,,,,,,,,,,0.058968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.49443130616152,,,,,,,,,,,,,,,,,,,,0.8890560000000001,,"种类：PRODUCTION_BEANS,FAO总量：1011400.0,国家总量：1300669.325; 种类：PRODUCTION_CORN,FAO总量：3109600.0,国家总量：227685193.6; 种类：PRODUCTION_RYE,FAO总量：518200.0,国家总量：355244.4; 种类：PRODUCTION_COTTON,FAO总量：7713000.0,国家总量：2923694.6725000003; 种类：PRODUCTION_SOYBEANS,FAO总量：57128000.0,国家总量：2935436.33646594; 种类：PRODUCTION_SUNFLOWER,FAO总量：1430000.0,国家总量：2859285.7439999995; 种类：PRODUCTION_WHEAT,FAO总量：65975008.0,国家总量：131968036.664; "
1985,-36,UTAH,OTHER (COMBINED) COUNTIES,23.947000000000003,,43.18,,,,,,,,,,,,,,38.108000000000004,,12.7,,,,30.478,,,50.8,,,,,,,,,,48.996,1730.7751931286405,,,18.038764906318438,,,,,,,,,,,,,,1224.7327359268836,,,5.494748,,,7.78002,,,,,,,,,,,,,,9.420842,"种类：PRODUCTION_BEANS,FAO总量：1011400.0,国家总量：1300669.325; 种类：PRODUCTION_CORN,FAO总量：3109600.0,国家总量：227685193.6; 种类：PRODUCTION_RYE,FAO总量：518200.0,国家总量：355244.4; 种类：PRODUCTION_COTTON,FAO总量：7713000.0,国家总量：2923694.6725000003; 种类：PRODUCTION_SOYBEANS,FAO总量：57128000.0,国家总量：2935436.33646594; 种类：PRODUCTION_SUNFLOWER,FAO总量：1430000.0,国家总量：2859285.7439999995; 种类：PRODUCTION_WHEAT,FAO总量：65975008.0,国家总量：131968036.664; "
1985,-35,OHIO,OTHER (COMBINED) COUNTIES,,,5153.66,,,,217.8,,,,,10.000843038,3340.0,,,,566.176,,73.66,,,,,,,78.74,,,,,,,10.49471183,3500.0,,615.172,,,,1277.8383540175887,,,,16897.992270786843,,,,,6511.742782238341,59948.57552969077,,,,13589.090112184287,31.78,,,,,8.85444,,,,6.725664,,,,,0.311631207752,40.3,,,,24.862748,"种类：PRODUCTION_BEANS,FAO总量：1011400.0,国家总量：1300669.325; 种类：PRODUCTION_CORN,FAO总量：3109600.0,国家总量：227685193.6; 种类：PRODUCTION_RYE,FAO总量：518200.0,国家总量：355244.4; 种类：PRODUCTION_COTTON,FAO总量：7713000.0,国家总量：2923694.6725000003; 种类：PRODUCTION_SOYBEANS,FAO总量：57128000.0,国家总量：2935436.33646594; 种类：PRODUCTION_SUNFLOWER,FAO总量：1430000.0,国家总量：2859285.7439999995; 种类：PRODUCTION_WHEAT,FAO总量：65975008.0,国家总量：131968036.664; "
1985,-34,NEW YORK,OTHER (COMBINED) COUNTIES,,,7.62,,,1400.0,5.808,,,,,,,,,,185.096,,2.54,,,,,1542.206,,7.62,,,18.876,,,,,,,223.204,,10158.088927637316,,4.301551631506705,,,3000.0,374.53558626159577,,,,,,,,,,4452.583902169737,,,,19.3274699,,5.384799999999999,,,6.470000000000001,1.215324,,,,,,,,,,29.158064000000003,"种类：PRODUCTION_BEANS,FAO总量：1011400.0,国家总量：1300669.325; 种类：PRODUCTION_CORN,FAO总量：3109600.0,国家总量：227685193.6; 种类：PRODUCTION_RYE,FAO总量：518200.0,国家总量：355244.4; 种类：PRODUCTION_COTTON,FAO总量：7713000.0,国家总量：2923694.6725000003; 种类：PRODUCTION_SOYBEANS,FAO总量：57128000.0,国家总量：2935436.33646594; 种类：PRODUCTION_SUNFLOWER,FAO总量：1430000.0,国家总量：2859285.7439999995; 种类：PRODUCTION_WHEAT,FAO总量：65975008.0,国家总量：131968036.664; "
1985,-33,INDIANA,OTHER (COMBINED) COUNTIES,,,3175.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,693.7986502430169,,,,,,,,,,,,,,,,,,,,3.6880799999999994,,,,,,,,,,,,,,,"种类：PRODUCTION_BEANS,FAO总量：1011400.0,国家总量：1300669.325; 种类：PRODUCTION_CORN,FAO总量：3109600.0,国家总量：227685193.6; 种类：PRODUCTION_RYE,FAO总量：518200.0,国家总量：355244.4; 种类：PRODUCTION_COTTON,FAO总量：7713000.0,国家总量：2923694.6725000003; 种类：PRODUCTION_SOYBEANS,FAO总量：57128000.0,国家总量：2935436.33646594; 种类：PRODUCTION_SUNFLOWER,FAO总量：1430000.0,国家总量：2859285.7439999995; 种类：PRODUCTION_WHEAT,FAO总量：65975008.0,国家总量：131968036.664; "
1985,-32,IDAHO,OTHER (COMBINED) COUNTIES,,,33.019999999999996,,,,21.78,,,,,,,,,,,,2.54,,,,,,,33.019999999999996,,,39.204,,,,,,,,,,,10.406979753645254,,,,877.8177803006151,,,,,,,,,,,,,,,,5.9436,,,,1.7061,,,,,,,,,,,"种类：PRODUCTION_BEANS,FAO总量：1011400.0,国家总量：1300669.325; 种类：PRODUCTION_CORN,FAO总量：3109600.0,国家总量：227685193.6; 种类：PRODUCTION_RYE,FAO总量：518200.0,国家总量：355244.4; 种类：PRODUCTION_COTTON,FAO总量：7713000.0,国家总量：2923694.6725000003; 种类：PRODUCTION_SOYBEANS,FAO总量：57128000.0,国家总量：2935436.33646594; 种类：PRODUCTION_SUNFLOWER,FAO总量：1430000.0,国家总量：2859285.7439999995; 种类：PRODUCTION_WHEAT,FAO总量：65975008.0,国家总量：131968036.664; "
1985,-31,CALIFORNIA,OTHER (COMBINED) COUNTIES,,,,,,,,,,,,,,,,,,,,,,,,86.18209999999999,1.0287194405,,,,,,,,,,,,,1022.8631211857016,10.287194405,,,,,,,,,,,,,,,,,,,20.41155,0.20574388809999997,,,,,,,,,,,,,,,,"种类：PRODUCTION_BEANS,FAO总量：1011400.0,国家总量：1300669.325; 种类：PRODUCTION_CORN,FAO总量：3109600.0,国家总量：227685193.6; 种类：PRODUCTION_RYE,FAO总量：518200.0,国家总量：355244.4; 种类：PRODUCTION_COTTON,FAO总量：7713000.0,国家总量：2923694.6725000003; 种类：PRODUCTION_SOYBEANS,FAO总量：57128000.0,国家总量：2935436.33646594; 种类：PRODUCTION_SUNFLOWER,FAO总量：1430000.0,国家总量：2859285.7439999995; 种类：PRODUCTION_WHEAT,FAO总量：65975008.0,国家总量：131968036.664; "
1985,-30,MISSOURI,OTHER (COMBINED) COUNTIES,,,2540.0,,,,82.764,,163.2924,,,6461.779274528,,,,0.0213192,,,,,,,,,,,,,127.776,163.2924,,,6548.70018192,,,,,,,468.3140889140364,,,,3938.4757742820934,,7323.7827033533695,,,4337721.764388941,,,,47.87692706229697,,,,,,,2.9972,,,,7.94244,,427.10034399999995,,,0.75685392374,,,,3.018708,,"种类：PRODUCTION_BEANS,FAO总量：1011400.0,国家总量：1300669.325; 种类：PRODUCTION_CORN,FAO总量：3109600.0,国家总量：227685193.6; 种类：PRODUCTION_RYE,FAO总量：518200.0,国家总量：355244.4; 种类：PRODUCTION_COTTON,FAO总量：7713000.0,国家总量：2923694.6725000003; 种类：PRODUCTION_SOYBEANS,FAO总量：57128000.0,国家总量：2935436.33646594; 种类：PRODUCTION_SUNFLOWER,FAO总量：1430000.0,国家总量：2859285.7439999995; 种类：PRODUCTION_WHEAT,FAO总量：65975008.0,国家总量：131968036.664; "
1985,-28,ILLINOIS,OTHER (COMBINED) COUNTIES,,,4699.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1026.8220023596652,,,,,,,,,,,,,,,,,,,,3.6321999999999997,,,,,,,,,,,,,,,"种类：PRODUCTION_BEANS,FAO总量：1011400.0,国家总量：1300669.325; 种类：PRODUCTION_CORN,FAO总量：3109600.0,国家总量：227685193.6; 种类：PRODUCTION_RYE,FAO总量：518200.0,国家总量：355244.4; 种类：PRODUCTION_COTTON,FAO总量：7713000.0,国家总量：2923694.6725000003; 种类：PRODUCTION_SOYBEANS,FAO总量：57128000.0,国家总量：2935436.33646594; 种类：PRODUCTION_SUNFLOWER,FAO总量：1430000.0,国家总量：2859285.7439999995; 种类：PRODUCTION_WHEAT,FAO总量：65975008.0,国家总量：131968036.664; "
