year,OBJECTID,State,County,AREA HARVESTED_BARLEY,AREA HARVESTED_BEANS,AREA HARVESTED_CORN,AREA HARVESTED_COTTON,AREA HARVESTED_FLAXSEED,AREA HARVESTED_HAY,AREA HARVESTED_OATS,AREA HARVESTED_PEANUTS,AREA HARVESTED_RICE,AREA HARVESTED_RYE,AREA HARVESTED_SORGHUM,AREA HARVESTED_SOYBEANS,AREA HARVESTED_SUGARBEETS,AREA HARVESTED_SUGARCANE,AREA HARVESTED_SUNFLOWER,AREA HARVESTED_TOBACCO,AREA HARVESTED_WHEAT,"AREA PLANTED, NET_BARLEY","AREA PLANTED, NET_CORN","AREA PLANTED, NET_OATS","AREA PLANTED, NET_SORGHUM","AREA PLANTED, NET_WHEAT",AREA PLANTED_BARLEY,AREA PLANTED_BEANS,AREA PLANTED_CHICKPEAS,AREA PLANTED_CORN,AREA PLANTED_COTTON,AREA PLANTED_FLAXSEED,AREA PLANTED_OATS,AREA PLANTED_RICE,AREA PLANTED_RYE,AREA PLANTED_SORGHUM,AREA PLANTED_SOYBEANS,AREA PLANTED_SUGARBEETS,AREA PLANTED_SUNFLOWER,AREA PLANTED_WHEAT,PRODUCTION_BARLEY,PRODUCTION_BEANS,PRODUCTION_CHICKPEAS,PRODUCTION_CORN,PRODUCTION_COTTON,PRODUCTION_FLAXSEED,PRODUCTION_HAY,PRODUCTION_OATS,PRODUCTION_PEANUTS,PRODUCTION_RICE,PRODUCTION_RYE,PRODUCTION_SORGHUM,PRODUCTION_SOYBEANS,PRODUCTION_SUGARBEETS,PRODUCTION_SUGARCANE,PRODUCTION_SUNFLOWER,PRODUCTION_TOBACCO,PRODUCTION_WHEAT,SUCROSE_SUGARBEETS,SUCROSE_SUGARCANE,YIELD_BARLEY,YIELD_BEANS,YIELD_CHICKPEAS,YIELD_CORN,YIELD_COTTON,YIELD_FLAXSEED,YIELD_HAY,YIELD_OATS,YIELD_PEANUTS,YIELD_RICE,YIELD_RYE,YIELD_SORGHUM,YIELD_SOYBEANS,YIELD_SUGARBEETS,YIELD_SUGARCANE,YIELD_SUNFLOWER,YIELD_TOBACCO,YIELD_WHEAT,标记
1986,-41,COLORADO,OTHER COUNTIES,,,2413.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,755.9642563568411,,,,,,,,,,,,,,,,,,,,0.5588,,,,,,,,,,,,,,,"种类：PRODUCTION_CORN,FAO总量：3004500.0,国家总量：210984693.60000002; 种类：PRODUCTION_RYE,FAO总量：485200.0,国家总量：340639.4; 种类：PRODUCTION_COTTON,FAO总量：5567000.0,国家总量：2117922.751; 种类：PRODUCTION_SOYBEANS,FAO总量：52868000.0,国家总量：2690510.13444141; 种类：PRODUCTION_SUNFLOWER,FAO总量：1214000.0,国家总量：2425059.0; 种类：PRODUCTION_WHEAT,FAO总量：56897008.0,国家总量：113809961.18800002; "
1986,-39,WASHINGTON,OTHER (COMBINED) COUNTIES,15.239,,43.18,,,,10.164,,,,,,,,,,32.664,15.239,,,,27.220000000000002,15.239,,,43.18,,,36.3,,,,,,,43.552,1153.760714066247,,,56.60689288030892,,,,614.5032571584173,,,,,,,,,,1034.2150824155676,,,3.2959780000000003,,,10.3378,,,,2.3130360000000003,,,,,,,,,,8.459976000000001,"种类：PRODUCTION_CORN,FAO总量：3004500.0,国家总量：210984693.60000002; 种类：PRODUCTION_RYE,FAO总量：485200.0,国家总量：340639.4; 种类：PRODUCTION_COTTON,FAO总量：5567000.0,国家总量：2117922.751; 种类：PRODUCTION_SOYBEANS,FAO总量：52868000.0,国家总量：2690510.13444141; 种类：PRODUCTION_SUNFLOWER,FAO总量：1214000.0,国家总量：2425059.0; 种类：PRODUCTION_WHEAT,FAO总量：56897008.0,国家总量：113809961.18800002; "
1986,-38,MASSACHUSETTS,OTHER (COMBINED) COUNTIES,,,,,,,,,,,,,,,,0.058968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.60143080928198,,,,,,,,,,,,,,,,,,,,0.8731800000000001,,"种类：PRODUCTION_CORN,FAO总量：3004500.0,国家总量：210984693.60000002; 种类：PRODUCTION_RYE,FAO总量：485200.0,国家总量：340639.4; 种类：PRODUCTION_COTTON,FAO总量：5567000.0,国家总量：2117922.751; 种类：PRODUCTION_SOYBEANS,FAO总量：52868000.0,国家总量：2690510.13444141; 种类：PRODUCTION_SUNFLOWER,FAO总量：1214000.0,国家总量：2425059.0; 种类：PRODUCTION_WHEAT,FAO总量：56897008.0,国家总量：113809961.18800002; "
1986,-36,UTAH,OTHER (COMBINED) COUNTIES,15.239,,53.339999999999996,,,,,,,,,,,,,,59.884,,,,,,17.416,,,55.879999999999995,,,,,,,,,,65.328,1088.4535038360818,,,30.925810487325318,,,,,,,,,,,,,,2095.6463512104924,,,5.843068,,,6.9977,,,,,,,,,,,,,,22.042756,"种类：PRODUCTION_CORN,FAO总量：3004500.0,国家总量：210984693.60000002; 种类：PRODUCTION_RYE,FAO总量：485200.0,国家总量：340639.4; 种类：PRODUCTION_COTTON,FAO总量：5567000.0,国家总量：2117922.751; 种类：PRODUCTION_SOYBEANS,FAO总量：52868000.0,国家总量：2690510.13444141; 种类：PRODUCTION_SUNFLOWER,FAO总量：1214000.0,国家总量：2425059.0; 种类：PRODUCTION_WHEAT,FAO总量：56897008.0,国家总量：113809961.18800002; "
1986,-35,OHIO,OTHER (COMBINED) COUNTIES,,,4135.12,,,,257.004,,,,,11.358982216,1680.0,,,,533.5120000000001,,,,,,,,,81.28,,,473.352,,,,11.482449414000001,1770.0,,609.7280000000001,,,,1079.0756775068726,,,,17661.116231331558,,,,,7370.5112064244,33448.55075637814,,,,9642.6948342062,31.200000000000003,,,,,6.32714,,,,14.030676,,,,,0.167791922082,44.9,,,,18.596704000000003,"种类：PRODUCTION_CORN,FAO总量：3004500.0,国家总量：210984693.60000002; 种类：PRODUCTION_RYE,FAO总量：485200.0,国家总量：340639.4; 种类：PRODUCTION_COTTON,FAO总量：5567000.0,国家总量：2117922.751; 种类：PRODUCTION_SOYBEANS,FAO总量：52868000.0,国家总量：2690510.13444141; 种类：PRODUCTION_SUNFLOWER,FAO总量：1214000.0,国家总量：2425059.0; 种类：PRODUCTION_WHEAT,FAO总量：56897008.0,国家总量：113809961.18800002; "
1986,-34,NEW YORK,OTHER (COMBINED) COUNTIES,,,5.08,,,1600.0,7.26,,,,,,,,,,174.208,,,,,,,1451.4879999999998,,7.62,,,17.424,,,,,,,223.204,,16268.29568375096,,3.942588705401708,,,4000.0,402.3533231394399,,,,,,,,,,4036.1604400586493,,,,28.8347163,,2.7685999999999997,,,7.7,1.131108,,,,,,,,,,27.660964000000003,"种类：PRODUCTION_CORN,FAO总量：3004500.0,国家总量：210984693.60000002; 种类：PRODUCTION_RYE,FAO总量：485200.0,国家总量：340639.4; 种类：PRODUCTION_COTTON,FAO总量：5567000.0,国家总量：2117922.751; 种类：PRODUCTION_SOYBEANS,FAO总量：52868000.0,国家总量：2690510.13444141; 种类：PRODUCTION_SUNFLOWER,FAO总量：1214000.0,国家总量：2425059.0; 种类：PRODUCTION_WHEAT,FAO总量：56897008.0,国家总量：113809961.18800002; "
1986,-33,INDIANA,OTHER (COMBINED) COUNTIES,,,3048.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737.8789870660077,,,,,,,,,,,,,,,,,,,,3.92176,,,,,,,,,,,,,,,"种类：PRODUCTION_CORN,FAO总量：3004500.0,国家总量：210984693.60000002; 种类：PRODUCTION_RYE,FAO总量：485200.0,国家总量：340639.4; 种类：PRODUCTION_COTTON,FAO总量：5567000.0,国家总量：2117922.751; 种类：PRODUCTION_SOYBEANS,FAO总量：52868000.0,国家总量：2690510.13444141; 种类：PRODUCTION_SUNFLOWER,FAO总量：1214000.0,国家总量：2425059.0; 种类：PRODUCTION_WHEAT,FAO总量：56897008.0,国家总量：113809961.18800002; "
1986,-32,IDAHO,OTHER (COMBINED) COUNTIES,,9.0718,35.559999999999995,,,,,,,,,,,,,,,,,,,,,18.1436,,35.559999999999995,,,,,,,,,,,,302.846554494648,,7.595813102150078,,,,,,,,,,,,,,,,,,97.29505499999999,,1.32588,,,,,,,,,,,,,,,"种类：PRODUCTION_CORN,FAO总量：3004500.0,国家总量：210984693.60000002; 种类：PRODUCTION_RYE,FAO总量：485200.0,国家总量：340639.4; 种类：PRODUCTION_COTTON,FAO总量：5567000.0,国家总量：2117922.751; 种类：PRODUCTION_SOYBEANS,FAO总量：52868000.0,国家总量：2690510.13444141; 种类：PRODUCTION_SUNFLOWER,FAO总量：1214000.0,国家总量：2425059.0; 种类：PRODUCTION_WHEAT,FAO总量：56897008.0,国家总量：113809961.18800002; "
1986,-31,CALIFORNIA,OTHER (COMBINED) COUNTIES,,,,,,,,,,,,,,,,,,,,,,,,45.358999999999995,,,,,,,,,,,,,,776.5296269093537,,,,,,,,,,,,,,,,,,,,27.2154,,,,,,,,,,,,,,,,,"种类：PRODUCTION_CORN,FAO总量：3004500.0,国家总量：210984693.60000002; 种类：PRODUCTION_RYE,FAO总量：485200.0,国家总量：340639.4; 种类：PRODUCTION_COTTON,FAO总量：5567000.0,国家总量：2117922.751; 种类：PRODUCTION_SOYBEANS,FAO总量：52868000.0,国家总量：2690510.13444141; 种类：PRODUCTION_SUNFLOWER,FAO总量：1214000.0,国家总量：2425059.0; 种类：PRODUCTION_WHEAT,FAO总量：56897008.0,国家总量：113809961.18800002; "
1986,-30,MISSOURI,OTHER (COMBINED) COUNTIES,,,2058.67,,,,63.162,,,,,6486.287513331001,,,,0.0172368,106.158,,,,,,,,,50.8,,,122.694,,,,6733.715778123001,,,315.752,,,,417.914402772581,,,,3154.4500534132085,,,,,4141455.7961791623,,,,32.91353092842578,1453.3443526576661,,,,,,6.563359999999999,,,,6.43236,,,,,0.729938074576,,,,2.56284,8.100672000000001,"种类：PRODUCTION_CORN,FAO总量：3004500.0,国家总量：210984693.60000002; 种类：PRODUCTION_RYE,FAO总量：485200.0,国家总量：340639.4; 种类：PRODUCTION_COTTON,FAO总量：5567000.0,国家总量：2117922.751; 种类：PRODUCTION_SOYBEANS,FAO总量：52868000.0,国家总量：2690510.13444141; 种类：PRODUCTION_SUNFLOWER,FAO总量：1214000.0,国家总量：2425059.0; 种类：PRODUCTION_WHEAT,FAO总量：56897008.0,国家总量：113809961.18800002; "
1986,-28,ILLINOIS,OTHER (COMBINED) COUNTIES,,,4064.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,925.9657876906763,,,,,,,,,,,,,,,,,,,,3.6449,,,,,,,,,,,,,,,"种类：PRODUCTION_CORN,FAO总量：3004500.0,国家总量：210984693.60000002; 种类：PRODUCTION_RYE,FAO总量：485200.0,国家总量：340639.4; 种类：PRODUCTION_COTTON,FAO总量：5567000.0,国家总量：2117922.751; 种类：PRODUCTION_SOYBEANS,FAO总量：52868000.0,国家总量：2690510.13444141; 种类：PRODUCTION_SUNFLOWER,FAO总量：1214000.0,国家总量：2425059.0; 种类：PRODUCTION_WHEAT,FAO总量：56897008.0,国家总量：113809961.18800002; "
