year,OBJECTID,State,County,AREA HARVESTED_BARLEY,AREA HARVESTED_BEANS,AREA HARVESTED_CORN,AREA HARVESTED_COTTON,AREA HARVESTED_FLAXSEED,AREA HARVESTED_HAY,AREA HARVESTED_OATS,AREA HARVESTED_PEANUTS,AREA HARVESTED_RICE,AREA HARVESTED_RYE,AREA HARVESTED_SORGHUM,AREA HARVESTED_SOYBEANS,AREA HARVESTED_SUGARBEETS,AREA HARVESTED_SUGARCANE,AREA HARVESTED_SUNFLOWER,AREA HARVESTED_TOBACCO,AREA HARVESTED_WHEAT,"AREA PLANTED, NET_BARLEY","AREA PLANTED, NET_CORN","AREA PLANTED, NET_OATS","AREA PLANTED, NET_WHEAT",AREA PLANTED_BARLEY,AREA PLANTED_BEANS,AREA PLANTED_CORN,AREA PLANTED_COTTON,AREA PLANTED_FLAXSEED,AREA PLANTED_OATS,AREA PLANTED_RICE,AREA PLANTED_RYE,AREA PLANTED_SORGHUM,AREA PLANTED_SOYBEANS,AREA PLANTED_SUGARBEETS,AREA PLANTED_SUNFLOWER,AREA PLANTED_WHEAT,PRODUCTION_BARLEY,PRODUCTION_BEANS,PRODUCTION_CORN,PRODUCTION_COTTON,PRODUCTION_FLAXSEED,PRODUCTION_HAY,PRODUCTION_OATS,PRODUCTION_PEANUTS,PRODUCTION_RICE,PRODUCTION_RYE,PRODUCTION_SORGHUM,PRODUCTION_SOYBEANS,PRODUCTION_SUGARBEETS,PRODUCTION_SUGARCANE,PRODUCTION_SUNFLOWER,PRODUCTION_TOBACCO,PRODUCTION_WHEAT,SUCROSE_SUGARBEETS,SUCROSE_SUGARCANE,YIELD_BARLEY,YIELD_BEANS,YIELD_CORN,YIELD_COTTON,YIELD_FLAXSEED,YIELD_HAY,YIELD_OATS,YIELD_PEANUTS,YIELD_RICE,YIELD_RYE,YIELD_SORGHUM,YIELD_SOYBEANS,YIELD_SUGARBEETS,YIELD_SUGARCANE,YIELD_SUNFLOWER,YIELD_TOBACCO,YIELD_WHEAT,标记
1989,-42,CONNECTICUT,OTHER (COMBINED) COUNTIES,,,,,,,,,,,,,,,,0.285768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,486.6973217237765,,,,,,,,,,,,,,,,,,,0.77112,,"种类：PRODUCTION_BEANS,FAO总量：1076330.0,国家总量：1707090.9544900001; 种类：PRODUCTION_CORN,FAO总量：3407000.0,国家总量：193149611.16; 种类：PRODUCTION_RYE,FAO总量：346650.0,国家总量：209753.2; 种类：PRODUCTION_COTTON,FAO总量：6898000.0,国家总量：2653816.3365; 种类：PRODUCTION_SOYBEANS,FAO总量：52350000.0,国家总量：2618285.52762735; 种类：PRODUCTION_SUNFLOWER,FAO总量：798000.0,国家总量：1479361.0608; 种类：PRODUCTION_WHEAT,FAO总量：55428000.0,国家总量：110872259.02; "
1989,-39,WASHINGTON,OTHER (COMBINED) COUNTIES,10.885,,30.48,,,,11.616,,,,,,,,,,32.664,13.062000000000001,10.16,,16.332,13.062000000000001,,30.48,,,43.56,,,,,,,32.664,740.7946607323865,,25.98603419316353,,,,820.2175269342854,,,,,,,,,,816.480248532416,,,2.714719,,6.756399999999999,,,,1.287924,,,,,,,,,,4.083,"种类：PRODUCTION_BEANS,FAO总量：1076330.0,国家总量：1707090.9544900001; 种类：PRODUCTION_CORN,FAO总量：3407000.0,国家总量：193149611.16; 种类：PRODUCTION_RYE,FAO总量：346650.0,国家总量：209753.2; 种类：PRODUCTION_COTTON,FAO总量：6898000.0,国家总量：2653816.3365; 种类：PRODUCTION_SOYBEANS,FAO总量：52350000.0,国家总量：2618285.52762735; 种类：PRODUCTION_SUNFLOWER,FAO总量：798000.0,国家总量：1479361.0608; 种类：PRODUCTION_WHEAT,FAO总量：55428000.0,国家总量：110872259.02; "
1989,-38,MASSACHUSETTS,OTHER (COMBINED) COUNTIES,,,,,,,,,,,,,,,,0.045360000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.07003223053096,,,,,,,,,,,,,,,,,,,0.83916,,"种类：PRODUCTION_BEANS,FAO总量：1076330.0,国家总量：1707090.9544900001; 种类：PRODUCTION_CORN,FAO总量：3407000.0,国家总量：193149611.16; 种类：PRODUCTION_RYE,FAO总量：346650.0,国家总量：209753.2; 种类：PRODUCTION_COTTON,FAO总量：6898000.0,国家总量：2653816.3365; 种类：PRODUCTION_SOYBEANS,FAO总量：52350000.0,国家总量：2618285.52762735; 种类：PRODUCTION_SUNFLOWER,FAO总量：798000.0,国家总量：1479361.0608; 种类：PRODUCTION_WHEAT,FAO总量：55428000.0,国家总量：110872259.02; "
1989,-37,KANSAS,OTHER (COMBINED) COUNTIES,391.86,,,,,,2904.0,,,127.0,,,,,,,,,,,,1306.2,,,,,4065.6,,1143.0,,,,,,12549.933075936902,,,,,,131820.6739715816,,,3358.1981109227413,,,,,,,,,,6.261052000000001,,,,,,5.929968,,,4.246879999999999,,,,,,,,"种类：PRODUCTION_BEANS,FAO总量：1076330.0,国家总量：1707090.9544900001; 种类：PRODUCTION_CORN,FAO总量：3407000.0,国家总量：193149611.16; 种类：PRODUCTION_RYE,FAO总量：346650.0,国家总量：209753.2; 种类：PRODUCTION_COTTON,FAO总量：6898000.0,国家总量：2653816.3365; 种类：PRODUCTION_SOYBEANS,FAO总量：52350000.0,国家总量：2618285.52762735; 种类：PRODUCTION_SUNFLOWER,FAO总量：798000.0,国家总量：1479361.0608; 种类：PRODUCTION_WHEAT,FAO总量：55428000.0,国家总量：110872259.02; "
1989,-36,UTAH,OTHER (COMBINED) COUNTIES,15.239,,60.96,,,,14.52,,,,,,,,,,81.66,,10.16,,,21.77,,60.96,,,20.328,,,,,,,92.548,1100.2979519701623,,34.095469001719735,,,,1092.6469198088873,,,,,,,,,,2147.343053640254,,,5.677616,,6.5912999999999995,,,,2.0720039999999997,,,,,,,,,,16.696748,"种类：PRODUCTION_BEANS,FAO总量：1076330.0,国家总量：1707090.9544900001; 种类：PRODUCTION_CORN,FAO总量：3407000.0,国家总量：193149611.16; 种类：PRODUCTION_RYE,FAO总量：346650.0,国家总量：209753.2; 种类：PRODUCTION_COTTON,FAO总量：6898000.0,国家总量：2653816.3365; 种类：PRODUCTION_SOYBEANS,FAO总量：52350000.0,国家总量：2618285.52762735; 种类：PRODUCTION_SUNFLOWER,FAO总量：798000.0,国家总量：1479361.0608; 种类：PRODUCTION_WHEAT,FAO总量：55428000.0,国家总量：110872259.02; "
1989,-35,OHIO,OTHER (COMBINED) COUNTIES,,,6136.639999999999,,,,193.11599999999999,,,,,9.136572652000002,3600.0,,,,321.196,,,,,,,53.339999999999996,,,315.084,,,,9.506974246,4350.0,,386.524,,,1565.3449355874955,,,,10522.21913124269,,,,,5507.453554540922,51273.284617785706,,,,6319.5571236409005,,,,,5.377179999999999,,,,4.720452,,,,,0.14939530958,30.5,,,,16.321112000000003,"种类：PRODUCTION_BEANS,FAO总量：1076330.0,国家总量：1707090.9544900001; 种类：PRODUCTION_CORN,FAO总量：3407000.0,国家总量：193149611.16; 种类：PRODUCTION_RYE,FAO总量：346650.0,国家总量：209753.2; 种类：PRODUCTION_COTTON,FAO总量：6898000.0,国家总量：2653816.3365; 种类：PRODUCTION_SOYBEANS,FAO总量：52350000.0,国家总量：2618285.52762735; 种类：PRODUCTION_SUNFLOWER,FAO总量：798000.0,国家总量：1479361.0608; 种类：PRODUCTION_WHEAT,FAO总量：55428000.0,国家总量：110872259.02; "
1989,-34,NEW YORK,OTHER (COMBINED) COUNTIES,,,5.08,,,1400.0,5.808,,,,,,,,,,97.992,,,,,,2848.5451999999996,5.08,,,10.164,,,,,,,119.768,,25281.597954675828,7.975024286867429,,,2600.0,357.38049387851004,,,,,,,,,,1850.688563340143,,,,58.46775099999999,2.2605999999999997,,,5.7,1.138368,,,,,,,,,,26.795368,"种类：PRODUCTION_BEANS,FAO总量：1076330.0,国家总量：1707090.9544900001; 种类：PRODUCTION_CORN,FAO总量：3407000.0,国家总量：193149611.16; 种类：PRODUCTION_RYE,FAO总量：346650.0,国家总量：209753.2; 种类：PRODUCTION_COTTON,FAO总量：6898000.0,国家总量：2653816.3365; 种类：PRODUCTION_SOYBEANS,FAO总量：52350000.0,国家总量：2618285.52762735; 种类：PRODUCTION_SUNFLOWER,FAO总量：798000.0,国家总量：1479361.0608; 种类：PRODUCTION_WHEAT,FAO总量：55428000.0,国家总量：110872259.02; "
1989,-32,IDAHO,OTHER (COMBINED) COUNTIES,,4.5359,60.96,,,,,,,,,,,,,,,,,,,,9.0718,60.96,,,,,,,,,,,,114.39637083563724,28.674244626939068,,,,,,,,,,,,,,,,,,99.78979999999999,7.592059999999999,,,,,,,,,,,,,,,"种类：PRODUCTION_BEANS,FAO总量：1076330.0,国家总量：1707090.9544900001; 种类：PRODUCTION_CORN,FAO总量：3407000.0,国家总量：193149611.16; 种类：PRODUCTION_RYE,FAO总量：346650.0,国家总量：209753.2; 种类：PRODUCTION_COTTON,FAO总量：6898000.0,国家总量：2653816.3365; 种类：PRODUCTION_SOYBEANS,FAO总量：52350000.0,国家总量：2618285.52762735; 种类：PRODUCTION_SUNFLOWER,FAO总量：798000.0,国家总量：1479361.0608; 种类：PRODUCTION_WHEAT,FAO总量：55428000.0,国家总量：110872259.02; "
1989,-30,MISSOURI,OTHER (COMBINED) COUNTIES,,,2317.75,,,,58.806,,,,110.49,5374.650596138,,,,0.020412,127.93400000000001,,,,,,,57.15,,,145.2,,,133.35,5436.445928737,,,215.038,,,552.4720476481026,,,,3112.4325798845653,,,,7714.52241336906,3008940.841942204,,,,39.99006938533364,2721.6008284413865,,,,,7.205979999999999,,,,6.365568,,,,12.418059999999999,0.663265787656,,,,2.510676,14.666136,"种类：PRODUCTION_BEANS,FAO总量：1076330.0,国家总量：1707090.9544900001; 种类：PRODUCTION_CORN,FAO总量：3407000.0,国家总量：193149611.16; 种类：PRODUCTION_RYE,FAO总量：346650.0,国家总量：209753.2; 种类：PRODUCTION_COTTON,FAO总量：6898000.0,国家总量：2653816.3365; 种类：PRODUCTION_SOYBEANS,FAO总量：52350000.0,国家总量：2618285.52762735; 种类：PRODUCTION_SUNFLOWER,FAO总量：798000.0,国家总量：1479361.0608; 种类：PRODUCTION_WHEAT,FAO总量：55428000.0,国家总量：110872259.02; "
1989,-29,NEBRASKA,OTHER (COMBINED) COUNTIES,,1419.7367,,,,,,,,,,,,,,,,,,,,,1469.6316,,,,,,,,,,,,,13940.055759103665,,,,,,,,,,,,,,,,,,,140.70361799999998,,,,,,,,,,,,,,,,"种类：PRODUCTION_BEANS,FAO总量：1076330.0,国家总量：1707090.9544900001; 种类：PRODUCTION_CORN,FAO总量：3407000.0,国家总量：193149611.16; 种类：PRODUCTION_RYE,FAO总量：346650.0,国家总量：209753.2; 种类：PRODUCTION_COTTON,FAO总量：6898000.0,国家总量：2653816.3365; 种类：PRODUCTION_SOYBEANS,FAO总量：52350000.0,国家总量：2618285.52762735; 种类：PRODUCTION_SUNFLOWER,FAO总量：798000.0,国家总量：1479361.0608; 种类：PRODUCTION_WHEAT,FAO总量：55428000.0,国家总量：110872259.02; "
1989,-28,ILLINOIS,OTHER (COMBINED) COUNTIES,,,3556.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,878.148741700009,,,,,,,,,,,,,,,,,,,3.1877,,,,,,,,,,,,,,,"种类：PRODUCTION_BEANS,FAO总量：1076330.0,国家总量：1707090.9544900001; 种类：PRODUCTION_CORN,FAO总量：3407000.0,国家总量：193149611.16; 种类：PRODUCTION_RYE,FAO总量：346650.0,国家总量：209753.2; 种类：PRODUCTION_COTTON,FAO总量：6898000.0,国家总量：2653816.3365; 种类：PRODUCTION_SOYBEANS,FAO总量：52350000.0,国家总量：2618285.52762735; 种类：PRODUCTION_SUNFLOWER,FAO总量：798000.0,国家总量：1479361.0608; 种类：PRODUCTION_WHEAT,FAO总量：55428000.0,国家总量：110872259.02; "
