year,OBJECTID,State,County,AREA HARVESTED_BARLEY,AREA HARVESTED_BEANS,AREA HARVESTED_CORN,AREA HARVESTED_COTTON,AREA HARVESTED_FLAXSEED,AREA HARVESTED_HAY,AREA HARVESTED_OATS,AREA HARVESTED_PEANUTS,AREA HARVESTED_RICE,AREA HARVESTED_RYE,AREA HARVESTED_SORGHUM,AREA HARVESTED_SOYBEANS,AREA HARVESTED_SUGARBEETS,AREA HARVESTED_SUGARCANE,AREA HARVESTED_SUNFLOWER,AREA HARVESTED_TOBACCO,AREA HARVESTED_WHEAT,"AREA PLANTED, NET_WHEAT",AREA PLANTED_BARLEY,AREA PLANTED_BEANS,AREA PLANTED_CORN,AREA PLANTED_COTTON,AREA PLANTED_FLAXSEED,AREA PLANTED_OATS,AREA PLANTED_PEANUTS,AREA PLANTED_RICE,AREA PLANTED_RYE,AREA PLANTED_SORGHUM,AREA PLANTED_SOYBEANS,AREA PLANTED_SUGARBEETS,AREA PLANTED_SUNFLOWER,AREA PLANTED_WHEAT,PRODUCTION_BARLEY,PRODUCTION_BEANS,PRODUCTION_CORN,PRODUCTION_COTTON,PRODUCTION_FLAXSEED,PRODUCTION_HAY,PRODUCTION_OATS,PRODUCTION_PEANUTS,PRODUCTION_RICE,PRODUCTION_RYE,PRODUCTION_SORGHUM,PRODUCTION_SOYBEANS,PRODUCTION_SUGARBEETS,PRODUCTION_SUGARCANE,PRODUCTION_SUNFLOWER,PRODUCTION_TOBACCO,PRODUCTION_WHEAT,SUCROSE_SUGARBEETS,SUCROSE_SUGARCANE,YIELD_BARLEY,YIELD_BEANS,YIELD_CORN,YIELD_COTTON,YIELD_FLAXSEED,YIELD_HAY,YIELD_OATS,YIELD_PEANUTS,YIELD_RICE,YIELD_RYE,YIELD_SORGHUM,YIELD_SOYBEANS,YIELD_SUGARBEETS,YIELD_SUGARCANE,YIELD_SUNFLOWER,YIELD_TOBACCO,YIELD_WHEAT,标记
1991,-46,WYOMING,OTHER (COMBINED) COUNTIES,,,,,,,,,,,,,180.0,,,,,,,,,,,,,,,,,180.0,,,,,,,,,,,,,,,3364.802061580842,,,,,16.03,,,,,,,,,,,,,,20.6,,,,,"种类：PRODUCTION_BEANS,FAO总量：1531600.0,国家总量：2234951.3274999997; 种类：PRODUCTION_CORN,FAO总量：3785150.0,国家总量：191853924.14; 种类：PRODUCTION_RYE,FAO总量：247250.0,国家总量：138910.06; 种类：PRODUCTION_COTTON,FAO总量：10118000.0,国家总量：3833116.8295; 种类：PRODUCTION_SOYBEANS,FAO总量：54064730.0,国家总量：2730102.237356872; 种类：PRODUCTION_SUNFLOWER,FAO总量：1638840.0,国家总量：3203670.6576000005; 种类：PRODUCTION_WHEAT,FAO总量：53890000.0,国家总量：107795895.44999999; "
1991,-45,NEVADA,OTHER (COMBINED) COUNTIES,34.832,,,,,,,,,,,,,,,,114.324,,102.319,,,,,,,,,,,,,255.86800000000002,2668.51326025393,,,,,,,,,,,,,,,,4150.437891278727,,,5.087649,,,,,,,,,,,,,,,,17.083272,"种类：PRODUCTION_BEANS,FAO总量：1531600.0,国家总量：2234951.3274999997; 种类：PRODUCTION_CORN,FAO总量：3785150.0,国家总量：191853924.14; 种类：PRODUCTION_RYE,FAO总量：247250.0,国家总量：138910.06; 种类：PRODUCTION_COTTON,FAO总量：10118000.0,国家总量：3833116.8295; 种类：PRODUCTION_SOYBEANS,FAO总量：54064730.0,国家总量：2730102.237356872; 种类：PRODUCTION_SUNFLOWER,FAO总量：1638840.0,国家总量：3203670.6576000005; 种类：PRODUCTION_WHEAT,FAO总量：53890000.0,国家总量：107795895.44999999; "
1991,-44,MONTANA,OTHER (COMBINED) COUNTIES,2.177,36.2872,134.62,,,,13.068,,,,,,1030.0,,,,29038.296000000002,31648.694000000003,2.177,36.2872,134.62,,,26.136,,,,,,1030.0,,34185.598,174.2702537308689,475.58942615048966,118.6664151387735,,,,671.4887141142652,,,,,,16733.069711645265,,,,486581.0087818145,15.85,,1.7416,254.91758,14.604999999999999,,,,1.5246,,,,,,17.9,,,,26.38979,"种类：PRODUCTION_BEANS,FAO总量：1531600.0,国家总量：2234951.3274999997; 种类：PRODUCTION_CORN,FAO总量：3785150.0,国家总量：191853924.14; 种类：PRODUCTION_RYE,FAO总量：247250.0,国家总量：138910.06; 种类：PRODUCTION_COTTON,FAO总量：10118000.0,国家总量：3833116.8295; 种类：PRODUCTION_SOYBEANS,FAO总量：54064730.0,国家总量：2730102.237356872; 种类：PRODUCTION_SUNFLOWER,FAO总量：1638840.0,国家总量：3203670.6576000005; 种类：PRODUCTION_WHEAT,FAO总量：53890000.0,国家总量：107795895.44999999; "
1991,-39,WASHINGTON,OTHER (COMBINED) COUNTIES,26.124000000000002,,38.1,,,,10.164,,,,,,,,,,130.656,108.88000000000001,26.124000000000002,,38.1,,,58.08,,,,,,,,136.1,2012.821430591536,,38.18572987151411,,,,722.5802467099159,,,,,,,,,,4098.72751755132,,,1.67629,,4.9606200000000005,,,,1.026564,,,,,,,,,,15.621558,"种类：PRODUCTION_BEANS,FAO总量：1531600.0,国家总量：2234951.3274999997; 种类：PRODUCTION_CORN,FAO总量：3785150.0,国家总量：191853924.14; 种类：PRODUCTION_RYE,FAO总量：247250.0,国家总量：138910.06; 种类：PRODUCTION_COTTON,FAO总量：10118000.0,国家总量：3833116.8295; 种类：PRODUCTION_SOYBEANS,FAO总量：54064730.0,国家总量：2730102.237356872; 种类：PRODUCTION_SUNFLOWER,FAO总量：1638840.0,国家总量：3203670.6576000005; 种类：PRODUCTION_WHEAT,FAO总量：53890000.0,国家总量：107795895.44999999; "
1991,-37,KANSAS,OTHER (COMBINED) COUNTIES,500.71000000000004,72.5744,,391.86,,,1597.2,,,127.0,,,,,16.23888,,,,653.1,90.71799999999999,,435.40000000000003,,2323.2,,,1778.0,,,,17.508960000000002,,16533.890322716186,721.1552082804811,,747.0409349285397,,,85103.89572361232,,,5199.171679862495,,,,,7540.816490309886,,,,,6.711691000000001,194.272597,,228.3673,,,6.596436,,,3.8023799999999994,,,,,10.029096000000001,,,"种类：PRODUCTION_BEANS,FAO总量：1531600.0,国家总量：2234951.3274999997; 种类：PRODUCTION_CORN,FAO总量：3785150.0,国家总量：191853924.14; 种类：PRODUCTION_RYE,FAO总量：247250.0,国家总量：138910.06; 种类：PRODUCTION_COTTON,FAO总量：10118000.0,国家总量：3833116.8295; 种类：PRODUCTION_SOYBEANS,FAO总量：54064730.0,国家总量：2730102.237356872; 种类：PRODUCTION_SUNFLOWER,FAO总量：1638840.0,国家总量：3203670.6576000005; 种类：PRODUCTION_WHEAT,FAO总量：53890000.0,国家总量：107795895.44999999; "
1991,-36,UTAH,OTHER (COMBINED) COUNTIES,19.593,,43.18,,,,2.904,,,,,,,,,,65.328,,23.947000000000003,,43.18,,,5.808,,,,,,,,81.66,1313.5620374964242,,20.195340076404445,,,,182.46975927018076,,,,,,,,,,1910.56222929683,,,2.723427,,3.9623999999999997,,,,0.9075,,,,,,,,,,9.45895,"种类：PRODUCTION_BEANS,FAO总量：1531600.0,国家总量：2234951.3274999997; 种类：PRODUCTION_CORN,FAO总量：3785150.0,国家总量：191853924.14; 种类：PRODUCTION_RYE,FAO总量：247250.0,国家总量：138910.06; 种类：PRODUCTION_COTTON,FAO总量：10118000.0,国家总量：3833116.8295; 种类：PRODUCTION_SOYBEANS,FAO总量：54064730.0,国家总量：2730102.237356872; 种类：PRODUCTION_SUNFLOWER,FAO总量：1638840.0,国家总量：3203670.6576000005; 种类：PRODUCTION_WHEAT,FAO总量：53890000.0,国家总量：107795895.44999999; "
1991,-35,OHIO,OTHER (COMBINED) COUNTIES,,,5372.099999999999,,,4100.0,242.484,,,,,8.889638256,2900.0,,,0.013608,533.5120000000001,,,,45.72,,,304.92,,,,,9.136572652000002,2980.0,,636.948,,,1415.7785306168198,,,7200.0,13145.121457823823,,,,,5582.035977898662,38740.694006309146,,,25.91812237552074,9824.971008207347,56.540000000000006,,,,4.69392,,,1.76,7.1598120000000005,,,,,0.150876915956,51.0,,,0.86184,9.88086,"种类：PRODUCTION_BEANS,FAO总量：1531600.0,国家总量：2234951.3274999997; 种类：PRODUCTION_CORN,FAO总量：3785150.0,国家总量：191853924.14; 种类：PRODUCTION_RYE,FAO总量：247250.0,国家总量：138910.06; 种类：PRODUCTION_COTTON,FAO总量：10118000.0,国家总量：3833116.8295; 种类：PRODUCTION_SOYBEANS,FAO总量：54064730.0,国家总量：2730102.237356872; 种类：PRODUCTION_SUNFLOWER,FAO总量：1638840.0,国家总量：3203670.6576000005; 种类：PRODUCTION_WHEAT,FAO总量：53890000.0,国家总量：107795895.44999999; "
1991,-34,NEW YORK,OTHER (COMBINED) COUNTIES,,3093.4838,5.08,,,,10.164,,,,,,,,,,103.436,,,3175.1299999999997,5.08,,,14.52,,,,,,,,114.324,,29219.219645847075,8.61935109960686,,,,499.2372613632146,,,,,,,,,,2321.5236204988546,,,,667.6844799999999,2.1844,,,,1.40844,,,,,,,,,,17.208484000000002,"种类：PRODUCTION_BEANS,FAO总量：1531600.0,国家总量：2234951.3274999997; 种类：PRODUCTION_CORN,FAO总量：3785150.0,国家总量：191853924.14; 种类：PRODUCTION_RYE,FAO总量：247250.0,国家总量：138910.06; 种类：PRODUCTION_COTTON,FAO总量：10118000.0,国家总量：3833116.8295; 种类：PRODUCTION_SOYBEANS,FAO总量：54064730.0,国家总量：2730102.237356872; 种类：PRODUCTION_SUNFLOWER,FAO总量：1638840.0,国家总量：3203670.6576000005; 种类：PRODUCTION_WHEAT,FAO总量：53890000.0,国家总量：107795895.44999999; "
1991,-33,INDIANA,OTHER (COMBINED) COUNTIES,,,3048.0,,,,66.792,,,,,,,,,0.10206,,,,,,,,200.376,,,,,,,,,,,781.755099731785,,,,3719.463572963364,,,,,,,,,175.06100201009622,,,,,,2.90068,,,,5.683128,,,,,,,,,1.5467760000000002,,"种类：PRODUCTION_BEANS,FAO总量：1531600.0,国家总量：2234951.3274999997; 种类：PRODUCTION_CORN,FAO总量：3785150.0,国家总量：191853924.14; 种类：PRODUCTION_RYE,FAO总量：247250.0,国家总量：138910.06; 种类：PRODUCTION_COTTON,FAO总量：10118000.0,国家总量：3833116.8295; 种类：PRODUCTION_SOYBEANS,FAO总量：54064730.0,国家总量：2730102.237356872; 种类：PRODUCTION_SUNFLOWER,FAO总量：1638840.0,国家总量：3203670.6576000005; 种类：PRODUCTION_WHEAT,FAO总量：53890000.0,国家总量：107795895.44999999; "
1991,-32,IDAHO,OTHER (COMBINED) COUNTIES,,181.43599999999998,30.48,,,,,,,,,,,,,,,,,181.43599999999998,30.48,,,,,,,,,,,,,2287.8027297173885,9.521376214681998,,,,,,,,,,,,,,,,,,840.0033209999999,1.2522199999999999,,,,,,,,,,,,,,,"种类：PRODUCTION_BEANS,FAO总量：1531600.0,国家总量：2234951.3274999997; 种类：PRODUCTION_CORN,FAO总量：3785150.0,国家总量：191853924.14; 种类：PRODUCTION_RYE,FAO总量：247250.0,国家总量：138910.06; 种类：PRODUCTION_COTTON,FAO总量：10118000.0,国家总量：3833116.8295; 种类：PRODUCTION_SOYBEANS,FAO总量：54064730.0,国家总量：2730102.237356872; 种类：PRODUCTION_SUNFLOWER,FAO总量：1638840.0,国家总量：3203670.6576000005; 种类：PRODUCTION_WHEAT,FAO总量：53890000.0,国家总量：107795895.44999999; "
1991,-30,MISSOURI,OTHER (COMBINED) COUNTIES,,,2070.1,,,,60.984,,145.1488,,100.33,5472.127948959001,,,,0.027216,87.104,,,,85.09,,,144.474,,190.50779999999997,,160.01999999999998,5558.801921955001,,,168.764,,,455.2220080745856,,,,2843.6087284664973,,7950.533016745312,,6966.35702224691,3304870.929444802,,,,59.24791834263776,1045.0938690170694,,,,,7.55142,,,,5.57568,,475.36231999999995,,10.6553,0.6601791077060001,,,,2.896236,2.629452,"种类：PRODUCTION_BEANS,FAO总量：1531600.0,国家总量：2234951.3274999997; 种类：PRODUCTION_CORN,FAO总量：3785150.0,国家总量：191853924.14; 种类：PRODUCTION_RYE,FAO总量：247250.0,国家总量：138910.06; 种类：PRODUCTION_COTTON,FAO总量：10118000.0,国家总量：3833116.8295; 种类：PRODUCTION_SOYBEANS,FAO总量：54064730.0,国家总量：2730102.237356872; 种类：PRODUCTION_SUNFLOWER,FAO总量：1638840.0,国家总量：3203670.6576000005; 种类：PRODUCTION_WHEAT,FAO总量：53890000.0,国家总量：107795895.44999999; "
