year,OBJECTID,State,County,AREA HARVESTED_BARLEY,AREA HARVESTED_BEANS,AREA HARVESTED_CHICKPEAS,AREA HARVESTED_CORN,AREA HARVESTED_COTTON,AREA HARVESTED_FLAXSEED,AREA HARVESTED_HAY,AREA HARVESTED_OATS,AREA HARVESTED_PEANUTS,AREA HARVESTED_RICE,AREA HARVESTED_RYE,AREA HARVESTED_SORGHUM,AREA HARVESTED_SOYBEANS,AREA HARVESTED_SUGARBEETS,AREA HARVESTED_SUGARCANE,AREA HARVESTED_SUNFLOWER,AREA HARVESTED_TOBACCO,AREA HARVESTED_WHEAT,"AREA PLANTED, NET_WHEAT",AREA PLANTED_BARLEY,AREA PLANTED_BEANS,AREA PLANTED_CHICKPEAS,AREA PLANTED_CORN,AREA PLANTED_COTTON,AREA PLANTED_FLAXSEED,AREA PLANTED_OATS,AREA PLANTED_PEANUTS,AREA PLANTED_RICE,AREA PLANTED_RYE,AREA PLANTED_SORGHUM,AREA PLANTED_SOYBEANS,AREA PLANTED_SUGARBEETS,AREA PLANTED_SUNFLOWER,AREA PLANTED_WHEAT,PRODUCTION_BARLEY,PRODUCTION_BEANS,PRODUCTION_CHICKPEAS,PRODUCTION_CORN,PRODUCTION_COTTON,PRODUCTION_FLAXSEED,PRODUCTION_HAY,PRODUCTION_OATS,PRODUCTION_PEANUTS,PRODUCTION_RICE,PRODUCTION_RYE,PRODUCTION_SORGHUM,PRODUCTION_SOYBEANS,PRODUCTION_SUGARBEETS,PRODUCTION_SUGARCANE,PRODUCTION_SUNFLOWER,PRODUCTION_TOBACCO,PRODUCTION_WHEAT,SUCROSE_SUGARBEETS,SUCROSE_SUGARCANE,YIELD_BARLEY,YIELD_BEANS,YIELD_CHICKPEAS,YIELD_CORN,YIELD_COTTON,YIELD_FLAXSEED,YIELD_HAY,YIELD_OATS,YIELD_PEANUTS,YIELD_RICE,YIELD_RYE,YIELD_SORGHUM,YIELD_SOYBEANS,YIELD_SUGARBEETS,YIELD_SUGARCANE,YIELD_SUNFLOWER,YIELD_TOBACCO,YIELD_WHEAT,标记
1993,-46,WYOMING,OTHER (COMBINED) COUNTIES,,244.93859999999998,,,,,,,,,,,,,,,,,,,326.5848,,,,,,,,,,,,,,,2348.5753914147353,,,,,,,,,,,,,,,,,,,,430.00332,,,,,,,,,,,,,,,,,"种类：PRODUCTION_BEANS,FAO总量：991600.0,国家总量：1543584.9135999996; 种类：PRODUCTION_CHICKPEAS,FAO总量：13653.0,国家总量：456.751431582; 种类：PRODUCTION_CORN,FAO总量：3323540.0,国家总量：162861459.9; 种类：PRODUCTION_RYE,FAO总量：262650.0,国家总量：161696.4; 种类：PRODUCTION_COTTON,FAO总量：9266000.0,国家总量：3511098.255; 种类：PRODUCTION_SOYBEANS,FAO总量：50885390.0,国家总量：2568981.124515614; 种类：PRODUCTION_SUNFLOWER,FAO总量：1166670.0,国家总量：2272517.856; 种类：PRODUCTION_WHEAT,FAO总量：65222000.0,国家总量：130454770.706; "
1993,-45,NEVADA,OTHER (COMBINED) COUNTIES,39.186,,,,,,,,,,,,,,,,,57.162,,47.894000000000005,,,,,,,,,,,,,,87.104,3746.726223563881,,,,,,,,,,,,,,,,,2504.0332430324515,,,6.058591000000001,,,,,,,,,,,,,,,,,6.848552,"种类：PRODUCTION_BEANS,FAO总量：991600.0,国家总量：1543584.9135999996; 种类：PRODUCTION_CHICKPEAS,FAO总量：13653.0,国家总量：456.751431582; 种类：PRODUCTION_CORN,FAO总量：3323540.0,国家总量：162861459.9; 种类：PRODUCTION_RYE,FAO总量：262650.0,国家总量：161696.4; 种类：PRODUCTION_COTTON,FAO总量：9266000.0,国家总量：3511098.255; 种类：PRODUCTION_SOYBEANS,FAO总量：50885390.0,国家总量：2568981.124515614; 种类：PRODUCTION_SUNFLOWER,FAO总量：1166670.0,国家总量：2272517.856; 种类：PRODUCTION_WHEAT,FAO总量：65222000.0,国家总量：130454770.706; "
1993,-44,MONTANA,OTHER (COMBINED) COUNTIES,2.177,54.4308,,68.58,,,,42.108,,,,,,,,,,21805.942,22949.182,2.177,54.4308,,71.11999999999999,,,60.984,,,,,,,,23063.506,152.48304398225096,489.52936198222767,,35.29908231898393,,,,2549.3185070678496,,,,,,,,,,490940.21327388956,,,1.5239,188.23985,,6.2992,,,,3.7026,,,,,,,,,,15.763102000000002,"种类：PRODUCTION_BEANS,FAO总量：991600.0,国家总量：1543584.9135999996; 种类：PRODUCTION_CHICKPEAS,FAO总量：13653.0,国家总量：456.751431582; 种类：PRODUCTION_CORN,FAO总量：3323540.0,国家总量：162861459.9; 种类：PRODUCTION_RYE,FAO总量：262650.0,国家总量：161696.4; 种类：PRODUCTION_COTTON,FAO总量：9266000.0,国家总量：3511098.255; 种类：PRODUCTION_SOYBEANS,FAO总量：50885390.0,国家总量：2568981.124515614; 种类：PRODUCTION_SUNFLOWER,FAO总量：1166670.0,国家总量：2272517.856; 种类：PRODUCTION_WHEAT,FAO总量：65222000.0,国家总量：130454770.706; "
1993,-39,WASHINGTON,OTHER (COMBINED) COUNTIES,8.708,,,17.779999999999998,,,,5.808,,,,,,,,,,114.324,70.772,10.885,,,17.779999999999998,,,34.848,,,,,,,,114.324,618.6454927279897,,,29.90832672254585,,,,421.9561666870923,,,,,,,,,,4137.098401531876,,,1.54567,,,4.5339,,,,1.04544,,,,,,,,,,16.604200000000002,"种类：PRODUCTION_BEANS,FAO总量：991600.0,国家总量：1543584.9135999996; 种类：PRODUCTION_CHICKPEAS,FAO总量：13653.0,国家总量：456.751431582; 种类：PRODUCTION_CORN,FAO总量：3323540.0,国家总量：162861459.9; 种类：PRODUCTION_RYE,FAO总量：262650.0,国家总量：161696.4; 种类：PRODUCTION_COTTON,FAO总量：9266000.0,国家总量：3511098.255; 种类：PRODUCTION_SOYBEANS,FAO总量：50885390.0,国家总量：2568981.124515614; 种类：PRODUCTION_SUNFLOWER,FAO总量：1166670.0,国家总量：2272517.856; 种类：PRODUCTION_WHEAT,FAO总量：65222000.0,国家总量：130454770.706; "
1993,-37,KANSAS,OTHER (COMBINED) COUNTIES,326.55,95.25389999999999,,,304.78000000000003,,,435.6,,,533.4,,,,,18.779040000000002,,,,391.86,108.8616,,,348.32,,1016.4,,,1778.0,,,,20.59344,,15030.47147825045,831.3257557948191,,,344.7140558588555,,,14944.280903501187,,,28591.965127238458,,,,,9397.706672308761,,,,,7.88074,307.44330199999996,,,134.5386,,,4.335672000000001,,,6.25094,,,,,11.355876,,,"种类：PRODUCTION_BEANS,FAO总量：991600.0,国家总量：1543584.9135999996; 种类：PRODUCTION_CHICKPEAS,FAO总量：13653.0,国家总量：456.751431582; 种类：PRODUCTION_CORN,FAO总量：3323540.0,国家总量：162861459.9; 种类：PRODUCTION_RYE,FAO总量：262650.0,国家总量：161696.4; 种类：PRODUCTION_COTTON,FAO总量：9266000.0,国家总量：3511098.255; 种类：PRODUCTION_SOYBEANS,FAO总量：50885390.0,国家总量：2568981.124515614; 种类：PRODUCTION_SUNFLOWER,FAO总量：1166670.0,国家总量：2272517.856; 种类：PRODUCTION_WHEAT,FAO总量：65222000.0,国家总量：130454770.706; "
1993,-36,UTAH,OTHER (COMBINED) COUNTIES,37.009,,,48.26,,,,23.232,,,,,,,,,,141.544,,41.363,,,55.879999999999995,,,60.984,,,,,,,,157.876,1938.7129877743337,,,21.511188197325005,,,,1772.8019503172975,,,,,,,,,,4436.493680590105,,,2.63417,,,3.9878,,,,3.1218,,,,,,,,,,16.1959,"种类：PRODUCTION_BEANS,FAO总量：991600.0,国家总量：1543584.9135999996; 种类：PRODUCTION_CHICKPEAS,FAO总量：13653.0,国家总量：456.751431582; 种类：PRODUCTION_CORN,FAO总量：3323540.0,国家总量：162861459.9; 种类：PRODUCTION_RYE,FAO总量：262650.0,国家总量：161696.4; 种类：PRODUCTION_COTTON,FAO总量：9266000.0,国家总量：3511098.255; 种类：PRODUCTION_SOYBEANS,FAO总量：50885390.0,国家总量：2568981.124515614; 种类：PRODUCTION_SUNFLOWER,FAO总量：1166670.0,国家总量：2272517.856; 种类：PRODUCTION_WHEAT,FAO总量：65222000.0,国家总量：130454770.706; "
1993,-35,OHIO,OTHER (COMBINED) COUNTIES,,,,4353.5599999999995,,,,254.1,,,,,6.2968270980000005,3610.0,,,0.015422400000000001,533.5120000000001,,,,,35.559999999999995,,,380.424,,,,,6.420294296000001,3720.0,,593.3960000000001,,,,1244.6943667044948,,,,15054.165321909282,,,,,4020.5512233315017,38036.32679327965,,,29.0619050516412,10862.60507928534,36.16,,,,,5.0546,,,,7.686888,,,,,0.15816148063799998,23.9,,,0.8527680000000001,11.013212000000001,"种类：PRODUCTION_BEANS,FAO总量：991600.0,国家总量：1543584.9135999996; 种类：PRODUCTION_CHICKPEAS,FAO总量：13653.0,国家总量：456.751431582; 种类：PRODUCTION_CORN,FAO总量：3323540.0,国家总量：162861459.9; 种类：PRODUCTION_RYE,FAO总量：262650.0,国家总量：161696.4; 种类：PRODUCTION_COTTON,FAO总量：9266000.0,国家总量：3511098.255; 种类：PRODUCTION_SOYBEANS,FAO总量：50885390.0,国家总量：2568981.124515614; 种类：PRODUCTION_SUNFLOWER,FAO总量：1166670.0,国家总量：2272517.856; 种类：PRODUCTION_WHEAT,FAO总量：65222000.0,国家总量：130454770.706; "
1993,-34,NEW YORK,OTHER (COMBINED) COUNTIES,,2980.0863,,7.62,,,,8.712,,,,,,,,,,92.548,,,3229.5607999999997,,7.62,,,13.068,,,,,,,,103.436,,25904.26207155955,,11.92186333827651,,,,427.81666900219085,,,,,,,,,,2054.9403244451096,,,,482.16616999999997,,3.0987999999999998,,,,1.39392,,,,,,,,,,14.53548,"种类：PRODUCTION_BEANS,FAO总量：991600.0,国家总量：1543584.9135999996; 种类：PRODUCTION_CHICKPEAS,FAO总量：13653.0,国家总量：456.751431582; 种类：PRODUCTION_CORN,FAO总量：3323540.0,国家总量：162861459.9; 种类：PRODUCTION_RYE,FAO总量：262650.0,国家总量：161696.4; 种类：PRODUCTION_COTTON,FAO总量：9266000.0,国家总量：3511098.255; 种类：PRODUCTION_SOYBEANS,FAO总量：50885390.0,国家总量：2568981.124515614; 种类：PRODUCTION_SUNFLOWER,FAO总量：1166670.0,国家总量：2272517.856; 种类：PRODUCTION_WHEAT,FAO总量：65222000.0,国家总量：130454770.706; "
1993,-33,INDIANA,OTHER (COMBINED) COUNTIES,,,,2286.0,,,,78.408,,,,,,,,,0.08618400000000001,,,,,,,,,355.74,,,,,,,,,,,,746.4123133529641,,,,4222.491918028472,,,,,,,,,230.13026535415412,,,,,,,3.63474,,,,5.458068,,,,,,,,,3.610656,,"种类：PRODUCTION_BEANS,FAO总量：991600.0,国家总量：1543584.9135999996; 种类：PRODUCTION_CHICKPEAS,FAO总量：13653.0,国家总量：456.751431582; 种类：PRODUCTION_CORN,FAO总量：3323540.0,国家总量：162861459.9; 种类：PRODUCTION_RYE,FAO总量：262650.0,国家总量：161696.4; 种类：PRODUCTION_COTTON,FAO总量：9266000.0,国家总量：3511098.255; 种类：PRODUCTION_SOYBEANS,FAO总量：50885390.0,国家总量：2568981.124515614; 种类：PRODUCTION_SUNFLOWER,FAO总量：1166670.0,国家总量：2272517.856; 种类：PRODUCTION_WHEAT,FAO总量：65222000.0,国家总量：130454770.706; "
1993,-32,IDAHO,OTHER (COMBINED) COUNTIES,,208.6514,,35.559999999999995,,,,,,,,,,200.0,,,,,,,217.7232,,38.1,,,,,,,,,200.0,,,,1917.323334430392,,16.586940296732532,,,,,,,,,,2371.5695362716333,,,,,16.05,,,756.1345299999999,,4.13512,,,,,,,,,,13.0,,,,,"种类：PRODUCTION_BEANS,FAO总量：991600.0,国家总量：1543584.9135999996; 种类：PRODUCTION_CHICKPEAS,FAO总量：13653.0,国家总量：456.751431582; 种类：PRODUCTION_CORN,FAO总量：3323540.0,国家总量：162861459.9; 种类：PRODUCTION_RYE,FAO总量：262650.0,国家总量：161696.4; 种类：PRODUCTION_COTTON,FAO总量：9266000.0,国家总量：3511098.255; 种类：PRODUCTION_SOYBEANS,FAO总量：50885390.0,国家总量：2568981.124515614; 种类：PRODUCTION_SUNFLOWER,FAO总量：1166670.0,国家总量：2272517.856; 种类：PRODUCTION_WHEAT,FAO总量：65222000.0,国家总量：130454770.706; "
1993,-31,CALIFORNIA,OTHER (COMBINED) COUNTIES,,18.1436,,,,,,,,,,,,,,,,,,,18.1436,,,,,,,,,,,,,,,233.10921999153703,,,,,,,,,,,,,,,,,,,,362.87199999999996,,,,,,,,,,,,,,,,,"种类：PRODUCTION_BEANS,FAO总量：991600.0,国家总量：1543584.9135999996; 种类：PRODUCTION_CHICKPEAS,FAO总量：13653.0,国家总量：456.751431582; 种类：PRODUCTION_CORN,FAO总量：3323540.0,国家总量：162861459.9; 种类：PRODUCTION_RYE,FAO总量：262650.0,国家总量：161696.4; 种类：PRODUCTION_COTTON,FAO总量：9266000.0,国家总量：3511098.255; 种类：PRODUCTION_SOYBEANS,FAO总量：50885390.0,国家总量：2568981.124515614; 种类：PRODUCTION_SUNFLOWER,FAO总量：1166670.0,国家总量：2272517.856; 种类：PRODUCTION_WHEAT,FAO总量：65222000.0,国家总量：130454770.706; "
