year,OBJECTID,State,County,AREA HARVESTED_BARLEY,AREA HARVESTED_BEANS,AREA HARVESTED_CHICKPEAS,AREA HARVESTED_CORN,AREA HARVESTED_COTTON,AREA HARVESTED_FLAXSEED,AREA HARVESTED_HAY,AREA HARVESTED_HAY & HAYLAGE,AREA HARVESTED_OATS,AREA HARVESTED_PEANUTS,AREA HARVESTED_RICE,AREA HARVESTED_RYE,AREA HARVESTED_SORGHUM,AREA HARVESTED_SOYBEANS,AREA HARVESTED_SUGARBEETS,AREA HARVESTED_SUGARCANE,AREA HARVESTED_SUNFLOWER,AREA HARVESTED_TOBACCO,AREA HARVESTED_WHEAT,"AREA PLANTED, NET_WHEAT",AREA PLANTED_BARLEY,AREA PLANTED_BEANS,AREA PLANTED_CHICKPEAS,AREA PLANTED_CORN,AREA PLANTED_COTTON,AREA PLANTED_FLAXSEED,AREA PLANTED_OATS,AREA PLANTED_PEANUTS,AREA PLANTED_RICE,AREA PLANTED_RYE,AREA PLANTED_SORGHUM,AREA PLANTED_SOYBEANS,AREA PLANTED_SUGARBEETS,AREA PLANTED_SUNFLOWER,AREA PLANTED_WHEAT,PRODUCTION_BARLEY,PRODUCTION_BEANS,PRODUCTION_CHICKPEAS,PRODUCTION_CORN,PRODUCTION_COTTON,PRODUCTION_FLAXSEED,PRODUCTION_HAY,PRODUCTION_HAY & HAYLAGE,PRODUCTION_OATS,PRODUCTION_PEANUTS,PRODUCTION_RICE,PRODUCTION_RYE,PRODUCTION_SORGHUM,PRODUCTION_SOYBEANS,PRODUCTION_SUGARBEETS,PRODUCTION_SUGARCANE,PRODUCTION_SUNFLOWER,PRODUCTION_TOBACCO,PRODUCTION_WHEAT,SUCROSE_SUGARBEETS,SUCROSE_SUGARCANE,YIELD_BARLEY,YIELD_BEANS,YIELD_CHICKPEAS,YIELD_CORN,YIELD_COTTON,YIELD_FLAXSEED,YIELD_HAY,YIELD_HAY & HAYLAGE,YIELD_OATS,YIELD_PEANUTS,YIELD_RICE,YIELD_RYE,YIELD_SORGHUM,YIELD_SOYBEANS,YIELD_SUGARBEETS,YIELD_SUGARCANE,YIELD_SUNFLOWER,YIELD_TOBACCO,YIELD_WHEAT,标记
1994,-46,WYOMING,OTHER (COMBINED) COUNTIES,,231.33089999999999,,,,,,,,,,,,,,,,,,,,254.01039999999998,,,,,,,,,,,,,,,2393.8686799359416,,,,,,,,,,,,,,,,,,,,,335.65659999999997,,,,,,,,,,,,,,,,,,"种类：PRODUCTION_BEANS,FAO总量：1313000.0,国家总量：1933075.8427499998; 种类：PRODUCTION_CHICKPEAS,FAO总量：14878.0,国家总量：539.048986822; 种类：PRODUCTION_CORN,FAO总量：4388100.0,国家总量：257400229.42; 种类：PRODUCTION_RYE,FAO总量：288070.0,国家总量：170192.7; 种类：PRODUCTION_COTTON,FAO总量：11179000.0,国家总量：4276760.04; 种类：PRODUCTION_SOYBEANS,FAO总量：68443520.0,国家总量：3461276.0951176537; 种类：PRODUCTION_SUNFLOWER,FAO总量：2193490.0,国家总量：4319143.8192; 种类：PRODUCTION_WHEAT,FAO总量：63168000.0,国家总量：126339191.088; "
1994,-45,NEVADA,OTHER (COMBINED) COUNTIES,23.947000000000003,,,,,,,,,,,,,,,,,,108.88000000000001,,30.478,,,,,,,,,,,,,,155.154,1917.4144431593627,,,,,,,,,,,,,,,,,,4055.677558700692,,,1.7416,,,,,,,,,,,,,,,,,,6.323206000000001,"种类：PRODUCTION_BEANS,FAO总量：1313000.0,国家总量：1933075.8427499998; 种类：PRODUCTION_CHICKPEAS,FAO总量：14878.0,国家总量：539.048986822; 种类：PRODUCTION_CORN,FAO总量：4388100.0,国家总量：257400229.42; 种类：PRODUCTION_RYE,FAO总量：288070.0,国家总量：170192.7; 种类：PRODUCTION_COTTON,FAO总量：11179000.0,国家总量：4276760.04; 种类：PRODUCTION_SOYBEANS,FAO总量：68443520.0,国家总量：3461276.0951176537; 种类：PRODUCTION_SUNFLOWER,FAO总量：2193490.0,国家总量：4319143.8192; 种类：PRODUCTION_WHEAT,FAO总量：63168000.0,国家总量：126339191.088; "
1994,-44,MONTANA,OTHER (COMBINED) COUNTIES,2.177,72.5744,,78.74,,,,,20.328,,,,,,,,,,22935.572,23722.23,2.177,72.5744,,81.28,,,37.752,,,,,,,,23904.604,130.73280294268383,985.8918630366811,,50.532659925396885,,,,,1111.6906542142503,,,,,,,,,,337750.83883984917,,,1.3062,352.43942999999996,,15.5702,,,,,2.29416,,,,,,,,,,12.964886000000002,"种类：PRODUCTION_BEANS,FAO总量：1313000.0,国家总量：1933075.8427499998; 种类：PRODUCTION_CHICKPEAS,FAO总量：14878.0,国家总量：539.048986822; 种类：PRODUCTION_CORN,FAO总量：4388100.0,国家总量：257400229.42; 种类：PRODUCTION_RYE,FAO总量：288070.0,国家总量：170192.7; 种类：PRODUCTION_COTTON,FAO总量：11179000.0,国家总量：4276760.04; 种类：PRODUCTION_SOYBEANS,FAO总量：68443520.0,国家总量：3461276.0951176537; 种类：PRODUCTION_SUNFLOWER,FAO总量：2193490.0,国家总量：4319143.8192; 种类：PRODUCTION_WHEAT,FAO总量：63168000.0,国家总量：126339191.088; "
1994,-39,WASHINGTON,OTHER (COMBINED) COUNTIES,54.425000000000004,,,919.48,,,93200.0,,137.94,,,,,,,,,,315.752,288.53200000000004,65.31,,,919.48,,,286.044,,,,,,,,321.196,2610.298298755587,,,2953.3243680820647,,,274800.0,,7198.196986037272,,,,,,,,,,12330.348550949082,,,3.258969,,,14.879319999999998,,,22.6,,3.945084,,,,,,,,,,16.487154,"种类：PRODUCTION_BEANS,FAO总量：1313000.0,国家总量：1933075.8427499998; 种类：PRODUCTION_CHICKPEAS,FAO总量：14878.0,国家总量：539.048986822; 种类：PRODUCTION_CORN,FAO总量：4388100.0,国家总量：257400229.42; 种类：PRODUCTION_RYE,FAO总量：288070.0,国家总量：170192.7; 种类：PRODUCTION_COTTON,FAO总量：11179000.0,国家总量：4276760.04; 种类：PRODUCTION_SOYBEANS,FAO总量：68443520.0,国家总量：3461276.0951176537; 种类：PRODUCTION_SUNFLOWER,FAO总量：2193490.0,国家总量：4319143.8192; 种类：PRODUCTION_WHEAT,FAO总量：63168000.0,国家总量：126339191.088; "
1994,-37,KANSAS,OTHER (COMBINED) COUNTIES,304.78000000000003,99.78979999999999,,,261.24,,,,1742.4,,,330.2,,,,,15.33168,,,,326.55,113.3975,,,304.78000000000003,,2323.2,,,2286.0,,,,16.23888,,11591.641860917964,1075.8544955387783,,,682.8538268890111,,,,80743.84751661395,,,13972.502052085663,,,,,10135.932640490018,,,,,7.29295,357.15676599999995,,,310.4402,,,,5.7354,,,3.302,,,,,11.466100800000001,,,"种类：PRODUCTION_BEANS,FAO总量：1313000.0,国家总量：1933075.8427499998; 种类：PRODUCTION_CHICKPEAS,FAO总量：14878.0,国家总量：539.048986822; 种类：PRODUCTION_CORN,FAO总量：4388100.0,国家总量：257400229.42; 种类：PRODUCTION_RYE,FAO总量：288070.0,国家总量：170192.7; 种类：PRODUCTION_COTTON,FAO总量：11179000.0,国家总量：4276760.04; 种类：PRODUCTION_SOYBEANS,FAO总量：68443520.0,国家总量：3461276.0951176537; 种类：PRODUCTION_SUNFLOWER,FAO总量：2193490.0,国家总量：4319143.8192; 种类：PRODUCTION_WHEAT,FAO总量：63168000.0,国家总量：126339191.088; "
1994,-36,UTAH,OTHER (COMBINED) COUNTIES,34.832,,,45.72,,,,,14.52,,,,,,,,,,119.768,,41.363,,,50.8,,,50.82,,,,,,,,157.876,1808.4704407071263,,,18.099958739345244,,,,,1111.6906542142503,,,,,,,,,,3592.94924663417,,,2.43824,,,4.1402,,,,,2.23608,,,,,,,,,,14.53548,"种类：PRODUCTION_BEANS,FAO总量：1313000.0,国家总量：1933075.8427499998; 种类：PRODUCTION_CHICKPEAS,FAO总量：14878.0,国家总量：539.048986822; 种类：PRODUCTION_CORN,FAO总量：4388100.0,国家总量：257400229.42; 种类：PRODUCTION_RYE,FAO总量：288070.0,国家总量：170192.7; 种类：PRODUCTION_COTTON,FAO总量：11179000.0,国家总量：4276760.04; 种类：PRODUCTION_SOYBEANS,FAO总量：68443520.0,国家总量：3461276.0951176537; 种类：PRODUCTION_SUNFLOWER,FAO总量：2193490.0,国家总量：4319143.8192; 种类：PRODUCTION_WHEAT,FAO总量：63168000.0,国家总量：126339191.088; "
1994,-35,OHIO,OTHER (COMBINED) COUNTIES,,,,4348.48,,,,,277.332,,,,,6.1733599,3430.0,,,0.036288,419.18800000000005,,,,,33.019999999999996,,,374.616,,,,,6.1733599,3580.0,,424.632,,,,1388.110950495671,,,,,15531.488640061723,,,,,4599.690228709288,49522.69543155308,,,79.19743864205681,9714.572622149508,38.83,,,,,7.15264,,,,,7.0944720000000006,,,,,0.18705280497000001,31.5,,,2.0434680000000003,13.316024,"种类：PRODUCTION_BEANS,FAO总量：1313000.0,国家总量：1933075.8427499998; 种类：PRODUCTION_CHICKPEAS,FAO总量：14878.0,国家总量：539.048986822; 种类：PRODUCTION_CORN,FAO总量：4388100.0,国家总量：257400229.42; 种类：PRODUCTION_RYE,FAO总量：288070.0,国家总量：170192.7; 种类：PRODUCTION_COTTON,FAO总量：11179000.0,国家总量：4276760.04; 种类：PRODUCTION_SOYBEANS,FAO总量：68443520.0,国家总量：3461276.0951176537; 种类：PRODUCTION_SUNFLOWER,FAO总量：2193490.0,国家总量：4319143.8192; 种类：PRODUCTION_WHEAT,FAO总量：63168000.0,国家总量：126339191.088; "
1994,-34,NEW YORK,OTHER (COMBINED) COUNTIES,,3383.7814,,7.62,,,,,23.232,,,,,,,,,,81.66,,,3429.1403999999998,,7.62,,,29.04,,,,,,,,81.66,,34875.92465492259,,10.349019470582569,,,,,1221.3969687748672,,,,,,,,,,2144.8818229907015,,,,738.89811,,3.2258,,,,,1.56816,,,,,,,,,,16.114240000000002,"种类：PRODUCTION_BEANS,FAO总量：1313000.0,国家总量：1933075.8427499998; 种类：PRODUCTION_CHICKPEAS,FAO总量：14878.0,国家总量：539.048986822; 种类：PRODUCTION_CORN,FAO总量：4388100.0,国家总量：257400229.42; 种类：PRODUCTION_RYE,FAO总量：288070.0,国家总量：170192.7; 种类：PRODUCTION_COTTON,FAO总量：11179000.0,国家总量：4276760.04; 种类：PRODUCTION_SOYBEANS,FAO总量：68443520.0,国家总量：3461276.0951176537; 种类：PRODUCTION_SUNFLOWER,FAO总量：2193490.0,国家总量：4319143.8192; 种类：PRODUCTION_WHEAT,FAO总量：63168000.0,国家总量：126339191.088; "
1994,-33,INDIANA,OTHER (COMBINED) COUNTIES,,,,2540.0,,,,,78.408,,,,,,,,,0.07484400000000001,,,,,,,,,239.58,,,,,,,,,,,,736.1227238489694,,,,,3968.4430853727117,,,,,,,,,197.99359660514205,,,,,,,3.94716,,,,,4.371972,,,,,,,,,3.1411800000000003,,"种类：PRODUCTION_BEANS,FAO总量：1313000.0,国家总量：1933075.8427499998; 种类：PRODUCTION_CHICKPEAS,FAO总量：14878.0,国家总量：539.048986822; 种类：PRODUCTION_CORN,FAO总量：4388100.0,国家总量：257400229.42; 种类：PRODUCTION_RYE,FAO总量：288070.0,国家总量：170192.7; 种类：PRODUCTION_COTTON,FAO总量：11179000.0,国家总量：4276760.04; 种类：PRODUCTION_SOYBEANS,FAO总量：68443520.0,国家总量：3461276.0951176537; 种类：PRODUCTION_SUNFLOWER,FAO总量：2193490.0,国家总量：4319143.8192; 种类：PRODUCTION_WHEAT,FAO总量：63168000.0,国家总量：126339191.088; "
1994,-32,IDAHO,OTHER (COMBINED) COUNTIES,19.593,226.795,,40.64,,,,,2.904,,,,,,,,,,130.656,106.158,23.947000000000003,231.33089999999999,,40.64,,,8.712,,,,,,,,146.988,1176.5952264841544,2735.84991992679,,23.426023153076024,,,,,175.53010329698688,,,,,,,,,,3821.5914714199807,,,1.3062,802.8543,,4.318,,,,,0.8712,,,,,,,,,,15.482736000000003,"种类：PRODUCTION_BEANS,FAO总量：1313000.0,国家总量：1933075.8427499998; 种类：PRODUCTION_CHICKPEAS,FAO总量：14878.0,国家总量：539.048986822; 种类：PRODUCTION_CORN,FAO总量：4388100.0,国家总量：257400229.42; 种类：PRODUCTION_RYE,FAO总量：288070.0,国家总量：170192.7; 种类：PRODUCTION_COTTON,FAO总量：11179000.0,国家总量：4276760.04; 种类：PRODUCTION_SOYBEANS,FAO总量：68443520.0,国家总量：3461276.0951176537; 种类：PRODUCTION_SUNFLOWER,FAO总量：2193490.0,国家总量：4319143.8192; 种类：PRODUCTION_WHEAT,FAO总量：63168000.0,国家总量：126339191.088; "
1994,-31,CALIFORNIA,OTHER (COMBINED) COUNTIES,8.708,,,,239.47,,,,,,,,,,,,,,,,13.062000000000001,,,,239.47,,,,,,,,,,,326.83200735670954,,,,1707.1345672225277,,,,,,,,,,,,,,,,,1.9593,,,,284.96930000000003,,,,,,,,,,,,,,,"种类：PRODUCTION_BEANS,FAO总量：1313000.0,国家总量：1933075.8427499998; 种类：PRODUCTION_CHICKPEAS,FAO总量：14878.0,国家总量：539.048986822; 种类：PRODUCTION_CORN,FAO总量：4388100.0,国家总量：257400229.42; 种类：PRODUCTION_RYE,FAO总量：288070.0,国家总量：170192.7; 种类：PRODUCTION_COTTON,FAO总量：11179000.0,国家总量：4276760.04; 种类：PRODUCTION_SOYBEANS,FAO总量：68443520.0,国家总量：3461276.0951176537; 种类：PRODUCTION_SUNFLOWER,FAO总量：2193490.0,国家总量：4319143.8192; 种类：PRODUCTION_WHEAT,FAO总量：63168000.0,国家总量：126339191.088; "
