year,OBJECTID,State,County,AREA HARVESTED_BARLEY,AREA HARVESTED_BEANS,AREA HARVESTED_CHICKPEAS,AREA HARVESTED_CORN,AREA HARVESTED_COTTON,AREA HARVESTED_FLAXSEED,AREA HARVESTED_HAY,AREA HARVESTED_HAY & HAYLAGE,AREA HARVESTED_OATS,AREA HARVESTED_PEANUTS,AREA HARVESTED_RICE,AREA HARVESTED_RYE,AREA HARVESTED_SORGHUM,AREA HARVESTED_SOYBEANS,AREA HARVESTED_SUGARBEETS,AREA HARVESTED_SUGARCANE,AREA HARVESTED_SUNFLOWER,AREA HARVESTED_TOBACCO,AREA HARVESTED_WHEAT,"AREA PLANTED, NET_WHEAT",AREA PLANTED_BARLEY,AREA PLANTED_BEANS,AREA PLANTED_CHICKPEAS,AREA PLANTED_CORN,AREA PLANTED_COTTON,AREA PLANTED_FLAXSEED,AREA PLANTED_OATS,AREA PLANTED_PEANUTS,AREA PLANTED_RICE,AREA PLANTED_RYE,AREA PLANTED_SORGHUM,AREA PLANTED_SOYBEANS,AREA PLANTED_SUGARBEETS,AREA PLANTED_SUNFLOWER,AREA PLANTED_WHEAT,PRODUCTION_BARLEY,PRODUCTION_BEANS,PRODUCTION_CHICKPEAS,PRODUCTION_CORN,PRODUCTION_COTTON,PRODUCTION_FLAXSEED,PRODUCTION_HAY,PRODUCTION_HAY & HAYLAGE,PRODUCTION_OATS,PRODUCTION_PEANUTS,PRODUCTION_RICE,PRODUCTION_RYE,PRODUCTION_SORGHUM,PRODUCTION_SOYBEANS,PRODUCTION_SUGARBEETS,PRODUCTION_SUGARCANE,PRODUCTION_SUNFLOWER,PRODUCTION_TOBACCO,PRODUCTION_WHEAT,SUCROSE_SUGARBEETS,SUCROSE_SUGARCANE,YIELD_BARLEY,YIELD_BEANS,YIELD_CHICKPEAS,YIELD_CORN,YIELD_COTTON,YIELD_FLAXSEED,YIELD_HAY,YIELD_HAY & HAYLAGE,YIELD_OATS,YIELD_PEANUTS,YIELD_RICE,YIELD_RYE,YIELD_SORGHUM,YIELD_SOYBEANS,YIELD_SUGARBEETS,YIELD_SUGARCANE,YIELD_SUNFLOWER,YIELD_TOBACCO,YIELD_WHEAT,标记
1995,-46,WYOMING,OTHER (COMBINED) COUNTIES,,244.93859999999998,,213.35999999999999,,,,,14.52,,,,,,,,,,89.82600000000001,,,281.2258,,223.51999999999998,,,71.148,,,,,,,,97.992,,2878.4973947935473,,313.5631951322924,,,,,749.2256231988223,,,,,,,,,,3816.292451829877,,,,381.92278,,7.8613,,,,,1.53912,,,,,,,,,,4.5185200000000005,"种类：PRODUCTION_BEANS,FAO总量：1392000.0,国家总量：2061886.3309499999; 种类：PRODUCTION_CHICKPEAS,FAO总量：21455.0,国家总量：592.542397728; 种类：PRODUCTION_CORN,FAO总量：4004100.0,国家总量：189744596.38; 种类：PRODUCTION_RYE,FAO总量：255640.0,国家总量：139697.46; 种类：PRODUCTION_COTTON,FAO总量：10110000.0,国家总量：3891518.12; 种类：PRODUCTION_SOYBEANS,FAO总量：59173500.0,国家总量：2956931.3583017504; 种类：PRODUCTION_SUNFLOWER,FAO总量：1818600.0,国家总量：3548061.0144000007; 种类：PRODUCTION_WHEAT,FAO总量：59404000.0,国家总量：118806491.60800001; "
1995,-45,NEVADA,OTHER (COMBINED) COUNTIES,30.478,,,,,,,,,,,,,,,,,,87.104,,43.54,,,,,,,,,,,,,,125.212,2267.2322764810583,,,,,,,,,,,,,,,,,,2885.3566326245855,,,1.61098,,,,,,,,,,,,,,,,,,5.444,"种类：PRODUCTION_BEANS,FAO总量：1392000.0,国家总量：2061886.3309499999; 种类：PRODUCTION_CHICKPEAS,FAO总量：21455.0,国家总量：592.542397728; 种类：PRODUCTION_CORN,FAO总量：4004100.0,国家总量：189744596.38; 种类：PRODUCTION_RYE,FAO总量：255640.0,国家总量：139697.46; 种类：PRODUCTION_COTTON,FAO总量：10110000.0,国家总量：3891518.12; 种类：PRODUCTION_SOYBEANS,FAO总量：59173500.0,国家总量：2956931.3583017504; 种类：PRODUCTION_SUNFLOWER,FAO总量：1818600.0,国家总量：3548061.0144000007; 种类：PRODUCTION_WHEAT,FAO总量：59404000.0,国家总量：118806491.60800001; "
1995,-44,MONTANA,OTHER (COMBINED) COUNTIES,4.354,81.6462,,86.36,,,,,17.424,,,,,,,,,,47055.214,48508.762,4.354,81.6462,,88.89999999999999,,,29.04,,,,,,,,48808.182,327.00465526169114,976.8517754671718,,57.03098113175369,,,,,1219.3279750098484,,,,,,,,,,774160.23877509,,,1.6327500000000001,302.99812,,13.3604,,,,,3.02016,,,,,,,,,,26.762704000000003,"种类：PRODUCTION_BEANS,FAO总量：1392000.0,国家总量：2061886.3309499999; 种类：PRODUCTION_CHICKPEAS,FAO总量：21455.0,国家总量：592.542397728; 种类：PRODUCTION_CORN,FAO总量：4004100.0,国家总量：189744596.38; 种类：PRODUCTION_RYE,FAO总量：255640.0,国家总量：139697.46; 种类：PRODUCTION_COTTON,FAO总量：10110000.0,国家总量：3891518.12; 种类：PRODUCTION_SOYBEANS,FAO总量：59173500.0,国家总量：2956931.3583017504; 种类：PRODUCTION_SUNFLOWER,FAO总量：1818600.0,国家总量：3548061.0144000007; 种类：PRODUCTION_WHEAT,FAO总量：59404000.0,国家总量：118806491.60800001; "
1995,-39,WASHINGTON,OTHER (COMBINED) COUNTIES,63.133,,,304.8,,,73000.0,,84.216,,,,,,,,,,1069.746,911.87,71.84100000000001,,,213.35999999999999,,,190.212,,,,,,,,1135.074,5580.8794497995295,,,278.34763629435804,,,200200.0,,6245.015929839596,,,,,,,,,,30949.532936737305,,,5.307526,,,13.063219999999998,,,8.0,,5.262048,,,,,,,,,,23.417366,"种类：PRODUCTION_BEANS,FAO总量：1392000.0,国家总量：2061886.3309499999; 种类：PRODUCTION_CHICKPEAS,FAO总量：21455.0,国家总量：592.542397728; 种类：PRODUCTION_CORN,FAO总量：4004100.0,国家总量：189744596.38; 种类：PRODUCTION_RYE,FAO总量：255640.0,国家总量：139697.46; 种类：PRODUCTION_COTTON,FAO总量：10110000.0,国家总量：3891518.12; 种类：PRODUCTION_SOYBEANS,FAO总量：59173500.0,国家总量：2956931.3583017504; 种类：PRODUCTION_SUNFLOWER,FAO总量：1818600.0,国家总量：3548061.0144000007; 种类：PRODUCTION_WHEAT,FAO总量：59404000.0,国家总量：118806491.60800001; "
1995,-37,KANSAS,OTHER (COMBINED) COUNTIES,121.912,263.0822,,,,,,,1103.52,,,355.59999999999997,,,,,57.289680000000004,,,,134.97400000000002,285.76169999999996,,,,,1727.8799999999999,,,1638.3,,,,58.877280000000006,,4425.46300120822,2742.534326358618,,,,,,,53136.256453140006,,,12503.347333587883,,,,,28748.373179047205,,,,,2.2423100000000002,317.96659,,,,,,,4.99488,,,0.4826,,,,,8.7803352,,,"种类：PRODUCTION_BEANS,FAO总量：1392000.0,国家总量：2061886.3309499999; 种类：PRODUCTION_CHICKPEAS,FAO总量：21455.0,国家总量：592.542397728; 种类：PRODUCTION_CORN,FAO总量：4004100.0,国家总量：189744596.38; 种类：PRODUCTION_RYE,FAO总量：255640.0,国家总量：139697.46; 种类：PRODUCTION_COTTON,FAO总量：10110000.0,国家总量：3891518.12; 种类：PRODUCTION_SOYBEANS,FAO总量：59173500.0,国家总量：2956931.3583017504; 种类：PRODUCTION_SUNFLOWER,FAO总量：1818600.0,国家总量：3548061.0144000007; 种类：PRODUCTION_WHEAT,FAO总量：59404000.0,国家总量：118806491.60800001; "
1995,-36,UTAH,OTHER (COMBINED) COUNTIES,19.593,,,30.48,,,,,5.808,,,,,,,,,,119.768,,28.301000000000002,,,33.019999999999996,,,21.78,,,,,,,,174.208,1133.6161382405292,,,11.684919066468332,,,,,426.0302563287421,,,,,,,,,,3865.2890738933124,,,2.6124,,,1.3461999999999998,,,,,1.05996,,,,,,,,,,13.17448,"种类：PRODUCTION_BEANS,FAO总量：1392000.0,国家总量：2061886.3309499999; 种类：PRODUCTION_CHICKPEAS,FAO总量：21455.0,国家总量：592.542397728; 种类：PRODUCTION_CORN,FAO总量：4004100.0,国家总量：189744596.38; 种类：PRODUCTION_RYE,FAO总量：255640.0,国家总量：139697.46; 种类：PRODUCTION_COTTON,FAO总量：10110000.0,国家总量：3891518.12; 种类：PRODUCTION_SOYBEANS,FAO总量：59173500.0,国家总量：2956931.3583017504; 种类：PRODUCTION_SUNFLOWER,FAO总量：1818600.0,国家总量：3548061.0144000007; 种类：PRODUCTION_WHEAT,FAO总量：59404000.0,国家总量：118806491.60800001; "
1995,-35,OHIO,OTHER (COMBINED) COUNTIES,,,,4086.8599999999997,,,,,278.784,,,,,7.531499078000001,2920.0,,,0.036288,397.41200000000003,,,,,25.4,,,367.356,,,,,7.654966276,3020.0,,402.856,,,,1375.3900148879698,,,,,19268.320144854417,,,,,5769.318190121767,40854.91924185475,,,60.19990951927244,10096.02617962697,17.03,,,,,5.885179999999999,,,,,8.521787999999999,,,,,0.189275214534,15.1,,,1.5309000000000001,13.93664,"种类：PRODUCTION_BEANS,FAO总量：1392000.0,国家总量：2061886.3309499999; 种类：PRODUCTION_CHICKPEAS,FAO总量：21455.0,国家总量：592.542397728; 种类：PRODUCTION_CORN,FAO总量：4004100.0,国家总量：189744596.38; 种类：PRODUCTION_RYE,FAO总量：255640.0,国家总量：139697.46; 种类：PRODUCTION_COTTON,FAO总量：10110000.0,国家总量：3891518.12; 种类：PRODUCTION_SOYBEANS,FAO总量：59173500.0,国家总量：2956931.3583017504; 种类：PRODUCTION_SUNFLOWER,FAO总量：1818600.0,国家总量：3548061.0144000007; 种类：PRODUCTION_WHEAT,FAO总量：59404000.0,国家总量：118806491.60800001; "
1995,-34,NEW YORK,OTHER (COMBINED) COUNTIES,,2893.9042,,15.24,,,,,11.616,,,,,,,,,,92.548,,,2984.6222,,15.24,,,20.328,,,,,,,,97.992,,31847.205218992432,,28.086686196465163,,,,,665.4886417824833,,,,,,,,,,2501.5497597943345,,,,768.8350499999999,,5.4864,,,,,1.56816,,,,,,,,,,14.20884,"种类：PRODUCTION_BEANS,FAO总量：1392000.0,国家总量：2061886.3309499999; 种类：PRODUCTION_CHICKPEAS,FAO总量：21455.0,国家总量：592.542397728; 种类：PRODUCTION_CORN,FAO总量：4004100.0,国家总量：189744596.38; 种类：PRODUCTION_RYE,FAO总量：255640.0,国家总量：139697.46; 种类：PRODUCTION_COTTON,FAO总量：10110000.0,国家总量：3891518.12; 种类：PRODUCTION_SOYBEANS,FAO总量：59173500.0,国家总量：2956931.3583017504; 种类：PRODUCTION_SUNFLOWER,FAO总量：1818600.0,国家总量：3548061.0144000007; 种类：PRODUCTION_WHEAT,FAO总量：59404000.0,国家总量：118806491.60800001; "
1995,-33,INDIANA,OTHER (COMBINED) COUNTIES,,,,2278.38,,,,,435.6,,,,,11.482449414000001,,,,0.108864,2221.152,,,,,269.24,,,1306.8,,,,,11.729383810000002,,,2400.804,,,,1235.8677931906436,,,,,29969.02492795289,,,,,8875.113892469974,,,,163.26945157499648,62195.767640414306,,,,,,6.352539999999999,,,,,8.52324,,,,,0.047658338428,,,,1.955016,17.74744,"种类：PRODUCTION_BEANS,FAO总量：1392000.0,国家总量：2061886.3309499999; 种类：PRODUCTION_CHICKPEAS,FAO总量：21455.0,国家总量：592.542397728; 种类：PRODUCTION_CORN,FAO总量：4004100.0,国家总量：189744596.38; 种类：PRODUCTION_RYE,FAO总量：255640.0,国家总量：139697.46; 种类：PRODUCTION_COTTON,FAO总量：10110000.0,国家总量：3891518.12; 种类：PRODUCTION_SOYBEANS,FAO总量：59173500.0,国家总量：2956931.3583017504; 种类：PRODUCTION_SUNFLOWER,FAO总量：1818600.0,国家总量：3548061.0144000007; 种类：PRODUCTION_WHEAT,FAO总量：59404000.0,国家总量：118806491.60800001; "
1995,-32,IDAHO,OTHER (COMBINED) COUNTIES,21.77,294.83349999999996,,27.939999999999998,,,,,7.26,,,,,,300.0,,,,103.436,78.938,45.717000000000006,322.0489,,33.019999999999996,,,15.972,,,,,,300.0,,125.212,1366.879458993869,3745.108844502668,,14.472147467644264,,,,,543.5558442814985,,,,,,6839.963854971158,,,,3018.736326019496,15.7,,1.3649790000000002,1116.2849899999999,,4.07162,,,,,2.1533160000000002,,,,,,24.7,,,,15.920978,"种类：PRODUCTION_BEANS,FAO总量：1392000.0,国家总量：2061886.3309499999; 种类：PRODUCTION_CHICKPEAS,FAO总量：21455.0,国家总量：592.542397728; 种类：PRODUCTION_CORN,FAO总量：4004100.0,国家总量：189744596.38; 种类：PRODUCTION_RYE,FAO总量：255640.0,国家总量：139697.46; 种类：PRODUCTION_COTTON,FAO总量：10110000.0,国家总量：3891518.12; 种类：PRODUCTION_SOYBEANS,FAO总量：59173500.0,国家总量：2956931.3583017504; 种类：PRODUCTION_SUNFLOWER,FAO总量：1818600.0,国家总量：3548061.0144000007; 种类：PRODUCTION_WHEAT,FAO总量：59404000.0,国家总量：118806491.60800001; "
1995,-31,CALIFORNIA,OTHER (COMBINED) COUNTIES,8.708,,,,217.70000000000002,,,,1.452,,,,,,,,,,,,15.239,,,,261.24,,5.808,,,,,,,,,392.4055863140294,,,,735.248047617982,,,,117.52558795275644,,,,,,,,,,,,,1.9593,,,,135.8448,,,,1.1616,,,,,,,,,,,"种类：PRODUCTION_BEANS,FAO总量：1392000.0,国家总量：2061886.3309499999; 种类：PRODUCTION_CHICKPEAS,FAO总量：21455.0,国家总量：592.542397728; 种类：PRODUCTION_CORN,FAO总量：4004100.0,国家总量：189744596.38; 种类：PRODUCTION_RYE,FAO总量：255640.0,国家总量：139697.46; 种类：PRODUCTION_COTTON,FAO总量：10110000.0,国家总量：3891518.12; 种类：PRODUCTION_SOYBEANS,FAO总量：59173500.0,国家总量：2956931.3583017504; 种类：PRODUCTION_SUNFLOWER,FAO总量：1818600.0,国家总量：3548061.0144000007; 种类：PRODUCTION_WHEAT,FAO总量：59404000.0,国家总量：118806491.60800001; "
