year,OBJECTID,State,County,AREA HARVESTED_BARLEY,AREA HARVESTED_BEANS,AREA HARVESTED_CHICKPEAS,AREA HARVESTED_CORN,AREA HARVESTED_COTTON,AREA HARVESTED_FLAXSEED,AREA HARVESTED_HAY,AREA HARVESTED_HAY & HAYLAGE,AREA HARVESTED_OATS,AREA HARVESTED_PEANUTS,AREA HARVESTED_RICE,AREA HARVESTED_RYE,AREA HARVESTED_SORGHUM,AREA HARVESTED_SOYBEANS,AREA HARVESTED_SUGARBEETS,AREA HARVESTED_SUGARCANE,AREA HARVESTED_SUNFLOWER,AREA HARVESTED_TOBACCO,AREA HARVESTED_WHEAT,"AREA PLANTED, NET_WHEAT",AREA PLANTED_BARLEY,AREA PLANTED_BEANS,AREA PLANTED_CHICKPEAS,AREA PLANTED_CORN,AREA PLANTED_COTTON,AREA PLANTED_FLAXSEED,AREA PLANTED_OATS,AREA PLANTED_PEANUTS,AREA PLANTED_RICE,AREA PLANTED_RYE,AREA PLANTED_SORGHUM,AREA PLANTED_SOYBEANS,AREA PLANTED_SUGARBEETS,AREA PLANTED_SUNFLOWER,AREA PLANTED_WHEAT,PRODUCTION_BARLEY,PRODUCTION_BEANS,PRODUCTION_CHICKPEAS,PRODUCTION_CORN,PRODUCTION_COTTON,PRODUCTION_FLAXSEED,PRODUCTION_HAY,PRODUCTION_HAY & HAYLAGE,PRODUCTION_OATS,PRODUCTION_PEANUTS,PRODUCTION_RICE,PRODUCTION_RYE,PRODUCTION_SORGHUM,PRODUCTION_SOYBEANS,PRODUCTION_SUGARBEETS,PRODUCTION_SUGARCANE,PRODUCTION_SUNFLOWER,PRODUCTION_TOBACCO,PRODUCTION_WHEAT,SUCROSE_SUGARBEETS,SUCROSE_SUGARCANE,YIELD_BARLEY,YIELD_BEANS,YIELD_CHICKPEAS,YIELD_CORN,YIELD_COTTON,YIELD_FLAXSEED,YIELD_HAY,YIELD_HAY & HAYLAGE,YIELD_OATS,YIELD_PEANUTS,YIELD_RICE,YIELD_RYE,YIELD_SORGHUM,YIELD_SOYBEANS,YIELD_SUGARBEETS,YIELD_SUGARCANE,YIELD_SUNFLOWER,YIELD_TOBACCO,YIELD_WHEAT,标记
1998,-46,WYOMING,OTHER (COMBINED) COUNTIES,34.832,453.59,,274.32,,,,,29.04,,,,,,,,,,2253.8160000000003,,71.84100000000001,498.94899999999996,,279.4,,,111.804,,,,,,,,2449.8,1500.1886892962023,7352.1364059929,,156.17854081553088,,,,,1595.9436428725407,,,,,,,,,,35643.08728684829,,,3.8315200000000003,409.13818,,7.7978,,,,,2.6136,,,,,,,,,,8.13878,"种类：PRODUCTION_BEANS,FAO总量：1379700.0,国家总量：1957773.36466; 种类：PRODUCTION_CHICKPEAS,FAO总量：18960.0,国家总量：174.882304885; 种类：PRODUCTION_CORN,FAO总量：4146900.0,国家总量：250078090.14; 种类：PRODUCTION_RYE,FAO总量：308900.0,国家总量：194762.12; 种类：PRODUCTION_COTTON,FAO总量：7897000.0,国家总量：3024342.825; 种类：PRODUCTION_SOYBEANS,FAO总量：74598180.0,国家总量：3692855.4930383842; 种类：PRODUCTION_SUNFLOWER,FAO总量：2392000.0,国家总量：4713713.222399999; 种类：PRODUCTION_WHEAT,FAO总量：69327000.0,国家总量：138622784.986; "
1998,-45,NEVADA,OTHER (COMBINED) COUNTIES,87.08,,,,,,,,,,,,,,,,,,146.988,,108.85000000000001,,,,,,,,,,,,,,204.15,8722.027263350014,,,,,,,,,,,,,,,,,,5989.748465116008,,,6.33507,,,,,,,,,,,,,,,,,,6.64168,"种类：PRODUCTION_BEANS,FAO总量：1379700.0,国家总量：1957773.36466; 种类：PRODUCTION_CHICKPEAS,FAO总量：18960.0,国家总量：174.882304885; 种类：PRODUCTION_CORN,FAO总量：4146900.0,国家总量：250078090.14; 种类：PRODUCTION_RYE,FAO总量：308900.0,国家总量：194762.12; 种类：PRODUCTION_COTTON,FAO总量：7897000.0,国家总量：3024342.825; 种类：PRODUCTION_SOYBEANS,FAO总量：74598180.0,国家总量：3692855.4930383842; 种类：PRODUCTION_SUNFLOWER,FAO总量：2392000.0,国家总量：4713713.222399999; 种类：PRODUCTION_WHEAT,FAO总量：69327000.0,国家总量：138622784.986; "
1998,-44,MONTANA,OTHER (COMBINED) COUNTIES,4.354,95.25389999999999,,76.2,,,,,30.492,,,,,,,,,,40.83,,4.354,99.78979999999999,,83.82,,,55.176,,,,,,,,40.83,327.07602237562554,1361.7435256317287,,38.91827716115171,,,,,2453.024488118905,,,,,,,,,,912.0753344608468,,,1.6327500000000001,469.91923999999995,,14.8844,,,,,4.54476,,,,,,,,,,6.72334,"种类：PRODUCTION_BEANS,FAO总量：1379700.0,国家总量：1957773.36466; 种类：PRODUCTION_CHICKPEAS,FAO总量：18960.0,国家总量：174.882304885; 种类：PRODUCTION_CORN,FAO总量：4146900.0,国家总量：250078090.14; 种类：PRODUCTION_RYE,FAO总量：308900.0,国家总量：194762.12; 种类：PRODUCTION_COTTON,FAO总量：7897000.0,国家总量：3024342.825; 种类：PRODUCTION_SOYBEANS,FAO总量：74598180.0,国家总量：3692855.4930383842; 种类：PRODUCTION_SUNFLOWER,FAO总量：2392000.0,国家总量：4713713.222399999; 种类：PRODUCTION_WHEAT,FAO总量：69327000.0,国家总量：138622784.986; "
1998,-39,WASHINGTON,OTHER (COMBINED) COUNTIES,315.665,235.86679999999998,,190.5,,,192500.0,,45.012,,,,,,,,,,4450.47,3963.232,320.019,235.86679999999998,,190.5,,,104.544,,,,,,,,4766.222,17618.495071967027,4059.6579285265143,,200.65657185684714,,,913800.0,,3531.7641726531224,,,,,,,,,,128643.46135305973,,,5.205207000000001,334.29582999999997,,17.18564,,,24.8,,5.516147999999999,,,,,,,,,,23.335706,"种类：PRODUCTION_BEANS,FAO总量：1379700.0,国家总量：1957773.36466; 种类：PRODUCTION_CHICKPEAS,FAO总量：18960.0,国家总量：174.882304885; 种类：PRODUCTION_CORN,FAO总量：4146900.0,国家总量：250078090.14; 种类：PRODUCTION_RYE,FAO总量：308900.0,国家总量：194762.12; 种类：PRODUCTION_COTTON,FAO总量：7897000.0,国家总量：3024342.825; 种类：PRODUCTION_SOYBEANS,FAO总量：74598180.0,国家总量：3692855.4930383842; 种类：PRODUCTION_SUNFLOWER,FAO总量：2392000.0,国家总量：4713713.222399999; 种类：PRODUCTION_WHEAT,FAO总量：69327000.0,国家总量：138622784.986; "
1998,-37,KANSAS,OTHER (COMBINED) COUNTIES,,72.5744,,,3504.9700000000003,,,,728.904,,,,,,,,49.669200000000004,,,,,86.18209999999999,,,3613.82,,1277.76,,,,,,,50.258880000000005,,,997.3332863781673,,,7674.02688549371,,,,34859.54679200299,,,,,,,,36829.09498503819,,,,,,178.71445999999997,,,173.2892,,,,4.08012,,,,,,,,9.770544000000001,,,"种类：PRODUCTION_BEANS,FAO总量：1379700.0,国家总量：1957773.36466; 种类：PRODUCTION_CHICKPEAS,FAO总量：18960.0,国家总量：174.882304885; 种类：PRODUCTION_CORN,FAO总量：4146900.0,国家总量：250078090.14; 种类：PRODUCTION_RYE,FAO总量：308900.0,国家总量：194762.12; 种类：PRODUCTION_COTTON,FAO总量：7897000.0,国家总量：3024342.825; 种类：PRODUCTION_SOYBEANS,FAO总量：74598180.0,国家总量：3692855.4930383842; 种类：PRODUCTION_SUNFLOWER,FAO总量：2392000.0,国家总量：4713713.222399999; 种类：PRODUCTION_WHEAT,FAO总量：69327000.0,国家总量：138622784.986; "
1998,-36,UTAH,OTHER (COMBINED) COUNTIES,28.301000000000002,,,43.18,,,,,2.904,,,,,,,,,,239.536,,34.832,,,43.18,,,13.068,,,,,,,,255.86800000000002,2093.2865432040035,,,22.323254215812128,,,,,209.83703452583404,,,,,,,,,,6833.758476109628,,,3.1348800000000003,,,7.5946,,,,,1.03092,,,,,,,,,,19.81616,"种类：PRODUCTION_BEANS,FAO总量：1379700.0,国家总量：1957773.36466; 种类：PRODUCTION_CHICKPEAS,FAO总量：18960.0,国家总量：174.882304885; 种类：PRODUCTION_CORN,FAO总量：4146900.0,国家总量：250078090.14; 种类：PRODUCTION_RYE,FAO总量：308900.0,国家总量：194762.12; 种类：PRODUCTION_COTTON,FAO总量：7897000.0,国家总量：3024342.825; 种类：PRODUCTION_SOYBEANS,FAO总量：74598180.0,国家总量：3692855.4930383842; 种类：PRODUCTION_SUNFLOWER,FAO总量：2392000.0,国家总量：4713713.222399999; 种类：PRODUCTION_WHEAT,FAO总量：69327000.0,国家总量：138622784.986; "
1998,-35,OHIO,OTHER (COMBINED) COUNTIES,,,,4587.24,,,,,336.864,,,,,6.2968270980000005,,,,0.011793600000000001,413.744,,,,,20.32,,,439.956,,,,,6.2968270980000005,,,424.632,,,,1317.5353115562625,,,,,21064.978360322282,,,,,4758.78277776158,,,,18.670108904614587,10473.891975136947,,,,,,6.67512,,,,,8.078928,,,,,0.180755977872,,,,0.71442,13.947528,"种类：PRODUCTION_BEANS,FAO总量：1379700.0,国家总量：1957773.36466; 种类：PRODUCTION_CHICKPEAS,FAO总量：18960.0,国家总量：174.882304885; 种类：PRODUCTION_CORN,FAO总量：4146900.0,国家总量：250078090.14; 种类：PRODUCTION_RYE,FAO总量：308900.0,国家总量：194762.12; 种类：PRODUCTION_COTTON,FAO总量：7897000.0,国家总量：3024342.825; 种类：PRODUCTION_SOYBEANS,FAO总量：74598180.0,国家总量：3692855.4930383842; 种类：PRODUCTION_SUNFLOWER,FAO总量：2392000.0,国家总量：4713713.222399999; 种类：PRODUCTION_WHEAT,FAO总量：69327000.0,国家总量：138622784.986; "
1998,-34,NEW YORK,OTHER (COMBINED) COUNTIES,,2648.9656,,15.24,,,,,4.356,,,,,,,,,,87.104,,,2739.6836,,15.24,,,4.356,,,,,,,,92.548,,26550.802168772625,,15.752635993799503,,,,,257.1242535739093,,,,,,,,,,1927.6099605918791,,,,788.3394199999999,,6.3373,,,,,0.84216,,,,,,,,,,14.589920000000001,"种类：PRODUCTION_BEANS,FAO总量：1379700.0,国家总量：1957773.36466; 种类：PRODUCTION_CHICKPEAS,FAO总量：18960.0,国家总量：174.882304885; 种类：PRODUCTION_CORN,FAO总量：4146900.0,国家总量：250078090.14; 种类：PRODUCTION_RYE,FAO总量：308900.0,国家总量：194762.12; 种类：PRODUCTION_COTTON,FAO总量：7897000.0,国家总量：3024342.825; 种类：PRODUCTION_SOYBEANS,FAO总量：74598180.0,国家总量：3692855.4930383842; 种类：PRODUCTION_SUNFLOWER,FAO总量：2392000.0,国家总量：4713713.222399999; 种类：PRODUCTION_WHEAT,FAO总量：69327000.0,国家总量：138622784.986; "
1998,-33,INDIANA,OTHER (COMBINED) COUNTIES,,,,2887.98,,,,,217.8,,,,,26.175045976000003,,,,0.1524096,3701.92,,,,,429.26,,,333.96,,,,,26.915849164,,,4072.112,,,,1422.6652031084648,,,,,10831.728613199743,,,,,19177.29600535052,,,,220.61769275306185,92555.22685073577,,,,,,10.06094,,,,,0.710028,,,,,0.088649448164,,,,2.127384,19.054000000000002,"种类：PRODUCTION_BEANS,FAO总量：1379700.0,国家总量：1957773.36466; 种类：PRODUCTION_CHICKPEAS,FAO总量：18960.0,国家总量：174.882304885; 种类：PRODUCTION_CORN,FAO总量：4146900.0,国家总量：250078090.14; 种类：PRODUCTION_RYE,FAO总量：308900.0,国家总量：194762.12; 种类：PRODUCTION_COTTON,FAO总量：7897000.0,国家总量：3024342.825; 种类：PRODUCTION_SOYBEANS,FAO总量：74598180.0,国家总量：3692855.4930383842; 种类：PRODUCTION_SUNFLOWER,FAO总量：2392000.0,国家总量：4713713.222399999; 种类：PRODUCTION_WHEAT,FAO总量：69327000.0,国家总量：138622784.986; "
1998,-32,IDAHO,OTHER (COMBINED) COUNTIES,15.239,326.5848,,43.18,,,,,15.972,,,,,,100.0,,,,114.324,76.21600000000001,19.593,326.5848,,43.18,,,29.04,,,,,,100.0,,114.324,850.3976581766264,4673.401489374618,,18.953706409651808,,,,,1123.0714523917877,,,,,,2543.344979080787,,,,4154.707344439558,14.98,,1.2125890000000001,1343.07999,,4.93014,,,,,3.285876,,,,,,28.0,,,,19.062166,"种类：PRODUCTION_BEANS,FAO总量：1379700.0,国家总量：1957773.36466; 种类：PRODUCTION_CHICKPEAS,FAO总量：18960.0,国家总量：174.882304885; 种类：PRODUCTION_CORN,FAO总量：4146900.0,国家总量：250078090.14; 种类：PRODUCTION_RYE,FAO总量：308900.0,国家总量：194762.12; 种类：PRODUCTION_COTTON,FAO总量：7897000.0,国家总量：3024342.825; 种类：PRODUCTION_SOYBEANS,FAO总量：74598180.0,国家总量：3692855.4930383842; 种类：PRODUCTION_SUNFLOWER,FAO总量：2392000.0,国家总量：4713713.222399999; 种类：PRODUCTION_WHEAT,FAO总量：69327000.0,国家总量：138622784.986; "
1998,-31,CALIFORNIA,OTHER (COMBINED) COUNTIES,2.177,,,,,,,,1.452,,,,,,,,,,,,4.354,,,,,,4.356,,,,,,,,,130.83040895025022,,,,,,,,97.52988928665525,,,,,,,,,,,,,1.3062,,,,,,,,0.95832,,,,,,,,,,,"种类：PRODUCTION_BEANS,FAO总量：1379700.0,国家总量：1957773.36466; 种类：PRODUCTION_CHICKPEAS,FAO总量：18960.0,国家总量：174.882304885; 种类：PRODUCTION_CORN,FAO总量：4146900.0,国家总量：250078090.14; 种类：PRODUCTION_RYE,FAO总量：308900.0,国家总量：194762.12; 种类：PRODUCTION_COTTON,FAO总量：7897000.0,国家总量：3024342.825; 种类：PRODUCTION_SOYBEANS,FAO总量：74598180.0,国家总量：3692855.4930383842; 种类：PRODUCTION_SUNFLOWER,FAO总量：2392000.0,国家总量：4713713.222399999; 种类：PRODUCTION_WHEAT,FAO总量：69327000.0,国家总量：138622784.986; "
