year,OBJECTID,State,County,AREA HARVESTED_BARLEY,AREA HARVESTED_BEANS,AREA HARVESTED_CANOLA,AREA HARVESTED_CORN,AREA HARVESTED_COTTON,AREA HARVESTED_FLAXSEED,AREA HARVESTED_HAY,AREA HARVESTED_HAY & HAYLAGE,AREA HARVESTED_LENTILS,AREA HARVESTED_MUSTARD,AREA HARVESTED_OATS,AREA HARVESTED_PEANUTS,AREA HARVESTED_PEAS,AREA HARVESTED_RICE,AREA HARVESTED_SAFFLOWER,AREA HARVESTED_SORGHUM,AREA HARVESTED_SOYBEANS,AREA HARVESTED_SUGARBEETS,AREA HARVESTED_SUGARCANE,AREA HARVESTED_SUNFLOWER,AREA HARVESTED_TOBACCO,AREA HARVESTED_WHEAT,AREA PLANTED_BARLEY,AREA PLANTED_BEANS,AREA PLANTED_CANOLA,AREA PLANTED_CORN,AREA PLANTED_COTTON,AREA PLANTED_FLAXSEED,AREA PLANTED_LENTILS,AREA PLANTED_MUSTARD,AREA PLANTED_OATS,AREA PLANTED_PEANUTS,AREA PLANTED_PEAS,AREA PLANTED_RICE,AREA PLANTED_SAFFLOWER,AREA PLANTED_SORGHUM,AREA PLANTED_SOYBEANS,AREA PLANTED_SUGARBEETS,AREA PLANTED_SUNFLOWER,AREA PLANTED_WHEAT,PRODUCTION_BARLEY,PRODUCTION_BEANS,PRODUCTION_CANOLA,PRODUCTION_CORN,PRODUCTION_COTTON,PRODUCTION_FLAXSEED,PRODUCTION_HAY,PRODUCTION_HAY & HAYLAGE,PRODUCTION_LENTILS,PRODUCTION_MUSTARD,PRODUCTION_OATS,PRODUCTION_PEANUTS,PRODUCTION_PEAS,PRODUCTION_RICE,PRODUCTION_SAFFLOWER,PRODUCTION_SORGHUM,PRODUCTION_SOYBEANS,PRODUCTION_SUGARBEETS,PRODUCTION_SUGARCANE,PRODUCTION_SUNFLOWER,PRODUCTION_TOBACCO,PRODUCTION_WHEAT,SUCROSE_SUGARBEETS,SUCROSE_SUGARCANE,YIELD_BARLEY,YIELD_BEANS,YIELD_CANOLA,YIELD_CORN,YIELD_COTTON,YIELD_FLAXSEED,YIELD_HAY,YIELD_HAY & HAYLAGE,YIELD_LENTILS,YIELD_MUSTARD,YIELD_OATS,YIELD_PEANUTS,YIELD_PEAS,YIELD_RICE,YIELD_SAFFLOWER,YIELD_SORGHUM,YIELD_SOYBEANS,YIELD_SUGARBEETS,YIELD_SUGARCANE,YIELD_SUNFLOWER,YIELD_TOBACCO,YIELD_WHEAT,标记
2009,-46,WYOMING,OTHER (COMBINED) COUNTIES,411.45300000000003,68.0385,,129.54,,,17500.0,,,,,,,,,,,,,,,95.27000000000001,685.755,68.0385,,304.8,,,,,,,,,,,,,,146.988,36969.56811156612,1503.1087553574653,,207.30706708728775,,,44900.0,,,,,,,,,,,,,,,2033.9765872196779,,,9.12163,83.00697,,3.175,,,2.55,,,,,,,,,,,,,,,0.57162,"种类：PRODUCTION_CORN,FAO总量：4242000.0,国家总量：332636764.24; 种类：PRODUCTION_LENTILS,FAO总量：265079.0,国家总量：185740.5691; 种类：PRODUCTION_MUSTARD,FAO总量：22390.0,国家总量：6131.7648; 种类：PRODUCTION_SAFFLOWER,FAO总量：109760.0,国家总量：7168.6944; 种类：PRODUCTION_COTTON,FAO总量：6417250.0,国家总量：2628466.26; 种类：PRODUCTION_SOYBEANS,FAO总量：91469550.0,国家总量：4132672.568163548; "
2009,-45,NEVADA,OTHER (COMBINED) COUNTIES,,,,,,,32000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164000.0,,,,,,,,,,,,,,,,,,,,,,,,10.4,,,,,,,,,,,,,,,,"种类：PRODUCTION_CORN,FAO总量：4242000.0,国家总量：332636764.24; 种类：PRODUCTION_LENTILS,FAO总量：265079.0,国家总量：185740.5691; 种类：PRODUCTION_MUSTARD,FAO总量：22390.0,国家总量：6131.7648; 种类：PRODUCTION_SAFFLOWER,FAO总量：109760.0,国家总量：7168.6944; 种类：PRODUCTION_COTTON,FAO总量：6417250.0,国家总量：2628466.26; 种类：PRODUCTION_SOYBEANS,FAO总量：91469550.0,国家总量：4132672.568163548; "
2009,-44,MONTANA,OTHER (COMBINED) COUNTIES,259.063,331.1207,0.7257600000000001,375.91999999999996,,78.74,40000.0,,920.7877,2.7216,79.86,,816.462,,4.5360000000000005,,,6600.0,,,,4758.0560000000005,511.595,358.3361,0.7257600000000001,243.84,,86.36,1020.5774999999999,2.81232,211.992,,975.2185,,4.7628,,,7600.0,,5122.804,24052.899989150843,6706.597973904036,1234.1821209485013,200.99067988697195,,977.9,43000.0,,18617.48037803121,7231.449918627016,6711.633238485503,,11806.850414844906,,57949.724120475825,,,177445.31470973376,,,,169084.7523225016,51.15,,6.587602,404.14869,0.70308,7.7597,,0.3175,1.1,,217.26960999999997,0.33112800000000003,6.85344,,417.75638999999995,,0.74844,,,89.2,,,,12.439540000000001,"种类：PRODUCTION_CORN,FAO总量：4242000.0,国家总量：332636764.24; 种类：PRODUCTION_LENTILS,FAO总量：265079.0,国家总量：185740.5691; 种类：PRODUCTION_MUSTARD,FAO总量：22390.0,国家总量：6131.7648; 种类：PRODUCTION_SAFFLOWER,FAO总量：109760.0,国家总量：7168.6944; 种类：PRODUCTION_COTTON,FAO总量：6417250.0,国家总量：2628466.26; 种类：PRODUCTION_SOYBEANS,FAO总量：91469550.0,国家总量：4132672.568163548; "
2009,-43,NEW JERSEY,OTHER (COMBINED) COUNTIES,,,,22.86,,,13400.0,,,,,,,,,,8.395769464,,,,,166.042,,,,27.939999999999998,,,,,,,,,,,8.889638256,,,231.37,,,,36.60265403259924,,,36960.0,,,,,,,,,,7788.287902189741,,,,,7280.521674527423,,,,,,3.2003999999999997,,,8.05,,,,,,,,,,0.15186465354,,,,,3.55221,"种类：PRODUCTION_CORN,FAO总量：4242000.0,国家总量：332636764.24; 种类：PRODUCTION_LENTILS,FAO总量：265079.0,国家总量：185740.5691; 种类：PRODUCTION_MUSTARD,FAO总量：22390.0,国家总量：6131.7648; 种类：PRODUCTION_SAFFLOWER,FAO总量：109760.0,国家总量：7168.6944; 种类：PRODUCTION_COTTON,FAO总量：6417250.0,国家总量：2628466.26; 种类：PRODUCTION_SOYBEANS,FAO总量：91469550.0,国家总量：4132672.568163548; "
2009,-40,COLORADO,OTHER (COMBINED) COUNTIES,76.19500000000001,376.4797,,16134.08,,,145500.0,,,,,,,,,2600.96,,800.0,,7.57512,,4734.919,76.19500000000001,381.01559999999995,,16870.68,,,,,,,,,,3241.04,,800.0,7.98336,5065.642,6804.214989858795,9182.62803272924,,29431.12518054838,,,380500.0,,,,,,,,,122084.0737624283,,19504.469663902226,,10520.41298989931,,212414.02616887583,14.79,,1.87222,317.513,,11.7602,,,28.5,,,,,,,,,2.3622,,26.9,,2.254392,,14.50826,"种类：PRODUCTION_CORN,FAO总量：4242000.0,国家总量：332636764.24; 种类：PRODUCTION_LENTILS,FAO总量：265079.0,国家总量：185740.5691; 种类：PRODUCTION_MUSTARD,FAO总量：22390.0,国家总量：6131.7648; 种类：PRODUCTION_SAFFLOWER,FAO总量：109760.0,国家总量：7168.6944; 种类：PRODUCTION_COTTON,FAO总量：6417250.0,国家总量：2628466.26; 种类：PRODUCTION_SOYBEANS,FAO总量：91469550.0,国家总量：4132672.568163548; "
2009,-39,WASHINGTON,OTHER (COMBINED) COUNTIES,150.213,816.462,,1038.86,,,400000.0,,,,,,,,,,,,,,,4273.54,163.275,816.462,,1656.08,,,,,,,,,,,,,,4349.756,8221.75977941271,20770.230074030427,,2942.2055496363314,,,1191000.0,,,,,,,,,,,,,,,210421.8436211196,,,3.33081,177.35369,,11.049,,,20.05,,,,,,,,,,,,,,,6.99554,"种类：PRODUCTION_CORN,FAO总量：4242000.0,国家总量：332636764.24; 种类：PRODUCTION_LENTILS,FAO总量：265079.0,国家总量：185740.5691; 种类：PRODUCTION_MUSTARD,FAO总量：22390.0,国家总量：6131.7648; 种类：PRODUCTION_SAFFLOWER,FAO总量：109760.0,国家总量：7168.6944; 种类：PRODUCTION_COTTON,FAO总量：6417250.0,国家总量：2628466.26; 种类：PRODUCTION_SOYBEANS,FAO总量：91469550.0,国家总量：4132672.568163548; "
2009,-37,KANSAS,OTHER (COMBINED) COUNTIES,,,,16136.619999999999,3069.57,,469400.0,,,,217.8,,,,,10822.939999999999,360.647685358,,,39.28176,,32.664,,,,17399.0,3766.21,,,,509.652,,,,,11722.1,365.33943888199997,,42.4116,32.664,,,,30684.685101841827,10842.642747105303,,1629000.0,,,,12352.80345412395,,,,,868329.8062424688,379234.96618469513,,,72307.87000312323,,1393.1346487806013,,,,,,33.096199999999996,299.99060000000003,,54.8,,,,4.22532,,,,,16.738599999999998,0.35558553024,,,4.309200000000001,,1.1296300000000001,"种类：PRODUCTION_CORN,FAO总量：4242000.0,国家总量：332636764.24; 种类：PRODUCTION_LENTILS,FAO总量：265079.0,国家总量：185740.5691; 种类：PRODUCTION_MUSTARD,FAO总量：22390.0,国家总量：6131.7648; 种类：PRODUCTION_SAFFLOWER,FAO总量：109760.0,国家总量：7168.6944; 种类：PRODUCTION_COTTON,FAO总量：6417250.0,国家总量：2628466.26; 种类：PRODUCTION_SOYBEANS,FAO总量：91469550.0,国家总量：4132672.568163548; "
2009,-36,UTAH,OTHER (COMBINED) COUNTIES,45.717000000000006,,,50.8,,,,,,,,,,,,,,,,,,97.992,71.84100000000001,,,472.44,,,,,,,,,,,,,,133.37800000000001,4490.781893306805,,,103.32961625131999,,,,,,,,,,,,,,,,,,8135.906348878713,,,6.191388,,,7.350759999999999,,,,,,,,,,,,,,,,,,8.86011,"种类：PRODUCTION_CORN,FAO总量：4242000.0,国家总量：332636764.24; 种类：PRODUCTION_LENTILS,FAO总量：265079.0,国家总量：185740.5691; 种类：PRODUCTION_MUSTARD,FAO总量：22390.0,国家总量：6131.7648; 种类：PRODUCTION_SAFFLOWER,FAO总量：109760.0,国家总量：7168.6944; 种类：PRODUCTION_COTTON,FAO总量：6417250.0,国家总量：2628466.26; 种类：PRODUCTION_SOYBEANS,FAO总量：91469550.0,国家总量：4132672.568163548; "
2009,-35,OHIO,OTHER (COMBINED) COUNTIES,,,,963.93,,,347910.0,,,,397.848,,,,,,84.51329703100001,,,,,3609.3720000000003,,,,1117.6,,,,,499.488,,,,,,85.686235412,,,3759.0820000000003,,,,1835.704079057933,,,997700.0,,,,34730.57807459334,,,,,,85933.50925342405,,,,,261661.3360032701,,,,,,15.252699999999999,,,50.3,,,,4.322604000000001,,,,,,0.22532763634999997,,,,,14.65797,"种类：PRODUCTION_CORN,FAO总量：4242000.0,国家总量：332636764.24; 种类：PRODUCTION_LENTILS,FAO总量：265079.0,国家总量：185740.5691; 种类：PRODUCTION_MUSTARD,FAO总量：22390.0,国家总量：6131.7648; 种类：PRODUCTION_SAFFLOWER,FAO总量：109760.0,国家总量：7168.6944; 种类：PRODUCTION_COTTON,FAO总量：6417250.0,国家总量：2628466.26; 种类：PRODUCTION_SOYBEANS,FAO总量：91469550.0,国家总量：4132672.568163548; "
2009,-34,NEW YORK,OTHER (COMBINED) COUNTIES,,680.385,,12951.46,,,32200.0,,,,56.628,,,,,,21.730226847999997,,,,,454.574,,698.5286,,12999.72,,,,,162.624,,,,,,22.347562837999998,,,498.12600000000003,,10106.356686021649,,14081.915583030204,,,51800.0,,,,4373.60606477511,,,,,,18757.476547589606,,,,,28734.795265748682,,,,142.42726,,25.654,,,4.3,,,,4.76256,,,,,,0.23582234817999997,,,,,5.67537,"种类：PRODUCTION_CORN,FAO总量：4242000.0,国家总量：332636764.24; 种类：PRODUCTION_LENTILS,FAO总量：265079.0,国家总量：185740.5691; 种类：PRODUCTION_MUSTARD,FAO总量：22390.0,国家总量：6131.7648; 种类：PRODUCTION_SAFFLOWER,FAO总量：109760.0,国家总量：7168.6944; 种类：PRODUCTION_COTTON,FAO总量：6417250.0,国家总量：2628466.26; 种类：PRODUCTION_SOYBEANS,FAO总量：91469550.0,国家总量：4132672.568163548; "
2009,-33,INDIANA,OTHER (COMBINED) COUNTIES,,,,525.78,,,52700.0,,,,,,,,,,5.926425504,,,,,1187.3364000000001,,,,558.8,,,,,,,,,,,6.049892702,,,1271.174,,,,999.2848468191918,,,164900.0,,,,,,,,,,5301.501238683542,,,,,76795.15437938187,,,,,,7.696199999999999,,,34.15,,,,,,,,,,0.05000421519,,,,,13.147260000000001,"种类：PRODUCTION_CORN,FAO总量：4242000.0,国家总量：332636764.24; 种类：PRODUCTION_LENTILS,FAO总量：265079.0,国家总量：185740.5691; 种类：PRODUCTION_MUSTARD,FAO总量：22390.0,国家总量：6131.7648; 种类：PRODUCTION_SAFFLOWER,FAO总量：109760.0,国家总量：7168.6944; 种类：PRODUCTION_COTTON,FAO总量：6417250.0,国家总量：2628466.26; 种类：PRODUCTION_SOYBEANS,FAO总量：91469550.0,国家总量：4132672.568163548; "
