year,OBJECTID,State,County,AREA HARVESTED_BARLEY,AREA HARVESTED_BEANS,AREA HARVESTED_CANOLA,AREA HARVESTED_CHICKPEAS,AREA HARVESTED_CORN,AREA HARVESTED_COTTON,AREA HARVESTED_FLAXSEED,AREA HARVESTED_HAY,AREA HARVESTED_LENTILS,AREA HARVESTED_MUSTARD,AREA HARVESTED_OATS,AREA HARVESTED_PEANUTS,AREA HARVESTED_PEAS,AREA HARVESTED_RICE,AREA HARVESTED_SAFFLOWER,AREA HARVESTED_SORGHUM,AREA HARVESTED_SOYBEANS,AREA HARVESTED_SUGARBEETS,AREA HARVESTED_SUGARCANE,AREA HARVESTED_SUNFLOWER,AREA HARVESTED_TOBACCO,AREA HARVESTED_WHEAT,AREA PLANTED_BARLEY,AREA PLANTED_BEANS,AREA PLANTED_CANOLA,AREA PLANTED_CHICKPEAS,AREA PLANTED_CORN,AREA PLANTED_COTTON,AREA PLANTED_FLAXSEED,AREA PLANTED_LENTILS,AREA PLANTED_MUSTARD,AREA PLANTED_OATS,AREA PLANTED_PEANUTS,AREA PLANTED_PEAS,AREA PLANTED_RICE,AREA PLANTED_SAFFLOWER,AREA PLANTED_SORGHUM,AREA PLANTED_SOYBEANS,AREA PLANTED_SUGARBEETS,AREA PLANTED_SUNFLOWER,AREA PLANTED_WHEAT,PRODUCTION_BARLEY,PRODUCTION_BEANS,PRODUCTION_CANOLA,PRODUCTION_CHICKPEAS,PRODUCTION_CORN,PRODUCTION_COTTON,PRODUCTION_FLAXSEED,PRODUCTION_HAY,PRODUCTION_LENTILS,PRODUCTION_MUSTARD,PRODUCTION_OATS,PRODUCTION_PEANUTS,PRODUCTION_PEAS,PRODUCTION_RICE,PRODUCTION_SAFFLOWER,PRODUCTION_SORGHUM,PRODUCTION_SOYBEANS,PRODUCTION_SUGARBEETS,PRODUCTION_SUGARCANE,PRODUCTION_SUNFLOWER,PRODUCTION_TOBACCO,PRODUCTION_WHEAT,SUCROSE_SUGARBEETS,SUCROSE_SUGARCANE,YIELD_BARLEY,YIELD_BEANS,YIELD_CANOLA,YIELD_CHICKPEAS,YIELD_CORN,YIELD_COTTON,YIELD_FLAXSEED,YIELD_HAY,YIELD_LENTILS,YIELD_MUSTARD,YIELD_OATS,YIELD_PEANUTS,YIELD_PEAS,YIELD_RICE,YIELD_SAFFLOWER,YIELD_SORGHUM,YIELD_SOYBEANS,YIELD_SUGARBEETS,YIELD_SUGARCANE,YIELD_SUNFLOWER,YIELD_TOBACCO,YIELD_WHEAT,标记
2010,-46,WYOMING,OTHER (COMBINED) COUNTIES,97.965,122.46929999999999,,,200.66,,,58300.0,,,,,,,,,,1700.0,,,,187.818,171.983,122.46929999999999,,,510.53999999999996,,,,,,,,,,,,1800.0,,220.482,7377.333926911464,2885.698831915059,,,282.0062461969318,,,108900.0,,,,,,,,,,35193.85331660194,,,,6801.41640476392,17.64,,6.4482740000000005,90.71799999999999,,,5.9563,,,3.85,,,,,,,,,,22.8,,,,2.1476580000000003,"种类：PRODUCTION_CHICKPEAS,FAO总量：87952.0,国家总量：139.90584390799998; 种类：PRODUCTION_CORN,FAO总量：3788030.0,国家总量：315595012.7; 种类：PRODUCTION_MUSTARD,FAO总量：18990.0,国家总量：5447.736; 种类：PRODUCTION_SAFFLOWER,FAO总量：100400.0,国家总量：9049.32; 种类：PRODUCTION_COTTON,FAO总量：9473800.0,国家总量：3813770.9190000007; 种类：PRODUCTION_SOYBEANS,FAO总量：90663290.0,国家总量：4107236.96723637; "
2010,-45,NEVADA,OTHER (COMBINED) COUNTIES,,,,,,,,17000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66000.0,,,,,,,,,,,,,,,,,,,,,,,,7.7,,,,,,,,,,,,,,,"种类：PRODUCTION_CHICKPEAS,FAO总量：87952.0,国家总量：139.90584390799998; 种类：PRODUCTION_CORN,FAO总量：3788030.0,国家总量：315595012.7; 种类：PRODUCTION_MUSTARD,FAO总量：18990.0,国家总量：5447.736; 种类：PRODUCTION_SAFFLOWER,FAO总量：100400.0,国家总量：9049.32; 种类：PRODUCTION_COTTON,FAO总量：9473800.0,国家总量：3813770.9190000007; 种类：PRODUCTION_SOYBEANS,FAO总量：90663290.0,国家总量：4107236.96723637; "
2010,-44,MONTANA,OTHER (COMBINED) COUNTIES,1027.544,362.87199999999996,2.35872,9.464218852599998,485.14,,337.82,50500.0,970.6826,4.58136,98.01,,1319.9469,,7.34832,,,3100.0,,,,2653.9500000000003,1900.5210000000002,385.5515,2.54016,10.287194405,154.94,,337.82,1002.4338999999999,4.80816,336.864,,1687.3547999999998,,7.5297600000000005,,,3100.0,,2986.034,56846.20498282699,7609.694697494527,4023.9541058014215,87952.0,202.73962564428066,,5842.0,82500.0,15767.241737396676,11874.679433805164,7454.9493022788865,,28875.65802269044,,65222.25563909775,,,82755.57239821128,,,,103435.15047759436,16.91,,9.025842,254.01039999999998,1.49688,3.045009543879999,7.6453999999999995,,0.95758,3.8,229.51654,0.8255520000000001,6.52674,,607.35701,,1.097712,,,29.4,,,,12.243556000000002,"种类：PRODUCTION_CHICKPEAS,FAO总量：87952.0,国家总量：139.90584390799998; 种类：PRODUCTION_CORN,FAO总量：3788030.0,国家总量：315595012.7; 种类：PRODUCTION_MUSTARD,FAO总量：18990.0,国家总量：5447.736; 种类：PRODUCTION_SAFFLOWER,FAO总量：100400.0,国家总量：9049.32; 种类：PRODUCTION_COTTON,FAO总量：9473800.0,国家总量：3813770.9190000007; 种类：PRODUCTION_SOYBEANS,FAO总量：90663290.0,国家总量：4107236.96723637; "
2010,-43,NEW JERSEY,OTHER (COMBINED) COUNTIES,,,,,147.32,,,7500.0,,,,,,,,,17.779276512,,,,,125.212,,,,,172.72,,,,,,,,,,,18.767014096,,,171.48600000000002,,,,,129.26556582432332,,,20420.0,,,,,,,,,7058.835657566184,,,,,6033.787665305088,,,,,,,5.334,,,7.55,,,,,,,,,0.066919221316,,,,,4.34159,"种类：PRODUCTION_CHICKPEAS,FAO总量：87952.0,国家总量：139.90584390799998; 种类：PRODUCTION_CORN,FAO总量：3788030.0,国家总量：315595012.7; 种类：PRODUCTION_MUSTARD,FAO总量：18990.0,国家总量：5447.736; 种类：PRODUCTION_SAFFLOWER,FAO总量：100400.0,国家总量：9049.32; 种类：PRODUCTION_COTTON,FAO总量：9473800.0,国家总量：3813770.9190000007; 种类：PRODUCTION_SOYBEANS,FAO总量：90663290.0,国家总量：4107236.96723637; "
2010,-40,COLORADO,OTHER (COMBINED) COUNTIES,269.94800000000004,471.73359999999997,,,1511.3,,,156200.0,,,,,,,,849.63,,800.0,,23.83668,,3032.308,274.302,494.4131,,,2054.86,,,,,,,,,,1569.72,,800.0,24.630480000000002,3086.748,38244.46115484778,5557.642194799372,,,2982.559034102252,,,296500.0,,,,,,,,38989.25382005643,,20552.482815379943,,30484.177064451862,,156926.45609414845,16.7,,4.219026,132.90187,,,9.36498,,,17.1,,,,,,,,2.11074,,28.3,,2.730672,,11.778094,"种类：PRODUCTION_CHICKPEAS,FAO总量：87952.0,国家总量：139.90584390799998; 种类：PRODUCTION_CORN,FAO总量：3788030.0,国家总量：315595012.7; 种类：PRODUCTION_MUSTARD,FAO总量：18990.0,国家总量：5447.736; 种类：PRODUCTION_SAFFLOWER,FAO总量：100400.0,国家总量：9049.32; 种类：PRODUCTION_COTTON,FAO总量：9473800.0,国家总量：3813770.9190000007; 种类：PRODUCTION_SOYBEANS,FAO总量：90663290.0,国家总量：4107236.96723637; "
2010,-39,WASHINGTON,OTHER (COMBINED) COUNTIES,208.99200000000002,467.19769999999994,,,806.4499999999999,,,58900.0,,,,,,,,,,,,,,1013.945,276.47900000000004,467.19769999999994,,,942.3399999999999,,,,,,,,,,,,,,1105.132,15836.375098320988,8288.368311667142,,,2235.623571202271,,,123400.0,,,,,,,,,,,,,,65953.98397482689,,,8.118033,175.99292,,,17.80032,,,11.95,,,,,,,,,,,,,,8.42459,"种类：PRODUCTION_CHICKPEAS,FAO总量：87952.0,国家总量：139.90584390799998; 种类：PRODUCTION_CORN,FAO总量：3788030.0,国家总量：315595012.7; 种类：PRODUCTION_MUSTARD,FAO总量：18990.0,国家总量：5447.736; 种类：PRODUCTION_SAFFLOWER,FAO总量：100400.0,国家总量：9049.32; 种类：PRODUCTION_COTTON,FAO总量：9473800.0,国家总量：3813770.9190000007; 种类：PRODUCTION_SOYBEANS,FAO总量：90663290.0,国家总量：4107236.96723637; "
2010,-37,KANSAS,OTHER (COMBINED) COUNTIES,,,,,8348.98,4266.92,,190800.0,,,120.8064,,,,,2322.83,144.08622006599998,,,31.0716,,846.542,,,,,8940.8,4288.6900000000005,,,,397.848,,,,,2621.2799999999997,148.407571996,,32.56848,998.974,,,,,15006.390757086894,18332.755086488713,,738300.0,,,6890.127261023875,,,,,158244.72911364096,159028.20873319954,,,47842.76605188908,,22433.385477787717,,,,,,,19.05508,345.7076,,36.15,,,3.4122,,,,,8.95858,0.2222409564,,,2.9484000000000004,,2.033334,"种类：PRODUCTION_CHICKPEAS,FAO总量：87952.0,国家总量：139.90584390799998; 种类：PRODUCTION_CORN,FAO总量：3788030.0,国家总量：315595012.7; 种类：PRODUCTION_MUSTARD,FAO总量：18990.0,国家总量：5447.736; 种类：PRODUCTION_SAFFLOWER,FAO总量：100400.0,国家总量：9049.32; 种类：PRODUCTION_COTTON,FAO总量：9473800.0,国家总量：3813770.9190000007; 种类：PRODUCTION_SOYBEANS,FAO总量：90663290.0,国家总量：4107236.96723637; "
2010,-36,UTAH,OTHER (COMBINED) COUNTIES,70.7525,,,,,,,,,,,,,,,,,,,,,,163.275,,,,,,,,,,,,,,,,,,,6895.317937208353,,,,,,,,,,,,,,,,,,,,,,,,6.0433520000000005,,,,,,,,,,,,,,,,,,,,,,"种类：PRODUCTION_CHICKPEAS,FAO总量：87952.0,国家总量：139.90584390799998; 种类：PRODUCTION_CORN,FAO总量：3788030.0,国家总量：315595012.7; 种类：PRODUCTION_MUSTARD,FAO总量：18990.0,国家总量：5447.736; 种类：PRODUCTION_SAFFLOWER,FAO总量：100400.0,国家总量：9049.32; 种类：PRODUCTION_COTTON,FAO总量：9473800.0,国家总量：3813770.9190000007; 种类：PRODUCTION_SOYBEANS,FAO总量：90663290.0,国家总量：4107236.96723637; "
2010,-35,OHIO,OTHER (COMBINED) COUNTIES,,,,,216.66199999999998,,,125990.0,,,425.436,,,,,,20.865956462,,,,,1703.1554,,,,,259.08,,,,,473.352,,,,,,21.236358055999997,,,1758.412,,,,,351.51697498925654,,,319950.0,,,33203.46713949107,,,,,,18546.477470941267,,,,,106409.71184299733,,,,,,,10.30732,,,35.75,,,3.794076,,,,,,0.15445746469799998,,,,,10.640298,"种类：PRODUCTION_CHICKPEAS,FAO总量：87952.0,国家总量：139.90584390799998; 种类：PRODUCTION_CORN,FAO总量：3788030.0,国家总量：315595012.7; 种类：PRODUCTION_MUSTARD,FAO总量：18990.0,国家总量：5447.736; 种类：PRODUCTION_SAFFLOWER,FAO总量：100400.0,国家总量：9049.32; 种类：PRODUCTION_COTTON,FAO总量：9473800.0,国家总量：3813770.9190000007; 种类：PRODUCTION_SOYBEANS,FAO总量：90663290.0,国家总量：4107236.96723637; "
2010,-34,NEW YORK,OTHER (COMBINED) COUNTIES,,95.25389999999999,,,914.4,,,11400.0,,,40.9464,,,,,,14.81606376,,,,,176.93,,95.25389999999999,,,502.91999999999996,,,,,103.092,,,,,,15.062998155999999,,,293.976,,2217.7129911939805,,,491.9713291762041,,,23300.0,,,3274.9153758481607,,,,,,13817.875206123765,,,,,11909.534119545122,,,,89.81081999999999,,,8.24484,,,3.45,,,3.8056920000000005,,,,,,0.260762722176,,,,,8.081617999999999,"种类：PRODUCTION_CHICKPEAS,FAO总量：87952.0,国家总量：139.90584390799998; 种类：PRODUCTION_CORN,FAO总量：3788030.0,国家总量：315595012.7; 种类：PRODUCTION_MUSTARD,FAO总量：18990.0,国家总量：5447.736; 种类：PRODUCTION_SAFFLOWER,FAO总量：100400.0,国家总量：9049.32; 种类：PRODUCTION_COTTON,FAO总量：9473800.0,国家总量：3813770.9190000007; 种类：PRODUCTION_SOYBEANS,FAO总量：90663290.0,国家总量：4107236.96723637; "
2010,-33,INDIANA,OTHER (COMBINED) COUNTIES,,,,,,,,50100.0,,,,,,,,,9.383507048,,,,,355.221,,,,,,,,,,,,,,,,9.383507048,,,419.18800000000005,,,,,,,,152620.0,,,,,,,,,7276.869191390622,,,,,21471.02738898087,,,,,,,,,,36.6,,,,,,,,,0.043336986498,,,,,7.686928,"种类：PRODUCTION_CHICKPEAS,FAO总量：87952.0,国家总量：139.90584390799998; 种类：PRODUCTION_CORN,FAO总量：3788030.0,国家总量：315595012.7; 种类：PRODUCTION_MUSTARD,FAO总量：18990.0,国家总量：5447.736; 种类：PRODUCTION_SAFFLOWER,FAO总量：100400.0,国家总量：9049.32; 种类：PRODUCTION_COTTON,FAO总量：9473800.0,国家总量：3813770.9190000007; 种类：PRODUCTION_SOYBEANS,FAO总量：90663290.0,国家总量：4107236.96723637; "
