year,OBJECTID,State,County,AREA HARVESTED_BARLEY,AREA HARVESTED_BEANS,AREA HARVESTED_CANOLA,AREA HARVESTED_CORN,AREA HARVESTED_COTTON,AREA HARVESTED_FLAXSEED,AREA HARVESTED_HAY,AREA HARVESTED_HAY & HAYLAGE,AREA HARVESTED_LENTILS,AREA HARVESTED_MUSTARD,AREA HARVESTED_OATS,AREA HARVESTED_PEANUTS,AREA HARVESTED_PEAS,AREA HARVESTED_RICE,AREA HARVESTED_SAFFLOWER,AREA HARVESTED_SORGHUM,AREA HARVESTED_SOYBEANS,AREA HARVESTED_SUGARBEETS,AREA HARVESTED_SUGARCANE,AREA HARVESTED_SUNFLOWER,AREA HARVESTED_TOBACCO,AREA HARVESTED_WHEAT,AREA PLANTED_BARLEY,AREA PLANTED_BEANS,AREA PLANTED_CANOLA,AREA PLANTED_CORN,AREA PLANTED_COTTON,AREA PLANTED_FLAXSEED,AREA PLANTED_LENTILS,AREA PLANTED_MUSTARD,AREA PLANTED_OATS,AREA PLANTED_PEANUTS,AREA PLANTED_PEAS,AREA PLANTED_RICE,AREA PLANTED_SAFFLOWER,AREA PLANTED_SORGHUM,AREA PLANTED_SOYBEANS,AREA PLANTED_SUGARBEETS,AREA PLANTED_SUNFLOWER,AREA PLANTED_WHEAT,PRODUCTION_BARLEY,PRODUCTION_BEANS,PRODUCTION_CANOLA,PRODUCTION_CORN,PRODUCTION_COTTON,PRODUCTION_FLAXSEED,PRODUCTION_HAY,PRODUCTION_HAY & HAYLAGE,PRODUCTION_LENTILS,PRODUCTION_MUSTARD,PRODUCTION_OATS,PRODUCTION_PEANUTS,PRODUCTION_PEAS,PRODUCTION_RICE,PRODUCTION_SAFFLOWER,PRODUCTION_SORGHUM,PRODUCTION_SOYBEANS,PRODUCTION_SUGARBEETS,PRODUCTION_SUGARCANE,PRODUCTION_SUNFLOWER,PRODUCTION_TOBACCO,PRODUCTION_WHEAT,SUCROSE_SUGARBEETS,SUCROSE_SUGARCANE,YIELD_BARLEY,YIELD_BEANS,YIELD_CANOLA,YIELD_CORN,YIELD_COTTON,YIELD_FLAXSEED,YIELD_HAY,YIELD_HAY & HAYLAGE,YIELD_LENTILS,YIELD_MUSTARD,YIELD_OATS,YIELD_PEANUTS,YIELD_PEAS,YIELD_RICE,YIELD_SAFFLOWER,YIELD_SORGHUM,YIELD_SOYBEANS,YIELD_SUGARBEETS,YIELD_SUGARCANE,YIELD_SUNFLOWER,YIELD_TOBACCO,YIELD_WHEAT,标记
2011,-46,WYOMING,OTHER (COMBINED) COUNTIES,237.293,226.795,,99.06,,,40800.0,,,,,,,,,,,1600.0,,,,144.26600000000002,439.754,240.40269999999998,,215.89999999999998,,,,,,,,,,,,1700.0,,204.15,16375.360304149737,5690.913261385662,,132.8714454350452,,,65200.0,,,,,,,,,,,33565.8734772979,,,,3232.7292243924717,16.88,,5.342358000000001,99.78979999999999,,8.48106,,,3.5,,,,,,,,,,,23.1,,,,1.458992,"种类：PRODUCTION_CORN,FAO总量：3684530.0,国家总量：312728256.94; 种类：PRODUCTION_LENTILS,FAO总量：214640.0,国家总量：150641.7749; 种类：PRODUCTION_MUSTARD,FAO总量：7100.0,国家总量：521.64; 种类：PRODUCTION_OATS,FAO总量：727580.0,国家总量：513493.992; 种类：PRODUCTION_PEAS,FAO总量：255146.0,国家总量：164925.32400000002; 种类：PRODUCTION_SAFFLOWER,FAO总量：76960.0,国家总量：4572.2880000000005; 种类：PRODUCTION_COTTON,FAO总量：9743176.0,国家总量：3364910.528; 种类：PRODUCTION_SOYBEANS,FAO总量：84291400.0,国家总量：3818660.17203092; "
2011,-45,NEVADA,OTHER (COMBINED) COUNTIES,,,,,,,25000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112000.0,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,"种类：PRODUCTION_CORN,FAO总量：3684530.0,国家总量：312728256.94; 种类：PRODUCTION_LENTILS,FAO总量：214640.0,国家总量：150641.7749; 种类：PRODUCTION_MUSTARD,FAO总量：7100.0,国家总量：521.64; 种类：PRODUCTION_OATS,FAO总量：727580.0,国家总量：513493.992; 种类：PRODUCTION_PEAS,FAO总量：255146.0,国家总量：164925.32400000002; 种类：PRODUCTION_SAFFLOWER,FAO总量：76960.0,国家总量：4572.2880000000005; 种类：PRODUCTION_COTTON,FAO总量：9743176.0,国家总量：3364910.528; 种类：PRODUCTION_SOYBEANS,FAO总量：84291400.0,国家总量：3818660.17203092; "
2011,-44,MONTANA,OTHER (COMBINED) COUNTIES,764.1270000000001,390.08739999999995,0.7257600000000001,513.0799999999999,,,66500.0,,934.3953999999999,0.86184,90.75,,612.3465,,3.5154,,,5200.0,,,,8004.8576,1179.934,390.08739999999995,0.7257600000000001,353.06,,,1075.0083,0.99792,245.388,,707.6003999999999,,3.5380800000000003,,,5300.0,,8315.710000000001,33712.533799672965,7920.716548346772,825.2926878205903,247.7872901356248,,,115500.0,,12085.658366203968,7100.0,6202.964829236015,,12280.12926292629,,51764.76190476191,,,125191.63621262458,,,,258837.60132487823,35.52,,2.862755,263.98938,0.439992,10.20064,,,5.35,,171.91061,0.276696,3.892812,,269.43246,,1.1884320000000002,,,52.8,,,,11.5685,"种类：PRODUCTION_CORN,FAO总量：3684530.0,国家总量：312728256.94; 种类：PRODUCTION_LENTILS,FAO总量：214640.0,国家总量：150641.7749; 种类：PRODUCTION_MUSTARD,FAO总量：7100.0,国家总量：521.64; 种类：PRODUCTION_OATS,FAO总量：727580.0,国家总量：513493.992; 种类：PRODUCTION_PEAS,FAO总量：255146.0,国家总量：164925.32400000002; 种类：PRODUCTION_SAFFLOWER,FAO总量：76960.0,国家总量：4572.2880000000005; 种类：PRODUCTION_COTTON,FAO总量：9743176.0,国家总量：3364910.528; 种类：PRODUCTION_SOYBEANS,FAO总量：84291400.0,国家总量：3818660.17203092; "
2011,-43,NEW JERSEY,OTHER (COMBINED) COUNTIES,,,,17.779999999999998,,,4900.0,,,,,,,,,,7.840167073000001,,,,,195.984,,,,22.86,,,,,,,,,,,8.272302265999999,,,220.482,,,,14.065220575331358,,,17900.0,,,,,,,,,,6540.863551916773,,,,,9864.040737733201,,,,,,1.7043399999999997,,,6.2,,,,,,,,,,0.135320049008,,,,,4.20549,"种类：PRODUCTION_CORN,FAO总量：3684530.0,国家总量：312728256.94; 种类：PRODUCTION_LENTILS,FAO总量：214640.0,国家总量：150641.7749; 种类：PRODUCTION_MUSTARD,FAO总量：7100.0,国家总量：521.64; 种类：PRODUCTION_OATS,FAO总量：727580.0,国家总量：513493.992; 种类：PRODUCTION_PEAS,FAO总量：255146.0,国家总量：164925.32400000002; 种类：PRODUCTION_SAFFLOWER,FAO总量：76960.0,国家总量：4572.2880000000005; 种类：PRODUCTION_COTTON,FAO总量：9743176.0,国家总量：3364910.528; 种类：PRODUCTION_SOYBEANS,FAO总量：84291400.0,国家总量：3818660.17203092; "
2011,-40,COLORADO,OTHER (COMBINED) COUNTIES,56.602000000000004,476.26949999999994,,1752.6,,,213600.0,,,,,,,,,1912.62,,1000.0,,35.19936,,6693.398,56.602000000000004,498.94899999999996,,3002.2799999999997,,,,,,,,,,2659.38,,1000.0,40.55184,8068.008000000001,5373.395125275385,12199.248609406719,,2354.8171843227105,,,347900.0,,,,,,,,,55022.17938423646,,22407.48851052049,,37919.69531840223,,237164.2601769948,16.78,,1.833034,303.90529999999995,,7.945119999999998,,,20.5,,,,,,,,,1.6764,,24.7,,3.0935520000000003,,10.253774,"种类：PRODUCTION_CORN,FAO总量：3684530.0,国家总量：312728256.94; 种类：PRODUCTION_LENTILS,FAO总量：214640.0,国家总量：150641.7749; 种类：PRODUCTION_MUSTARD,FAO总量：7100.0,国家总量：521.64; 种类：PRODUCTION_OATS,FAO总量：727580.0,国家总量：513493.992; 种类：PRODUCTION_PEAS,FAO总量：255146.0,国家总量：164925.32400000002; 种类：PRODUCTION_SAFFLOWER,FAO总量：76960.0,国家总量：4572.2880000000005; 种类：PRODUCTION_COTTON,FAO总量：9743176.0,国家总量：3364910.528; 种类：PRODUCTION_SOYBEANS,FAO总量：84291400.0,国家总量：3818660.17203092; "
2011,-39,WASHINGTON,OTHER (COMBINED) COUNTIES,691.1975,149.6847,,817.88,,,85800.0,,,,,,,,,,,,,,,2090.496,757.596,149.6847,,939.8,,,,,,,,,,,,,,2155.824,50470.65649630807,3052.3989311068553,,2263.901992603867,,,360100.0,,,,,,,,,,,,,,,132541.89820009132,,,7.242879,81.19260999999999,,17.49552,,,22.75,,,,,,,,,,,,,,,11.720932000000001,"种类：PRODUCTION_CORN,FAO总量：3684530.0,国家总量：312728256.94; 种类：PRODUCTION_LENTILS,FAO总量：214640.0,国家总量：150641.7749; 种类：PRODUCTION_MUSTARD,FAO总量：7100.0,国家总量：521.64; 种类：PRODUCTION_OATS,FAO总量：727580.0,国家总量：513493.992; 种类：PRODUCTION_PEAS,FAO总量：255146.0,国家总量：164925.32400000002; 种类：PRODUCTION_SAFFLOWER,FAO总量：76960.0,国家总量：4572.2880000000005; 种类：PRODUCTION_COTTON,FAO总量：9743176.0,国家总量：3364910.528; 种类：PRODUCTION_SOYBEANS,FAO总量：84291400.0,国家总量：3818660.17203092; "
2011,-37,KANSAS,OTHER (COMBINED) COUNTIES,,,,10970.26,4789.400000000001,,337500.0,,,,156.816,,,,,8365.49,268.417688452,,,20.72952,,402.856,,,,14000.48,6487.46,,,,409.464,,,,,11526.52,292.37032486400005,,22.81608,446.408,,,,15344.557127662032,17208.701554801042,,803500.0,,,,8824.051791904898,,,,,421681.2410837438,251899.5568235681,,,26431.75506658819,,16360.420944316682,,,,,,21.70176,249.7019,,34.1,,,,2.2752839999999996,,,,,11.2014,0.25372509189,,,3.637872,,1.0697459999999999,"种类：PRODUCTION_CORN,FAO总量：3684530.0,国家总量：312728256.94; 种类：PRODUCTION_LENTILS,FAO总量：214640.0,国家总量：150641.7749; 种类：PRODUCTION_MUSTARD,FAO总量：7100.0,国家总量：521.64; 种类：PRODUCTION_OATS,FAO总量：727580.0,国家总量：513493.992; 种类：PRODUCTION_PEAS,FAO总量：255146.0,国家总量：164925.32400000002; 种类：PRODUCTION_SAFFLOWER,FAO总量：76960.0,国家总量：4572.2880000000005; 种类：PRODUCTION_COTTON,FAO总量：9743176.0,国家总量：3364910.528; 种类：PRODUCTION_SOYBEANS,FAO总量：84291400.0,国家总量：3818660.17203092; "
2011,-36,UTAH,OTHER (COMBINED) COUNTIES,48.9825,,,,,,,,,,,,,,,,,,,,,,132.797,,,,,,,,,,,,,,,,,,3996.922675376074,,,,,,,,,,,,,,,,,,,,,,,,4.63701,,,,,,,,,,,,,,,,,,,,,,"种类：PRODUCTION_CORN,FAO总量：3684530.0,国家总量：312728256.94; 种类：PRODUCTION_LENTILS,FAO总量：214640.0,国家总量：150641.7749; 种类：PRODUCTION_MUSTARD,FAO总量：7100.0,国家总量：521.64; 种类：PRODUCTION_OATS,FAO总量：727580.0,国家总量：513493.992; 种类：PRODUCTION_PEAS,FAO总量：255146.0,国家总量：164925.32400000002; 种类：PRODUCTION_SAFFLOWER,FAO总量：76960.0,国家总量：4572.2880000000005; 种类：PRODUCTION_COTTON,FAO总量：9743176.0,国家总量：3364910.528; 种类：PRODUCTION_SOYBEANS,FAO总量：84291400.0,国家总量：3818660.17203092; "
2011,-35,OHIO,OTHER (COMBINED) COUNTIES,,,,2378.71,,,303300.0,,,,247.7112,,,,,,120.23235741239999,,,,,1862.1202,,,,2562.8599999999997,,,,,299.112,,,,,,120.62745244599999,,,1938.064,,,,4623.477411121211,,,763000.0,,,,19450.358041657477,,,,,,128211.82705682195,,,,,113485.6621895204,,,,,,14.795499999999999,,,44.85,,,,3.435432,,,,,,0.21890734205400003,,,,,9.856362,"种类：PRODUCTION_CORN,FAO总量：3684530.0,国家总量：312728256.94; 种类：PRODUCTION_LENTILS,FAO总量：214640.0,国家总量：150641.7749; 种类：PRODUCTION_MUSTARD,FAO总量：7100.0,国家总量：521.64; 种类：PRODUCTION_OATS,FAO总量：727580.0,国家总量：513493.992; 种类：PRODUCTION_PEAS,FAO总量：255146.0,国家总量：164925.32400000002; 种类：PRODUCTION_SAFFLOWER,FAO总量：76960.0,国家总量：4572.2880000000005; 种类：PRODUCTION_COTTON,FAO总量：9743176.0,国家总量：3364910.528; 种类：PRODUCTION_SOYBEANS,FAO总量：84291400.0,国家总量：3818660.17203092; "
2011,-34,NEW YORK,OTHER (COMBINED) COUNTIES,,193.22933999999998,,2151.38,,,151900.0,,,,197.472,,,,,,32.71880747,,,,,97.992,,195.04369999999997,,1958.34,,,,,287.496,,,,,,34.200413846000004,,,127.93400000000001,,3166.2171963345686,,1449.0169792713712,,,316100.0,,,,14029.19309139648,,,,,,30142.47953508313,,,,,4463.977398552387,,,,65.31696,,13.89888,,,16.95,,,,4.961484,,,,,,0.30656905263399997,,,,,2.400804,"种类：PRODUCTION_CORN,FAO总量：3684530.0,国家总量：312728256.94; 种类：PRODUCTION_LENTILS,FAO总量：214640.0,国家总量：150641.7749; 种类：PRODUCTION_MUSTARD,FAO总量：7100.0,国家总量：521.64; 种类：PRODUCTION_OATS,FAO总量：727580.0,国家总量：513493.992; 种类：PRODUCTION_PEAS,FAO总量：255146.0,国家总量：164925.32400000002; 种类：PRODUCTION_SAFFLOWER,FAO总量：76960.0,国家总量：4572.2880000000005; 种类：PRODUCTION_COTTON,FAO总量：9743176.0,国家总量：3364910.528; 种类：PRODUCTION_SOYBEANS,FAO总量：84291400.0,国家总量：3818660.17203092; "
2011,-33,INDIANA,OTHER (COMBINED) COUNTIES,,,,11648.439999999999,,,169640.0,,,,,,,,,,405.21934383599995,,,,,1804.1416000000002,,,,12021.82,,,,,,,,,,,407.194819004,,,2019.7240000000002,,,,20262.296908819906,,,496180.0,,,,,,,,,,381937.3749553002,,,,,109041.36227320346,,,,,,13.89634,,,47.85,,,,,,,,,,0.15062998156000001,,,,,10.945162000000002,"种类：PRODUCTION_CORN,FAO总量：3684530.0,国家总量：312728256.94; 种类：PRODUCTION_LENTILS,FAO总量：214640.0,国家总量：150641.7749; 种类：PRODUCTION_MUSTARD,FAO总量：7100.0,国家总量：521.64; 种类：PRODUCTION_OATS,FAO总量：727580.0,国家总量：513493.992; 种类：PRODUCTION_PEAS,FAO总量：255146.0,国家总量：164925.32400000002; 种类：PRODUCTION_SAFFLOWER,FAO总量：76960.0,国家总量：4572.2880000000005; 种类：PRODUCTION_COTTON,FAO总量：9743176.0,国家总量：3364910.528; 种类：PRODUCTION_SOYBEANS,FAO总量：84291400.0,国家总量：3818660.17203092; "
