year,OBJECTID,State,County,AREA HARVESTED_BARLEY,AREA HARVESTED_BEANS,AREA HARVESTED_CANOLA,AREA HARVESTED_CHICKPEAS,AREA HARVESTED_CORN,AREA HARVESTED_COTTON,AREA HARVESTED_FLAXSEED,AREA HARVESTED_HAY,AREA HARVESTED_LENTILS,AREA HARVESTED_MUSTARD,AREA HARVESTED_OATS,AREA HARVESTED_PEANUTS,AREA HARVESTED_PEAS,AREA HARVESTED_RICE,AREA HARVESTED_SAFFLOWER,AREA HARVESTED_SORGHUM,AREA HARVESTED_SOYBEANS,AREA HARVESTED_SUGARBEETS,AREA HARVESTED_SUGARCANE,AREA HARVESTED_SUNFLOWER,AREA HARVESTED_TOBACCO,AREA HARVESTED_WHEAT,AREA PLANTED_BARLEY,AREA PLANTED_BEANS,AREA PLANTED_CANOLA,AREA PLANTED_CHICKPEAS,AREA PLANTED_CORN,AREA PLANTED_COTTON,AREA PLANTED_FLAXSEED,AREA PLANTED_LENTILS,AREA PLANTED_MUSTARD,AREA PLANTED_OATS,AREA PLANTED_PEANUTS,AREA PLANTED_PEAS,AREA PLANTED_RICE,AREA PLANTED_SAFFLOWER,AREA PLANTED_SORGHUM,AREA PLANTED_SOYBEANS,AREA PLANTED_SUGARBEETS,AREA PLANTED_SUNFLOWER,AREA PLANTED_WHEAT,PRODUCTION_BARLEY,PRODUCTION_BEANS,PRODUCTION_CANOLA,PRODUCTION_CHICKPEAS,PRODUCTION_CORN,PRODUCTION_COTTON,PRODUCTION_FLAXSEED,PRODUCTION_HAY,PRODUCTION_LENTILS,PRODUCTION_MUSTARD,PRODUCTION_OATS,PRODUCTION_PEANUTS,PRODUCTION_PEAS,PRODUCTION_RICE,PRODUCTION_SAFFLOWER,PRODUCTION_SORGHUM,PRODUCTION_SOYBEANS,PRODUCTION_SUGARBEETS,PRODUCTION_SUGARCANE,PRODUCTION_SUNFLOWER,PRODUCTION_TOBACCO,PRODUCTION_WHEAT,SUCROSE_SUGARBEETS,SUCROSE_SUGARCANE,YIELD_BARLEY,YIELD_BEANS,YIELD_CANOLA,YIELD_CHICKPEAS,YIELD_CORN,YIELD_COTTON,YIELD_FLAXSEED,YIELD_HAY,YIELD_LENTILS,YIELD_MUSTARD,YIELD_OATS,YIELD_PEANUTS,YIELD_PEAS,YIELD_RICE,YIELD_SAFFLOWER,YIELD_SORGHUM,YIELD_SOYBEANS,YIELD_SUGARBEETS,YIELD_SUGARCANE,YIELD_SUNFLOWER,YIELD_TOBACCO,YIELD_WHEAT,标记
2013,-46,WYOMING,OTHER (COMBINED) COUNTIES,252.532,176.90009999999998,,,276.86,,,124500.0,,,,,,,,,,,,,,511.73600000000005,452.81600000000003,181.43599999999998,,,495.29999999999995,,,,,,,,,,,,,,789.38,20167.906228589847,5936.545027423577,,,358.04921529097925,,,213400.0,,,,,,,,,,,,,,12602.72097646389,,,6.280645000000001,124.28366,,,6.596379999999999,,,12.15,,,,,,,,,,,,,,0.645114,"种类：PRODUCTION_CHICKPEAS,FAO总量：161434.0,国家总量：417.66009284300003; 种类：PRODUCTION_CORN,FAO总量：3610470.0,国家总量：350637353.0799999; 种类：PRODUCTION_LENTILS,FAO总量：227660.0,国家总量：92228.45469999999; 种类：PRODUCTION_MUSTARD,FAO总量：16660.0,国家总量：4027.968; 种类：PRODUCTION_OATS,FAO总量：938280.0,国家总量：683603.052; 种类：PRODUCTION_PEAS,FAO总量：708510.0,国家总量：539450.0511; 种类：PRODUCTION_CANOLA,FAO总量：1003550.0,国家总量：708096.8160000001; 种类：PRODUCTION_SAFFLOWER,FAO总量：95360.0,国家总量：8976.290400000002; 种类：PRODUCTION_COTTON,FAO总量：7625804.0,国家总量：2774819.4390000002; 种类：PRODUCTION_SOYBEANS,FAO总量：91389350.0,国家总量：4132892.8336447803; "
2013,-44,MONTANA,OTHER (COMBINED) COUNTIES,953.5260000000001,637.29395,7.80192,12.9618649503,1310.6399999999999,,353.06,277000.0,1138.5109,3.94632,111.078,,4857.948899999999,,3.0164400000000002,,,1950.0,,,,23629.682,1645.8120000000001,639.5618999999999,7.80192,12.9618649503,1292.86,,426.71999999999997,1238.3007,4.12776,225.06,,5538.3339,,3.1752000000000002,,,2100.0,,24664.042,43206.23268419842,15118.771214700235,18202.06443057922,95269.91724137931,986.0084307136536,,5562.599999999999,406000.0,37945.19942949885,8123.626126126126,9466.483716049881,,110522.0553439447,,36232.84855222598,,,48625.10134496325,,,,822759.4347140241,16.4,,5.962803,513.46388,2.227176,3.9091338738999992,16.32204,,0.40132,8.7,179.16805,0.2268,3.714216,,383.73713999999995,,1.056888,,,27.5,,,,14.41299,"种类：PRODUCTION_CHICKPEAS,FAO总量：161434.0,国家总量：417.66009284300003; 种类：PRODUCTION_CORN,FAO总量：3610470.0,国家总量：350637353.0799999; 种类：PRODUCTION_LENTILS,FAO总量：227660.0,国家总量：92228.45469999999; 种类：PRODUCTION_MUSTARD,FAO总量：16660.0,国家总量：4027.968; 种类：PRODUCTION_OATS,FAO总量：938280.0,国家总量：683603.052; 种类：PRODUCTION_PEAS,FAO总量：708510.0,国家总量：539450.0511; 种类：PRODUCTION_CANOLA,FAO总量：1003550.0,国家总量：708096.8160000001; 种类：PRODUCTION_SAFFLOWER,FAO总量：95360.0,国家总量：8976.290400000002; 种类：PRODUCTION_COTTON,FAO总量：7625804.0,国家总量：2774819.4390000002; 种类：PRODUCTION_SOYBEANS,FAO总量：91389350.0,国家总量：4132892.8336447803; "
2013,-43,NEW JERSEY,OTHER (COMBINED) COUNTIES,,,,,210.058,,,8200.0,,,,,,,,,8.02536787,,,,,173.6636,,,,,236.22,,,,,,,,,,,8.64270386,,,209.59400000000002,,,,,276.71005827454786,,,23850.0,,,,,,,,,7235.0062482056765,,,,,9561.075509335302,,,,,,,6.3804799999999995,,,7.65,,,,,,,,,0.14939530958,,,,,4.093888000000001,"种类：PRODUCTION_CHICKPEAS,FAO总量：161434.0,国家总量：417.66009284300003; 种类：PRODUCTION_CORN,FAO总量：3610470.0,国家总量：350637353.0799999; 种类：PRODUCTION_LENTILS,FAO总量：227660.0,国家总量：92228.45469999999; 种类：PRODUCTION_MUSTARD,FAO总量：16660.0,国家总量：4027.968; 种类：PRODUCTION_OATS,FAO总量：938280.0,国家总量：683603.052; 种类：PRODUCTION_PEAS,FAO总量：708510.0,国家总量：539450.0511; 种类：PRODUCTION_CANOLA,FAO总量：1003550.0,国家总量：708096.8160000001; 种类：PRODUCTION_SAFFLOWER,FAO总量：95360.0,国家总量：8976.290400000002; 种类：PRODUCTION_COTTON,FAO总量：7625804.0,国家总量：2774819.4390000002; 种类：PRODUCTION_SOYBEANS,FAO总量：91389350.0,国家总量：4132892.8336447803; "
2013,-40,COLORADO,OTHER (COMBINED) COUNTIES,,612.3465,,,3218.18,,,167600.0,,,,,,,,1320.8,,660.0,,11.158560000000001,,5778.8060000000005,,657.7054999999999,,,4345.94,,,,,,,,,,1889.76,,700.0,13.1544,15052.66,,10486.046824140712,,,3524.940908696641,,,404900.0,,,,,,,,34566.895355656125,,18869.442312970812,,13259.059118593805,,115888.39154087694,15.24,,,131.99469,,,9.14908,,,24.45,,,,,,,,0.64516,,31.5,,1.374408,,2.425302,"种类：PRODUCTION_CHICKPEAS,FAO总量：161434.0,国家总量：417.66009284300003; 种类：PRODUCTION_CORN,FAO总量：3610470.0,国家总量：350637353.0799999; 种类：PRODUCTION_LENTILS,FAO总量：227660.0,国家总量：92228.45469999999; 种类：PRODUCTION_MUSTARD,FAO总量：16660.0,国家总量：4027.968; 种类：PRODUCTION_OATS,FAO总量：938280.0,国家总量：683603.052; 种类：PRODUCTION_PEAS,FAO总量：708510.0,国家总量：539450.0511; 种类：PRODUCTION_CANOLA,FAO总量：1003550.0,国家总量：708096.8160000001; 种类：PRODUCTION_SAFFLOWER,FAO总量：95360.0,国家总量：8976.290400000002; 种类：PRODUCTION_COTTON,FAO总量：7625804.0,国家总量：2774819.4390000002; 种类：PRODUCTION_SOYBEANS,FAO总量：91389350.0,国家总量：4132892.8336447803; "
2013,-39,WASHINGTON,OTHER (COMBINED) COUNTIES,1811.2640000000001,353.80019999999996,,,825.5,,,166100.0,,,,,,,,,,,,,,4074.8340000000003,1930.999,353.80019999999996,,,1905.0,,,,,,,,,,,,,,4175.548,130798.78657052711,6213.953673564866,,,1858.5081985812262,,,564400.0,,,,,,,,,,,,,,332032.1364675565,,,6.642027000000001,65.31696,,,11.0109,,,22.45,,,,,,,,,,,,,,14.260558,"种类：PRODUCTION_CHICKPEAS,FAO总量：161434.0,国家总量：417.66009284300003; 种类：PRODUCTION_CORN,FAO总量：3610470.0,国家总量：350637353.0799999; 种类：PRODUCTION_LENTILS,FAO总量：227660.0,国家总量：92228.45469999999; 种类：PRODUCTION_MUSTARD,FAO总量：16660.0,国家总量：4027.968; 种类：PRODUCTION_OATS,FAO总量：938280.0,国家总量：683603.052; 种类：PRODUCTION_PEAS,FAO总量：708510.0,国家总量：539450.0511; 种类：PRODUCTION_CANOLA,FAO总量：1003550.0,国家总量：708096.8160000001; 种类：PRODUCTION_SAFFLOWER,FAO总量：95360.0,国家总量：8976.290400000002; 种类：PRODUCTION_COTTON,FAO总量：7625804.0,国家总量：2774819.4390000002; 种类：PRODUCTION_SOYBEANS,FAO总量：91389350.0,国家总量：4132892.8336447803; "
2013,-37,KANSAS,OTHER (COMBINED) COUNTIES,,,,,19898.36,3570.28,,784250.0,,,69.696,,,,,17437.1,328.42274668000005,,,5.71536,,23077.116,,,,,21800.82,3722.67,,,,579.348,,,,,20327.62,341.880671262,,5.98752,28545.614,,,,,24394.68550608876,16692.198583563404,,2007100.0,,,3152.8373134296653,,,,,856949.7634516617,245307.66467972827,,,10286.125254558594,,798389.4540393113,,,,,,,25.58796,342.8775,,52.0,,,1.460712,,,,,13.383259999999998,0.378550429068,,,2.0774880000000002,,7.7059820000000006,"种类：PRODUCTION_CHICKPEAS,FAO总量：161434.0,国家总量：417.66009284300003; 种类：PRODUCTION_CORN,FAO总量：3610470.0,国家总量：350637353.0799999; 种类：PRODUCTION_LENTILS,FAO总量：227660.0,国家总量：92228.45469999999; 种类：PRODUCTION_MUSTARD,FAO总量：16660.0,国家总量：4027.968; 种类：PRODUCTION_OATS,FAO总量：938280.0,国家总量：683603.052; 种类：PRODUCTION_PEAS,FAO总量：708510.0,国家总量：539450.0511; 种类：PRODUCTION_CANOLA,FAO总量：1003550.0,国家总量：708096.8160000001; 种类：PRODUCTION_SAFFLOWER,FAO总量：95360.0,国家总量：8976.290400000002; 种类：PRODUCTION_COTTON,FAO总量：7625804.0,国家总量：2774819.4390000002; 种类：PRODUCTION_SOYBEANS,FAO总量：91389350.0,国家总量：4132892.8336447803; "
2013,-36,UTAH,OTHER (COMBINED) COUNTIES,28.301000000000002,,,,,,,5500.0,,,,,,,,,,,,,,,34.832,,,,,,,,,,,,,,,,,,,2490.7606013726067,,,,,,,10000.0,,,,,,,,,,,,,,,,,1.7241840000000002,,,,,,,1.8,,,,,,,,,,,,,,,"种类：PRODUCTION_CHICKPEAS,FAO总量：161434.0,国家总量：417.66009284300003; 种类：PRODUCTION_CORN,FAO总量：3610470.0,国家总量：350637353.0799999; 种类：PRODUCTION_LENTILS,FAO总量：227660.0,国家总量：92228.45469999999; 种类：PRODUCTION_MUSTARD,FAO总量：16660.0,国家总量：4027.968; 种类：PRODUCTION_OATS,FAO总量：938280.0,国家总量：683603.052; 种类：PRODUCTION_PEAS,FAO总量：708510.0,国家总量：539450.0511; 种类：PRODUCTION_CANOLA,FAO总量：1003550.0,国家总量：708096.8160000001; 种类：PRODUCTION_SAFFLOWER,FAO总量：95360.0,国家总量：8976.290400000002; 种类：PRODUCTION_COTTON,FAO总量：7625804.0,国家总量：2774819.4390000002; 种类：PRODUCTION_SOYBEANS,FAO总量：91389350.0,国家总量：4132892.8336447803; "
2013,-35,OHIO,OTHER (COMBINED) COUNTIES,,,,,716.28,,,566100.0,,,229.2708,,,,,,27.3726777966,,,,,2098.9342,,,,,772.16,,,,,468.996,,,,,,27.656652352000002,,,2221.152,,,,,1190.9517215113246,,,1463390.0,,,19289.704397399324,,,,,,26837.77789428747,,,,,130535.86859487047,,,,,,,11.650979999999999,,,49.5,,,6.085332,,,,,,0.166557250102,,,,,13.179924,"种类：PRODUCTION_CHICKPEAS,FAO总量：161434.0,国家总量：417.66009284300003; 种类：PRODUCTION_CORN,FAO总量：3610470.0,国家总量：350637353.0799999; 种类：PRODUCTION_LENTILS,FAO总量：227660.0,国家总量：92228.45469999999; 种类：PRODUCTION_MUSTARD,FAO总量：16660.0,国家总量：4027.968; 种类：PRODUCTION_OATS,FAO总量：938280.0,国家总量：683603.052; 种类：PRODUCTION_PEAS,FAO总量：708510.0,国家总量：539450.0511; 种类：PRODUCTION_CANOLA,FAO总量：1003550.0,国家总量：708096.8160000001; 种类：PRODUCTION_SAFFLOWER,FAO总量：95360.0,国家总量：8976.290400000002; 种类：PRODUCTION_COTTON,FAO总量：7625804.0,国家总量：2774819.4390000002; 种类：PRODUCTION_SOYBEANS,FAO总量：91389350.0,国家总量：4132892.8336447803; "
2013,-34,NEW YORK,OTHER (COMBINED) COUNTIES,,169.18907,,,5883.91,,,591600.0,,,74.6328,,,,,,47.53487122999999,,,,,353.86,,172.36419999999998,,,3624.58,,,,,151.008,,,,,,48.15220722,,,391.968,,3528.637978917192,,,2898.158626414076,,,1273700.0,,,6590.665610310938,,,,,,47368.814492969235,,,,,22537.630006898795,,,,77.56389,,,20.36826,,,27.15,,,2.70072,,,,,,0.286814300954,,,,,6.010176,"种类：PRODUCTION_CHICKPEAS,FAO总量：161434.0,国家总量：417.66009284300003; 种类：PRODUCTION_CORN,FAO总量：3610470.0,国家总量：350637353.0799999; 种类：PRODUCTION_LENTILS,FAO总量：227660.0,国家总量：92228.45469999999; 种类：PRODUCTION_MUSTARD,FAO总量：16660.0,国家总量：4027.968; 种类：PRODUCTION_OATS,FAO总量：938280.0,国家总量：683603.052; 种类：PRODUCTION_PEAS,FAO总量：708510.0,国家总量：539450.0511; 种类：PRODUCTION_CANOLA,FAO总量：1003550.0,国家总量：708096.8160000001; 种类：PRODUCTION_SAFFLOWER,FAO总量：95360.0,国家总量：8976.290400000002; 种类：PRODUCTION_COTTON,FAO总量：7625804.0,国家总量：2774819.4390000002; 种类：PRODUCTION_SOYBEANS,FAO总量：91389350.0,国家总量：4132892.8336447803; "
2013,-33,INDIANA,OTHER (COMBINED) COUNTIES,,,,,13464.539999999999,,,467530.0,,,,,,,,,722.0361739040001,,,,,3508.6580000000004,,,,,14046.199999999999,,,,,,,,,,,724.382050666,,,3778.136,,,,,23811.44974999023,,,1280220.0,,,,,,,,,786568.0377766243,,,,,257203.12666078596,,,,,,,25.54224,,,53.15,,,,,,,,,0.420158874794,,,,,17.320086,"种类：PRODUCTION_CHICKPEAS,FAO总量：161434.0,国家总量：417.66009284300003; 种类：PRODUCTION_CORN,FAO总量：3610470.0,国家总量：350637353.0799999; 种类：PRODUCTION_LENTILS,FAO总量：227660.0,国家总量：92228.45469999999; 种类：PRODUCTION_MUSTARD,FAO总量：16660.0,国家总量：4027.968; 种类：PRODUCTION_OATS,FAO总量：938280.0,国家总量：683603.052; 种类：PRODUCTION_PEAS,FAO总量：708510.0,国家总量：539450.0511; 种类：PRODUCTION_CANOLA,FAO总量：1003550.0,国家总量：708096.8160000001; 种类：PRODUCTION_SAFFLOWER,FAO总量：95360.0,国家总量：8976.290400000002; 种类：PRODUCTION_COTTON,FAO总量：7625804.0,国家总量：2774819.4390000002; 种类：PRODUCTION_SOYBEANS,FAO总量：91389350.0,国家总量：4132892.8336447803; "
2013,-32,IDAHO,OTHER (COMBINED) COUNTIES,962.234,1787.1445999999999,,,,,,228800.0,,,39.204,,,,,,,1500.0,,,,5979.689600000001,1051.491,1787.1445999999999,,,,,,,,387.684,,,,,,,1600.0,,6358.592000000001,85774.0568259091,30071.097241715695,,,,,,929200.0,,,4384.476668486261,,,,,,,51709.52941535271,,,,479883.2940624496,15.51,,5.207384,165.56035,,,,,,13.15,,,1.18338,,,,,,,38.0,,,,18.15574,"种类：PRODUCTION_CHICKPEAS,FAO总量：161434.0,国家总量：417.66009284300003; 种类：PRODUCTION_CORN,FAO总量：3610470.0,国家总量：350637353.0799999; 种类：PRODUCTION_LENTILS,FAO总量：227660.0,国家总量：92228.45469999999; 种类：PRODUCTION_MUSTARD,FAO总量：16660.0,国家总量：4027.968; 种类：PRODUCTION_OATS,FAO总量：938280.0,国家总量：683603.052; 种类：PRODUCTION_PEAS,FAO总量：708510.0,国家总量：539450.0511; 种类：PRODUCTION_CANOLA,FAO总量：1003550.0,国家总量：708096.8160000001; 种类：PRODUCTION_SAFFLOWER,FAO总量：95360.0,国家总量：8976.290400000002; 种类：PRODUCTION_COTTON,FAO总量：7625804.0,国家总量：2774819.4390000002; 种类：PRODUCTION_SOYBEANS,FAO总量：91389350.0,国家总量：4132892.8336447803; "
