year,OBJECTID,State,County,AREA HARVESTED_BARLEY,AREA HARVESTED_BEANS,AREA HARVESTED_CANOLA,AREA HARVESTED_CHICKPEAS,AREA HARVESTED_CORN,AREA HARVESTED_COTTON,AREA HARVESTED_FLAXSEED,AREA HARVESTED_HAY,AREA HARVESTED_LENTILS,AREA HARVESTED_OATS,AREA HARVESTED_PEANUTS,AREA HARVESTED_PEAS,AREA HARVESTED_RICE,AREA HARVESTED_SAFFLOWER,AREA HARVESTED_SORGHUM,AREA HARVESTED_SOYBEANS,AREA HARVESTED_SUGARBEETS,AREA HARVESTED_SUGARCANE,AREA HARVESTED_SUNFLOWER,AREA HARVESTED_TOBACCO,AREA HARVESTED_WHEAT,AREA PLANTED_BARLEY,AREA PLANTED_BEANS,AREA PLANTED_CANOLA,AREA PLANTED_CHICKPEAS,AREA PLANTED_CORN,AREA PLANTED_COTTON,AREA PLANTED_FLAXSEED,AREA PLANTED_LENTILS,AREA PLANTED_OATS,AREA PLANTED_PEANUTS,AREA PLANTED_PEAS,AREA PLANTED_RICE,AREA PLANTED_SAFFLOWER,AREA PLANTED_SORGHUM,AREA PLANTED_SOYBEANS,AREA PLANTED_SUGARBEETS,AREA PLANTED_SUNFLOWER,AREA PLANTED_WHEAT,PRODUCTION_BARLEY,PRODUCTION_BEANS,PRODUCTION_CANOLA,PRODUCTION_CHICKPEAS,PRODUCTION_CORN,PRODUCTION_COTTON,PRODUCTION_FLAXSEED,PRODUCTION_HAY,PRODUCTION_LENTILS,PRODUCTION_OATS,PRODUCTION_PEANUTS,PRODUCTION_PEAS,PRODUCTION_RICE,PRODUCTION_SAFFLOWER,PRODUCTION_SORGHUM,PRODUCTION_SOYBEANS,PRODUCTION_SUGARBEETS,PRODUCTION_SUGARCANE,PRODUCTION_SUNFLOWER,PRODUCTION_TOBACCO,PRODUCTION_WHEAT,SUCROSE_SUGARBEETS,SUCROSE_SUGARCANE,YIELD_BARLEY,YIELD_BEANS,YIELD_CANOLA,YIELD_CHICKPEAS,YIELD_CORN,YIELD_COTTON,YIELD_FLAXSEED,YIELD_HAY,YIELD_LENTILS,YIELD_OATS,YIELD_PEANUTS,YIELD_PEAS,YIELD_RICE,YIELD_SAFFLOWER,YIELD_SORGHUM,YIELD_SOYBEANS,YIELD_SUGARBEETS,YIELD_SUGARCANE,YIELD_SUNFLOWER,YIELD_TOBACCO,YIELD_WHEAT,标记
2014,-46,WYOMING,OTHER (COMBINED) COUNTIES,252.532,199.57959999999997,,,86.36,,,113000.0,,,,,,,,,,,,,136.1,533.365,208.6514,,,276.86,,,,,,,,,,,,,174.208,17752.801405420196,4822.437423385661,,,124.37149254496185,,,177100.0,,,,,,,,,,,,,4735.511247963259,,,6.18268,95.70748999999999,,,7.64794,,,6.95,,,,,,,,,,,,,1.9162880000000002,"种类：PRODUCTION_CHICKPEAS,FAO总量：127369.0,国家总量：880.583841068; 种类：PRODUCTION_CORN,FAO总量：3447520.0,国家总量：361191091.18; 种类：PRODUCTION_LENTILS,FAO总量：156310.0,国家总量：115860.4937; 种类：PRODUCTION_OATS,FAO总量：1019410.0,国家总量：814129.14; 种类：PRODUCTION_PEAS,FAO总量：778140.0,国家总量：607901.318; 种类：PRODUCTION_SAFFLOWER,FAO总量：94640.0,国家总量：10283.112000000001; 种类：PRODUCTION_COTTON,FAO总量：9791640.0,国家总量：3320763.1450000005; 种类：PRODUCTION_SOYBEANS,FAO总量：106877870.0,国家总量：4842693.037825386; 种类：PRODUCTION_SUNFLOWER,FAO总量：1006540.0,国家总量：788489.7048; "
2014,-45,NEVADA,OTHER (COMBINED) COUNTIES,,,,,,,,48000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195500.0,,,,,,,,,,,,,,,,,,,,,,,9.25,,,,,,,,,,,,,,"种类：PRODUCTION_CHICKPEAS,FAO总量：127369.0,国家总量：880.583841068; 种类：PRODUCTION_CORN,FAO总量：3447520.0,国家总量：361191091.18; 种类：PRODUCTION_LENTILS,FAO总量：156310.0,国家总量：115860.4937; 种类：PRODUCTION_OATS,FAO总量：1019410.0,国家总量：814129.14; 种类：PRODUCTION_PEAS,FAO总量：778140.0,国家总量：607901.318; 种类：PRODUCTION_SAFFLOWER,FAO总量：94640.0,国家总量：10283.112000000001; 种类：PRODUCTION_COTTON,FAO总量：9791640.0,国家总量：3320763.1450000005; 种类：PRODUCTION_SOYBEANS,FAO总量：106877870.0,国家总量：4842693.037825386; 种类：PRODUCTION_SUNFLOWER,FAO总量：1006540.0,国家总量：788489.7048; "
2014,-44,MONTANA,OTHER (COMBINED) COUNTIES,1750.308,297.10145,9.48024,27.46680906135,981.7099999999999,,162.56,79500.0,1560.3495999999998,103.092,,2304.2372,,5.1710400000000005,,,2300.0,,,,14559.978000000001,2836.6310000000003,299.3694,9.66168,27.7754248935,1422.3999999999999,,175.26,1646.5316999999998,355.74,,2358.6679999999997,,5.4885600000000005,,,2400.0,,16661.362,98510.17585235853,5973.599905097077,14883.349741983497,60887.14345794393,755.514390288235,,2692.4,144000.0,35309.42724033982,9272.404783349237,,50861.85942396657,,35610.02205558006,,,70022.87114056112,,,,510316.16837203107,18.55,,6.890205000000001,288.02965,1.900584,6.29576297586,14.20368,,0.81788,5.8,142.42726,7.39794,,493.95950999999997,,0.671328,,,33.5,,,,14.358550000000001,"种类：PRODUCTION_CHICKPEAS,FAO总量：127369.0,国家总量：880.583841068; 种类：PRODUCTION_CORN,FAO总量：3447520.0,国家总量：361191091.18; 种类：PRODUCTION_LENTILS,FAO总量：156310.0,国家总量：115860.4937; 种类：PRODUCTION_OATS,FAO总量：1019410.0,国家总量：814129.14; 种类：PRODUCTION_PEAS,FAO总量：778140.0,国家总量：607901.318; 种类：PRODUCTION_SAFFLOWER,FAO总量：94640.0,国家总量：10283.112000000001; 种类：PRODUCTION_COTTON,FAO总量：9791640.0,国家总量：3320763.1450000005; 种类：PRODUCTION_SOYBEANS,FAO总量：106877870.0,国家总量：4842693.037825386; 种类：PRODUCTION_SUNFLOWER,FAO总量：1006540.0,国家总量：788489.7048; "
2014,-43,NEW JERSEY,OTHER (COMBINED) COUNTIES,,,,,264.15999999999997,,,6400.0,,,,,,,,13.4455778622,,,,,77.8492,,,,,276.86,,,,,,,,,,13.828326176000001,,,100.714,,,,,343.4156319491977,,,20700.0,,,,,,,,12725.337850025751,,,,,4016.728290683121,,,,,,,4.71932,,,9.0,,,,,,,,0.15062998156000001,,,,,3.98773,"种类：PRODUCTION_CHICKPEAS,FAO总量：127369.0,国家总量：880.583841068; 种类：PRODUCTION_CORN,FAO总量：3447520.0,国家总量：361191091.18; 种类：PRODUCTION_LENTILS,FAO总量：156310.0,国家总量：115860.4937; 种类：PRODUCTION_OATS,FAO总量：1019410.0,国家总量：814129.14; 种类：PRODUCTION_PEAS,FAO总量：778140.0,国家总量：607901.318; 种类：PRODUCTION_SAFFLOWER,FAO总量：94640.0,国家总量：10283.112000000001; 种类：PRODUCTION_COTTON,FAO总量：9791640.0,国家总量：3320763.1450000005; 种类：PRODUCTION_SOYBEANS,FAO总量：106877870.0,国家总量：4842693.037825386; 种类：PRODUCTION_SUNFLOWER,FAO总量：1006540.0,国家总量：788489.7048; "
2014,-40,COLORADO,OTHER (COMBINED) COUNTIES,10.885,192.77575,,,2257.552,,,387200.0,,,,,,,5882.639999999999,,600.0,,6.53184,,9698.486,21.77,208.6514,,,2623.8199999999997,,,,,,,,,7175.5,,600.0,7.34832,13062.878,1072.3168634146427,4874.291589228518,,,2600.770343618086,,,1040400.0,,,,,,,164518.08509294884,,13368.002672288942,,8760.864940490472,,228530.69906465546,16.59,,1.9593,200.03319,,,8.049259999999999,,,28.75,,,,,,,1.3766800000000001,,24.5,,0.784728,,6.426642,"种类：PRODUCTION_CHICKPEAS,FAO总量：127369.0,国家总量：880.583841068; 种类：PRODUCTION_CORN,FAO总量：3447520.0,国家总量：361191091.18; 种类：PRODUCTION_LENTILS,FAO总量：156310.0,国家总量：115860.4937; 种类：PRODUCTION_OATS,FAO总量：1019410.0,国家总量：814129.14; 种类：PRODUCTION_PEAS,FAO总量：778140.0,国家总量：607901.318; 种类：PRODUCTION_SAFFLOWER,FAO总量：94640.0,国家总量：10283.112000000001; 种类：PRODUCTION_COTTON,FAO总量：9791640.0,国家总量：3320763.1450000005; 种类：PRODUCTION_SOYBEANS,FAO总量：106877870.0,国家总量：4842693.037825386; 种类：PRODUCTION_SUNFLOWER,FAO总量：1006540.0,国家总量：788489.7048; "
2014,-39,WASHINGTON,OTHER (COMBINED) COUNTIES,585.613,793.7824999999999,,,914.4,,,277000.0,,,,,,,,,,,,,3086.748,650.923,793.7824999999999,,,2413.0,,,,,,,,,,,,,3356.226,40128.47995533908,16645.18723555696,,,1958.911617472303,,,872900.0,,,,,,,,,,,,,138584.17292030572,,,4.271274,154.67418999999998,,,10.5283,,,18.7,,,,,,,,,,,,,9.59505,"种类：PRODUCTION_CHICKPEAS,FAO总量：127369.0,国家总量：880.583841068; 种类：PRODUCTION_CORN,FAO总量：3447520.0,国家总量：361191091.18; 种类：PRODUCTION_LENTILS,FAO总量：156310.0,国家总量：115860.4937; 种类：PRODUCTION_OATS,FAO总量：1019410.0,国家总量：814129.14; 种类：PRODUCTION_PEAS,FAO总量：778140.0,国家总量：607901.318; 种类：PRODUCTION_SAFFLOWER,FAO总量：94640.0,国家总量：10283.112000000001; 种类：PRODUCTION_COTTON,FAO总量：9791640.0,国家总量：3320763.1450000005; 种类：PRODUCTION_SOYBEANS,FAO总量：106877870.0,国家总量：4842693.037825386; 种类：PRODUCTION_SUNFLOWER,FAO总量：1006540.0,国家总量：788489.7048; "
2014,-37,KANSAS,OTHER (COMBINED) COUNTIES,,,,,22471.126,,,660840.0,,107.5932,,,,,19206.718,588.32119847,,,7.389144,,40169.915,,,,,24145.239999999998,,,,685.344,,,,,20576.54,598.445508706,,7.80192,44529.198000000004,,,,,31905.651749801833,,,1739600.0,,7368.834624885188,,,,,1409732.0134587025,514618.6574608808,,,16460.350803920857,,1124960.159547405,,,,,,,30.9626,,,48.75,,4.1614320000000005,,,,,17.622519999999998,0.41707219484400004,,,2.308824,,7.00915,"种类：PRODUCTION_CHICKPEAS,FAO总量：127369.0,国家总量：880.583841068; 种类：PRODUCTION_CORN,FAO总量：3447520.0,国家总量：361191091.18; 种类：PRODUCTION_LENTILS,FAO总量：156310.0,国家总量：115860.4937; 种类：PRODUCTION_OATS,FAO总量：1019410.0,国家总量：814129.14; 种类：PRODUCTION_PEAS,FAO总量：778140.0,国家总量：607901.318; 种类：PRODUCTION_SAFFLOWER,FAO总量：94640.0,国家总量：10283.112000000001; 种类：PRODUCTION_COTTON,FAO总量：9791640.0,国家总量：3320763.1450000005; 种类：PRODUCTION_SOYBEANS,FAO总量：106877870.0,国家总量：4842693.037825386; 种类：PRODUCTION_SUNFLOWER,FAO总量：1006540.0,国家总量：788489.7048; "
2014,-36,UTAH,OTHER (COMBINED) COUNTIES,31.5665,,,,,,,6500.0,,,,,,,,,,,,,,76.19500000000001,,,,,,,,,,,,,,,,,,2287.609308617905,,,,,,,21000.0,,,,,,,,,,,,,,,,4.445434,,,,,,,3.25,,,,,,,,,,,,,,"种类：PRODUCTION_CHICKPEAS,FAO总量：127369.0,国家总量：880.583841068; 种类：PRODUCTION_CORN,FAO总量：3447520.0,国家总量：361191091.18; 种类：PRODUCTION_LENTILS,FAO总量：156310.0,国家总量：115860.4937; 种类：PRODUCTION_OATS,FAO总量：1019410.0,国家总量：814129.14; 种类：PRODUCTION_PEAS,FAO总量：778140.0,国家总量：607901.318; 种类：PRODUCTION_SAFFLOWER,FAO总量：94640.0,国家总量：10283.112000000001; 种类：PRODUCTION_COTTON,FAO总量：9791640.0,国家总量：3320763.1450000005; 种类：PRODUCTION_SOYBEANS,FAO总量：106877870.0,国家总量：4842693.037825386; 种类：PRODUCTION_SUNFLOWER,FAO总量：1006540.0,国家总量：788489.7048; "
2014,-35,OHIO,OTHER (COMBINED) COUNTIES,,,,,629.92,,,430280.0,,308.55,,,,,,27.1133966808,,,,,794.8240000000001,,,,,812.8,,,,434.148,,,,,,27.409717956,,,955.422,,,,,802.9598115183501,,,1246400.0,,22701.02865194089,,,,,,27036.57433575065,,,,,56313.12125702976,,,,,,,3.3909,,,51.25,,5.13282,,,,,,0.172113274012,,,,,12.393266,"种类：PRODUCTION_CHICKPEAS,FAO总量：127369.0,国家总量：880.583841068; 种类：PRODUCTION_CORN,FAO总量：3447520.0,国家总量：361191091.18; 种类：PRODUCTION_LENTILS,FAO总量：156310.0,国家总量：115860.4937; 种类：PRODUCTION_OATS,FAO总量：1019410.0,国家总量：814129.14; 种类：PRODUCTION_PEAS,FAO总量：778140.0,国家总量：607901.318; 种类：PRODUCTION_SAFFLOWER,FAO总量：94640.0,国家总量：10283.112000000001; 种类：PRODUCTION_COTTON,FAO总量：9791640.0,国家总量：3320763.1450000005; 种类：PRODUCTION_SOYBEANS,FAO总量：106877870.0,国家总量：4842693.037825386; 种类：PRODUCTION_SUNFLOWER,FAO总量：1006540.0,国家总量：788489.7048; "
2014,-34,NEW YORK,OTHER (COMBINED) COUNTIES,,95.25389999999999,,,11196.32,,,488700.0,,157.2516,,,,,,65.190680544,,,,,822.044,,99.78979999999999,,,11777.98,,,,214.896,,,,,,65.931483732,,,1080.634,,1892.677053264265,,,10339.319771081848,,,1001640.0,,12585.016845165375,,,,,,61446.759853978736,,,,,55695.813540777395,,,,78.92465999999999,,,24.36622,,,22.45,,5.74266,,,,,,0.20952383500599997,,,,,9.434452,"种类：PRODUCTION_CHICKPEAS,FAO总量：127369.0,国家总量：880.583841068; 种类：PRODUCTION_CORN,FAO总量：3447520.0,国家总量：361191091.18; 种类：PRODUCTION_LENTILS,FAO总量：156310.0,国家总量：115860.4937; 种类：PRODUCTION_OATS,FAO总量：1019410.0,国家总量：814129.14; 种类：PRODUCTION_PEAS,FAO总量：778140.0,国家总量：607901.318; 种类：PRODUCTION_SAFFLOWER,FAO总量：94640.0,国家总量：10283.112000000001; 种类：PRODUCTION_COTTON,FAO总量：9791640.0,国家总量：3320763.1450000005; 种类：PRODUCTION_SOYBEANS,FAO总量：106877870.0,国家总量：4842693.037825386; 种类：PRODUCTION_SUNFLOWER,FAO总量：1006540.0,国家总量：788489.7048; "
2014,-33,INDIANA,OTHER (COMBINED) COUNTIES,,,,,3553.46,,,175370.0,,,,,,,,116.7135422694,,,,,1939.9694000000002,,,,,3599.18,,,,,,,,,,116.923436506,,,2316.422,,,,,6435.315590864458,,,560420.0,,,,,,,,132103.72140669133,,,,,149997.3187792362,,,,,,,9.22528,,,51.3,,,,,,,,0.12655387794999998,,,,,16.361942000000003,"种类：PRODUCTION_CHICKPEAS,FAO总量：127369.0,国家总量：880.583841068; 种类：PRODUCTION_CORN,FAO总量：3447520.0,国家总量：361191091.18; 种类：PRODUCTION_LENTILS,FAO总量：156310.0,国家总量：115860.4937; 种类：PRODUCTION_OATS,FAO总量：1019410.0,国家总量：814129.14; 种类：PRODUCTION_PEAS,FAO总量：778140.0,国家总量：607901.318; 种类：PRODUCTION_SAFFLOWER,FAO总量：94640.0,国家总量：10283.112000000001; 种类：PRODUCTION_COTTON,FAO总量：9791640.0,国家总量：3320763.1450000005; 种类：PRODUCTION_SOYBEANS,FAO总量：106877870.0,国家总量：4842693.037825386; 种类：PRODUCTION_SUNFLOWER,FAO总量：1006540.0,国家总量：788489.7048; "
