year,OBJECTID,State,County,AREA HARVESTED_BARLEY,AREA HARVESTED_BEANS,AREA HARVESTED_CANOLA,AREA HARVESTED_CHICKPEAS,AREA HARVESTED_CORN,AREA HARVESTED_COTTON,AREA HARVESTED_FLAXSEED,AREA HARVESTED_HAY,AREA HARVESTED_LENTILS,AREA HARVESTED_MUSTARD,AREA HARVESTED_OATS,AREA HARVESTED_PEANUTS,AREA HARVESTED_PEAS,AREA HARVESTED_RICE,AREA HARVESTED_SAFFLOWER,AREA HARVESTED_SORGHUM,AREA HARVESTED_SOYBEANS,AREA HARVESTED_SUGARBEETS,AREA HARVESTED_SUGARCANE,AREA HARVESTED_SUNFLOWER,AREA HARVESTED_TOBACCO,AREA HARVESTED_WHEAT,AREA PLANTED_BARLEY,AREA PLANTED_BEANS,AREA PLANTED_CANOLA,AREA PLANTED_CHICKPEAS,AREA PLANTED_CORN,AREA PLANTED_COTTON,AREA PLANTED_FLAXSEED,AREA PLANTED_LENTILS,AREA PLANTED_MUSTARD,AREA PLANTED_OATS,AREA PLANTED_PEANUTS,AREA PLANTED_PEAS,AREA PLANTED_RICE,AREA PLANTED_SAFFLOWER,AREA PLANTED_SORGHUM,AREA PLANTED_SOYBEANS,AREA PLANTED_SUGARBEETS,AREA PLANTED_SUNFLOWER,AREA PLANTED_WHEAT,PRODUCTION_BARLEY,PRODUCTION_BEANS,PRODUCTION_CANOLA,PRODUCTION_CHICKPEAS,PRODUCTION_CORN,PRODUCTION_COTTON,PRODUCTION_FLAXSEED,PRODUCTION_HAY,PRODUCTION_LENTILS,PRODUCTION_MUSTARD,PRODUCTION_OATS,PRODUCTION_PEANUTS,PRODUCTION_PEAS,PRODUCTION_RICE,PRODUCTION_SAFFLOWER,PRODUCTION_SORGHUM,PRODUCTION_SOYBEANS,PRODUCTION_SUGARBEETS,PRODUCTION_SUGARCANE,PRODUCTION_SUNFLOWER,PRODUCTION_TOBACCO,PRODUCTION_WHEAT,SUCROSE_SUGARBEETS,SUCROSE_SUGARCANE,YIELD_BARLEY,YIELD_BEANS,YIELD_CANOLA,YIELD_CHICKPEAS,YIELD_CORN,YIELD_COTTON,YIELD_FLAXSEED,YIELD_HAY,YIELD_LENTILS,YIELD_MUSTARD,YIELD_OATS,YIELD_PEANUTS,YIELD_PEAS,YIELD_RICE,YIELD_SAFFLOWER,YIELD_SORGHUM,YIELD_SOYBEANS,YIELD_SUGARBEETS,YIELD_SUGARCANE,YIELD_SUNFLOWER,YIELD_TOBACCO,YIELD_WHEAT,标记
2016,-46,WYOMING,OTHER (COMBINED) COUNTIES,598.6750000000001,117.93339999999999,,,195.57999999999998,,,335800.0,,,,,,,,,,,,,,3086.748,703.171,122.46929999999999,,,322.58,,,,,,,,,,,,,,3465.106,62293.60359224037,3185.405779427562,,,271.36599169001335,,,551200.0,,,,,,,,,,,,,,106627.45678774615,,,5.155136000000001,111.58313999999999,,,4.10718,,,12.8,,,,,,,,,,,,,,1.772022,"种类：PRODUCTION_CHICKPEAS,FAO总量：247070.0,国家总量：2979.171499688; 种类：PRODUCTION_CORN,FAO总量：3294760.0,国家总量：383947136.59999996; 种类：PRODUCTION_MUSTARD,FAO总量：43670.0,国家总量：21360.024; 种类：PRODUCTION_OATS,FAO总量：938070.0,国家总量：708394.5; 种类：PRODUCTION_PEAS,FAO总量：1259260.0,国家总量：998170.154; 种类：PRODUCTION_SAFFLOWER,FAO总量：99170.0,国家总量：9357.768; 种类：PRODUCTION_COTTON,FAO总量：10083328.24,国家总量：3640085.505; 种类：PRODUCTION_SOYBEANS,FAO总量：116931500.0,国家总量：5286413.404948123; 种类：PRODUCTION_SUNFLOWER,FAO总量：1202760.0,国家总量：960327.4464000001; "
2016,-45,NEVADA,OTHER (COMBINED) COUNTIES,,,,,,,,12120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32700.0,,,,,,,,,,,,,,,,,,,,,,,,7.300000000000001,,,,,,,,,,,,,,,"种类：PRODUCTION_CHICKPEAS,FAO总量：247070.0,国家总量：2979.171499688; 种类：PRODUCTION_CORN,FAO总量：3294760.0,国家总量：383947136.59999996; 种类：PRODUCTION_MUSTARD,FAO总量：43670.0,国家总量：21360.024; 种类：PRODUCTION_OATS,FAO总量：938070.0,国家总量：708394.5; 种类：PRODUCTION_PEAS,FAO总量：1259260.0,国家总量：998170.154; 种类：PRODUCTION_SAFFLOWER,FAO总量：99170.0,国家总量：9357.768; 种类：PRODUCTION_COTTON,FAO总量：10083328.24,国家总量：3640085.505; 种类：PRODUCTION_SOYBEANS,FAO总量：116931500.0,国家总量：5286413.404948123; 种类：PRODUCTION_SUNFLOWER,FAO总量：1202760.0,国家总量：960327.4464000001; "
2016,-44,MONTANA,OTHER (COMBINED) COUNTIES,1067.8185,2637.62585,8.3916,98.5513223999,1250.95,,609.6,66200.0,3218.2210499999997,12.564720000000001,127.776,,4025.6112499999995,,7.8472800000000005,,,,,,,20055.696,2623.2850000000003,2717.0040999999997,8.436960000000001,99.99152961659999,1562.1,,632.4599999999999,3388.3172999999997,13.018320000000001,254.1,,4345.392199999999,,8.52768,,,,,21068.280000000002,89348.49887742489,50160.18663292338,14835.418018367822,139403.44613259667,757.296386769303,,13284.2,117500.0,46927.84525241199,26170.469314079422,9671.518524212146,,67523.71171498683,,65905.0266602036,,,,,,,760331.9492752419,,,9.615809,502.12413,2.0910960000000003,6.686676363249998,16.61414,,1.3944599999999998,5.6,234.95961999999997,0.9208080000000001,3.307656,,325.67762,,1.0931760000000001,,,,,,,15.70594,"种类：PRODUCTION_CHICKPEAS,FAO总量：247070.0,国家总量：2979.171499688; 种类：PRODUCTION_CORN,FAO总量：3294760.0,国家总量：383947136.59999996; 种类：PRODUCTION_MUSTARD,FAO总量：43670.0,国家总量：21360.024; 种类：PRODUCTION_OATS,FAO总量：938070.0,国家总量：708394.5; 种类：PRODUCTION_PEAS,FAO总量：1259260.0,国家总量：998170.154; 种类：PRODUCTION_SAFFLOWER,FAO总量：99170.0,国家总量：9357.768; 种类：PRODUCTION_COTTON,FAO总量：10083328.24,国家总量：3640085.505; 种类：PRODUCTION_SOYBEANS,FAO总量：116931500.0,国家总量：5286413.404948123; 种类：PRODUCTION_SUNFLOWER,FAO总量：1202760.0,国家总量：960327.4464000001; "
2016,-43,NEW JERSEY,OTHER (COMBINED) COUNTIES,,,,,203.45399999999998,,,4610.0,,,,,,,,,32.4842197938,,,,,,,,,,274.32,,,,,,,,,,,33.830012252,,,,,,,,215.30548320593988,,,14440.0,,,,,,,,,24305.916253138785,,,,,,,,,,,,8.33882,,,8.85,,,,,,,,,0.133097639444,,,,,,"种类：PRODUCTION_CHICKPEAS,FAO总量：247070.0,国家总量：2979.171499688; 种类：PRODUCTION_CORN,FAO总量：3294760.0,国家总量：383947136.59999996; 种类：PRODUCTION_MUSTARD,FAO总量：43670.0,国家总量：21360.024; 种类：PRODUCTION_OATS,FAO总量：938070.0,国家总量：708394.5; 种类：PRODUCTION_PEAS,FAO总量：1259260.0,国家总量：998170.154; 种类：PRODUCTION_SAFFLOWER,FAO总量：99170.0,国家总量：9357.768; 种类：PRODUCTION_COTTON,FAO总量：10083328.24,国家总量：3640085.505; 种类：PRODUCTION_SOYBEANS,FAO总量：116931500.0,国家总量：5286413.404948123; 种类：PRODUCTION_SUNFLOWER,FAO总量：1202760.0,国家总量：960327.4464000001; "
2016,-40,COLORADO,OTHER (COMBINED) COUNTIES,30.478,1104.49165,,,7123.429999999999,,,454900.0,,,,,,,,2268.22,,900.0,,5.82876,,14312.276,32.655,1238.3007,,,8227.06,,,,,,,,,,2595.88,,900.0,6.21432,15281.308,2610.8169151467764,27887.232159582232,,,8480.350713801887,,,1107500.0,,,,,,,,139818.88659018482,,23596.716389600184,,8459.162713190157,,713344.8942144328,17.48,,1.6632280000000002,275.32912999999996,,,10.863579999999999,,,26.5,,,,,,,,3.5305999999999997,,28.9,,1.034208,,3.993174,"种类：PRODUCTION_CHICKPEAS,FAO总量：247070.0,国家总量：2979.171499688; 种类：PRODUCTION_CORN,FAO总量：3294760.0,国家总量：383947136.59999996; 种类：PRODUCTION_MUSTARD,FAO总量：43670.0,国家总量：21360.024; 种类：PRODUCTION_OATS,FAO总量：938070.0,国家总量：708394.5; 种类：PRODUCTION_PEAS,FAO总量：1259260.0,国家总量：998170.154; 种类：PRODUCTION_SAFFLOWER,FAO总量：99170.0,国家总量：9357.768; 种类：PRODUCTION_COTTON,FAO总量：10083328.24,国家总量：3640085.505; 种类：PRODUCTION_SOYBEANS,FAO总量：116931500.0,国家总量：5286413.404948123; 种类：PRODUCTION_SUNFLOWER,FAO总量：1202760.0,国家总量：960327.4464000001; "
2016,-39,WASHINGTON,OTHER (COMBINED) COUNTIES,167.62900000000002,226.795,,,,,,348700.0,,,,,,,,,,,,,,4151.05,213.346,235.86679999999998,,,,,,,,,,,,,,,,,4246.320000000001,15884.50291365001,5086.694854023387,,,,,,1326500.0,,,,,,,,,,,,,,315973.2514326425,,,5.52958,188.69343999999998,,,,,,28.75,,,,,,,,,,,,,,11.508616,"种类：PRODUCTION_CHICKPEAS,FAO总量：247070.0,国家总量：2979.171499688; 种类：PRODUCTION_CORN,FAO总量：3294760.0,国家总量：383947136.59999996; 种类：PRODUCTION_MUSTARD,FAO总量：43670.0,国家总量：21360.024; 种类：PRODUCTION_OATS,FAO总量：938070.0,国家总量：708394.5; 种类：PRODUCTION_PEAS,FAO总量：1259260.0,国家总量：998170.154; 种类：PRODUCTION_SAFFLOWER,FAO总量：99170.0,国家总量：9357.768; 种类：PRODUCTION_COTTON,FAO总量：10083328.24,国家总量：3640085.505; 种类：PRODUCTION_SOYBEANS,FAO总量：116931500.0,国家总量：5286413.404948123; 种类：PRODUCTION_SUNFLOWER,FAO总量：1202760.0,国家总量：960327.4464000001; "
2016,-37,KANSAS,OTHER (COMBINED) COUNTIES,,,,,38023.292,3004.26,,1313480.0,,,101.3496,,,,,27091.64,850.0963516696,,,7.711200000000001,,54728.532,,,,,39552.88,3134.88,,,,177.144,,,,,28732.48,861.1837060500001,,8.436960000000001,56576.770000000004,,,,,47231.196362483824,21347.843516609704,,3723900.0,,,8777.431821675635,,,,,2466145.944661115,884227.3852745793,,,13580.10916696424,,3303918.009520401,,,,,,,32.024319999999996,267.9887,,54.45,,,2.841564,,,,,19.728180000000002,0.5569605301780001,,,2.6308800000000003,,13.563726,"种类：PRODUCTION_CHICKPEAS,FAO总量：247070.0,国家总量：2979.171499688; 种类：PRODUCTION_CORN,FAO总量：3294760.0,国家总量：383947136.59999996; 种类：PRODUCTION_MUSTARD,FAO总量：43670.0,国家总量：21360.024; 种类：PRODUCTION_OATS,FAO总量：938070.0,国家总量：708394.5; 种类：PRODUCTION_PEAS,FAO总量：1259260.0,国家总量：998170.154; 种类：PRODUCTION_SAFFLOWER,FAO总量：99170.0,国家总量：9357.768; 种类：PRODUCTION_COTTON,FAO总量：10083328.24,国家总量：3640085.505; 种类：PRODUCTION_SOYBEANS,FAO总量：116931500.0,国家总量：5286413.404948123; 种类：PRODUCTION_SUNFLOWER,FAO总量：1202760.0,国家总量：960327.4464000001; "
2016,-36,UTAH,OTHER (COMBINED) COUNTIES,54.425000000000004,,,,,,,9300.0,,,,,,,,,,,,,,,100.14200000000001,,,,,,,,,,,,,,,,,,,5026.43256560968,,,,,,,46000.0,,,,,,,,,,,,,,,,,3.444014,,,,,,,4.95,,,,,,,,,,,,,,,"种类：PRODUCTION_CHICKPEAS,FAO总量：247070.0,国家总量：2979.171499688; 种类：PRODUCTION_CORN,FAO总量：3294760.0,国家总量：383947136.59999996; 种类：PRODUCTION_MUSTARD,FAO总量：43670.0,国家总量：21360.024; 种类：PRODUCTION_OATS,FAO总量：938070.0,国家总量：708394.5; 种类：PRODUCTION_PEAS,FAO总量：1259260.0,国家总量：998170.154; 种类：PRODUCTION_SAFFLOWER,FAO总量：99170.0,国家总量：9357.768; 种类：PRODUCTION_COTTON,FAO总量：10083328.24,国家总量：3640085.505; 种类：PRODUCTION_SOYBEANS,FAO总量：116931500.0,国家总量：5286413.404948123; 种类：PRODUCTION_SUNFLOWER,FAO总量：1202760.0,国家总量：960327.4464000001; "
2016,-35,OHIO,OTHER (COMBINED) COUNTIES,,,,,830.5799999999999,,,493900.0,,,238.9992,,,,,,63.1411250572,,,,,928.4742,,,,,957.5799999999999,,,,,480.612,,,,,,63.83254136600001,,,985.364,,,,,1086.5537900198526,,,1314400.0,,,23742.328178324362,,,,,,73245.46897855979,,,,,69077.73565583679,,,,,,,13.843,,,49.2,,,6.031607999999999,,,,,,0.249156805564,,,,,11.070374,"种类：PRODUCTION_CHICKPEAS,FAO总量：247070.0,国家总量：2979.171499688; 种类：PRODUCTION_CORN,FAO总量：3294760.0,国家总量：383947136.59999996; 种类：PRODUCTION_MUSTARD,FAO总量：43670.0,国家总量：21360.024; 种类：PRODUCTION_OATS,FAO总量：938070.0,国家总量：708394.5; 种类：PRODUCTION_PEAS,FAO总量：1259260.0,国家总量：998170.154; 种类：PRODUCTION_SAFFLOWER,FAO总量：99170.0,国家总量：9357.768; 种类：PRODUCTION_COTTON,FAO总量：10083328.24,国家总量：3640085.505; 种类：PRODUCTION_SOYBEANS,FAO总量：116931500.0,国家总量：5286413.404948123; 种类：PRODUCTION_SUNFLOWER,FAO总量：1202760.0,国家总量：960327.4464000001; "
2016,-34,NEW YORK,OTHER (COMBINED) COUNTIES,,,,,3068.3199999999997,,,654650.0,,,232.1748,,,,,,13.3714975434,,,,,384.8908,,,,,2481.58,,,,,381.876,,,,,,14.075260572,,,430.076,,,,,1853.6803825925447,,,1179000.0,,,16608.86222905457,,,,,,13117.001771216355,,,,,27616.123168557966,,,,,,,14.312899999999999,,,24.1,,,4.200636,,,,,,0.16161856218200002,,,,,7.637932000000001,"种类：PRODUCTION_CHICKPEAS,FAO总量：247070.0,国家总量：2979.171499688; 种类：PRODUCTION_CORN,FAO总量：3294760.0,国家总量：383947136.59999996; 种类：PRODUCTION_MUSTARD,FAO总量：43670.0,国家总量：21360.024; 种类：PRODUCTION_OATS,FAO总量：938070.0,国家总量：708394.5; 种类：PRODUCTION_PEAS,FAO总量：1259260.0,国家总量：998170.154; 种类：PRODUCTION_SAFFLOWER,FAO总量：99170.0,国家总量：9357.768; 种类：PRODUCTION_COTTON,FAO总量：10083328.24,国家总量：3640085.505; 种类：PRODUCTION_SOYBEANS,FAO总量：116931500.0,国家总量：5286413.404948123; 种类：PRODUCTION_SUNFLOWER,FAO总量：1202760.0,国家总量：960327.4464000001; "
2016,-33,INDIANA,OTHER (COMBINED) COUNTIES,,,,,12933.68,,,168110.0,,,,,,,,,406.330548618,,,,,2148.4746,,,,,13134.34,,,,,,,,,,,406.947884608,,,2555.958,,,,,19841.32226790515,,,583370.0,,,,,,,,,514138.40379954,,,,,167806.55426396025,,,,,,,16.891,,,63.75,,,,,,,,,0.269899294828,,,,,19.492242,"种类：PRODUCTION_CHICKPEAS,FAO总量：247070.0,国家总量：2979.171499688; 种类：PRODUCTION_CORN,FAO总量：3294760.0,国家总量：383947136.59999996; 种类：PRODUCTION_MUSTARD,FAO总量：43670.0,国家总量：21360.024; 种类：PRODUCTION_OATS,FAO总量：938070.0,国家总量：708394.5; 种类：PRODUCTION_PEAS,FAO总量：1259260.0,国家总量：998170.154; 种类：PRODUCTION_SAFFLOWER,FAO总量：99170.0,国家总量：9357.768; 种类：PRODUCTION_COTTON,FAO总量：10083328.24,国家总量：3640085.505; 种类：PRODUCTION_SOYBEANS,FAO总量：116931500.0,国家总量：5286413.404948123; 种类：PRODUCTION_SUNFLOWER,FAO总量：1202760.0,国家总量：960327.4464000001; "
