year,OBJECTID,State,County,AREA HARVESTED_BARLEY,AREA HARVESTED_BEANS,AREA HARVESTED_CANOLA,AREA HARVESTED_CHICKPEAS,AREA HARVESTED_CORN,AREA HARVESTED_COTTON,AREA HARVESTED_FLAXSEED,AREA HARVESTED_HAY,AREA HARVESTED_LENTILS,AREA HARVESTED_OATS,AREA HARVESTED_PEANUTS,AREA HARVESTED_PEAS,AREA HARVESTED_RICE,AREA HARVESTED_SORGHUM,AREA HARVESTED_SOYBEANS,AREA HARVESTED_SUGARBEETS,AREA HARVESTED_SUGARCANE,AREA HARVESTED_SUNFLOWER,AREA HARVESTED_TOBACCO,AREA HARVESTED_WHEAT,AREA PLANTED_BARLEY,AREA PLANTED_BEANS,AREA PLANTED_CANOLA,AREA PLANTED_CHICKPEAS,AREA PLANTED_CORN,AREA PLANTED_COTTON,AREA PLANTED_FLAXSEED,AREA PLANTED_LENTILS,AREA PLANTED_OATS,AREA PLANTED_PEANUTS,AREA PLANTED_PEAS,AREA PLANTED_RICE,AREA PLANTED_SORGHUM,AREA PLANTED_SOYBEANS,AREA PLANTED_SUGARBEETS,AREA PLANTED_SUNFLOWER,AREA PLANTED_WHEAT,PRODUCTION_BARLEY,PRODUCTION_BEANS,PRODUCTION_CANOLA,PRODUCTION_CHICKPEAS,PRODUCTION_CORN,PRODUCTION_COTTON,PRODUCTION_FLAXSEED,PRODUCTION_HAY,PRODUCTION_LENTILS,PRODUCTION_OATS,PRODUCTION_PEANUTS,PRODUCTION_PEAS,PRODUCTION_RICE,PRODUCTION_SORGHUM,PRODUCTION_SOYBEANS,PRODUCTION_SUGARBEETS,PRODUCTION_SUGARCANE,PRODUCTION_SUNFLOWER,PRODUCTION_TOBACCO,PRODUCTION_WHEAT,SUCROSE_SUGARBEETS,SUCROSE_SUGARCANE,YIELD_BARLEY,YIELD_BEANS,YIELD_CANOLA,YIELD_CHICKPEAS,YIELD_CORN,YIELD_COTTON,YIELD_FLAXSEED,YIELD_HAY,YIELD_LENTILS,YIELD_OATS,YIELD_PEANUTS,YIELD_PEAS,YIELD_RICE,YIELD_SORGHUM,YIELD_SOYBEANS,YIELD_SUGARBEETS,YIELD_SUGARCANE,YIELD_SUNFLOWER,YIELD_TOBACCO,YIELD_WHEAT,标记
2017,-46,WYOMING,OTHER (COMBINED) COUNTIES,814.1980000000001,,,,,,,176400.0,,,,,,,,,,,,,990.5350000000001,,,,,,,,,,,,,,,,,98267.77269580695,,,,,,,440100.0,,,,,,,,,,,,,,,4.835117,,,,,,,12.35,,,,,,,,,,,,,"种类：PRODUCTION_CHICKPEAS,FAO总量：320100.0,国家总量：381.8606563136; 种类：PRODUCTION_CORN,FAO总量：3431310.0,国家总量：370034565.99999994; 种类：PRODUCTION_LENTILS,FAO总量：339380.0,国家总量：267831.2873; 种类：PRODUCTION_OATS,FAO总量：719720.0,国家总量：539391.864; 种类：PRODUCTION_PEAS,FAO总量：643880.0,国家总量：432679.501; 种类：PRODUCTION_COTTON,FAO总量：12000000.0,国家总量：4123063.8400000003; 种类：PRODUCTION_SOYBEANS,FAO总量：120064970.0,国家总量：5409460.93794212; 种类：PRODUCTION_SUNFLOWER,FAO总量：969670.0,国家总量：662145.3216; "
2017,-45,NEVADA,OTHER (COMBINED) COUNTIES,,,,,,,,31500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144200.0,,,,,,,,,,,,,,,,,,,,,,9.45,,,,,,,,,,,,,"种类：PRODUCTION_CHICKPEAS,FAO总量：320100.0,国家总量：381.8606563136; 种类：PRODUCTION_CORN,FAO总量：3431310.0,国家总量：370034565.99999994; 种类：PRODUCTION_LENTILS,FAO总量：339380.0,国家总量：267831.2873; 种类：PRODUCTION_OATS,FAO总量：719720.0,国家总量：539391.864; 种类：PRODUCTION_PEAS,FAO总量：643880.0,国家总量：432679.501; 种类：PRODUCTION_COTTON,FAO总量：12000000.0,国家总量：4123063.8400000003; 种类：PRODUCTION_SOYBEANS,FAO总量：120064970.0,国家总量：5409460.93794212; 种类：PRODUCTION_SUNFLOWER,FAO总量：969670.0,国家总量：662145.3216; "
2017,-44,MONTANA,OTHER (COMBINED) COUNTIES,572.551,1932.2933999999998,11.13588,26.540961564899995,,,,499500.0,3329.3505999999998,130.68,,5973.780299999999,,,,,,,,8865.554,2205.301,2163.6243,12.51936,27.158193229199995,,,,3742.1175,328.152,,6595.1986,,,,,,11029.544,28256.80421776107,14610.711653084876,8075.693705030418,182815.73275862072,,,,1028600.0,24691.79602689383,7749.716002390426,,68120.73550686655,,,,,,,,244723.87336156337,,,5.941033,231.33089999999999,0.870912,4.2588984836699995,,,,20.5,167.82829999999998,3.3294360000000003,,191.86856999999998,,,,,,,,12.314328,"种类：PRODUCTION_CHICKPEAS,FAO总量：320100.0,国家总量：381.8606563136; 种类：PRODUCTION_CORN,FAO总量：3431310.0,国家总量：370034565.99999994; 种类：PRODUCTION_LENTILS,FAO总量：339380.0,国家总量：267831.2873; 种类：PRODUCTION_OATS,FAO总量：719720.0,国家总量：539391.864; 种类：PRODUCTION_PEAS,FAO总量：643880.0,国家总量：432679.501; 种类：PRODUCTION_COTTON,FAO总量：12000000.0,国家总量：4123063.8400000003; 种类：PRODUCTION_SOYBEANS,FAO总量：120064970.0,国家总量：5409460.93794212; 种类：PRODUCTION_SUNFLOWER,FAO总量：969670.0,国家总量：662145.3216; "
2017,-43,NEW JERSEY,OTHER (COMBINED) COUNTIES,,,,,,,,5640.0,,,,,,,9.506974246,,,,,,,,,,,,,,,,,,,9.753908642,,,,,,,,,,,16300.0,,,,,,,8796.683210485304,,,,,,,,,,,,,,,8.35,,,,,,,0.15482786629200002,,,,,,"种类：PRODUCTION_CHICKPEAS,FAO总量：320100.0,国家总量：381.8606563136; 种类：PRODUCTION_CORN,FAO总量：3431310.0,国家总量：370034565.99999994; 种类：PRODUCTION_LENTILS,FAO总量：339380.0,国家总量：267831.2873; 种类：PRODUCTION_OATS,FAO总量：719720.0,国家总量：539391.864; 种类：PRODUCTION_PEAS,FAO总量：643880.0,国家总量：432679.501; 种类：PRODUCTION_COTTON,FAO总量：12000000.0,国家总量：4123063.8400000003; 种类：PRODUCTION_SOYBEANS,FAO总量：120064970.0,国家总量：5409460.93794212; 种类：PRODUCTION_SUNFLOWER,FAO总量：969670.0,国家总量：662145.3216; "
2017,-40,COLORADO,OTHER (COMBINED) COUNTIES,34.832,1571.6893499999999,,,6739.889999999999,,,425600.0,,,,,,1013.4599999999999,,,,,,17314.642,39.186,1655.6035,,,7307.58,,,,,,,,1330.96,,,,19456.856,3315.862589003164,35897.65721013302,,,8087.0183700351945,,,1042950.0,,,,,,50458.3095970224,,,,,,732124.4353650395,,,1.754662,318.42017999999996,,,9.39292,,,24.75,,,,,,1.19634,,,,,,4.009506000000001,"种类：PRODUCTION_CHICKPEAS,FAO总量：320100.0,国家总量：381.8606563136; 种类：PRODUCTION_CORN,FAO总量：3431310.0,国家总量：370034565.99999994; 种类：PRODUCTION_LENTILS,FAO总量：339380.0,国家总量：267831.2873; 种类：PRODUCTION_OATS,FAO总量：719720.0,国家总量：539391.864; 种类：PRODUCTION_PEAS,FAO总量：643880.0,国家总量：432679.501; 种类：PRODUCTION_COTTON,FAO总量：12000000.0,国家总量：4123063.8400000003; 种类：PRODUCTION_SOYBEANS,FAO总量：120064970.0,国家总量：5409460.93794212; 种类：PRODUCTION_SUNFLOWER,FAO总量：969670.0,国家总量：662145.3216; "
2017,-39,WASHINGTON,OTHER (COMBINED) COUNTIES,1401.988,485.3413,,,1045.21,,,254500.0,,,,,,,,,,,,2580.456,1519.546,485.3413,,,1371.6,,,,,,,,,,,,2645.784,83899.03481012657,6009.404358264195,,,2399.608072052383,,,1096900.0,,,,,,,,,,,,164343.43999417176,,,5.960626,159.66368,,,18.33372,,,28.95,,,,,,,,,,,,8.794782000000001,"种类：PRODUCTION_CHICKPEAS,FAO总量：320100.0,国家总量：381.8606563136; 种类：PRODUCTION_CORN,FAO总量：3431310.0,国家总量：370034565.99999994; 种类：PRODUCTION_LENTILS,FAO总量：339380.0,国家总量：267831.2873; 种类：PRODUCTION_OATS,FAO总量：719720.0,国家总量：539391.864; 种类：PRODUCTION_PEAS,FAO总量：643880.0,国家总量：432679.501; 种类：PRODUCTION_COTTON,FAO总量：12000000.0,国家总量：4123063.8400000003; 种类：PRODUCTION_SOYBEANS,FAO总量：120064970.0,国家总量：5409460.93794212; 种类：PRODUCTION_SUNFLOWER,FAO总量：969670.0,国家总量：662145.3216; "
2017,-37,KANSAS,OTHER (COMBINED) COUNTIES,,,,,41357.549999999996,10689.07,,1167220.0,,184.1136,,,,28289.503999999997,851.429797408,,,7.4844,,47400.635800000004,,,,,43657.52,11102.7,,,705.672,,,,30340.3,862.4183780300001,,7.75656,53985.426,,,,,51305.77806084312,63233.927515417745,,2933410.0,,14629.526383512526,,,,2408673.035808713,763667.1994597941,,,16635.277272366067,,2199199.5583330803,,,,,,,29.057599999999997,423.6442,,48.7,,2.5874639999999998,,,,17.929859999999998,0.48041086741800004,,,1.2519360000000002,,11.162922000000002,"种类：PRODUCTION_CHICKPEAS,FAO总量：320100.0,国家总量：381.8606563136; 种类：PRODUCTION_CORN,FAO总量：3431310.0,国家总量：370034565.99999994; 种类：PRODUCTION_LENTILS,FAO总量：339380.0,国家总量：267831.2873; 种类：PRODUCTION_OATS,FAO总量：719720.0,国家总量：539391.864; 种类：PRODUCTION_PEAS,FAO总量：643880.0,国家总量：432679.501; 种类：PRODUCTION_COTTON,FAO总量：12000000.0,国家总量：4123063.8400000003; 种类：PRODUCTION_SOYBEANS,FAO总量：120064970.0,国家总量：5409460.93794212; 种类：PRODUCTION_SUNFLOWER,FAO总量：969670.0,国家总量：662145.3216; "
2017,-36,UTAH,OTHER (COMBINED) COUNTIES,,,,,,,,10600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39300.0,,,,,,,,,,,,,,,,,,,,,,3.7,,,,,,,,,,,,,"种类：PRODUCTION_CHICKPEAS,FAO总量：320100.0,国家总量：381.8606563136; 种类：PRODUCTION_CORN,FAO总量：3431310.0,国家总量：370034565.99999994; 种类：PRODUCTION_LENTILS,FAO总量：339380.0,国家总量：267831.2873; 种类：PRODUCTION_OATS,FAO总量：719720.0,国家总量：539391.864; 种类：PRODUCTION_PEAS,FAO总量：643880.0,国家总量：432679.501; 种类：PRODUCTION_COTTON,FAO总量：12000000.0,国家总量：4123063.8400000003; 种类：PRODUCTION_SOYBEANS,FAO总量：120064970.0,国家总量：5409460.93794212; 种类：PRODUCTION_SUNFLOWER,FAO总量：969670.0,国家总量：662145.3216; "
2017,-35,OHIO,OTHER (COMBINED) COUNTIES,,,,,1325.8799999999999,,,428700.0,,135.3264,,,,,123.775865995,,,,,372.914,,,,,1554.48,,,,470.448,,,,,125.566140366,,,416.466,,,,,1915.352654292302,,,1072900.0,,12490.60476685277,,,,,131621.40018679414,,,,,27210.49689868899,,,,,,,11.168379999999999,,,45.7,,5.72088,,,,,0.28397455539999994,,,,,10.31638,"种类：PRODUCTION_CHICKPEAS,FAO总量：320100.0,国家总量：381.8606563136; 种类：PRODUCTION_CORN,FAO总量：3431310.0,国家总量：370034565.99999994; 种类：PRODUCTION_LENTILS,FAO总量：339380.0,国家总量：267831.2873; 种类：PRODUCTION_OATS,FAO总量：719720.0,国家总量：539391.864; 种类：PRODUCTION_PEAS,FAO总量：643880.0,国家总量：432679.501; 种类：PRODUCTION_COTTON,FAO总量：12000000.0,国家总量：4123063.8400000003; 种类：PRODUCTION_SOYBEANS,FAO总量：120064970.0,国家总量：5409460.93794212; 种类：PRODUCTION_SUNFLOWER,FAO总量：969670.0,国家总量：662145.3216; "
2017,-34,NEW YORK,OTHER (COMBINED) COUNTIES,,,,,2415.54,,,525280.0,,159.8652,,,,,17.5076486764,,,,,,,,,,2136.14,,,,262.812,,,,,18.273145304,,,,,,,,2136.164645610432,,,1192600.0,,11144.091611437434,,,,,15905.280172478724,,,,,,,,,,,,19.8374,,,26.75,,3.96396,,,,,0.200757663948,,,,,,"种类：PRODUCTION_CHICKPEAS,FAO总量：320100.0,国家总量：381.8606563136; 种类：PRODUCTION_CORN,FAO总量：3431310.0,国家总量：370034565.99999994; 种类：PRODUCTION_LENTILS,FAO总量：339380.0,国家总量：267831.2873; 种类：PRODUCTION_OATS,FAO总量：719720.0,国家总量：539391.864; 种类：PRODUCTION_PEAS,FAO总量：643880.0,国家总量：432679.501; 种类：PRODUCTION_COTTON,FAO总量：12000000.0,国家总量：4123063.8400000003; 种类：PRODUCTION_SOYBEANS,FAO总量：120064970.0,国家总量：5409460.93794212; 种类：PRODUCTION_SUNFLOWER,FAO总量：969670.0,国家总量：662145.3216; "
2017,-33,INDIANA,OTHER (COMBINED) COUNTIES,,,,,2969.2599999999998,,,206200.0,,,,,,,97.7613273764,,,,,741.745,,,,,3007.3599999999997,,,,,,,,,98.032955212,,,977.1980000000001,,,,,4811.9349148046895,,,585500.0,,,,,,,111780.9059675064,,,,,55501.452399415786,,,,,,,13.235939999999998,,,50.6,,,,,,,0.12717121394,,,,,13.302414,"种类：PRODUCTION_CHICKPEAS,FAO总量：320100.0,国家总量：381.8606563136; 种类：PRODUCTION_CORN,FAO总量：3431310.0,国家总量：370034565.99999994; 种类：PRODUCTION_LENTILS,FAO总量：339380.0,国家总量：267831.2873; 种类：PRODUCTION_OATS,FAO总量：719720.0,国家总量：539391.864; 种类：PRODUCTION_PEAS,FAO总量：643880.0,国家总量：432679.501; 种类：PRODUCTION_COTTON,FAO总量：12000000.0,国家总量：4123063.8400000003; 种类：PRODUCTION_SOYBEANS,FAO总量：120064970.0,国家总量：5409460.93794212; 种类：PRODUCTION_SUNFLOWER,FAO总量：969670.0,国家总量：662145.3216; "
