year,OBJECTID,State,County,AREA HARVESTED_BARLEY,AREA HARVESTED_BEANS,AREA HARVESTED_CANOLA,AREA HARVESTED_CHICKPEAS,AREA HARVESTED_CORN,AREA HARVESTED_COTTON,AREA HARVESTED_FLAXSEED,AREA HARVESTED_HAY,AREA HARVESTED_LENTILS,AREA HARVESTED_OATS,AREA HARVESTED_PEANUTS,AREA HARVESTED_PEAS,AREA HARVESTED_RICE,AREA HARVESTED_SORGHUM,AREA HARVESTED_SOYBEANS,AREA HARVESTED_SUNFLOWER,AREA HARVESTED_WHEAT,AREA PLANTED_BARLEY,AREA PLANTED_BEANS,AREA PLANTED_CANOLA,AREA PLANTED_CHICKPEAS,AREA PLANTED_CORN,AREA PLANTED_COTTON,AREA PLANTED_FLAXSEED,AREA PLANTED_LENTILS,AREA PLANTED_OATS,AREA PLANTED_PEANUTS,AREA PLANTED_PEAS,AREA PLANTED_RICE,AREA PLANTED_SORGHUM,AREA PLANTED_SOYBEANS,AREA PLANTED_SUNFLOWER,AREA PLANTED_WHEAT,PRODUCTION_BARLEY,PRODUCTION_BEANS,PRODUCTION_CANOLA,PRODUCTION_CHICKPEAS,PRODUCTION_CORN,PRODUCTION_COTTON,PRODUCTION_FLAXSEED,PRODUCTION_HAY,PRODUCTION_LENTILS,PRODUCTION_OATS,PRODUCTION_PEANUTS,PRODUCTION_PEAS,PRODUCTION_RICE,PRODUCTION_SORGHUM,PRODUCTION_SOYBEANS,PRODUCTION_SUNFLOWER,PRODUCTION_WHEAT,YIELD_BARLEY,YIELD_BEANS,YIELD_CANOLA,YIELD_CHICKPEAS,YIELD_CORN,YIELD_COTTON,YIELD_FLAXSEED,YIELD_HAY,YIELD_LENTILS,YIELD_OATS,YIELD_PEANUTS,YIELD_PEAS,YIELD_RICE,YIELD_SORGHUM,YIELD_SOYBEANS,YIELD_SUNFLOWER,YIELD_WHEAT,标记
2020,-85,NEW JERSEY,OTHER COUNTIES,,,,,,,,,,,,,,,14.754330160999999,,,,,,,,,,,,,,,,14.939530957999999,,,,,,,,,,,,,,,,,15327.792697961388,,,,,,,,,,,,,,,,,0.05815305025800001,,,"种类：PRODUCTION_BEANS,FAO总量：1465376.0,国家总量：580323.046; 种类：PRODUCTION_CHICKPEAS,FAO总量：185380.0,国家总量：3143.7666101679997; 种类：PRODUCTION_CORN,FAO总量：2743282.0,国家总量：358291714.2; 种类：PRODUCTION_COTTON,FAO总量：9227456.35,国家总量：3180052.75; 种类：PRODUCTION_SOYBEANS,FAO总量：114748940.0,国家总量：5205749.938617961; 种类：PRODUCTION_SUNFLOWER,FAO总量：1353020.0,国家总量：537243.84; "
2020,-84,OREGON,OTHER COUNTIES,,,,,,,,,,71.0028,,,,,,,218.03220000000002,,,,,,,,,213.444,,,,,,,304.86400000000003,,,,,,,,,,7274.505154639174,,,,,,,14325.94276675959,,,,,,,,,,1.417152,,,,,,,1.736636,"种类：PRODUCTION_BEANS,FAO总量：1465376.0,国家总量：580323.046; 种类：PRODUCTION_CHICKPEAS,FAO总量：185380.0,国家总量：3143.7666101679997; 种类：PRODUCTION_CORN,FAO总量：2743282.0,国家总量：358291714.2; 种类：PRODUCTION_COTTON,FAO总量：9227456.35,国家总量：3180052.75; 种类：PRODUCTION_SOYBEANS,FAO总量：114748940.0,国家总量：5205749.938617961; 种类：PRODUCTION_SUNFLOWER,FAO总量：1353020.0,国家总量：537243.84; "
2020,-83,MAINE,OTHER COUNTIES,,,,,,,,,,319.44,,,,,,,,,,,,,,,,377.52,,,,,,,,,,,,,,,,,21123.955885878684,,,,,,,,,,,,,,,,,0.91476,,,,,,,,"种类：PRODUCTION_BEANS,FAO总量：1465376.0,国家总量：580323.046; 种类：PRODUCTION_CHICKPEAS,FAO总量：185380.0,国家总量：3143.7666101679997; 种类：PRODUCTION_CORN,FAO总量：2743282.0,国家总量：358291714.2; 种类：PRODUCTION_COTTON,FAO总量：9227456.35,国家总量：3180052.75; 种类：PRODUCTION_SOYBEANS,FAO总量：114748940.0,国家总量：5205749.938617961; 种类：PRODUCTION_SUNFLOWER,FAO总量：1353020.0,国家总量：537243.84; "
2020,-82,FLORIDA,OTHER COUNTIES,,,,,,3202.367,,,,,25.251912,,,,,,,,,,,,3287.27,,,,26.535600000000002,,,,,,,,,,,,10012.334975012835,,,,,88583.96901258655,,,,,,,,,,,,112.5509,,,,,1.5404256,,,,,,,"种类：PRODUCTION_BEANS,FAO总量：1465376.0,国家总量：580323.046; 种类：PRODUCTION_CHICKPEAS,FAO总量：185380.0,国家总量：3143.7666101679997; 种类：PRODUCTION_CORN,FAO总量：2743282.0,国家总量：358291714.2; 种类：PRODUCTION_COTTON,FAO总量：9227456.35,国家总量：3180052.75; 种类：PRODUCTION_SOYBEANS,FAO总量：114748940.0,国家总量：5205749.938617961; 种类：PRODUCTION_SUNFLOWER,FAO总量：1353020.0,国家总量：537243.84; "
2020,-81,NEW MEXICO,OTHER COUNTIES,,,,,,4549.93,,108500.0,,,,,,,,,,,,,,,7271.18,,,,,,,,,,,,,,,,23511.615632175253,,402000.0,,,,,,,,,,,,,,,372.7024,,6.2,,,,,,,,,,"种类：PRODUCTION_BEANS,FAO总量：1465376.0,国家总量：580323.046; 种类：PRODUCTION_CHICKPEAS,FAO总量：185380.0,国家总量：3143.7666101679997; 种类：PRODUCTION_CORN,FAO总量：2743282.0,国家总量：358291714.2; 种类：PRODUCTION_COTTON,FAO总量：9227456.35,国家总量：3180052.75; 种类：PRODUCTION_SOYBEANS,FAO总量：114748940.0,国家总量：5205749.938617961; 种类：PRODUCTION_SUNFLOWER,FAO总量：1353020.0,国家总量：537243.84; "
2020,-79,WISCONSIN,OTHER COUNTIES,,,,,150.114,,,,,194.568,,,,,2.2964898828,,374.27500000000003,,,,,142.23999999999998,,,,509.652,,,,,2.345876762,,726.774,,,,,58.77083561694043,,,,,12322.3076000959,,,,,1984.0129397751869,,21264.72099260011,,,,,3.5610799999999996,,,,,0.875556,,,,,0.048399141616,,1.502544,"种类：PRODUCTION_BEANS,FAO总量：1465376.0,国家总量：580323.046; 种类：PRODUCTION_CHICKPEAS,FAO总量：185380.0,国家总量：3143.7666101679997; 种类：PRODUCTION_CORN,FAO总量：2743282.0,国家总量：358291714.2; 种类：PRODUCTION_COTTON,FAO总量：9227456.35,国家总量：3180052.75; 种类：PRODUCTION_SOYBEANS,FAO总量：114748940.0,国家总量：5205749.938617961; 种类：PRODUCTION_SUNFLOWER,FAO总量：1353020.0,国家总量：537243.84; "
2020,-78,TEXAS,OTHER COUNTIES,,,,,9894.823999999999,62242.607,,,,572.2332,35.593992,,3034.5170999999996,10107.422,96.82297667159999,,4494.022,,,,,13982.699999999999,136780.91,,,4846.776,39.2364,,3147.9145999999996,13152.119999999999,104.823651102,,14285.056,,,,,10379.956406523677,291185.2321818244,,,,25199.385758810833,103293.2939560117,,213914.13170178537,541392.8962730587,69230.89322633909,,143309.87112804223,,,,,3.4798,316.3181,,,,0.60984,1.2741624,,319.78094999999996,1.36144,0.040003372152,,0.84382,"种类：PRODUCTION_BEANS,FAO总量：1465376.0,国家总量：580323.046; 种类：PRODUCTION_CHICKPEAS,FAO总量：185380.0,国家总量：3143.7666101679997; 种类：PRODUCTION_CORN,FAO总量：2743282.0,国家总量：358291714.2; 种类：PRODUCTION_COTTON,FAO总量：9227456.35,国家总量：3180052.75; 种类：PRODUCTION_SOYBEANS,FAO总量：114748940.0,国家总量：5205749.938617961; 种类：PRODUCTION_SUNFLOWER,FAO总量：1353020.0,国家总量：537243.84; "
2020,-77,TENNESSEE,OTHER COUNTIES,,,,,1080.008,9417.702,,,,,,,,,86.241837803,,843.5478,,,,,1259.84,9622.34,,,,,,,,89.51371855000001,,1834.6280000000002,,,,,1237.4158599055875,66706.78696286154,,,,,,,,,90586.92825845967,,47803.58601631163,,,,,3.7998399999999997,255.14440000000002,,,,,,,,,0.058893853446000004,,1.4971,"种类：PRODUCTION_BEANS,FAO总量：1465376.0,国家总量：580323.046; 种类：PRODUCTION_CHICKPEAS,FAO总量：185380.0,国家总量：3143.7666101679997; 种类：PRODUCTION_CORN,FAO总量：2743282.0,国家总量：358291714.2; 种类：PRODUCTION_COTTON,FAO总量：9227456.35,国家总量：3180052.75; 种类：PRODUCTION_SOYBEANS,FAO总量：114748940.0,国家总量：5205749.938617961; 种类：PRODUCTION_SUNFLOWER,FAO总量：1353020.0,国家总量：537243.84; "
2020,-76,SOUTH DAKOTA,OTHER COUNTIES,,,,,1907.54,,,,,1095.8244,,,,1777.2379999999998,113.71328935800001,,9868.8832,,,,,2697.48,,,,2815.428,,,,2613.66,116.05916612,,10316.380000000001,,,,,990.6639200287709,,,,,79778.74970031167,,,,108666.2010939511,93420.06607780939,,465921.02241258783,,,,,1.7221199999999999,,,,,1.0076880000000001,,,,1.5519399999999999,0.04605326485399999,,2.553236,"种类：PRODUCTION_BEANS,FAO总量：1465376.0,国家总量：580323.046; 种类：PRODUCTION_CHICKPEAS,FAO总量：185380.0,国家总量：3143.7666101679997; 种类：PRODUCTION_CORN,FAO总量：2743282.0,国家总量：358291714.2; 种类：PRODUCTION_COTTON,FAO总量：9227456.35,国家总量：3180052.75; 种类：PRODUCTION_SOYBEANS,FAO总量：114748940.0,国家总量：5205749.938617961; 种类：PRODUCTION_SUNFLOWER,FAO总量：1353020.0,国家总量：537243.84; "
2020,-75,SOUTH CAROLINA,OTHER COUNTIES,,,,,316.484,3289.447,,,,,2.145528,,,,44.5593117582,,,,,,,373.38,4158.07,,,,2.2680000000000002,,,,47.65833842800001,,,,,,,292.337260421525,14737.399051548862,,,,,8137.691524928998,,,,34441.26715069271,,,,,,,3.0632399999999995,161.3157,,,,,1.6651656000000001,,,,0.043336986498,,,"种类：PRODUCTION_BEANS,FAO总量：1465376.0,国家总量：580323.046; 种类：PRODUCTION_CHICKPEAS,FAO总量：185380.0,国家总量：3143.7666101679997; 种类：PRODUCTION_CORN,FAO总量：2743282.0,国家总量：358291714.2; 种类：PRODUCTION_COTTON,FAO总量：9227456.35,国家总量：3180052.75; 种类：PRODUCTION_SOYBEANS,FAO总量：114748940.0,国家总量：5205749.938617961; 种类：PRODUCTION_SUNFLOWER,FAO总量：1353020.0,国家总量：537243.84; "
2020,-74,PENNSYLVANIA,OTHER COUNTIES,,,,,1592.8339999999998,,,,,76.8108,,,,,31.7557633256,,,,,,,914.4,,,,146.652,,,,,32.348405876,,,,,,,554.9779404370049,,,,,4549.423399664349,,,,,28451.12657395034,,,,,,,3.55346,,,,,0.818928,,,,,0.050127682388,,,"种类：PRODUCTION_BEANS,FAO总量：1465376.0,国家总量：580323.046; 种类：PRODUCTION_CHICKPEAS,FAO总量：185380.0,国家总量：3143.7666101679997; 种类：PRODUCTION_CORN,FAO总量：2743282.0,国家总量：358291714.2; 种类：PRODUCTION_COTTON,FAO总量：9227456.35,国家总量：3180052.75; 种类：PRODUCTION_SOYBEANS,FAO总量：114748940.0,国家总量：5205749.938617961; 种类：PRODUCTION_SUNFLOWER,FAO总量：1353020.0,国家总量：537243.84; "
