country,country_label,state,state_label,county,county_label,unit_label,year,Dairy cows,Beef cattle,excl cattle,"Fattening pigs, live weight 50 kg or over",Sheep,County Layers,County broiler,标记
AT,Austria,AT1,Ostösterreich,AT11,Burgenland (AT),Thousand heads (animals),2020,3469.93387831323,5839.782748116081,11770.0,66388.68777894405,7239.999999999999,450832.2342835886,4557068.086325439,
AT,Austria,AT1,Ostösterreich,AT12,Niederösterreich,Thousand heads (animals),2020,99108.11143505022,150206.44741061408,253970.0,1269213.3104631216,89580.0,2160945.859118731,30392930.481283423,
AT,Austria,AT1,Ostösterreich,AT13,Wien,Thousand heads (animals),2020,29.999428342765675,0.0,40.0,216.24979732555062,320.0,749.7210104494267,0.0,
AT,Austria,AT2,Südösterreich,AT21,Kärnten,Thousand heads (animals),2020,33979.352502905924,58449.50697450697,123190.0,256299.2597902426,54690.0,542048.2905549356,15715802.568754774,
AT,Austria,AT2,Südösterreich,AT22,Steiermark,Thousand heads (animals),2020,79588.48339335735,103617.38415905084,188740.0,1484684.6085183006,80950.0,2624023.5365729937,21232007.161955692,
AT,Austria,AT3,Westösterreich,AT31,Oberösterreich,Thousand heads (animals),2020,160776.93629832886,192144.3562610229,304800.00000000006,1944734.4273486768,94640.0,1205801.2918061612,24783151.594728794,
AT,Austria,AT3,Westösterreich,AT32,Salzburg,Thousand heads (animals),2020,58948.876693534556,51033.499679333014,80410.00000000001,18424.482732136916,40670.0,125203.40874505429,725200.7734912146,
AT,Austria,AT3,Westösterreich,AT33,Tirol,Thousand heads (animals),2020,63248.79475599764,61524.436828603495,87650.0,18900.232286253125,99920.0,135449.59588786308,252650.5920550038,
AT,Austria,AT3,Westösterreich,AT34,Vorarlberg,Thousand heads (animals),2020,25639.511423617067,21808.74619207953,30579.999999999996,9298.741284998678,18510.0,144946.06202022248,332188.74140565307,
BE,Belgium,BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE10,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,Thousand heads (animals),2020,209.9960962914769,150.57476792843056,470.0,0.0,0.0,0.0,0.0,
