OBJECTID,State,County,year,cattle_cow_beef,cattle_cow_milk,cattle_excl_cows,hogs,sheep_goats,broilers,layers,horses,donkeys,mules,rabbits,cattle_beef_slaughtered,hogs_slaughtered,broilers_slaughtered,标记
26,ALABAMA,COLBERT,2002,9280.0,64.75838940216249,7027.0,47.970925111270965,697.2101423743187,1846500.0,71751.24170251348,,,,,1212.4638160153872,47.076052756007115,13067643.609324878,"种类：sheep_goats,FAO总量：9153466.0,国家总量：11999636.0; 种类：layers,FAO总量：339293000.0,国家总量：206849294.12838426; 种类：cattle_beef_slaughtered,FAO总量：36970000.0,国家总量：1170400.0; "
39,ALABAMA,FRANKLIN,2002,0.0,83.25441689807053,10946.0,0.0,892.490007196885,7629146.0,403047.3414584391,,,,,0.0,0.0,53991313.82155778,"种类：sheep_goats,FAO总量：9153466.0,国家总量：11999636.0; 种类：layers,FAO总量：339293000.0,国家总量：206849294.12838426; 种类：cattle_beef_slaughtered,FAO总量：36970000.0,国家总量：1170400.0; "
48,ALABAMA,LAUDERDALE,2002,0.0,56.201942800558406,14342.0,121.60071714252409,3313.6552062079213,551714.0,213569.1464268719,,,,,0.0,119.33231977685524,3904468.9554698435,"种类：sheep_goats,FAO总量：9153466.0,国家总量：11999636.0; 种类：layers,FAO总量：339293000.0,国家总量：206849294.12838426; 种类：cattle_beef_slaughtered,FAO总量：36970000.0,国家总量：1170400.0; "
49,ALABAMA,LAWRENCE,2002,20635.0,276.0397887439254,18053.0,295.6347710345769,1135.8270262531296,4345180.0,499232.35533937294,,,,,2696.0334960643872,290.1198600079508,30750752.048939224,"种类：sheep_goats,FAO总量：9153466.0,国家总量：11999636.0; 种类：layers,FAO总量：339293000.0,国家总量：206849294.12838426; 种类：cattle_beef_slaughtered,FAO总量：36970000.0,国家总量：1170400.0; "
51,ALABAMA,LIMESTONE,2002,15195.0,226.96604852278307,12441.0,807.6965065246553,1907.0299299078738,1129239.0,220314.02231285907,,,,,1985.2788452967468,792.6293533802128,7991601.842269383,"种类：sheep_goats,FAO总量：9153466.0,国家总量：11999636.0; 种类：layers,FAO总量：339293000.0,国家总量：206849294.12838426; 种类：cattle_beef_slaughtered,FAO总量：36970000.0,国家总量：1170400.0; "
54,ALABAMA,MADISON,2002,12406.0,178.91467788958127,9272.0,517.6397500379007,1285.338172757907,551203.0,22094.14758806674,,,,,1620.886433349881,507.98345299505354,3900852.6186789605,"种类：sheep_goats,FAO总量：9153466.0,国家总量：11999636.0; 种类：layers,FAO总量：339293000.0,国家总量：206849294.12838426; 种类：cattle_beef_slaughtered,FAO总量：36970000.0,国家总量：1170400.0; "
56,ALABAMA,MARION,2002,9915.0,10.223695879404644,7192.0,65.82057166430202,428.70032824329,3541849.0,147173.4542787719,,,,,1295.428743081095,64.59272354894,25065594.6114507,"种类：sheep_goats,FAO总量：9153466.0,国家总量：11999636.0; 种类：layers,FAO总量：339293000.0,国家总量：206849294.12838426; 种类：cattle_beef_slaughtered,FAO总量：36970000.0,国家总量：1170400.0; "
61,ALABAMA,MORGAN,2002,18937.0,1519.2412076795301,15937.0,417.235488177101,1473.7527298328048,4144767.0,78755.28353937269,,,,,2474.1839745563993,409.45217978480605,29332433.25193103,"种类：sheep_goats,FAO总量：9153466.0,国家总量：11999636.0; 种类：layers,FAO总量：339293000.0,国家总量：206849294.12838426; 种类：cattle_beef_slaughtered,FAO总量：36970000.0,国家总量：1170400.0; "
76,ALABAMA,WINSTON,2002,9993.0,236.16737481424727,11757.0,52.433336749528735,430.22595218721636,3521627.0,413878.1817977322,,,,,1305.6197105001897,51.45522045424033,24922483.921460032,"种类：sheep_goats,FAO总量：9153466.0,国家总量：11999636.0; 种类：layers,FAO总量：339293000.0,国家总量：206849294.12838426; 种类：cattle_beef_slaughtered,FAO总量：36970000.0,国家总量：1170400.0; "
14,ALABAMA,BLOUNT,2002,21348.0,489.7150326234824,16872.0,437.3163405492609,938.258725514674,8763499.0,675560.3388004248,,,,,2789.18939054919,429.1584344268554,62019107.339656085,"种类：sheep_goats,FAO总量：9153466.0,国家总量：11999636.0; 种类：layers,FAO总量：339293000.0,国家总量：206849294.12838426; 种类：cattle_beef_slaughtered,FAO总量：36970000.0,国家总量：1170400.0; "
17,ALABAMA,CALHOUN,2002,0.0,109.20350893714209,6914.0,190.76809753551942,743.7416726640708,1731840.0,24526.429447677605,,,,,0.0,187.20941909947015,12256197.080082966,"种类：sheep_goats,FAO总量：9153466.0,国家总量：11999636.0; 种类：layers,FAO总量：339293000.0,国家总量：206849294.12838426; 种类：cattle_beef_slaughtered,FAO总量：36970000.0,国家总量：1170400.0; "
