OBJECTID,State,County,year,cattle_cow_beef,cattle_cow_milk,cattle_excl_cows,hogs,sheep_goats,broilers,layers,horses,donkeys,mules,rabbits,cattle_beef_slaughtered,hogs_slaughtered,broilers_slaughtered,标记
26,ALABAMA,COLBERT,2007,0.0,,5313.0,0.0,1183.2328990805852,1670490.0,,,,,,0.0,0.0,11191077.007542107,"种类：sheep_goats,FAO总量：9168000.0,国家总量：11978815.0; 种类：layers,FAO总量：346498000.0,国家总量：162096914.0; 种类：cattle_beef_slaughtered,FAO总量：35209200.0,国家总量：811100.0; "
39,ALABAMA,FRANKLIN,2007,15556.0,,8421.0,0.0,2330.4942934672586,7854222.0,314402.15349195356,,,,,3985.9484311506885,0.0,52617617.12810695,"种类：sheep_goats,FAO总量：9168000.0,国家总量：11978815.0; 种类：layers,FAO总量：346498000.0,国家总量：162096914.0; 种类：cattle_beef_slaughtered,FAO总量：35209200.0,国家总量：811100.0; "
48,ALABAMA,LAUDERDALE,2007,17823.0,,12511.0,0.0,4988.558884998224,657278.0,475333.33832623117,,,,,4566.826876343452,0.0,4403288.085150621,"种类：sheep_goats,FAO总量：9168000.0,国家总量：11978815.0; 种类：layers,FAO总量：346498000.0,国家总量：162096914.0; 种类：cattle_beef_slaughtered,FAO总量：35209200.0,国家总量：811100.0; "
49,ALABAMA,LAWRENCE,2007,15448.0,23.657500351201612,9767.0,708.716145787308,1667.7001857028429,6531093.0,646858.4576508347,,,,,3958.2753512738386,520.6336777850146,43753608.04699172,"种类：sheep_goats,FAO总量：9168000.0,国家总量：11978815.0; 种类：layers,FAO总量：346498000.0,国家总量：162096914.0; 种类：cattle_beef_slaughtered,FAO总量：35209200.0,国家总量：811100.0; "
51,ALABAMA,LIMESTONE,2007,0.0,,8114.0,939.7283408005752,2811.134824271015,1370050.0,200335.6619114908,,,,,0.0,690.3387556470915,9178345.90699918,"种类：sheep_goats,FAO总量：9168000.0,国家总量：11978815.0; 种类：layers,FAO总量：346498000.0,国家总量：162096914.0; 种类：cattle_beef_slaughtered,FAO总量：35209200.0,国家总量：811100.0; "
54,ALABAMA,MADISON,2007,11772.0,81.25837077151859,8229.0,44.94807414285287,2300.6455980829487,0.0,,,,,,3016.36570657662,33.01954003651273,0.0,"种类：sheep_goats,FAO总量：9168000.0,国家总量：11978815.0; 种类：layers,FAO总量：346498000.0,国家总量：162096914.0; 种类：cattle_beef_slaughtered,FAO总量：35209200.0,国家总量：811100.0; "
56,ALABAMA,MARION,2007,8768.0,,5729.0,38.676249843850144,530.3883564442726,4495141.0,239077.48368361907,,,,,2246.6441144464666,28.412162356999325,30114199.480846837,"种类：sheep_goats,FAO总量：9168000.0,国家总量：11978815.0; 种类：layers,FAO总量：346498000.0,国家总量：162096914.0; 种类：cattle_beef_slaughtered,FAO总量：35209200.0,国家总量：811100.0; "
61,ALABAMA,MORGAN,2007,18571.0,1465.7364348027088,12701.0,199.65307351825345,2679.494424114572,3969077.0,107262.51791567111,,,,,4758.488577712744,146.66818946451,26589950.4671469,"种类：sheep_goats,FAO总量：9168000.0,国家总量：11978815.0; 种类：layers,FAO总量：346498000.0,国家总量：162096914.0; 种类：cattle_beef_slaughtered,FAO总量：35209200.0,国家总量：811100.0; "
76,ALABAMA,WINSTON,2007,0.0,,4917.0,34.49503364451499,1036.2854756501374,3093146.0,418667.759350434,,,,,0.0,25.340577237323718,20721845.136200055,"种类：sheep_goats,FAO总量：9168000.0,国家总量：11978815.0; 种类：layers,FAO总量：346498000.0,国家总量：162096914.0; 种类：cattle_beef_slaughtered,FAO总量：35209200.0,国家总量：811100.0; "
14,ALABAMA,BLOUNT,2007,0.0,,13213.0,159.93151962456952,2155.994228143602,10273148.0,789474.7048916674,,,,,0.0,117.4881308275918,68822675.01025277,"种类：sheep_goats,FAO总量：9168000.0,国家总量：11978815.0; 种类：layers,FAO总量：346498000.0,国家总量：162096914.0; 种类：cattle_beef_slaughtered,FAO总量：35209200.0,国家总量：811100.0; "
17,ALABAMA,CALHOUN,2007,0.0,,4390.0,0.0,903.114373166294,2300055.0,,,,,,0.0,0.0,15408707.999797821,"种类：sheep_goats,FAO总量：9168000.0,国家总量：11978815.0; 种类：layers,FAO总量：346498000.0,国家总量：162096914.0; 种类：cattle_beef_slaughtered,FAO总量：35209200.0,国家总量：811100.0; "
19,ALABAMA,CHEROKEE,2007,0.0,,3219.0,1889.909722099488,1814.6476091332909,2320864.0,,,,,,0.0,1388.3564740933723,15548113.27696197,"种类：sheep_goats,FAO总量：9168000.0,国家总量：11978815.0; 种类：layers,FAO总量：346498000.0,国家总量：162096914.0; 种类：cattle_beef_slaughtered,FAO总量：35209200.0,国家总量：811100.0; "
24,ALABAMA,CLEBURNE,2007,0.0,,3332.0,73.17128348836513,460.74140054755,3318847.0,217881.0643119338,,,,,0.0,53.752739594323046,22233878.89376775,"种类：sheep_goats,FAO总量：9168000.0,国家总量：11978815.0; 种类：layers,FAO总量：346498000.0,国家总量：162096914.0; 种类：cattle_beef_slaughtered,FAO总量：35209200.0,国家总量：811100.0; "
31,ALABAMA,CULLMAN,2007,37420.0,1595.3383932484219,26304.0,123.34587788038695,3676.7469904159966,20577817.0,3607166.2908277204,,,,,9588.209712886268,90.61176103043027,137856517.96425545,"种类：sheep_goats,FAO总量：9168000.0,国家总量：11978815.0; 种类：layers,FAO总量：346498000.0,国家总量：162096914.0; 种类：cattle_beef_slaughtered,FAO总量：35209200.0,国家总量：811100.0; "
34,ALABAMA,DE KALB,2007,0.0,,20568.0,62971.20657008703,3284.887194601469,18193920.0,3088296.4989574077,,,,,0.0,46259.60769487441,121886129.09329626,"种类：sheep_goats,FAO总量：9168000.0,国家总量：11978815.0; 种类：layers,FAO总量：346498000.0,国家总量：162096914.0; 种类：cattle_beef_slaughtered,FAO总量：35209200.0,国家总量：811100.0; "
37,ALABAMA,ETOWAH,2007,9435.0,200.57445949931804,6386.0,314.63651899997006,1561.3163739485083,3687440.0,154708.63775975403,,,,,2417.551005908122,231.1367802555891,24703185.891978443,"种类：sheep_goats,FAO总量：9168000.0,国家总量：11978815.0; 种类：layers,FAO总量：346498000.0,国家总量：162096914.0; 种类：cattle_beef_slaughtered,FAO总量：35209200.0,国家总量：811100.0; "
