OBJECTID,State,County,year,cattle_cow_beef,cattle_cow_milk,cattle_excl_cows,hogs,sheep_goats,broilers,layers,horses,donkeys,mules,rabbits,cattle_beef_slaughtered,hogs_slaughtered,broilers_slaughtered,标记
26,ALABAMA,COLBERT,2012,0.0,,8102.0,61.62712756086929,1163.940490272528,1871616.0,2515.975979981904,,,,,0.0,16.593283714581794,11167342.578437677,"种类：sheep_goats,FAO总量：8078000.0,国家总量：10632413.0; 种类：layers,FAO总量：344844000.0,国家总量：172971893.0; 种类：cattle_beef_slaughtered,FAO总量：33861900.0,国家总量：911200.0; "
39,ALABAMA,FRANKLIN,2012,17401.0,153.12386528299032,9898.0,117.54803960684326,1471.640162962067,5379747.0,461280.8703203589,,,,,3102.576235095103,31.65015227040601,32099254.192271467,"种类：sheep_goats,FAO总量：8078000.0,国家总量：10632413.0; 种类：layers,FAO总量：344844000.0,国家总量：172971893.0; 种类：cattle_beef_slaughtered,FAO总量：33861900.0,国家总量：911200.0; "
48,ALABAMA,LAUDERDALE,2012,17332.0,38.805363119661926,12070.0,157.49154821111037,3150.6926978852307,727022.0,406866.4104173272,,,,,3090.2736225888357,42.40505838170902,4337911.05443687,"种类：sheep_goats,FAO总量：8078000.0,国家总量：10632413.0; 种类：layers,FAO总量：344844000.0,国家总量：172971893.0; 种类：cattle_beef_slaughtered,FAO总量：33861900.0,国家总量：911200.0; "
49,ALABAMA,LAWRENCE,2012,18435.0,99.63539179372658,10797.0,112.98306719492703,2142.501424653087,8401316.0,268856.5552554831,,,,,3286.937123957142,30.421020143399957,50128003.75809445,"种类：sheep_goats,FAO总量：8078000.0,国家总量：10632413.0; 种类：layers,FAO总量：344844000.0,国家总量：172971893.0; 种类：cattle_beef_slaughtered,FAO总量：33861900.0,国家总量：911200.0; "
51,ALABAMA,LIMESTONE,2012,16381.0,50.342092695777644,10414.0,1873.921175091618,1939.6475663614647,1946112.0,144453.3055321306,,,,,2920.711528480713,504.5587381359871,11611836.722922064,"种类：sheep_goats,FAO总量：8078000.0,国家总量：10632413.0; 种类：layers,FAO总量：344844000.0,国家总量：172971893.0; 种类：cattle_beef_slaughtered,FAO总量：33861900.0,国家总量：911200.0; "
54,ALABAMA,MADISON,2012,12463.0,11.53672957611571,7145.0,382.3164394979854,1856.0748157544294,270544.0,4166.711409003312,,,,,2222.1370966030845,102.93981563675743,1614250.7493742537,"种类：sheep_goats,FAO总量：8078000.0,国家总量：10632413.0; 种类：layers,FAO总量：344844000.0,国家总量：172971893.0; 种类：cattle_beef_slaughtered,FAO总量：33861900.0,国家总量：911200.0; "
56,ALABAMA,MARION,2012,8351.0,48.24450550012024,4706.0,262.485913685184,391.27242329657435,5207424.0,,,,,,1488.9727107223266,70.67509730284837,31071057.182230886,"种类：sheep_goats,FAO总量：8078000.0,国家总量：10632413.0; 种类：layers,FAO总量：344844000.0,国家总量：172971893.0; 种类：cattle_beef_slaughtered,FAO总量：33861900.0,国家总量：911200.0; "
61,ALABAMA,MORGAN,2012,21016.0,1269.040253372728,13560.0,704.1469945380805,3791.9236207246654,4681510.0,24007.434826420038,,,,,3747.1261511843386,189.59363059068454,27933094.15733877,"种类：sheep_goats,FAO总量：8078000.0,国家总量：10632413.0; 种类：layers,FAO总量：344844000.0,国家总量：172971893.0; 种类：cattle_beef_slaughtered,FAO总量：33861900.0,国家总量：911200.0; "
76,ALABAMA,WINSTON,2012,8873.0,12.585523173944411,4146.0,29.67232067745558,480.92319212957585,2107866.0,,,,,,1582.0446488132206,7.989358825539381,12576971.842216093,"种类：sheep_goats,FAO总量：8078000.0,国家总量：10632413.0; 种类：layers,FAO总量：344844000.0,国家总量：172971893.0; 种类：cattle_beef_slaughtered,FAO总量：33861900.0,国家总量：911200.0; "
14,ALABAMA,BLOUNT,2012,0.0,,13027.0,196.29381371239847,1163.1807379942823,9183549.0,498825.1331214835,,,,,0.0,52.85268146126053,54795341.44229839,"种类：sheep_goats,FAO总量：8078000.0,国家总量：10632413.0; 种类：layers,FAO总量：344844000.0,国家总量：172971893.0; 种类：cattle_beef_slaughtered,FAO总量：33861900.0,国家总量：911200.0; "
17,ALABAMA,CALHOUN,2012,7840.0,141.58713570687465,4957.0,0.0,729.3621871159444,2699830.0,4990.085481691525,,,,,1397.8620586831566,0.0,16109034.392494718,"种类：sheep_goats,FAO总量：8078000.0,国家总量：10632413.0; 种类：layers,FAO总量：344844000.0,国家总量：172971893.0; 种类：cattle_beef_slaughtered,FAO总量：33861900.0,国家总量：911200.0; "
19,ALABAMA,CHEROKEE,2012,0.0,,5055.0,0.0,1882.6661454930318,3701809.0,,,,,,0.0,0.0,22087527.175950512,"种类：sheep_goats,FAO总量：8078000.0,国家总量：10632413.0; 种类：layers,FAO总量：344844000.0,国家总量：172971893.0; 种类：cattle_beef_slaughtered,FAO总量：33861900.0,国家总量：911200.0; "
24,ALABAMA,CLEBURNE,2012,0.0,,3173.0,237.37856541964464,274.27057244672494,3937040.0,197843.0335384027,,,,,0.0,63.91487060431505,23491076.388004947,"种类：sheep_goats,FAO总量：8078000.0,国家总量：10632413.0; 种类：layers,FAO总量：344844000.0,国家总量：172971893.0; 种类：cattle_beef_slaughtered,FAO总量：33861900.0,国家总量：911200.0; "
31,ALABAMA,CULLMAN,2012,34111.0,1533.3362400255608,21342.0,131.242956842592,2164.5342407222142,14433771.0,3566513.5764918756,,,,,6081.948046395555,35.337548651424186,86121760.79693642,"种类：sheep_goats,FAO总量：8078000.0,国家总量：10632413.0; 种类：layers,FAO总量：344844000.0,国家总量：172971893.0; 种类：cattle_beef_slaughtered,FAO总量：33861900.0,国家总量：911200.0; "
