pr_name,ct_name_2,ct_adcode,ct_name,pr_adcode,city_join,adcode_CMI_join,pr_join,city_pinyin,pr_pinyin
上海市,上海市,310100,上海城区,310000,上海,310000,上海,Shanghai,Shanghai
云南省,临沧市,530900,临沧市,530000,临沧,530900,云南,Lincang,Yunnan
云南省,丽江市,530700,丽江市,530000,丽江,530700,云南,Lijiang,Yunnan
云南省,保山市,530500,保山市,530000,保山,530500,云南,Baoshan,Yunnan
云南省,大理白族自治州,532900,大理白族自治州,530000,大理白族自治州,532900,云南,,Yunnan
云南省,德宏傣族景颇族自治州,533100,德宏傣族景颇族自治州,530000,德宏傣族景颇族自治州,533100,云南,,Yunnan
云南省,怒江傈僳族自治州,533300,怒江傈僳族自治州,530000,怒江傈僳族自治州,533300,云南,,Yunnan
云南省,文山壮族苗族自治州,532600,文山壮族苗族自治州,530000,文山壮族苗族自治州,532600,云南,,Yunnan
云南省,昆明市,530100,昆明市,530000,昆明,530100,云南,Kunming,Yunnan
云南省,昭通市,530600,昭通市,530000,昭通,530600,云南,Zhaotong,Yunnan
云南省,普洱市,530800,普洱市,530000,普洱,530800,云南,Pu'er,Yunnan
云南省,曲靖市,530300,曲靖市,530000,曲靖,530300,云南,Qujing,Yunnan
云南省,楚雄彝族自治州,532300,楚雄彝族自治州,530000,楚雄彝族自治州,532300,云南,,Yunnan
云南省,玉溪市,530400,玉溪市,530000,玉溪,530400,云南,Yuxi,Yunnan
云南省,红河哈尼族彝族自治州,532500,红河哈尼族彝族自治州,530000,红河哈尼族彝族自治州,532500,云南,,Yunnan
云南省,西双版纳傣族自治州,532800,西双版纳傣族自治州,530000,西双版纳傣族自治州,532800,云南,,Yunnan
云南省,迪庆藏族自治州,533400,迪庆藏族自治州,530000,迪庆藏族自治州,533400,云南,,Yunnan
内蒙古自治区,乌兰察布市,150900,乌兰察布市,150000,乌兰察布,150900,内蒙古,Ulanqab,Nei Mongol
内蒙古自治区,乌海市,150300,乌海市,150000,乌海,150300,内蒙古,Wuhai,Nei Mongol
内蒙古自治区,兴安盟,152200,兴安盟,150000,兴安盟,152200,内蒙古,,Nei Mongol
内蒙古自治区,包头市,150200,包头市,150000,包头,150200,内蒙古,Baotou,Nei Mongol
内蒙古自治区,呼伦贝尔市,150700,呼伦贝尔市,150000,呼伦贝尔,150700,内蒙古,Hulunbuir,Nei Mongol
内蒙古自治区,呼和浩特市,150100,呼和浩特市,150000,呼和浩特,150100,内蒙古,Hohhot,Nei Mongol
内蒙古自治区,巴彦淖尔市,150800,巴彦淖尔市,150000,巴彦淖尔,150800,内蒙古,Bayannur,Nei Mongol
内蒙古自治区,赤峰市,150400,赤峰市,150000,赤峰,150400,内蒙古,Chifeng,Nei Mongol
内蒙古自治区,通辽市,150500,通辽市,150000,通辽,150500,内蒙古,Tongliao,Nei Mongol
内蒙古自治区,鄂尔多斯市,150600,鄂尔多斯市,150000,鄂尔多斯,150600,内蒙古,Ordos,Nei Mongol
内蒙古自治区,锡林郭勒盟,152500,锡林郭勒盟,150000,锡林郭勒盟,152500,内蒙古,,Nei Mongol
内蒙古自治区,阿拉善盟,152900,阿拉善盟,150000,阿拉善盟,152900,内蒙古,,Nei Mongol
北京市,北京市,110100,北京城区,110000,北京,110000,北京,Beijing,Beijing
台湾省,台湾省,710000,台湾省,710000,台湾,710000,台湾,,
吉林省,吉林市,220200,吉林市,220000,吉林市,220200,吉林,Jilin,Jilin
吉林省,四平市,220300,四平市,220000,四平,220300,吉林,Siping,Jilin
吉林省,延边朝鲜族自治州,222400,延边朝鲜族自治州,220000,延边朝鲜族自治州,222400,吉林,,Jilin
吉林省,松原市,220700,松原市,220000,松原,220700,吉林,Songyuan,Jilin
吉林省,白城市,220800,白城市,220000,白城,220800,吉林,Baicheng,Jilin
吉林省,白山市,220600,白山市,220000,白山,220600,吉林,Baishan,Jilin
吉林省,辽源市,220400,辽源市,220000,辽源,220400,吉林,Liaoyuan,Jilin
吉林省,通化市,220500,通化市,220000,通化,220500,吉林,Tonghua,Jilin
吉林省,长春市,220100,长春市,220000,长春,220100,吉林,Changchun,Jilin
四川省,乐山市,511100,乐山市,510000,乐山,511100,四川,Leshan,Sichuan
四川省,内江市,511000,内江市,510000,内江,511000,四川,Neijiang,Sichuan
四川省,凉山彝族自治州,513400,凉山彝族自治州,510000,凉山彝族自治州,513400,四川,,Sichuan
四川省,南充市,511300,南充市,510000,南充,511300,四川,Nanchong,Sichuan
四川省,宜宾市,511500,宜宾市,510000,宜宾,511500,四川,Yibin,Sichuan
四川省,巴中市,511900,巴中市,510000,巴中,511900,四川,Bazhong,Sichuan
四川省,广元市,510800,广元市,510000,广元,510800,四川,Guangyuan,Sichuan
四川省,广安市,511600,广安市,510000,广安,511600,四川,Guang'an,Sichuan
四川省,德阳市,510600,德阳市,510000,德阳,510600,四川,Deyang,Sichuan
四川省,成都市,510100,成都市,510000,成都,510100,四川,Chengdu,Sichuan
四川省,攀枝花市,510400,攀枝花市,510000,攀枝花,510400,四川,Panzhihua,Sichuan
四川省,泸州市,510500,泸州市,510000,泸州,510500,四川,Luzhou,Sichuan
四川省,甘孜藏族自治州,513300,甘孜藏族自治州,510000,甘孜藏族自治州,513300,四川,,Sichuan
四川省,眉山市,511400,眉山市,510000,眉山,511400,四川,Meishan,Sichuan
四川省,绵阳市,510700,绵阳市,510000,绵阳,510700,四川,Mianyang,Sichuan
四川省,自贡市,510300,自贡市,510000,自贡,510300,四川,Zigong,Sichuan
四川省,资阳市,512000,资阳市,510000,资阳,512000,四川,Ziyang,Sichuan
四川省,达州市,511700,达州市,510000,达州,511700,四川,Dazhou,Sichuan
四川省,遂宁市,510900,遂宁市,510000,遂宁,510900,四川,Suining,Sichuan
四川省,阿坝藏族羌族自治州,513200,阿坝藏族羌族自治州,510000,阿坝藏族羌族自治州,513200,四川,,Sichuan
四川省,雅安市,511800,雅安市,510000,雅安,511800,四川,Ya'an,Sichuan
天津市,天津市,120100,天津城区,120000,天津,120000,天津,Tianjin,Tianjin
宁夏回族自治区,中卫市,640500,中卫市,640000,中卫,640500,宁夏,Zhongwei,Ningxia Hui
宁夏回族自治区,吴忠市,640300,吴忠市,640000,吴忠,640300,宁夏,Wuzhong,Ningxia Hui
宁夏回族自治区,固原市,640400,固原市,640000,固原,640400,宁夏,Guyuan,Ningxia Hui
宁夏回族自治区,石嘴山市,640200,石嘴山市,640000,石嘴山,640200,宁夏,Shizuishan,Ningxia Hui
宁夏回族自治区,银川市,640100,银川市,640000,银川,640100,宁夏,Yinchuan,Ningxia Hui
安徽省,亳州市,341600,亳州市,340000,亳州,341600,安徽,Bozhou,Anhui
安徽省,六安市,341500,六安市,340000,六安,341500,安徽,Lu'an,Anhui
安徽省,合肥市,340100,合肥市,340000,合肥,340100,安徽,Hefei,Anhui
安徽省,安庆市,340800,安庆市,340000,安庆,340800,安徽,Anqing,Anhui
安徽省,宣城市,341800,宣城市,340000,宣城,341800,安徽,Xuancheng,Anhui
安徽省,宿州市,341300,宿州市,340000,宿州,341300,安徽,Suzhou,Anhui
安徽省,池州市,341700,池州市,340000,池州,341700,安徽,Chizhou,Anhui
安徽省,淮北市,340600,淮北市,340000,淮北,340600,安徽,Huaibei,Anhui
